gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camels_01022500,"Narraguagus River at Cherryfield, Maine",United States of America,44.60797,-67.93524,619.1025954030504
camels_01031500,"Piscataquis River near Dover-Foxcroft, Maine",United States of America,45.17501,-69.3147,764.8241487847673
camels_01047000,"Carrabassett River near North Anson, Maine",United States of America,44.8692,-69.9551,902.8950759161186
camels_01052500,"Diamond River near Wentworth Location, NH",United States of America,44.87739,-71.05749,395.4449102166139
camels_01054200,"Wild River at Gilead, Maine",United States of America,44.39044,-70.97964,180.83578258638576
camels_01055000,"Swift River near Roxbury, Maine",United States of America,44.64275,-70.58878,250.42611656282844
camels_01057000,"Little Androscoggin River near South Paris, Maine",United States of America,44.30399,-70.53968,197.42826356745337
camels_01078000,"SMITH RIVER NEAR BRISTOL, NH",United States of America,43.56646,-71.74786,221.56128512151855
camels_01134500,"MOOSE RIVER AT VICTORY, VT",United States of America,44.51172,-71.83731,209.09533939123477
camels_01137500,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",United States of America,44.26867,-71.63036,237.80740881227263
camels_01139000,"WELLS RIVER AT WELLS RIVER, VT",United States of America,44.15034,-72.06509,258.98321178700803
camels_01144000,"WHITE RIVER AT WEST HARTFORD, VT",United States of America,43.71424,-72.41815,1777.408716575921
camels_01169000,"NORTH RIVER AT SHATTUCKVILLE, MA",United States of America,42.63842,-72.72509,233.4531968528464
camels_01170100,"GREEN RIVER NEAR COLRAIN, MA",United States of America,42.70342,-72.67065,109.17894274114286
camels_01181000,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",United States of America,42.23731,-72.89565,244.8619753135553
camels_01333000,"GREEN RIVER AT WILLIAMSTOWN, MA",United States of America,42.70897,-73.19677,111.3226948261138
camels_01350000,SCHOHARIE CREEK AT PRATTSVILLE NY,United States of America,42.31953,-74.43654,613.6460531564197
camels_01365000,RONDOUT CREEK NEAR LOWES CORNERS NY,United States of America,41.86648,-74.4871,102.60286139533804
camels_01413500,EAST BR DELAWARE R AT MARGARETVILLE NY,United States of America,42.14481,-74.65349,433.2357388128525
camels_01423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,United States of America,42.1662,-75.13989,860.7021764231342
camels_01435000,NEVERSINK RIVER NEAR CLARYVILLE NY,United States of America,41.89009,-74.58988,183.20016283737263
camels_01439500,"Bush Kill at Shoemakers, PA",United States of America,41.08815,-75.03767,305.7564933128151
camels_01440000,FLAT BROOK NEAR FLATBROOKVILLE NJ,United States of America,41.10667,-74.95222,171.3682659950159
camels_01440400,"Brodhead Creek near Analomink, PA",United States of America,41.08481,-75.21462,178.50330347885946
camels_01451800,"Jordan Creek near Schnecksville, PA",United States of America,40.66176,-75.62685,148.57598395080447
camels_01485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",United States of America,38.22892,-75.47144,112.80750747105463
camels_01487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",United States of America,38.72833,-75.56186,187.2838745080752
camels_01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",United States of America,38.99719,-75.78581,291.5533553286668
camels_01510000,OTSELIC RIVER AT CINCINNATUS NY,United States of America,42.54118,-75.89964,382.2670187873862
camels_01518862,"Cowanesque River at Westfield, PA",United States of America,41.92313,-77.53193,234.17733765849775
camels_01532000,"Towanda Creek near Monroeton, PA",United States of America,41.70702,-76.48467,556.0260153812195
camels_01539000,"Fishing Creek near Bloomsburg, PA",United States of America,41.07814,-76.43106,704.16963631742
camels_01543000,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",United States of America,41.4134,-78.19695,703.7449939247832
camels_01543500,"Sinnemahoning Creek at Sinnemahoning, PA",United States of America,41.31728,-78.10306,1776.5907215025363
camels_01544500,"Kettle Creek at Cross Fork, PA",United States of America,41.4759,-77.82582,362.7805768622958
camels_01545600,"Young Womans Creek near Renovo, PA",United States of America,41.38951,-77.69082,123.39535797250146
camels_01547700,"Marsh Creek at Blanchard, PA",United States of America,41.05951,-77.60583,115.04463573920911
camels_01548500,"Pine Creek at Cedar Run, PA",United States of America,41.52174,-77.44748,1555.2262672071736
camels_01550000,"Lycoming Creek near Trout Run, PA",United States of America,41.41841,-77.03275,455.6402648267032
camels_01552000,"Loyalsock Creek at Loyalsockville, PA",United States of America,41.32508,-76.91246,1127.7016317397213
camels_01557500,"Bald Eagle Creek at Tyrone, PA",United States of America,40.68367,-78.23362,117.7833761731888
camels_01568000,"Sherman Creek at Shermans Dale, PA",United States of America,40.32342,-77.16887,535.8875182816188
camels_01580000,"DEER CREEK AT ROCKS, MD",United States of America,39.62997,-76.40331,246.85030431714912
camels_01583500,"WESTERN RUN AT WESTERN RUN, MD",United States of America,39.51078,-76.6765,163.39811251875372
camels_01596500,"SAVAGE RIVER NEAR BARTON, MD",United States of America,39.57006,-79.10194,127.61017609705344
camels_01605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",United States of America,38.63567,-79.33782,474.1732416558583
camels_01606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",United States of America,38.99122,-79.17587,1685.174708203916
camels_01632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",United States of America,38.63706,-78.8528,546.7043874876955
camels_01632900,"SMITH CREEK NEAR NEW MARKET, VA",United States of America,38.69345,-78.64279,248.8236103366676
camels_01634500,"CEDAR CREEK NEAR WINCHESTER, VA",United States of America,39.08122,-78.32945,264.22677990433743
camels_01638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",United States of America,39.25455,-77.57638,233.58728921187063
camels_01639500,"BIG PIPE CREEK AT BRUCEVILLE, MD",United States of America,39.61236,-77.23744,266.9608884014904
camels_01644000,"GOOSE CREEK NEAR LEESBURG, VA",United States of America,39.01955,-77.57749,858.8115964401188
camels_01664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",United States of America,38.53068,-77.8136,1603.511552246232
camels_01666500,"ROBINSON RIVER NEAR LOCUST DALE, VA",United States of America,38.32513,-78.09556,465.63800808525497
camels_01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",United States of America,38.35041,-77.975,1209.9189442442723
camels_01669520,"DRAGON SWAMP AT MASCOT, VA",United States of America,37.63375,-76.69635,277.31652258059023
camels_02011400,"JACKSON RIVER NEAR BACOVA, VA",United States of America,38.04235,-79.88144,409.81092732410207
camels_02011460,"BACK CREEK NEAR SUNRISE, VA",United States of America,38.2454,-79.76866,235.3075158235496
camels_02013000,"DUNLAP CREEK NEAR COVINGTON, VA",United States of America,37.8029,-80.047,436.0761479531383
camels_02014000,"POTTS CREEK NEAR COVINGTON, VA",United States of America,37.72901,-80.04228,396.9886817364013
camels_02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",United States of America,38.1954,-79.57032,286.377206711085
camels_02016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",United States of America,37.7918,-79.75949,1193.9665626251322
camels_02017500,"JOHNS CREEK AT NEW CASTLE, VA",United States of America,37.50624,-80.10671,285.2584061790841
camels_02018000,"CRAIG CREEK AT PARR, VA",United States of America,37.66596,-79.91144,851.702188085878
camels_02027000,"TYE RIVER NEAR LOVINGSTON, VA",United States of America,37.71542,-78.98169,241.3288601362962
camels_02027500,"PINEY RIVER AT PINEY RIVER, VA",United States of America,37.70236,-79.02752,127.91280687579092
camels_02028500,"ROCKFISH RIVER NEAR GREENFIELD, VA",United States of America,37.86959,-78.82335,246.2660867611635
camels_02046000,"STONY CREEK NEAR DINWIDDIE, VA",United States of America,37.06709,-77.60249,290.9140450533884
camels_02051000,"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA",United States of America,36.99737,-78.34972,144.77947681539155
camels_02051500,"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA",United States of America,36.71681,-77.83166,1431.7751313831347
camels_02053200,"POTECASI CREEK NEAR UNION, NC",United States of America,36.37083,-77.02556,581.3053451495236
camels_02053800,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",United States of America,37.14013,-80.26643,288.2974137844979
camels_02056900,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",United States of America,37.04514,-79.8442,299.1927680597534
camels_02059500,"GOOSE CREEK NEAR HUDDLESTON, VA",United States of America,37.1732,-79.52031,486.233295296614
camels_02064000,"FALLING RIVER NEAR NARUNA, VA",United States of America,37.12681,-78.95974,427.7065486567371
camels_02065500,"CUB CREEK AT PHENIX, VA",United States of America,37.07931,-78.76362,252.68247264705124
camels_02069700,"SOUTH MAYO RIVER NEAR NETTLERIDGE, VA",United States of America,36.57097,-80.12949,228.8032587088545
camels_02070000,"NORTH MAYO RIVER NEAR SPENCER, VA",United States of America,36.56819,-79.98726,278.8594483823663
camels_02074500,"SANDY RIVER NEAR DANVILLE, VA",United States of America,36.61958,-79.50419,288.7365980354291
camels_02077200,"HYCO CREEK NEAR LEASBURG, NC",United States of America,36.39778,-79.19667,126.35635295340413
camels_02081500,"TAR RIVER NEAR TAR RIVER, NC",United States of America,36.19417,-78.58306,432.9701566804801
camels_02082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC",United States of America,36.18333,-77.87611,461.3815003788304
camels_02092500,"TRENT RIVER NEAR TRENTON, NC",United States of America,35.06417,-77.46139,435.0607834710876
camels_02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",United States of America,34.82889,-77.83222,1567.0008316036333
