gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsbr_17345000,base do cachimbo,Brazil,-9.358889,-54.903889,495.2821467341644
camelsbr_17350000,cachimbo,Brazil,-9.817222,-54.885833,1015.5372092333592
camelsbr_21750000,lavandeira,Brazil,-12.793611,-46.512222,1081.41193376628
camelsbr_24780000,piranhas,Brazil,-16.430556,-51.816389,1338.249999766702
camelsbr_25100000,balneario cachoeira grande,Brazil,-15.922222,-50.171667,233.0401754244542
camelsbr_27550000,arapoema,Brazil,-7.613611,-49.045278,1205.0096554002466
camelsbr_28150000,muricilandia,Brazil,-7.146389,-48.610833,1591.9935216853287
camelsbr_32400000,sete ilhas,Brazil,-1.8581,-46.7089,1785.5064818725311
camelsbr_33270000,flores,Brazil,-5.419444,-44.927778,1337.3141547070047
camelsbr_34730000,croata,Brazil,-4.415556,-40.910833,1015.5702525948324
camelsbr_35240000,trapia,Brazil,-4.195,-40.317778,1548.666562830688
camelsbr_35263000,ararius,Brazil,-3.891944,-40.6025,587.5588058492219
camelsbr_35740000,barra nova,Brazil,-4.193333,-38.779722,221.7430851459899
camelsbr_35830000,caio prado,Brazil,-4.657778,-38.943333,1636.7185080263869
camelsbr_36210000,sitio lapinha,Brazil,-7.222222,-39.143889,1281.2786422943063
camelsbr_37220000,varzea grande,Brazil,-6.919167,-38.380833,1110.428228659758
camelsbr_39084010,nazare da mata,Brazil,-7.754167,-35.233056,690.2407602340882
camelsbr_39084020,engenho itapissirica,Brazil,-7.613056,-35.064722,1241.4810428832004
camelsbr_39100000,santa cruz do capibaribe,Brazil,-7.961944,-36.202222,1569.1422045214365
camelsbr_39170000,vitoria de santo antao,Brazil,-8.113611,-35.283889,267.5243579897075
camelsbr_39480000,engenho mato grosso,Brazil,-8.6375,-35.305556,1320.668378568623
camelsbr_39580000,jacuipe,Brazil,-8.841111,-35.446944,747.5019383497659
camelsbr_40025000,vargem bonita,Brazil,-20.327222,-46.366111,311.83089356890605
camelsbr_40037000,fazenda da barra,Brazil,-20.215556,-46.232222,773.1176180764018
camelsbr_40040000,fazenda ajudas,Brazil,-20.095833,-46.064167,245.39007398303613
camelsbr_40053000,calciolandia,Brazil,-20.237222,-45.659722,302.1877808986561
camelsbr_40060001,tapirai jusante,Brazil,-19.888056,-46.018056,572.9274740784965
camelsbr_40170000,marilandia (ponte br-494),Brazil,-20.216111,-44.918333,1067.7553513288956
camelsbr_40185000,pari,Brazil,-20.184722,-44.893333,1955.06773767854
camelsbr_40500000,martinho campos,Brazil,-19.331667,-45.221389,784.2766166395531
camelsbr_40549998,sao bras do suacui montante,Brazil,-20.603889,-43.908611,464.0336698828175
camelsbr_40579995,congonhas linigrafo,Brazil,-20.518611,-43.835556,575.9150677768149
camelsbr_40680000,entre rios de minas,Brazil,-20.661111,-44.072222,498.517857276026
camelsbr_40811100,jardim,Brazil,-20.0475,-44.408889,111.24043963462849
camelsbr_40822995,mateus leme aldeia,Brazil,-19.969444,-44.421944,116.74918089625368
camelsbr_40823500,suzana,Brazil,-19.961389,-44.366111,167.10494465259046
camelsbr_40975000,fazenda sao felix,Brazil,-18.467222,-45.645833,969.5793202225028
camelsbr_41050000,major porto,Brazil,-18.706389,-46.039722,1195.0860365873527
camelsbr_41199998,honorio bicalho montante,Brazil,-20.024722,-43.823889,1542.1998724977009
camelsbr_41300000,taquaracu,Brazil,-19.653611,-43.6875,625.1123877546579
camelsbr_41380000,ponte preta,Brazil,-19.461944,-43.903611,562.7008281765275
camelsbr_41440005,represa jusante,Brazil,-19.371389,-44.152778,242.56011060355252
