gauge_id,sgr_dk_sav,glc_pc_s06,glc_pc_s07,nli_ix_sav,glc_pc_s04,glc_pc_s05,glc_pc_s02,rev_mc_usu,glc_pc_s03,glc_pc_s01,pet_mm_syr,dor_pc_pva,glc_pc_s08,glc_pc_s09,swc_pc_s09,ele_mt_smx,tbi_cl_smj,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,crp_pc_sse,glc_pc_s22,glc_pc_s20,glc_pc_s21,wet_pc_sg1,wet_pc_sg2,pac_pc_sse,swc_pc_s10,swc_pc_s11,swc_pc_s12,clz_cl_smj,gwt_cm_sav,glc_pc_s17,glc_pc_s18,hft_ix_s93,glc_pc_s15,ire_pc_sse,glc_pc_s16,glc_pc_s13,prm_pc_sse,glc_pc_s14,glc_pc_s11,glc_pc_s12,glc_pc_s10,kar_pc_sse,slp_dg_sav,glc_pc_s19,tmp_dc_s07,tmp_dc_s08,tmp_dc_s05,tmp_dc_s06,tmp_dc_s09,for_pc_sse,aet_mm_s06,aet_mm_s05,aet_mm_s08,aet_mm_s07,aet_mm_s09,tmp_dc_s10,tmp_dc_s11,aet_mm_s02,aet_mm_s01,tmp_dc_s12,aet_mm_s04,aet_mm_s03,lit_cl_smj,tmp_dc_s03,tmp_dc_s04,tmp_dc_s01,tmp_dc_s02,cls_cl_smj,pre_mm_syr,pnv_pc_s01,pnv_pc_s04,pnv_pc_s05,pnv_pc_s02,rdd_mk_sav,ele_mt_smn,pnv_pc_s03,pnv_pc_s08,pnv_pc_s09,pnv_pc_s06,pnv_pc_s07,wet_cl_smj,snw_pc_syr,pnv_pc_s11,pnv_pc_s12,pnv_pc_s10,pnv_pc_s15,pnv_pc_s13,pnv_pc_s14,cmi_ix_syr,pet_mm_s11,pet_mm_s12,pet_mm_s10,tmp_dc_smn,wet_pc_s08,wet_pc_s09,slt_pc_sav,wet_pc_s02,wet_pc_s03,wet_pc_s01,hdi_ix_sav,wet_pc_s06,wet_pc_s07,wet_pc_s04,wet_pc_s05,fec_cl_smj,glc_cl_smj,swc_pc_syr,hft_ix_s09,soc_th_sav,gdp_ud_sav,dis_m3_pyr,gdp_ud_ssu,tmp_dc_smx,cly_pc_sav,pet_mm_s02,pet_mm_s03,pet_mm_s01,riv_tc_usu,snw_pc_smx,ppd_pk_sav,pet_mm_s08,aet_mm_s11,pet_mm_s09,aet_mm_s10,pet_mm_s06,pet_mm_s07,aet_mm_s12,pet_mm_s04,pet_mm_s05,inu_pc_slt,ero_kh_sav,aet_mm_syr,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,ari_ix_sav,tmp_dc_syr,tec_cl_smj,ria_ha_usu,lkv_mc_usu,fmh_cl_smj,inu_pc_smn,pnv_cl_smj,pre_mm_s08,pre_mm_s09,run_mm_syr,pre_mm_s06,pre_mm_s07,pre_mm_s04,pre_mm_s05,snd_pc_sav,pre_mm_s02,pre_mm_s03,ele_mt_sav,pre_mm_s01,urb_pc_sse,lka_pc_sse,pre_mm_s10,dis_m3_pmx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,gla_pc_sse,snw_pc_s07,snw_pc_s08,snw_pc_s09,dis_m3_pmn,inu_pc_smx,pre_mm_s11,pre_mm_s12,cmi_ix_s07,cmi_ix_s08,cmi_ix_s05,cmi_ix_s06,cmi_ix_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,cmi_ix_s03,cmi_ix_s04,cmi_ix_s01,cmi_ix_s02,pst_pc_sse,area_fraction_used_for_aggregation,pop_ct_usu
camelsgb_10002,38.78552878300415,0.0,0.0,1958.151953177428,0.5777249745236908,0.0,0.0,0,0.0,0.0,548.0166187728136,0,0.0,0.0,78.0,193.4094607636568,4,100.0,100.0,100.0,99.0,94.0,84.88445500509526,76.88445500509526,74.37614561868844,47.50581184541461,0.0,0.0,0.0,0.1155449949047381,0.1155449949047381,1.7356724645632695,88.37614561868845,97.37614561868844,100.0,7,186.87349016609755,0.0,0.0,218.13721954698187,0.0,0.0,21.583467671628185,72.71037049778278,0.0,0.0,0.0,4.752291237376896,0.0,0.0,20.46840443226417,0.0,142.2606006237837,137.37614561868844,94.60723560849792,124.60723560849792,117.3466349847142,0.5777249745236908,82.0,74.0,59.88445500509526,76.76891001019052,38.0,91.0,57.11554499490473,12.115544994904738,5.999999999999999,41.8383255983074,52.0,30.11554499490473,8,49.46217997961895,68.34663498471421,29.260600623783706,31.34663498471421,47,828.679148737607,0.0,0.0,100.0,0.0,681.1348203300852,20.672481329091607,0.0,0.0,0.0,0.0,0.0,13,20.132163767718364,0.0,0.0,0.0,0.0,0.0,0.0,33.88445500509526,9.0,5.0,24.50830938640681,29.260600623783706,0.1155449949047381,0.0,34.13216376771836,0.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,402,13,91.0,182.92770461229992,119.06367289101236,38132.99999999999,4.357,207661569.08229268,142.2606006237837,14.508309386406816,12.115544994904738,30.11554499490473,5.999999999999999,145.251,70.85867128277405,51.78282104095051,80.88445500509525,9.0,48.62385438131155,21.0,98.0,99.88445500509526,5.0,53.00000000000001,80.0,1.0,185.61875980237744,467.3927643915021,70.49169061359319,89.49169061359318,94.0,151.26060062378372,82.11554499490474,651,50.047,0,5,0.0,5,74.2606006237837,74.0,534.8740606849268,54.88445500509526,67.76891001019052,53.99999999999999,56.39276439150208,51.73567246456327,58.37614561868845,60.37614561868845,87.84287772442163,79.37614561868844,0.693269969428429,0.0,82.37614561868844,6.128,47.00372691165302,34.409383164315706,18.80214755581778,5.392764391502075,2.73939937621629,4.768910010190524,0.0,2.115544994904738,0.8844550050952618,4.768910010190524,2.191,0.0,86.37614561868844,80.49169061359318,-32.23108998980948,-8.115544994904738,-29.115544994904734,-44.11554499490474,34.37614561868845,14.148782540531991,37.396491303155095,70.85867128277405,49.88445500509526,2.26060062378371,92.0,78.37614561868845,52.87033377327383,0.9649410567132348,18.804
camelsgb_10003,60.683795884348335,0.0,0.0,1396.060670904471,0.0,0.0,0.0,0,0.0,0.0,551.695235822184,0,0.0,0.0,77.51027334592308,248.14043141484348,4,100.0,100.0,100.0,98.0,93.22234480193823,84.22234480193822,76.51027334592308,73.88697207002335,63.993226228421726,0.0,0.0,0.0,0.0,0.0,0.2223448019382257,87.39724541594643,96.88697207002336,100.0,7,192.1406549557984,0.0,0.0,194.70312302271253,0.0,0.0,40.74347957637981,54.80137789580207,0.0,0.0,0.0,4.45514252781812,0.0,0.0,26.25468024366321,0.0,139.20179811009208,135.91386956610725,92.20179811009208,123.20179811009208,115.69152476416905,0.0,82.11302792997664,74.48972665407693,60.0,76.59904352603851,38.0,89.97945330815386,52.91386956610725,12.48972665407693,6.0,37.913869566107245,52.489726654076925,30.48972665407693,8,46.40359622018418,65.31482604006872,28.088770180115446,28.403596220184173,47,807.2781311958769,0.0,0.0,86.88645446079046,0.0,483.1143664962973,26.425795644358928,0.0,0.0,0.0,0.0,13.113545539209555,13,20.777655198061776,0.0,0.0,0.0,0.0,0.0,0.0,31.88697207002336,9.0,5.0,25.0,27.800841636130603,0.0,0.0,34.62724494240791,0.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,402,13,90.88697207002336,163.83501591777403,92.37952882917035,38133.0,9.943,170189414.64137536,139.20179811009208,12.380642390608497,12.48972665407693,30.48972665407693,6.0,321.506,71.29427934822259,36.55634393065339,81.48972665407693,9.0,49.11302792997664,21.000000000000004,99.0,101.0,5.0,53.48972665407694,80.11302792997665,0.0,467.1343295233417,468.3148260400688,68.71207145601515,89.0,93.22234480193823,146.21863374392316,79.69152476416902,651,90.015,0,5,0.0,5,74.68517395993126,71.88697207002336,555.715940967226,54.51027334592307,68.39724541594643,52.71207145601515,57.0,53.59115619302212,55.599043526038514,58.10931687196159,107.11032125983836,76.82138832797675,1.4693630896963354,0.0,79.71207145601515,14.37,48.13357462182277,34.637729772001244,24.907518761869497,4.37669872410029,3.0,3.5846150299369777,0.0,2.551599338108492,0.6233012758997102,2.7363292058763515,4.634,0.0,81.82138832797673,76.59904352603851,-32.48972665407693,-8.917580624122301,-29.48972665407693,-44.48972665407693,31.99628894198494,16.236773298039765,35.760819564230694,71.29427934822259,47.99628894198494,-1.353512286031461,92.0,77.51027334592308,36.37976143766351,0.9806142519118238,22.942
camelsgb_1001,46.0,0.0,0.0,389.0,4.0,0.0,0.0,0,0.0,0.0,499.0,0,0.0,0.0,82.0,220.0,4,100.0,100.0,100.0,98.0,93.0,85.0,78.0,77.0,14.0,0.0,2.0,0.0,4.0,1.0,25.0,93.0,100.0,100.0,7,105.0,0.0,0.0,125.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,45.0,0.0,0.0,15.0,0.0,127.0,120.0,81.0,112.0,107.0,4.0,76.0,69.0,54.99999999999999,71.0,36.0,81.0,54.0,11.0,5.0,36.0,48.0,28.0,9,42.0,58.00000000000001,27.0,25.0,47,827.0,0.0,0.0,0.0,0.0,402.0,15.0,0.0,0.0,0.0,100.0,0.0,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,4.0,22.0,25.0,1.0,0.0,29.000000000000004,0.0,0.0,3.0,919.0,0.0,0.0,0.0,0.0,402,13,92.0,106.0,215.0,38133.0,3.224,39882200.0,127.0,15.0,11.0,28.0,5.0,46.803,75.0,6.218,72.0,8.0,44.0,20.0,91.0,91.0,4.0,49.0,74.0,3.0,58.00000000000001,431.0,73.0,91.0,95.0,166.0,73.0,672,22.013,4,5,2.0,6,77.0,78.0,636.0,53.0,63.0,48.0,49.0,56.0,58.00000000000001,64.0,82.0,81.0,0.0,31.000000000000004,82.0,4.919,58.00000000000001,36.0,24.0,6.0,3.0,2.0,0.0,1.0,4.0,7.0,1.466,3.0,91.0,84.0,-31.000000000000004,5.0,-33.0,-41.0,44.0,19.0,48.0,75.0,56.0,-3.0,94.0,81.0,68.0,0.9556751423115736,0.93
camelsgb_11001,79.22274198989929,0.0,0.0,1558.519360645923,6.9950812623208165,0.0,0.0,0,0.0,0.0,541.8743470505385,0,0.0,0.0,80.63742577791952,535.1828985998695,5,100.0,100.0,100.0,98.53750327106688,94.33223235337093,86.08673998152418,78.56718475301575,76.39852215032775,23.8898101594722,0.9695667619044802,0.0,0.0,0.6612541940614981,0.6612541940614981,22.45569264971329,89.76915755649209,97.64508093546928,100.0,7,352.33137332073585,0.0,0.0,187.49251559759637,0.0,0.0,9.768589281519736,73.22110784257305,0.0,0.0,0.0,9.07693297915273,0.0,0.2185434228656402,58.4498785783673,0.0,130.50804609458993,127.54397025158254,83.73138642448569,116.60634438148976,107.11632153480966,7.104352973753637,83.642180283669,74.10068388493502,61.33223235337091,77.66749581364226,38.646774982499686,79.89193385316034,42.13532015351477,12.001066413294794,6.131058955870184,25.848278815415355,50.77171120850629,29.354291430795115,8,36.56048024294928,54.84962969052251,16.24136978688428,15.731375500402809,47,847.5039085899912,0.0,0.0,13.86145583497248,0.0,571.8077796800826,125.02866095295408,0.0,23.98940519313053,0.0,3.482147679011921,58.66699129288507,13,24.40099226962903,0.0,0.0,0.0,0.0,0.0,0.0,35.29050782335262,8.778400944082923,4.778400944082925,24.353225017500318,15.46925758866244,0.6612541940614981,0.0,30.477626261981307,0.0,0.0,0.0,922.7738062452524,0.0,0.0,0.0,0.0,402,13,91.75281358112284,151.65569480772777,141.25621502206917,38133.0,25.105,501413435.6597438,130.50804609458993,10.69674438411606,12.001066413294794,29.354291430795115,6.131058955870184,1559.391,68.87890007781253,82.1896073046942,80.34158155795109,8.778400944082923,48.00069358898628,21.574839910565498,97.90629844991236,99.45390890243534,4.778400944082925,51.7717112085063,79.22925421346683,10.58385032603376,357.272068065884,468.3757823160946,70.30833903744126,89.23430892876111,93.90876631096684,157.2331853080999,69.74226986917745,691,277.656,0,5,2.314004114524281,7,78.65433675900182,74.54933770177902,598.705430391876,58.54581926457784,69.31989530483538,53.79205600509871,60.06744136442519,58.82562935390263,59.52544438584935,62.62336781045916,262.86563467491953,83.23384569486056,2.484081933872924,0.0,82.51627371649039,35.41,53.979802147322665,47.35712239379745,34.93186076203797,6.278664747089602,3.448074168153888,2.572744873819531,0.0,3.5075953369606605,1.993621274297693,4.607338594883712,11.749,2.8824619814630594,83.01079273453313,81.37588139318814,-30.24328530903276,-2.6016584228749737,-23.715826111475227,-40.22942022946433,34.95272638392426,21.408773514926203,42.72211786726936,68.5449736774112,52.26756418577924,3.151879606074316,92.62804337111376,79.5305209362195,46.31070211977868,0.9839584400884936,126.255
camelsgb_11003,110.87156028201504,0.0,0.0,383.4828066924485,12.012723526919054,0.0,0.0,0,0.0,0.0,527.7293418351722,0,0.0,0.0,84.5882936719186,741.5947636191005,5,100.0,100.0,100.0,99.28244696563688,95.63421506879,88.47387258025746,81.23652556876546,79.74863616045117,6.514223537283044,0.0,0.0,0.0,1.4122348281843375,1.4122348281843375,56.32635791131511,93.54319371777372,99.35176810315316,100.0,7,409.5143834174543,0.0,0.0,125.83244492962103,0.0,0.0,0.2747635801937028,77.20421657221074,0.0,0.0,0.0,10.470879751974817,0.0,0.5495271603874056,83.56413092850592,0.0,123.77749125929138,120.2202807134608,76.09817623635651,110.7774912592914,99.09817623635652,12.287487107112758,84.55721054583057,73.44278945416944,62.63421506879002,78.83965751146744,39.55721054583057,71.30361867903393,33.58606564467079,11.44278945416943,6.0,15.669403610243892,48.80857438537941,27.88557890833886,8,27.586065644670786,45.74640813320335,5.906750621735907,4.669403610243892,38,913.2118346366116,0.0,0.0,0.0,0.0,226.44784831865448,223.8918524247113,0.0,60.20566975351967,0.0,8.755855934742891,31.03847431173744,8,27.716731591636567,0.0,0.0,0.0,0.0,0.0,0.0,41.29951326366808,8.44278945416943,4.4427894541694295,23.442789454169432,4.669403610243892,1.4122348281843375,0.0,29.37211837382364,0.0,0.0,0.0,922.4427894541697,0.0,0.0,0.0,0.0,402,13,93.63421506879004,82.29294965775345,180.63862558193517,38133.00000000001,10.593,26187916.371989723,123.77749125929138,10.845990954081095,11.44278945416943,27.88557890833886,6.0,373.164,69.5495271603874,5.83746584114588,78.60313194270199,8.44278945416943,46.603131942702,22.000000000000004,96.36578493121,97.88557890833889,4.4427894541694295,49.80857438537941,77.32068497706513,19.947167522527423,483.2181343822913,467.6482318968469,73.03108312608803,89.83965751146744,94.83965751146744,173.9117351763345,61.30361867903392,691,94.396,0,5,4.51915145018988,8,83.3828512292412,79.5049557063455,623.1792872294963,62.588293671918606,71.19142561462061,56.588293671918606,63.87074063755548,59.78189067209527,65.9018237636435,69.6963813209661,409.9059251510073,92.73514783249728,0.0,0.0,88.18427072928037,15.281,61.79543564174089,56.70189332085317,43.1446827750226,8.869390694725961,3.762652988507985,1.365784931209977,0.0,5.6171487707588135,2.725236419806297,6.114421091661141,5.186,5.038945427318762,88.42161774077238,91.2153538553684,-26.96891687391197,5.13148738969235,-17.098176236356505,-34.77749125929138,40.7797192865392,26.913669206144245,46.80693149992627,68.70986964891996,59.062166252176056,11.298691820941508,93.83965751146744,82.47387258025746,30.630296505109666,0.9739499404927644,3.387
camelsgb_11004,73.39956850101888,0.0,0.0,1400.2849382562397,6.751043989047382,0.0,0.0,0,0.0,0.0,546.3200862997962,0,0.0,0.0,78.92886971115641,495.1128898507389,4,100.0,100.0,100.0,98.0,93.96443485557822,84.96443485557819,77.9288697111564,74.9288697111564,34.92469375496687,0.0711302888436051,0.0,0.0,0.0,0.0,0.0,88.89330456673459,96.9644348555782,100.0,7,368.3095768925116,0.0,0.0,189.34729953183896,0.0,0.0,16.280345199184893,68.11087138945494,0.0,0.0,0.0,7.85773942231279,0.0,0.0,46.35982740040755,0.0,133.17782572210902,130.17782572210902,87.17782572210902,119.1422605776872,111.1422605776872,6.751043989047382,83.0,74.03556514442181,60.9644348555782,76.9644348555782,38.0,84.17782572210902,46.177825722109006,12.0355651444218,6.000000000000001,31.177825722109013,51.0711302888436,30.0355651444218,8,40.213390866530816,58.213390866530816,21.21339086653082,20.248956010952615,47,817.9686108117678,0.0,0.0,1.2092149103412877,0.0,450.4394486352518,85.82635023408052,0.0,0.0,0.0,0.0,98.79078508965873,13,22.893304566734592,0.0,0.0,0.0,0.0,0.0,0.0,32.89330456673459,9.0,5.0,25.000000000000004,20.248956010952615,0.0,0.0,32.17782572210901,0.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,402,13,90.9644348555782,149.0230372758532,113.89748052292414,38133.0,3.537,197596167.66218776,133.17782572210902,11.177825722109016,12.0355651444218,30.0355651444218,6.000000000000001,62.481,66.14226057768721,30.486393895585245,81.03556514442181,9.0,48.03556514442181,21.9644348555782,98.0355651444218,100.0355651444218,5.0,52.071130288843605,80.03556514442181,0.1066954332654077,305.8912861054506,468.0,68.9644348555782,89.0,93.96443485557822,149.71547884462558,73.21339086653082,651,26.371,0,5,0.0711302888436051,7,77.85773942231279,72.89330456673459,589.3242622559858,56.893304566734585,68.9644348555782,51.9644348555782,57.9644348555782,56.64434855578197,56.893304566734585,59.85773942231278,208.51461584666336,77.8933045667346,0.2133908665308154,0.0,78.9644348555782,4.993,47.964434855578205,44.71547884462558,31.85773942231279,4.964434855578197,4.893304566734592,3.0355651444218026,0.0,2.0,1.9644348555781972,3.8933045667345927,1.697,0.0711302888436051,80.9288697111564,76.85773942231279,-31.071130288843605,-4.213390866530816,-27.106695433265404,-42.14226057768721,32.89330456673459,18.751043989047385,37.89330456673459,66.14226057768721,49.8577394223128,-0.1778257221090128,92.0,78.92886971115641,61.21756682272034,0.9737101449404848,5.053
camelsgb_12001,156.59523274028845,0.0480911079375572,0.0,362.55779071277743,8.759608290867794,0.0,0.0,0,0.0,0.0,519.8561438076894,0,0.0,0.0,87.53054701073086,1032.7541834901433,5,99.99999999999996,99.99999999999996,99.99999999999996,99.44804612281024,96.57085408559672,90.33944423163535,83.65239104055642,82.12448271733547,2.7596351616754573,0.0,0.0777773753289635,0.0,20.22871502928091,19.903016175650905,84.22130026700542,94.88054832398689,99.2276120155123,99.99999999999996,7,419.5054118489331,0.0,0.0,96.6579709668098,0.0,0.0,1.1616390085675108,35.80174800963151,0.0,0.0,0.0,54.07422253117963,0.0,19.09365301737709,98.49376292264222,0.0,121.68417147508046,116.48548625985892,69.82475441799372,107.43601475281866,92.57625760311164,8.807699398805353,85.41711547942936,72.87904171329644,63.95902361885109,80.74649077246767,40.10874194277536,63.66143992385989,26.616298660598112,10.962017410229931,5.474520344695532,7.042985046763451,47.53752923616254,27.25198378910753,8,21.132245489028296,39.29407226326939,-3.36290382638176,-3.4273327809630607,38,1020.8759740641232,0.0,0.0,0.0,0.0,179.93697539953297,236.74318642230605,0.0,48.94406500049486,0.0,32.618425795826504,18.27174931873274,8,29.131199563119605,0.0,0.0,0.0,0.0,0.0,0.0,46.78619209736041,8.308760459749651,4.308760459749652,22.94322332935788,-3.915201546406253,19.903016175650905,0.0,25.13106159277257,0.0,0.0,0.2503237888522341,921.9692004116356,0.0,0.0,0.0,0.0,402,12,94.3823961537948,60.96287027305184,238.70723180206568,38133.0,29.399,40588936.33390959,121.68417147508046,7.499132725358723,10.962017410229931,27.25198378910753,5.474520344695532,1739.92,72.13296112006734,7.197341438009554,78.01112403497777,8.255372481224247,45.80428150913202,21.82633885413958,95.5683813096095,97.45759567729904,4.308760459749652,47.91910751663391,75.77091463113442,15.50695567722451,1528.321017545376,468.5318291930819,75.91585776438383,91.27349586619692,95.65178859752622,199.0247833662888,54.90101356637898,691,300.873,48,5,0.2255905492138933,8,87.38734096524436,87.79641453259116,665.9730970086886,67.0696030243007,73.86946437458157,62.32319521796276,69.32050956136517,67.1150330931889,76.22349581949439,81.96186628275579,513.4707298809603,109.6905633611268,0.0480911079375572,2.5715993644065347,99.91163544083092,43.595,67.69599637644446,61.35909347148153,50.67488768391167,9.809848155271888,3.943205438498622,1.7888998379409615,0.0,3.218591514423549,3.0410050637521797,5.131828838272655,14.614,1.7388161829710709,98.6320157136799,106.78041826877964,-24.16841208765351,9.515224208998564,-8.44216974380207,-29.33896895495637,46.36047774865389,27.646443494363567,47.895708397023135,67.40085586512684,64.1668871392409,19.36270531913419,94.6517885975262,84.7718759739067,13.847535462062774,0.9867147889940904,8.597
camelsgb_12002,145.67078668545508,0.2020319295051756,0.0,510.2479010967056,10.765319039680652,0.0,0.0,0,0.0,0.0,527.1817897601798,0,0.0,0.0,85.38626879822519,927.0059586621768,5,100.0,100.0,100.0,99.22127224484392,95.95032784519738,89.16535853262998,82.1533997891762,80.44315077296365,4.569403445196383,0.0,0.0585303647708677,0.0,15.963886265002598,15.718785776232073,63.45352267949118,93.14458348037914,98.6269509826047,100.0,7,430.782125972184,0.0,0.0,112.26935993020416,0.0,0.0,1.121198267637853,41.56888548342174,0.0,0.0,0.0,46.21050921814332,0.0,16.43326032638597,90.04485277746036,0.0,124.00711305991136,119.28557103985273,73.46612028154802,110.0682698429092,96.40926609863054,11.098454284507032,84.95053294168908,73.27233634962406,63.242439841497344,79.83503813311252,39.718470397669,67.77165646294449,30.438938062494053,11.283953986340222,5.669631486687046,11.618323065864049,48.50980079153004,27.865526414812184,8,25.074670065783625,43.69137641566163,1.5603394527059105,1.3798494435176627,38,972.4572449669388,0.0,0.0,1.17134012912571,0.0,232.0244116220097,191.1246126161844,0.0,36.85570884169034,0.0,24.54657735628487,37.30163320063162,8,28.190521755309945,0.0,0.0,0.0,0.0,0.0,0.0,43.2914860820506,8.47981656280148,4.47981656280148,23.32063540039261,0.9623265044841864,15.718785776232073,0.0,24.83686317958464,0.0,0.0,0.1883779519478184,922.0922608555858,0.0,0.0,0.0,0.0,402,12,93.561043404544,77.1193254281493,231.9048151850964,38133.00000000001,39.408,69090483.04162605,124.00711305991136,7.340896980182461,11.283953986340222,27.865526414812184,5.669631486687046,2931.715,71.66732438127575,11.72674094270224,78.80016961045636,8.439199033275987,46.528613814652005,21.75341442549623,96.40191480779342,98.2672594253783,4.47981656280148,49.10948992160518,76.80179150218761,13.289074121921033,1197.549171447334,468.9232389851841,74.10466586287534,90.594991001737,95.12713318238929,187.1227720731491,58.65409811941269,691,443.075,48,5,0.2861054720187037,8,84.7185007869743,83.98566780831305,650.4345948737257,64.65992365019,72.36713910460263,59.99611430692792,66.97984345714086,67.63049467353197,71.63118242160087,76.88898721858538,447.7071748450786,102.65572843262714,0.3321808327413656,1.935224070067007,95.03171911309902,56.954,65.0952077215367,58.58226522780989,46.50178657744639,8.934001995566899,3.891303346551826,1.9062137361948064,0.0,2.9059505528801286,2.718339865218751,5.673969353553204,18.977,2.0204123515396195,93.8721195372911,99.72378868125794,-26.140625404963476,5.725112235257261,-12.426575455647525,-32.37426585398594,42.84001690181563,26.334602515899967,47.784246924657545,68.10577893487151,60.82543609065105,14.583521668231958,94.06205873077118,83.17870260902323,21.65148144489845,0.987038205372242,22.956
camelsgb_12005,236.0,0.0,0.0,152.0,0.0,0.0,0.0,0,0.0,0.0,514.0,0,0.0,0.0,89.0,1085.0,5,100.0,100.0,100.0,100.0,97.0,91.0,85.0,84.00000000000001,0.0,0.0,1.0,0.0,21.000000000000004,19.0,100.0,96.0,100.0,100.0,7,416.0,0.0,0.0,114.0,0.0,0.0,0.0,15.000000000000002,0.0,0.0,0.0,84.00000000000001,0.0,0.0,96.0,0.0,116.0,111.0,67.0,103.0,89.0,0.0,86.0,73.0,64.0,81.0,41.0,61.0,23.0,11.0,5.0,4.0,47.0,27.0,8,17.0,37.0,-6.0,-7.0,38,1040.0,0.0,0.0,0.0,0.0,106.0,206.0,0.0,13.0,0.0,73.0,14.0,8,30.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,49.0,8.0,4.0,23.0,-7.0,19.0,0.0,23.0,0.0,0.0,2.0,920.0,0.0,0.0,0.0,0.0,402,12,95.0,81.0,354.99999999999994,38133.0,2.316,4928607.0,116.0,11.0,11.0,27.0,5.0,44.662,72.0,1.085,77.0,8.0,46.0,22.0,95.0,96.0,4.0,48.0,75.0,0.0,1076.0,469.0,77.0,92.0,96.0,204.0,51.0,691,17.077,41,5,0.0,6,89.0,89.0,658.0,69.0,75.0,65.0,71.0,66.0,78.0,84.00000000000001,584.0,112.0,0.0,20.0,101.0,3.433,70.0,59.0,53.0,11.0,4.0,1.0,0.0,4.0,4.0,7.0,1.155,0.0,100.0,109.0,-22.0,12.0,-5.0,-27.0,48.0,27.0,51.0,70.0,67.0,24.0,95.0,86.0,6.0,0.9409356499472724,0.119
camelsgb_12006,140.228338486031,0.0,0.0,63.87847704029121,0.438692316439643,0.0,0.0,0,0.0,0.0,512.3948230847957,0,0.0,0.0,88.91226153671208,1107.5792923391828,5,100.0,100.0,100.0,99.95613076835603,97.0,90.95613076835603,84.91226153671207,83.86839230506811,0.0,0.0,0.0,0.0,11.561307683560356,11.561307683560356,100.0,96.91226153671208,100.0,100.0,7,407.9561307683561,0.0,0.0,76.31607694931893,0.0,0.0,1.0,51.5174384519164,0.0,0.0,0.0,46.08773846328793,0.0,14.131607694931892,99.78065384178018,0.0,118.13160769493189,113.08773846328792,67.17547692657585,104.17547692657584,90.13160769493189,0.438692316439643,84.99999999999999,73.0,63.95613076835604,80.95613076835602,40.0,61.13160769493189,24.13160769493189,11.0,5.043869231643964,5.131607694931893,47.04386923164396,27.0,8,18.13160769493189,36.175476926575854,-5.868392305068106,-5.912261536712071,38,1023.5084461241051,0.0,0.0,0.0,0.0,144.62316157082668,241.0348769038328,0.0,31.68392305068107,0.0,62.83351540123533,5.438692316439643,8,28.956130768356036,0.0,0.0,0.0,0.0,0.0,0.0,48.868392305068106,8.0,4.0,23.0,-5.912261536712071,11.561307683560356,0.0,23.956130768356036,0.0,0.0,0.0,922.043869231644,0.0,0.0,0.0,0.0,402,13,94.95613076835603,39.65803847465947,228.5264307797276,38133.0,18.802,3813100.479366597,118.13160769493189,6.956130768356036,11.0,27.0,5.043869231643964,728.997,69.82452307342413,0.6602280854175152,77.04386923164397,8.0,45.04386923164396,22.0,94.08773846328792,96.04386923164397,4.0,47.04386923164396,75.04386923164397,0.7019077063034289,985.9280613775104,467.043869231644,76.95613076835603,91.95613076835603,96.0,201.5613076835604,52.13160769493189,691,166.041,4,5,0.0,6,87.8683923050681,87.91226153671207,652.5264307797277,67.8683923050681,73.8683923050681,62.8683923050681,69.91226153671207,69.08773846328793,76.86839230506811,81.8683923050681,562.3239768697182,109.86839230506811,0.0,1.9122615367120717,99.86839230506811,28.573,68.78065384178018,62.78065384178017,51.78065384178018,9.956130768356036,4.0,2.0,0.0,2.0438692316439644,4.0,4.043869231643964,9.596,0.0438692316439643,98.82452307342416,106.82452307342416,-23.175476926575858,12.78065384178018,-7.175476926575857,-28.175476926575858,47.91226153671207,28.087738463287927,45.99999999999999,64.0,65.91226153671207,22.736784610136212,95.0,85.95613076835603,0.0,0.9778097794108088,0.881
