gauge_id,sgr_dk_sav,glc_pc_s06,glc_pc_s07,nli_ix_sav,glc_pc_s04,glc_pc_s05,glc_pc_s02,rev_mc_usu,glc_pc_s03,glc_pc_s01,pet_mm_syr,dor_pc_pva,glc_pc_s08,glc_pc_s09,swc_pc_s09,ele_mt_smx,tbi_cl_smj,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,crp_pc_sse,glc_pc_s22,glc_pc_s20,glc_pc_s21,wet_pc_sg1,wet_pc_sg2,pac_pc_sse,swc_pc_s10,swc_pc_s11,swc_pc_s12,clz_cl_smj,gwt_cm_sav,glc_pc_s17,glc_pc_s18,hft_ix_s93,glc_pc_s15,ire_pc_sse,glc_pc_s16,glc_pc_s13,prm_pc_sse,glc_pc_s14,glc_pc_s11,glc_pc_s12,glc_pc_s10,kar_pc_sse,slp_dg_sav,glc_pc_s19,tmp_dc_s07,tmp_dc_s08,tmp_dc_s05,tmp_dc_s06,tmp_dc_s09,for_pc_sse,aet_mm_s06,aet_mm_s05,aet_mm_s08,aet_mm_s07,aet_mm_s09,tmp_dc_s10,tmp_dc_s11,aet_mm_s02,aet_mm_s01,tmp_dc_s12,aet_mm_s04,aet_mm_s03,lit_cl_smj,tmp_dc_s03,tmp_dc_s04,tmp_dc_s01,tmp_dc_s02,cls_cl_smj,pre_mm_syr,pnv_pc_s01,pnv_pc_s04,pnv_pc_s05,pnv_pc_s02,rdd_mk_sav,ele_mt_smn,pnv_pc_s03,pnv_pc_s08,pnv_pc_s09,pnv_pc_s06,pnv_pc_s07,wet_cl_smj,snw_pc_syr,pnv_pc_s11,pnv_pc_s12,pnv_pc_s10,pnv_pc_s15,pnv_pc_s13,pnv_pc_s14,cmi_ix_syr,pet_mm_s11,pet_mm_s12,pet_mm_s10,tmp_dc_smn,wet_pc_s08,wet_pc_s09,slt_pc_sav,wet_pc_s02,wet_pc_s03,wet_pc_s01,hdi_ix_sav,wet_pc_s06,wet_pc_s07,wet_pc_s04,wet_pc_s05,fec_cl_smj,glc_cl_smj,swc_pc_syr,hft_ix_s09,soc_th_sav,gdp_ud_sav,dis_m3_pyr,gdp_ud_ssu,tmp_dc_smx,cly_pc_sav,pet_mm_s02,pet_mm_s03,pet_mm_s01,riv_tc_usu,snw_pc_smx,ppd_pk_sav,pet_mm_s08,aet_mm_s11,pet_mm_s09,aet_mm_s10,pet_mm_s06,pet_mm_s07,aet_mm_s12,pet_mm_s04,pet_mm_s05,inu_pc_slt,ero_kh_sav,aet_mm_syr,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,ari_ix_sav,tmp_dc_syr,tec_cl_smj,ria_ha_usu,lkv_mc_usu,fmh_cl_smj,inu_pc_smn,pnv_cl_smj,pre_mm_s08,pre_mm_s09,run_mm_syr,pre_mm_s06,pre_mm_s07,pre_mm_s04,pre_mm_s05,snd_pc_sav,pre_mm_s02,pre_mm_s03,ele_mt_sav,pre_mm_s01,urb_pc_sse,lka_pc_sse,pre_mm_s10,dis_m3_pmx,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,gla_pc_sse,snw_pc_s07,snw_pc_s08,snw_pc_s09,dis_m3_pmn,inu_pc_smx,pre_mm_s11,pre_mm_s12,cmi_ix_s07,cmi_ix_s08,cmi_ix_s05,cmi_ix_s06,cmi_ix_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,cmi_ix_s03,cmi_ix_s04,cmi_ix_s01,cmi_ix_s02,pst_pc_sse,area_fraction_used_for_aggregation,pop_ct_usu
lamah_105,86.44103323280046,2.234034248664567,0.0,2280.84989686826,40.74335719764904,0.0,20.84658576875536,0,0.0,0.0,727.073488470121,0,0.0,0.0,88.33600213918987,1021.321959908531,4,100.0,100.0,100.0,99.63967954226196,98.05273341228168,94.50476703775576,89.76402738504734,87.36985453324958,26.082712606701072,1.6821582317543906,0.0,0.0,0.0,0.0,11.537247489812058,91.1633275982397,96.65856056048392,100.0,7,335.7677052741539,0.0,0.2403793290695792,191.33252933961933,0.0,0.0,27.501614485393148,6.751870738713901,0.0,0.0,0.0,0.0,0.0,0.3603204577380366,59.6090505460623,0.0,156.59629307269066,151.59629307269066,103.3897661376808,136.3897661376808,126.04319933677012,64.06435654413855,110.18764591678786,96.94213922632368,94.45203362547406,112.96614760594026,63.81235408321211,82.04832669816476,29.49523296224422,18.586946129980262,11.793473064990131,-5.69241295454366,65.13491250450618,40.10106011044646,9,27.029445679942786,61.82291874493291,-17.45203362547408,-5.350973515027608,47,1125.6237712837578,0.0,0.0,100.0,0.0,1545.1466652779204,686.758245195991,0.0,0.0,0.0,0.0,0.0,13,25.8368595345614,0.0,0.0,0.0,0.0,0.0,0.0,34.5091737518727,17.153793522728165,10.360320457738036,40.54796637452591,-17.45203362547408,0.0,0.0,38.234754895942274,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,417,4,95.65856056048396,190.42725635461403,78.57334316321013,47764.99999999999,14.786,1780208584.225723,156.59629307269066,18.38854841867045,18.586946129980262,40.10106011044646,11.793473064990131,573.107,73.85061319138875,187.30106177261663,108.02944567994275,16.79347306499013,72.64902648497238,36.605827148202245,116.83667240176028,126.99046592448845,10.360320457738036,65.49523296224422,99.24972627178,1.6478087659620138,764.7702510224241,676.8901264613196,45.0232877323389,81.89893988955352,89.2455066904642,155.64183795115923,70.44249954996252,686,138.167,3,6,0.0,5,115.30214974513017,79.09049544872566,605.2196592210286,114.19596227328904,109.86386977648344,83.62911488054114,105.42258794553128,43.7031647490656,78.62911488054115,81.56190716415439,820.0857681968695,88.70122638277749,9.886763811310656,1.106187471841107,74.47019399641835,24.799,71.33721985820024,72.31127311229554,45.892061294671926,8.40883428870394,1.798600426384768,0.3993002131923839,0.0,0.4469062640794462,1.0865858063414096,2.452033625474081,7.67,0.3603204577380366,95.5619071641544,98.8349211682733,-12.99168364349882,5.84076917694566,5.720828048277204,-2.505797623965026,7.407616569693563,10.467912781390648,32.17970382588896,64.90384367540311,50.302646816862826,20.567034525549037,86.69241295454366,76.31199375957326,21.122942990973872,0.9979082404192824,144.877
lamah_106,85.82865702542443,2.526387205541892,0.0,2295.964474372746,41.50990182544463,0.0,21.25576164719157,0,0.0,0.0,730.431640254642,0,0.0,0.0,87.99538910926289,1015.319554675225,4,100.0,100.0,100.0,99.58942975453634,97.8923519744549,94.30800599783834,89.46834561848146,87.02658224114035,24.924003826442632,1.551757458274237,0.0,0.0,0.0,0.0,10.714719561552291,90.8362789524381,96.52827295459974,100.0,7,344.1192962015431,0.0,0.2214964205797095,194.9897723885724,0.0,0.0,26.544792635502976,6.389902807464991,0.0,0.0,0.0,0.0,0.0,4.217103762275796,61.727666123987525,0.0,157.25296205692604,152.25296205692604,104.06265876822378,137.06265876822377,126.58707740872204,65.5135470987578,110.40682880361076,97.3368467839015,94.4933383808694,113.20185994058043,63.82622426884711,82.35787865036565,29.769678359647614,18.61939342259548,11.80969671129774,-5.326413014019312,65.43679247166992,40.25023062482053,9,27.574404165274156,62.38410087657189,-17.104916593439604,-4.854685968619061,47,1121.4742657208158,0.0,0.0,100.0,0.0,1552.5473579682057,683.491866137353,0.0,0.0,0.0,0.0,0.0,13,25.767639268795733,0.0,0.0,0.0,0.0,0.0,0.0,33.997848036899526,17.2202669567614,10.410570245463663,40.66203033410251,-17.104916593439604,0.0,0.0,38.45197769315239,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,417,4,95.52827295459976,193.27497677276008,78.81989590962003,47765.0,16.473,1682615722.842116,157.25296205692604,18.672244649913782,18.61939342259548,40.25023062482053,11.80969671129774,855.229,73.85799686972958,187.0461594511683,108.4967198077882,16.80969671129774,72.989945316409,36.63592098014485,117.3967741200198,127.6170410767812,10.410570245463663,65.84736271713356,99.85506505491028,2.221006057986716,749.2676808224875,678.5353506593466,44.628685239124586,81.74976937517945,89.14766637719522,154.33541485066925,70.95501074267868,686,171.48,3,6,0.1553687149719238,5,115.19724904984336,79.08077580452556,601.1462822663111,114.1762171833792,110.02732134236568,83.26460621926942,105.15198728805314,43.17747041303408,78.10923750429751,80.96788436884039,817.2921971882485,87.78378144962764,9.579699991918194,1.0210318664641362,74.19585366337847,27.503,71.46348758505887,72.20478546497348,45.18919739136325,8.061629687119288,1.81355102539922,0.445617691442591,0.0,0.4117997092819699,1.0789138213042704,2.3379696658974884,8.709,0.6436233179215471,95.04556872632634,98.21858159041736,-13.308295977717524,5.38107946458722,4.958952567245382,-2.939133179942588,7.059637356239104,10.503618808957585,32.311383011225765,65.13748811739802,49.729860390711295,19.816369967969944,86.48178172899122,76.13037595258399,21.03995223937323,0.998983699387864,162.206
lamah_1111,24.0,2.0,0.0,1739.0,5.0,0.0,25.0,0,0.0,0.0,747.0,0,0.0,0.0,91.0,786.0,4,100.0,100.0,100.0,99.0,97.0,93.0,90.0,89.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,94.0,98.0,100.0,7,176.0,0.0,0.0,211.0,0.0,0.0,3.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,165.0,158.0,113.0,146.0,129.0,32.0,114.0,102.0,97.0,117.0,66.0,79.0,29.0,18.0,11.0,-8.0,68.0,42.0,1,29.0,67.0,-20.0,-7.0,47,1023.0,0.0,0.0,100.0,0.0,1265.0,631.0,0.0,0.0,0.0,0.0,0.0,13,22.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,10.0,39.0,-20.0,0.0,0.0,36.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,417,13,96.0,166.0,60.00000000000001,47765.0,3.912,899637248.0,165.0,18.0,18.0,42.0,11.0,75.19,73.0,92.182,109.0,17.0,73.0,37.0,122.0,130.0,10.0,69.0,106.0,3.0,315.0,699.0,40.0,75.0,86.0,137.0,73.0,686,26.268,3,6,0.0,5,119.0,88.0,703.0,124.0,124.0,79.0,101.0,47.0,57.0,60.00000000000001,685.0,65.0,0.0,5.0,65.0,5.615,68.0,73.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.711,0.0,69.0,72.0,-4.0,8.0,-4.0,1.0,17.0,5.0,24.0,57.0,30.000000000000004,12.0,83.0,68.0,29.0,0.9774996190433948,16.123
lamah_1120,137.0,2.0,0.0,3310.0,17.0,0.0,38.0,0,0.0,0.0,763.0,0,0.0,0.0,84.0,974.0,4,100.0,100.0,100.0,99.0,96.0,91.0,86.0,83.0,12.0,10.0,0.0,0.0,0.0,0.0,47.0,87.0,95.0,100.0,7,371.0,0.0,0.0,233.00000000000003,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,94.0,69.0,0.0,166.0,161.0,113.0,146.0,132.0,57.99999999999999,113.0,103.0,94.0,115.0,63.0,83.0,31.0,18.0,11.0,-1.0,69.0,42.0,6,33.0,68.0,-13.0,-1.0,47,1032.0,0.0,0.0,100.0,0.0,1823.0,598.0,0.0,0.0,0.0,0.0,0.0,13,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,10.0,40.0,-13.0,0.0,0.0,41.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,417,2,93.0,230.0,71.0,47765.0,2.138,2033317760.0,166.0,23.0,18.0,42.0,11.0,61.565,72.0,218.588,113.0,16.0,76.0,35.0,124.0,134.0,10.0,70.0,108.0,0.0,588.0,690.0,40.0,79.0,88.0,135.0,77.0,686,21.538,0,6,0.0,5,110.0,79.0,430.0,117.0,113.0,76.0,101.0,37.0,66.0,67.0,819.0,70.0,17.0,0.0,68.0,3.724,68.0,70.0,35.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.167,0.0,82.0,83.0,-15.0,-2.0,-7.0,-6.0,4.0,4.0,27.0,67.0,38.0,7.0,84.0,73.0,15.0,0.98844986581545,34.756
lamah_1122,67.0,0.0,0.0,1920.0,0.0,0.0,13.999999999999998,0,0.0,0.0,741.0,0,0.0,0.0,74.0,715.0000000000001,4,99.0,100.0,99.0,97.0,91.0,85.0,79.0,75.0,38.0,0.0,0.0,0.0,0.0,0.0,39.0,76.0,83.0,93.0,7,208.0,0.0,0.0,203.0,0.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,32.0,0.0,166.0,161.0,114.0,147.0,132.0,13.999999999999998,103.0,95.0,82.0,103.0,54.0,83.0,28.0,17.0,10.0,-6.0,67.0,40.0,5,31.0,71.0,-18.0,-5.0,47,800.0,0.0,0.0,100.0,0.0,1466.0,517.0,0.0,0.0,0.0,0.0,0.0,13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999999,15.0,9.0,39.0,-18.0,0.0,0.0,41.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,417,16,88.0,201.0,47.0,47817.0,2.083,802710144.0,166.0,22.0,17.0,40.0,10.0,50.011,68.0,106.287,110.0,12.0,74.0,29.0,122.0,131.0,8.0,69.0,105.0,0.0,582.0,619.0,26.0,73.0,83.0,108.0,75.0,686,20.591,0,6,0.0,5,91.0,65.0,410.0,102.0,93.0,58.0,84.0,37.0,46.0,47.0,612.0,52.99999999999999,0.0,0.0,52.0,4.509,68.0,63.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.065,0.0,57.0,54.0,-29.0,-18.0,-20.0,-17.0,-12.0,4.0,23.0,54.0,13.999999999999998,-16.0,81.0,63.0,13.0,0.9386699019388602,17.081
lamah_1131,87.76615186129803,3.128198637682345,0.0,1769.5435010924195,22.53096166000839,0.0,21.3953192299961,0,0.0,0.0,756.0279026090889,0,0.0,0.0,82.46321492278118,899.7975796326411,4,100.0,100.0,100.0,98.0288630208472,94.7968125924669,90.20230147355372,85.434351901934,82.434351901934,23.07541650017529,0.926169517938998,0.0,0.0,0.0,0.0,12.185948731750695,85.46321492278119,94.02886302084718,100.0,7,292.4878822283239,0.0,0.0,149.87682691253255,0.0,0.0,50.81704948082044,0.666402330314284,0.0,0.0,0.0,0.0,0.0,97.23063181296716,53.259413935079095,0.0,166.36255361545508,161.3625536154551,113.36255361545513,146.3625536154551,132.13050318707485,47.488831429620845,110.72412837200866,100.72412837200866,92.12961725309547,112.72412837200866,61.69526535116147,82.49296387760774,30.898452758694567,18.0,11.0,-1.8406337920779623,68.26091344922746,41.260913449227466,6,32.72501430598803,68.69615128514083,-13.507036122392243,-1.1015472413054344,47,980.1875498440012,0.0,0.0,100.0,0.0,1414.3179252877774,625.9457070113634,0.0,0.0,0.0,0.0,0.0,13,23.81097776217362,0.0,0.0,0.0,0.0,0.0,0.0,22.694379417182105,16.260913449227473,9.999999999999998,39.99999999999999,-13.507036122392243,0.0,0.0,40.59451111891318,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,417,16,92.76794957161972,150.58454159607768,66.76547761952605,47764.99999999999,5.426,751842084.5670924,166.36255361545508,22.362460690532902,18.0,41.260913449227466,11.0,236.918,73.05630742628125,104.16506460349592,111.69526535116148,15.028863020847192,74.69526535116148,34.02886302084719,122.92731577954174,132.92731577954174,9.999999999999998,69.66640233031428,106.92731577954176,0.2320504283802816,596.2738068974109,676.1846110150727,37.89756682471519,78.53589914323942,86.79681259246688,129.5200550304962,76.72501430598804,686,64.749,0,6,0.0,5,106.18734329478986,76.39053070232293,410.1559891854999,114.39053070232292,110.28898346101752,71.95529286640958,97.92642984556238,36.33280466062856,60.75210545887649,61.5200550304962,762.1547344932612,64.38955184342136,2.664995741088138,0.0,64.2888905360953,9.671,69.664190705844,70.02655847145468,38.43442637971294,2.071891211401096,0.260913449227472,0.5945111189131882,0.0,0.2320504283802816,0.666402330314284,1.0,2.943,0.0,75.78096847972367,75.57778107219058,-16.63833231852424,-4.841519726057332,-8.768835505599089,-6.797698526446279,2.361667681475758,6.318106809488092,30.361135000041998,66.85312001874816,32.621602271801635,3.462328988801822,82.79681259246689,70.2600275152481,14.434351901934004,0.9847263185906192,43.036
lamah_1137,57.9733243992844,0.0,0.0,1869.165563722286,1.9003527580453896,0.0,19.22597008462482,0,0.0,0.0,743.3754409475567,0,0.0,0.0,73.52491181048865,706.4484125887957,4,98.52491181048865,100.0,99.0,96.52491181048866,90.52491181048866,84.52491181048865,78.52491181048865,74.0498236209773,35.14947086293191,0.0,0.0,0.0,0.0,0.0,42.80070551609078,75.52491181048865,82.52491181048866,92.0498236209773,7,208.95017637902268,0.0,0.0,195.39858896781843,0.0,0.0,78.34876534684113,0.5249118104886525,0.0,0.0,0.0,0.0,0.0,100.0,32.95017637902269,0.0,166.47508818951133,161.47508818951135,114.9501763790227,147.9501763790227,132.95017637902268,21.12632284267021,102.52491181048866,95.0,81.52491181048865,102.0498236209773,54.0,83.47508818951135,28.950176379022693,17.0,10.0,-5.5249118104886525,67.0,40.0,5,31.950176379022697,71.9501763790227,-17.524911810488653,-4.5249118104886525,47,792.8736771573298,0.0,0.0,100.0,0.0,1391.4111542467183,483.2687385446943,0.0,0.0,0.0,0.0,0.0,13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.049823620977305,15.475088189511345,9.000000000000002,39.0,-17.524911810488653,0.0,0.0,41.0,0.0,0.0,0.0,941.4750881895112,0.0,0.0,0.0,0.0,417,16,87.52491181048866,189.1227952622163,48.42526456853404,47792.29541414541,4.044,795531188.987343,166.47508818951133,22.0,17.0,40.47508818951135,10.0,210.375,66.57473543146597,115.29799769046171,110.47508818951135,12.0,74.0,29.000000000000004,122.47508818951135,130.99999999999997,8.0,69.47508818951134,105.47508818951134,0.0,501.23500778307096,617.0996472419546,25.049823620977307,72.52491181048866,83.0,106.57473543146595,75.9501763790227,686,54.866,0,6,0.0,5,90.0498236209773,64.0498236209773,405.72420629439785,101.0498236209773,92.52491181048866,57.52491181048866,83.0498236209773,37.47508818951135,46.00000000000001,46.52491181048865,593.9466487985688,52.524911810488646,0.0,0.0,51.52491181048865,8.899,66.57473543146597,61.57473543146597,24.0,1.0,1.0,0.4750881895113474,0.0,0.0,0.0,1.0,2.019,0.0,56.04982362097731,53.52491181048865,-29.47508818951135,-18.950176379022697,-21.425264568534043,-17.475088189511347,-12.950176379022697,4.0,25.850529137068083,52.57473543146596,12.57473543146596,-16.950176379022693,81.0,63.00000000000001,14.90035275804539,0.9737635291390696,36.547
lamah_1139,127.0,5.0,0.0,1456.0,81.0,0.0,13.999999999999998,0,0.0,0.0,677.0,0,0.0,0.0,98.0,1139.0,4,100.0,100.0,100.0,100.0,100.0,99.0,97.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,99.0,100.0,100.0,7,510.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,149.0,144.0,95.0,128.0,119.0,100.0,108.0,93.0,97.0,114.0,66.0,77.0,25.0,17.0,11.0,-8.0,60.99999999999999,37.0,9,19.0,53.0,-20.0,-11.0,38,1269.0,0.0,0.0,100.0,0.0,1100.0,751.0,0.0,0.0,0.0,0.0,0.0,13,33.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16.0,10.0,38.0,-20.0,0.0,0.0,36.0,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,417,4,99.0,126.0,111.0,47765.0,3.126,873924928.0,149.0,15.0,17.0,37.0,11.0,52.78,82.0,87.376,100.0,16.0,67.0,38.0,109.0,118.0,10.0,60.99999999999999,93.0,1.0,583.0,666.0,54.99999999999999,85.0,91.0,188.0,64.0,686,21.52,0,6,0.0,5,126.0,87.0,628.0,126.0,119.0,95.0,116.0,50.0,90.0,95.0,977.0,105.0,2.0,0.0,85.0,5.34,76.0,82.0,72.0,18.0,3.0,1.0,0.0,1.0,2.0,5.0,1.503,0.0,109.0,116.0,1.0,20.0,20.0,13.0,22.0,19.0,46.0,75.0,60.99999999999999,36.0,89.0,81.0,18.0,0.9813687376990534,13.664
lamah_1140,83.0,2.0,0.0,3560.0000000000005,46.0,0.0,17.0,0,0.0,0.0,733.0,0,0.0,0.0,86.0,1018.0,4,100.0,100.0,100.0,100.0,98.0,94.0,89.0,86.0,27.0,4.0,0.0,0.0,0.0,0.0,6.0,90.0,96.0,100.0,7,295.0,0.0,1.0,230.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,157.0,152.0,104.0,137.0,127.0,66.0,111.0,98.0,94.0,112.0,62.99999999999999,82.0,30.0,19.0,12.0,-6.0,66.0,40.0,9,28.0,62.99999999999999,-17.0,-5.0,47,1108.0,0.0,0.0,100.0,0.0,2004.0,678.0,0.0,0.0,0.0,0.0,0.0,13,26.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,10.0,41.0,-17.0,0.0,0.0,37.0,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,417,4,95.0,246.0,81.0,47765.0,3.672,3167885312.0,157.0,17.0,19.0,40.0,12.0,116.982,74.0,333.217,109.0,17.0,73.0,36.0,118.0,128.0,10.0,66.0,100.0,0.0,472.0,677.0,44.0,82.0,89.0,151.0,71.0,686,33.196,0,6,0.0,5,112.0,77.0,601.0,112.0,107.0,82.0,104.0,45.0,77.0,81.0,808.0,89.0,27.0,0.0,74.0,6.353,71.0,73.0,45.0,6.999999999999999,1.0,0.0,0.0,1.0,2.0,2.0,1.772,0.0,95.0,98.0,-16.0,3.0,4.0,-5.0,4.0,10.0,34.0,68.0,50.0,19.0,87.0,76.0,19.0,0.9999852436009452,63.765
lamah_11401009,443.593299190696,11.058447231465058,0.0,1469.2335020137386,28.233788925860235,0.0,46.12285720444528,0,0.0,0.0,632.1992578642288,0,0.0,0.0,97.9729581218883,2356.1967213663343,5,100.0,100.0,100.0,99.76461180786626,99.10417315701102,97.63339677274357,96.73756992975456,97.16262038847609,0.2353881921337353,0.706164576401206,0.0,0.0,0.0,0.0,55.57340023778607,99.10417315701102,99.76461180786626,100.0,7,688.4954621348115,0.0,0.0,153.7388076967181,0.0,0.0,0.0,10.649316611209647,0.0,3.2294254506185758,0.0,0.0,0.0,12.326463302923836,210.03378520152373,0.0,126.9888779603544,123.4139284190759,73.88470480334337,106.88470480334335,99.04732519181944,85.41509336177056,99.16421965474956,85.06004649773855,90.45805507834838,105.6934432704821,60.9872786940809,56.53082288200603,5.105772423284519,16.706164576401207,11.235388192133737,-32.60039215311669,55.35388192133736,34.64771734493615,6,-4.821459773057822,30.884704803343386,-44.17534169439517,-35.89422757671548,38,1106.005528417936,0.0,0.0,0.0,0.0,589.6631902408661,787.2026951090359,0.0,0.0,0.0,84.13078071154386,15.869219288456128,13,41.56062896908588,0.0,0.0,0.0,0.0,0.0,0.0,41.75029123567366,15.47077638426747,10.235388192133737,35.94155276853494,-44.17534169439517,0.0,0.0,39.42505045872151,0.0,0.0,0.0,920.2334198060544,0.0,0.0,0.0,0.0,417,2,99.10417315701102,171.31652144696477,87.09421606006006,49013.43591212981,12.349,473246588.96833575,126.9888779603544,19.42505045872151,16.706164576401207,34.64771734493615,11.235388192133737,469.896,94.79601716121962,67.33456218845338,93.29543468987228,15.47077638426747,62.35388192133736,35.70616457640121,101.76621107413976,109.53082288200602,10.235388192133737,55.58927011347109,86.53082288200602,0.0,2357.4110246200644,618.7642503085563,48.691844004208605,79.82305903933133,86.76461180786627,181.4802991576396,42.04732519181946,689,96.334,0,6,0.0,6,138.13557851036438,96.97295812188833,906.8289641975692,121.86878496487728,138.56062896908588,79.52922361573253,109.05844723146508,41.14989908255697,61.823059039331326,66.14393634104182,1372.5087218292178,67.82305903933133,1.8831055370698828,0.2353881921337353,70.52922361573253,25.976,89.73756992975457,93.03140535335336,92.48786116542824,58.63456171543821,12.025442611838198,0.339561349144753,0.0,0.339561349144753,1.1041731570110176,3.8687849648772814,3.681,0.0,79.79601716121962,75.52922361573253,19.573350275004987,31.38368800841721,20.233788925860235,15.38368800841721,35.089852584818416,19.560628969085887,45.9856794278074,80.73756992975456,45.93995350226144,28.80873846713872,83.2938354235988,72.58767084719759,35.15985617950792,0.9853335142182168,26.957
