"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,217.99,-46.94,97.93,21.54,17.21,-1.42,-0.11,0.4,0.4,0.34,0.27,0,0,-74.19,97.73,18,15.26,-2.42,-1,0.39,0.39,0.34,0.27,0,732.61,-12.22,98.07,26.08,18.63,-0.47,0.78,0.41,0.4,0.34,0.27,0.61,23.88,3.04
"1981-01-03",0,152.66,-33,98.02,20.98,16.71,-1.49,0.03,0.38,0.38,0.35,0.27,0,0,-51.21,97.88,18.75,14.85,-2.62,-0.74,0.38,0.38,0.35,0.27,0,459.01,-7.47,98.16,23.14,18.17,-0.59,0.66,0.39,0.39,0.35,0.27,1.14,18.89,1.36
"1981-01-04",0,216.15,-51.13,97.99,21.8,17.4,-1.13,-0.26,0.37,0.38,0.35,0.27,0,0,-74.51,97.85,17.92,15.58,-1.99,-1.11,0.37,0.37,0.35,0.27,0,693.29,-22.23,98.11,26.52,18.8,-0.11,0.85,0.38,0.38,0.35,0.27,0.63,23.56,0.69
"1981-01-05",0,224.27,-44.13,98.08,21.87,17.92,-1.28,0.39,0.37,0.37,0.35,0.27,0,0,-69.68,97.93,17.85,16.7,-2.74,-0.07,0.36,0.36,0.34,0.27,0,732.2,-7.56,98.2,26.65,18.61,0.14,1.01,0.37,0.37,0.35,0.27,1.8,22.81,0.44
"1981-01-06",0,189.2,-43.55,97.98,21.25,16.06,-1.33,0.47,0.36,0.36,0.34,0.27,0,0,-81.79,97.78,18.3,13.56,-2.32,-0.32,0.35,0.36,0.34,0.27,0,626.29,-13.97,98.11,25.48,18.51,-0.24,1.04,0.37,0.36,0.34,0.27,0.29,24.54,0.29
"1981-01-07",0,258.28,-67.25,97.95,21.54,15.18,-1.33,0.86,0.35,0.35,0.34,0.27,0,0,-97.82,97.79,16.42,13.6,-2.8,0.36,0.34,0.35,0.34,0.27,0,796.12,-36.68,98.16,27.39,16.49,0.04,1.43,0.35,0.36,0.34,0.27,0.01,33.22,0.24
"1981-01-08",0,213.56,-40.3,98.09,21.56,17.31,-1.28,1.57,0.35,0.35,0.34,0.27,0,0,-60.04,97.94,17.8,15.7,-2.7,1.19,0.34,0.35,0.34,0.27,0,760.02,-22.73,98.2,26.35,18.84,0.16,2.43,0.35,0.35,0.34,0.27,2.73,22.85,0.21
"1981-01-09",0,210.52,-43.53,98.08,20.98,16.6,-1.78,1.19,0.35,0.34,0.34,0.27,0,0,-68.5,97.94,18.35,14.65,-3.24,0.8,0.35,0.34,0.34,0.27,0,691.78,-8.92,98.21,24.99,18.29,-0.62,1.71,0.36,0.35,0.34,0.27,2.31,24.97,0.17
"1981-01-10",0,224.92,-53.95,97.95,21.18,15.72,-1.28,0.7,0.35,0.34,0.34,0.27,0,0,-89.76,97.75,17.62,13.7,-2.71,0.03,0.34,0.34,0.34,0.27,0,708.33,-5.56,98.1,25.84,17.54,0.06,1.15,0.35,0.34,0.34,0.27,1,27.66,0.21
"1981-01-11",0,252.49,-65.08,97.81,21.29,15.89,-0.85,0.28,0.33,0.34,0.34,0.27,0,0,-103.22,97.58,16.24,14.43,-2.55,-0.89,0.33,0.33,0.34,0.27,0,786.43,-33.93,97.97,27.59,17.12,0.49,1.08,0.34,0.34,0.34,0.27,0.02,28.29,0.43
