"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,305.83,-83.41,91.46,22.8,12.59,0.41,-0.35,0.32,0.33,0.33,0.3,0,0,-117.3,91.31,14.46,7.88,-0.6,-1.61,0.31,0.32,0.32,0.3,0,894.57,-52.68,91.57,32.12,17.75,2.37,1.26,0.32,0.33,0.33,0.3,0.1,40.06,0.17
"1981-01-03",0,243.17,-63.99,91.25,21.57,13.37,0.54,-1.13,0.33,0.32,0.32,0.3,0,0,-105.16,90.97,13.66,10.02,-1.27,-3.19,0.31,0.32,0.32,0.3,0,809.37,-17.72,91.43,31.31,17.99,3.02,1.61,0.39,0.33,0.32,0.3,8.37,30.76,0.14
"1981-01-04",0,321.01,-65.97,91.6,15.85,10.32,-0.2,1.42,0.35,0.33,0.32,0.3,0,0,-115.49,91.39,10.63,8.6,-0.82,0.5,0.34,0.33,0.32,0.3,0,951.13,-12.8,91.97,24.22,11.66,0.76,2.79,0.37,0.33,0.32,0.3,0.21,29.81,0.12
"1981-01-05",0,322.17,-78.08,91.9,16.38,10.95,-0.49,1.07,0.33,0.33,0.32,0.3,0,0,-100.32,91.79,10.07,8.87,-1.03,-0.21,0.32,0.32,0.32,0.3,0,935.24,-59.51,92.02,23.48,12.31,0,2.72,0.34,0.33,0.32,0.3,0,30.15,0.11
"1981-01-06",0,239.67,-47.74,91.65,17.56,13.28,-0.08,0.8,0.33,0.32,0.32,0.3,0,0,-73.02,91.51,11.85,11.59,-0.85,-0.94,0.32,0.32,0.32,0.3,0,738.24,-10.82,91.82,24.99,15.05,1.02,2.46,0.35,0.32,0.32,0.3,3.49,23.98,0.1
"1981-01-07",0,97.74,-15.1,91.92,15.3,12.68,-1.11,0.74,0.33,0.32,0.32,0.3,0,0,-50.49,91.77,13.35,12.06,-1.88,-0.44,0.33,0.32,0.32,0.3,0,357.11,0.07,92.04,18.6,13.42,-0.29,1.37,0.34,0.32,0.32,0.3,0.77,11.15,0.09
"1981-01-08",0,293.62,-73.59,91.78,19.99,12.78,0.03,-0.7,0.32,0.32,0.32,0.3,0,0,-100.95,91.54,11.76,11.22,-0.94,-1.73,0.31,0.32,0.32,0.3,0,931.75,-43.94,92,27.74,16.4,0.86,0.92,0.33,0.32,0.32,0.3,0.04,31.84,0.09
"1981-01-09",0,267.23,-68.8,91.48,21.83,14.14,0.77,-1.59,0.31,0.31,0.32,0.3,0,0,-90.74,91.31,16.02,11.15,-0.2,-2.41,0.3,0.31,0.32,0.3,0,828.2,-52.53,91.69,28.06,18.32,2.07,0.02,0.32,0.32,0.32,0.3,2.04,33.57,0.08
"1981-01-10",0,213.35,-50,91.41,20.58,14.93,0.69,-0.7,0.35,0.31,0.32,0.3,0,0,-79.21,91.17,14.15,12.65,-0.38,-3.02,0.31,0.31,0.32,0.3,0,717.87,-28.94,91.66,27.11,17.74,3.06,1.62,0.39,0.32,0.32,0.3,10.12,22.77,0.09
"1981-01-11",0,122.96,-13.92,91.75,13.07,10.55,-0.42,1.44,0.36,0.33,0.32,0.3,0,0,-38.03,91.6,11.31,8.89,-0.78,0.92,0.35,0.33,0.32,0.3,0,416.47,0.93,91.97,15.73,12.32,-0.13,1.91,0.37,0.33,0.32,0.3,1.03,12.17,0.09
