"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,197.19,-44.7,94.9,20.88,15.42,-2.53,-0.61,0.39,0.39,0.28,0.23,0,0,-79.82,94.7,17.48,13.46,-3.17,-1.33,0.37,0.38,0.28,0.23,0,690.92,-14.11,95.05,25.55,17.18,-1.76,0.3,0.4,0.39,0.28,0.23,0.06,18.82,0.01
"1981-01-03",0,207.72,-45.04,94.98,20.13,14.84,-2.69,-0.45,0.37,0.37,0.28,0.23,0,0,-63.73,94.82,17.06,11.96,-3.69,-1.18,0.36,0.37,0.28,0.23,0,704.07,-5.33,95.13,24.42,16.46,-1.43,0.2,0.38,0.38,0.28,0.23,0.4,19,0.11
"1981-01-04",0,222.18,-57.59,94.98,20.98,15.43,-1.91,-0.42,0.35,0.36,0.28,0.23,0,0,-85.19,94.82,16.44,14.05,-2.56,-1.76,0.34,0.36,0.28,0.23,0,686.53,-29.21,95.11,25.81,17.26,-1.11,0.69,0.36,0.37,0.28,0.23,0.54,18.11,0.28
"1981-01-05",0,222.3,-52.4,95.07,21.3,15.85,-2.12,-0.22,0.34,0.35,0.28,0.23,0,0,-78.12,94.9,16.47,14.43,-2.99,-0.82,0.33,0.35,0.28,0.23,0,752.84,-15.04,95.2,26.31,17.16,-1.01,0.71,0.35,0.36,0.28,0.23,0.34,19.03,0.12
"1981-01-06",0,254.1,-64.31,94.95,20.75,14.65,-2.21,-0.34,0.32,0.34,0.28,0.23,0,0,-106.08,94.73,16.69,12.26,-2.96,-1.58,0.32,0.34,0.28,0.23,0,812.52,-22.12,95.08,26.15,17.13,-1.28,0.53,0.33,0.35,0.28,0.23,0.12,21.26,0.05
"1981-01-07",0,292.14,-82.95,94.93,20.86,13.55,-2.32,0.05,0.31,0.33,0.28,0.23,0,0,-120.13,94.74,14.06,12,-3.43,-1.01,0.3,0.33,0.28,0.23,0,892.95,-51.84,95.14,27.61,15.05,-0.84,1.07,0.32,0.34,0.28,0.23,0,25.54,0.03
"1981-01-08",0,228.78,-55.04,95.08,21.04,15.27,-2.86,0.91,0.3,0.32,0.28,0.23,0,0,-75.12,94.91,16.67,14.28,-4.11,0.31,0.3,0.32,0.28,0.23,0,673.99,-26.81,95.17,25.95,16.65,-2.01,1.63,0.3,0.33,0.28,0.23,1.3,21.16,0.02
"1981-01-09",0,202.81,-47.92,95.04,20.6,14.68,-2.9,0.53,0.3,0.32,0.28,0.23,0,0,-67.19,94.86,17.07,12.9,-4.1,-0.31,0.3,0.31,0.28,0.23,0,624.07,-17.54,95.19,24.93,16.72,-1.75,1.1,0.3,0.32,0.28,0.23,0.78,20.65,0.02
"1981-01-10",0,256.05,-69.37,94.92,20.94,13.6,-2.27,-0.03,0.29,0.31,0.28,0.23,0,0,-123.73,94.67,16.26,10.88,-3.33,-1.79,0.28,0.31,0.28,0.23,0,798.61,-13.59,95.09,27.35,15.08,-1.08,0.88,0.3,0.31,0.28,0.23,0.08,23.5,0.01
"1981-01-11",0,305.48,-90.23,94.8,21.39,14.07,-1.44,-0.42,0.28,0.3,0.28,0.23,0,0,-132.12,94.54,14.35,12.67,-2.78,-2.11,0.27,0.3,0.28,0.23,0,905.04,-53.38,94.96,28.87,15.69,-0.19,0.99,0.28,0.31,0.28,0.23,0.01,24.37,0.01
"1981-01-12",0,281.92,-78.46,94.9,21.59,13.74,-2.44,0.29,0.27,0.29,0.27,0.23,0,0,-120.29,94.67,16.06,11.61,-3.42,-0.63,0.26,0.29,0.27,0.23,0,915.45,-48.57,95.07,28.17,15.65,-1.21,0.93,0.27,0.3,0.28,0.23,0.03,26.25,0.01
"1981-01-13",0,185.6,-51.83,94.89,20.62,14.02,-2.53,1.25,0.26,0.29,0.27,0.23,0,0,-98.75,94.66,17.1,12.51,-3.26,0.42,0.26,0.29,0.27,0.23,0,540.06,-16.76,95.07,25.41,15.75,-1.78,2.49,0.26,0.29,0.27,0.23,0.44,20.32,0.01
"1981-01-14",0,318.93,-94.17,94.69,20.92,11.8,-2.12,0.22,0.25,0.28,0.27,0.23,0,0,-134.74,94.42,15.24,9.79,-3.14,-2.01,0.25,0.28,0.27,0.23,0,941.49,-43.64,94.84,28.03,13.97,-1.28,1.24,0.26,0.29,0.27,0.23,0,28.4,0.01
"1981-01-15",0,319.79,-98.53,94.58,21.33,10.99,-1.91,0.69,0.24,0.28,0.27,0.23,0,0,-143.21,94.32,14.2,7.98,-3.12,-0.12,0.24,0.27,0.27,0.23,0,948.17,-59.09,94.74,28.82,14.03,-0.8,1.41,0.25,0.28,0.27,0.23,0,30.49,0.01
"1981-01-16",0,223.41,-66.57,94.64,21.1,13.01,-2.39,1.48,0.24,0.27,0.27,0.23,0,0,-88.8,94.5,16.07,11.14,-3.33,0.73,0.24,0.27,0.27,0.23,0,725.51,-49.4,94.81,26.51,14.77,-1.33,2.41,0.24,0.27,0.27,0.23,0.04,24.82,0
"1981-01-17",0,144.05,-35.38,94.66,20.78,15.87,-2.11,1.71,0.24,0.27,0.27,0.23,0,0,-55.77,94.5,17.34,14.85,-2.94,0.89,0.24,0.27,0.27,0.23,0,541.65,-19.72,94.79,25.21,16.87,-1.11,3.03,0.24,0.27,0.27,0.23,0.76,15.61,0
"1981-01-18",0,188.76,-44.41,94.51,22.15,16.11,-1.11,0.05,0.24,0.26,0.27,0.23,0,0,-81.42,94.3,18.24,14.09,-1.96,-1.64,0.24,0.26,0.27,0.23,0,731.88,-18.76,94.69,27.35,17.33,0.5,2,0.24,0.27,0.27,0.23,0.93,17.75,0
"1981-01-19",0,217.36,-54.29,94.51,23.13,17.57,0.49,-0.08,0.25,0.26,0.27,0.23,0,0,-84.46,94.31,18.25,15,-0.88,-1.02,0.24,0.26,0.27,0.23,0,863.56,-30.07,94.72,30.36,19.18,2.49,1.61,0.26,0.26,0.27,0.23,2.34,17.6,0.01
"1981-01-20",0,270.62,-77.45,94.84,24.31,15.48,-1.67,0.92,0.25,0.26,0.27,0.23,0,0,-110.43,94.6,17.41,13,-3.69,-0.62,0.25,0.26,0.27,0.23,0,804.84,-47.65,95.09,31.2,17.86,0.72,2.23,0.26,0.26,0.27,0.23,0.19,27.55,0.01
"1981-01-21",0,303.61,-87.47,94.81,23.47,14.83,-2.02,-0.33,0.24,0.25,0.27,0.23,0,0,-138.08,94.52,18.67,10.68,-2.98,-2.27,0.24,0.25,0.26,0.23,0,939.64,-35.01,95,30.53,17,-1.32,0.61,0.25,0.26,0.27,0.23,0,27.39,0
"1981-01-22",0,273.6,-74.79,94.69,24.29,15.6,-1.31,-0.66,0.23,0.25,0.26,0.23,0,0,-121.95,94.41,18.23,11.84,-2.86,-2.16,0.23,0.25,0.26,0.23,0,876.16,-24,94.87,32.11,17.69,0.05,0.43,0.24,0.25,0.26,0.23,0,26.15,0.01
"1981-01-23",0,302.04,-84.35,94.91,24.26,15.56,-2.1,-0.63,0.23,0.25,0.26,0.23,0,0,-139.74,94.73,19.34,11.75,-3.57,-1.89,0.22,0.24,0.26,0.23,0,923.38,-31.92,95.14,31.71,18.14,-0.97,0,0.23,0.25,0.26,0.23,0.01,28.03,0.01
"1981-01-24",0,254.37,-71.41,95.11,23.34,15.59,-3.08,0.18,0.22,0.24,0.26,0.23,0,0,-111.3,94.92,18.5,12.16,-4.09,-0.93,0.22,0.24,0.26,0.23,0,797.15,-28.31,95.25,29.37,17.61,-1.63,1.15,0.22,0.24,0.26,0.23,0.02,27.14,0.01
"1981-01-25",0,269.65,-79.76,94.96,23.46,14.85,-2.95,0.19,0.22,0.24,0.26,0.23,0,0,-130.83,94.66,18.66,11.77,-4.03,-1.27,0.21,0.24,0.26,0.23,0,863.64,-39.84,95.14,30.05,17.23,-1.96,1.42,0.22,0.24,0.26,0.23,0.01,28.92,0.01
"1981-01-26",0,295.64,-86.79,94.75,23.46,14.76,-2.35,-0.69,0.21,0.24,0.26,0.23,0,0,-140.87,94.52,18.5,11.61,-2.99,-2.25,0.21,0.23,0.26,0.23,0,923.62,-22.12,94.92,30.42,17.46,-1.5,0.28,0.21,0.24,0.26,0.23,0.09,28.2,0.01
"1981-01-27",0,293.51,-92.26,94.52,24.12,15.47,-1.81,-0.57,0.21,0.23,0.26,0.23,0,0,-132.56,94.21,17.32,12.77,-3.23,-2.11,0.21,0.23,0.26,0.23,0,927.68,-56.49,94.69,32.36,16.81,-0.98,0.45,0.21,0.23,0.26,0.23,0,26.84,0.01
"1981-01-28",0,314.35,-102.74,94.32,23.9,13.91,-1.92,-0.91,0.2,0.23,0.26,0.23,0,0,-161.94,94.04,17.5,8.23,-2.7,-2.5,0.2,0.23,0.26,0.23,0,950.55,-51.37,94.55,31.62,18.73,-1.3,0.19,0.21,0.23,0.26,0.23,0,29.57,0.01
"1981-01-29",0,265.46,-68.17,94.03,25.65,16.34,-0.27,-0.59,0.2,0.23,0.26,0.23,0,0,-124.53,93.7,19.16,13.48,-2.43,-2.01,0.2,0.23,0.26,0.23,0,915.75,-15.72,94.25,33.85,18.71,2.11,1.68,0.2,0.23,0.26,0.23,0.04,27.41,0.01
"1981-01-30",0,265.91,-57.95,94.07,24.85,17.33,-2,-1.08,0.2,0.23,0.25,0.23,0,0,-110.12,93.8,19.97,16.13,-3.85,-1.57,0.2,0.22,0.25,0.23,0,882.17,-13.61,94.25,32.82,18.93,-0.85,-0.38,0.21,0.23,0.26,0.23,2.01,25.37,0.01
"1981-01-31",0,111.74,-26.98,94.25,21.59,18.37,-1.68,0.61,0.24,0.22,0.25,0.23,0,0,-58.53,94.09,19.31,17.37,-2.05,-0.96,0.22,0.22,0.25,0.23,0,406.75,-6.79,94.46,24.67,19.11,-1.06,1.84,0.25,0.23,0.25,0.23,4.31,8.41,0.01
"1981-02-01",0,243.36,-63.29,94.59,22.85,14.98,-2.65,2.51,0.24,0.22,0.25,0.23,0,0,-97.88,94.4,18.48,12.25,-3.51,1.65,0.24,0.22,0.25,0.23,0,763.42,-17.33,94.76,27.9,17.46,-1.71,3.31,0.25,0.23,0.25,0.23,0.11,28.88,0.01
"1981-02-02",0,222.78,-60.06,94.57,21.07,14.51,-2.84,3.09,0.24,0.22,0.25,0.23,0,0,-85.05,94.35,17.41,12.67,-3.92,2.36,0.24,0.22,0.25,0.23,0,664.29,-14.04,94.66,26.12,16.36,-2.08,4.03,0.24,0.22,0.25,0.23,0.74,26.07,0.01
"1981-02-03",0,169.55,-29.25,94.39,21.37,17.38,-2.55,2.11,0.24,0.22,0.25,0.23,0,0,-59.18,94.19,18.03,16.2,-3.75,0.71,0.23,0.22,0.25,0.23,0,568.38,-7.82,94.53,26.03,19.05,-1.75,3.21,0.24,0.22,0.25,0.23,1.72,15.5,0.01
