"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,324.51,-85.49,99.49,21.29,14.56,-2.58,2.13,0.14,0.17,0.19,0.21,0,0,-156,99.23,16.22,13.87,-3.61,0.11,0.14,0.17,0.19,0.21,0,927.96,-29.17,99.69,27.79,14.94,-0.89,3.96,0.14,0.17,0.19,0.21,0.01,16.04,0
"1981-01-03",0,306.32,-81.11,99.88,17.77,11.1,0.42,4.91,0.14,0.17,0.19,0.21,0,0,-131.72,99.3,14.75,7.73,-2.13,1.16,0.13,0.17,0.19,0.21,0,906.16,-35.03,100.33,19.86,15.07,4,6.6,0.14,0.17,0.19,0.21,0.01,18.18,0
"1981-01-04",0,327.18,-86.72,100.46,17.04,8.7,-2.33,4.29,0.13,0.17,0.19,0.21,0,0,-137.95,100.29,14.44,7.78,-3.97,3.36,0.13,0.17,0.19,0.21,0,953.27,-43.18,100.6,20.43,11.04,-1.63,5.95,0.13,0.17,0.19,0.21,0,21,0
"1981-01-05",0,312.97,-73.79,100.4,18.69,12.48,-4.2,3.88,0.13,0.16,0.19,0.21,0,0,-131.78,100.22,15.74,11.26,-6.03,2.05,0.13,0.16,0.19,0.21,0,938.76,-36.2,100.58,22.96,14.36,-3.3,5.23,0.13,0.17,0.19,0.21,0.01,19.16,0
"1981-01-06",0,242.61,-57.03,100.17,17.93,13.3,-4.87,4.87,0.13,0.16,0.19,0.21,0,0,-95.56,100.04,16.04,12.39,-5.3,3.78,0.13,0.16,0.19,0.21,0,741.62,-28.28,100.27,20.91,14.47,-3.89,5.67,0.13,0.16,0.19,0.21,0.01,16.45,0
"1981-01-07",0,332.19,-101.36,99.91,20.42,11.56,-5.19,2.35,0.13,0.16,0.19,0.21,0,0,-157.76,99.61,16.04,8.4,-6.22,0.39,0.13,0.16,0.19,0.21,0,939.87,-52.84,100.14,26.3,14.13,-4.57,3.92,0.13,0.16,0.19,0.21,0,23.01,0
"1981-01-08",0,215.29,-70.65,99.32,24.71,13.4,-2.15,-2.97,0.13,0.16,0.19,0.21,0,0,-115,99.08,19.6,11.05,-4.54,-5.96,0.13,0.16,0.19,0.21,0,799.39,-27.01,99.61,29.35,16.39,2.25,0.37,0.13,0.16,0.19,0.21,0.39,22.17,0
"1981-01-09",0,292.89,-75.44,99.15,23.06,16.02,1.53,-1.11,0.13,0.16,0.19,0.21,0,0,-116.43,98.98,16.41,13.07,-2.28,-5.87,0.13,0.16,0.18,0.2,0,903.59,-46.51,99.65,29.11,17.09,6.1,5.01,0.13,0.16,0.19,0.21,0.03,20.18,0
"1981-01-10",0,310.13,-88.15,100.11,16.64,8.95,-1.25,4.6,0.13,0.16,0.18,0.2,0,0,-143.47,99.71,14.14,8.04,-3.7,3.05,0.13,0.16,0.18,0.2,0,889.77,-50.49,100.41,19.79,12.18,0.29,5.49,0.13,0.16,0.18,0.2,0,19.63,0
"1981-01-11",0,334.66,-102.86,100.32,17.59,9.87,-4.58,3.17,0.13,0.16,0.18,0.2,0,0,-147.32,100.19,14.57,8.92,-5.24,2.46,0.13,0.16,0.18,0.2,0,952.62,-54.85,100.44,21.65,12.88,-3.27,3.96,0.13,0.16,0.18,0.2,0,21.45,0
