"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0,236.19,-54.71,99.99,29.98,23.31,0.65,-1.17,0.26,0.26,0.19,0.24,0,0,-88.39,99.74,26.2,21.65,0.19,-2.04,0.25,0.26,0.19,0.24,0,732.54,-30.9,100.2,34.46,24.38,1.23,-0.1,0.26,0.26,0.19,0.24,0.94,10.21,0.1
"1981-01-03",0,239.05,-54.99,100.09,29.92,23.72,1.25,-0.71,0.24,0.25,0.19,0.24,0,0,-97.87,99.87,26.37,22.73,0.75,-1.44,0.24,0.25,0.19,0.24,0,805.84,-32.02,100.28,34.06,24.38,1.81,0.34,0.25,0.26,0.19,0.24,0.71,10.07,0.1
"1981-01-04",0,239.93,-52.58,100.07,29.07,24.18,1.19,-0.63,0.26,0.25,0.19,0.24,0,0,-95.56,99.81,26.22,23.58,-0.21,-1.52,0.23,0.24,0.19,0.24,0,798.07,-29.1,100.2,34.27,25.15,2.34,0.11,0.34,0.25,0.19,0.24,9.54,9.6,0.05
"1981-01-05",0,137.79,-35.67,100.05,27.17,24.37,0.55,-0.54,0.34,0.29,0.19,0.24,0,0,-59.86,99.84,24.87,23.96,-1.28,-1.24,0.3,0.25,0.19,0.24,0,552.11,-23.18,100.17,30.73,25.04,2.87,0.63,0.42,0.34,0.19,0.24,27.06,5.2,0.07
"1981-01-06",0,199.98,-38.8,99.98,26.83,24.04,-0.19,-0.67,0.36,0.35,0.2,0.24,0,0,-78.74,99.72,23.68,23.36,-1.93,-2.28,0.34,0.33,0.19,0.24,0,709.58,-17,100.17,31.41,24.68,1.46,0.41,0.41,0.37,0.2,0.24,20.83,6.84,0.52
"1981-01-07",0,151.9,-33.78,99.99,26.91,24.11,0.88,-0.36,0.36,0.35,0.21,0.24,0,0,-66.04,99.83,24.25,23.74,-0.32,-2.7,0.34,0.34,0.2,0.24,0,520.86,-14.49,100.17,31.37,25.24,2.16,0.3,0.39,0.36,0.21,0.24,12.4,5.54,0.23
"1981-01-08",0,163.88,-33.23,99.94,27.24,23.94,1.25,-0.14,0.35,0.35,0.22,0.24,0,0,-71.6,99.66,24.16,23.22,0.18,-1.79,0.34,0.34,0.21,0.24,0,687.08,-5.49,100.21,32.1,25,2.08,0.5,0.37,0.35,0.22,0.24,3.77,6.29,0.94
"1981-01-09",0,116.82,-26.67,99.78,26.87,24.31,1.38,-0.35,0.36,0.35,0.23,0.24,0,0,-48.82,99.52,25.09,23.73,0.36,-1.7,0.34,0.33,0.22,0.24,0,513.43,-6.83,100,29.95,25.56,3.07,1.51,0.41,0.36,0.23,0.24,16.53,4.42,0.7
"1981-01-10",0,173.08,-35.87,99.67,27.24,24.6,0.65,-0.34,0.36,0.36,0.24,0.24,0,0,-68.36,99.44,24.68,24.16,-0.45,-1.62,0.34,0.34,0.23,0.24,0,660.33,-19.67,99.83,32.34,25.5,1.45,0.53,0.4,0.37,0.24,0.24,17.17,5.76,1.38
"1981-01-11",0,158.45,-33.14,99.66,26.95,24.47,0.37,-0.38,0.37,0.36,0.25,0.24,0,0,-67.83,99.49,24.23,24.05,-0.78,-2.33,0.36,0.35,0.24,0.24,0,670.33,-20.59,99.84,31.39,24.95,1.24,0.92,0.4,0.37,0.26,0.24,14.83,5.3,1.99
