"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-02",0.07,4.24,-3.28,98.92,7.36,6.12,8.97,1.32,0.42,0.41,0.41,0.42,0.01,0,-11.66,98.1,5.02,3.86,6.78,0.78,0.41,0.4,0.41,0.42,0.2,22.1,-0.61,99.91,8.64,7.42,10.39,2.48,0.43,0.42,0.42,0.42,7.83,1.41,4.42
"1981-01-03",0,17.08,-45.65,97.75,5.85,2.96,9.01,-0.51,0.42,0.42,0.42,0.42,0,0,-75.1,97.44,3.5,0.9,4.6,-2.33,0.41,0.42,0.42,0.42,0.01,90.7,-0.68,98.26,8.88,7.46,10.94,2.01,0.42,0.42,0.42,0.42,3.55,2.92,6.02
"1981-01-04",0.16,32.12,-84.77,98.79,1.09,-3.93,5.21,-2.4,0.41,0.41,0.42,0.42,0,0,-106.92,98.3,-1.17,-6.85,3.5,-4.35,0.4,0.41,0.42,0.42,0.25,174.54,-32.8,99.75,2.87,0.68,8.34,0.21,0.41,0.42,0.42,0.42,0.56,2.7,3.61
"1981-01-05",0.43,29.9,-65.19,99.98,-0.54,-3.69,3.37,-0.34,0.4,0.41,0.42,0.42,0.24,0,-98.84,99.3,-4.06,-6.57,1.54,-3.33,0.4,0.41,0.41,0.42,1.17,172.14,-5.7,100.37,3.88,2.51,8.53,2.29,0.41,0.41,0.42,0.42,2.48,0.75,2.38
"1981-01-06",1.3,9.04,-46.72,99.98,0.98,-0.6,2.42,-1.6,0.41,0.41,0.41,0.42,0.95,0,-80.46,99.36,-2.14,-2.52,-0.46,-3.79,0.4,0.41,0.41,0.42,1.8,45.26,-14.84,100.85,2.99,0.88,6.94,0.5,0.41,0.41,0.41,0.42,2.05,0.53,2.36
"1981-01-07",1.8,11.1,-18.87,101.2,-0.19,-0.93,2.08,0.42,0.4,0.4,0.41,0.42,1.41,0,-46.75,100.95,-3.23,-3.76,1.21,-1.22,0.4,0.4,0.41,0.42,1.93,56.86,3.88,101.37,5.87,5.49,4.62,1.81,0.41,0.41,0.41,0.42,0.37,0.06,1.96
"1981-01-08",0.52,12.62,-10.39,100.91,6.99,6.19,4.59,1.41,0.41,0.4,0.41,0.42,0.1,0,-26.05,100.49,5.81,5.48,3.14,-0.56,0.4,0.4,0.41,0.42,1.28,62.8,2.97,101.09,7.75,6.99,5.62,2.98,0.41,0.41,0.41,0.42,0.13,0.16,1.94
"1981-01-09",0.03,18.49,-38.23,100.05,4.59,3.01,4.58,0.12,0.41,0.41,0.41,0.42,0.02,0,-72.99,99.82,0.57,-0.58,2.55,-2.52,0.4,0.4,0.41,0.42,0.09,101.28,-3.76,100.43,7.36,6.12,6.26,2.87,0.42,0.41,0.41,0.42,2.18,0.8,2.32
"1981-01-10",0.09,29.89,-75.07,100.83,0.04,-3.44,0.11,-5.57,0.4,0.41,0.41,0.42,0.02,0,-82.61,99.93,-1.43,-4.83,-0.35,-6.6,0.4,0.4,0.41,0.42,0.18,156.14,-63.34,101.55,1.99,-1.29,1.62,-3.49,0.4,0.41,0.41,0.42,0.53,1.63,1.92
"1981-01-11",0.18,33.7,-62.18,101.17,-0.24,-2.79,2.5,-0.47,0.4,0.4,0.41,0.42,0.17,0,-91.34,100.21,-3.33,-5.91,0.75,-3.52,0.39,0.4,0.41,0.42,0.19,173.43,-19.96,101.54,2.65,1.82,5.78,2.06,0.4,0.4,0.41,0.42,0.07,0.43,1.58
