"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",76.41,48.18,-62.09,98.64,-18.44,-21.54,0.66,-1.19,0.35,0.35,0.35,0.41,76.37,0,-79.67,98.4,-21.2,-23.67,-1.2,-1.67,0.35,0.35,0.35,0.41,76.42,220.08,-26.17,98.86,-14.94,-19.47,1.98,-0.44,0.35,0.35,0.36,0.41,0,0.89,0.57
"1981-01-02",77.12,37.93,-25.21,97.8,-14.15,-17.52,-1.34,-0.04,0.35,0.35,0.35,0.41,76.36,0,-54.38,96.89,-18.78,-21.35,-2.14,-1.11,0.35,0.35,0.35,0.41,81.37,185.66,-1.6,98.49,-9.6,-12.76,1.55,0.94,0.35,0.35,0.35,0.41,5.09,1.54,0.58
"1981-01-03",82.66,51.58,-66.18,97.4,-22.61,-27.76,3.71,0.17,0.35,0.35,0.35,0.41,81.8,0,-93.26,96.79,-29.52,-33.95,1.85,-1.43,0.35,0.35,0.35,0.41,82.81,237.14,-7.41,98.09,-11.01,-12.8,4.58,0.89,0.35,0.35,0.35,0.41,1.58,2.19,0.54
"1981-01-04",82.64,54.15,-74.41,97.89,-31.3,-35.96,2.08,0.13,0.35,0.35,0.35,0.41,82.62,0,-87.76,97.69,-34.03,-37.93,1.72,-0.58,0.35,0.35,0.35,0.41,82.66,246.56,-40.05,98.07,-28.28,-34.18,2.89,0.56,0.35,0.35,0.35,0.41,0.04,0.47,0.5
"1981-01-05",82.88,49.38,-44.32,97.9,-22.32,-26.17,2.12,-0.65,0.35,0.35,0.35,0.41,82.68,0,-79.6,97.47,-31.59,-35.14,1.3,-1.46,0.35,0.35,0.35,0.41,82.93,231.15,-3.61,98.48,-14.69,-19.78,2.78,0.64,0.35,0.35,0.35,0.41,0.26,0.89,0.5
"1981-01-06",82.92,46.03,-56.92,98.71,-17.54,-20.89,0.57,0.19,0.35,0.35,0.35,0.41,82.89,0,-67.95,98.52,-21.68,-24.1,-1.44,-1.3,0.35,0.35,0.34,0.41,82.93,205.37,-35.05,98.88,-13.76,-18.39,1.89,1.64,0.35,0.35,0.35,0.41,0.02,1.26,0.48
"1981-01-07",91.93,7.67,-3.1,97.31,-4.04,-5.14,-1.16,1.81,0.35,0.35,0.34,0.41,82.91,0,-28.85,96.27,-15,-17.47,-3.28,-1.22,0.34,0.35,0.34,0.41,107.16,36.24,11.27,98.52,0.91,0.38,2.11,3.95,0.35,0.35,0.34,0.41,24.14,0.82,0.45
"1981-01-08",108.65,34.34,-49.02,96.84,-11.75,-15.6,3.2,0.3,0.34,0.35,0.34,0.41,107.51,0,-92.08,96,-18.47,-22.37,2.14,-1.2,0.34,0.35,0.34,0.41,109.31,144.53,-16.15,98.16,-3.41,-5.28,3.75,1.5,0.34,0.35,0.34,0.41,2.71,3.95,0.45
"1981-01-09",109.14,51.57,-68.51,99.15,-19.88,-23.67,0.85,0.51,0.34,0.35,0.34,0.41,109.09,0,-84.34,98.26,-23.01,-25.84,-1.48,-0.15,0.34,0.35,0.34,0.41,109.18,245.37,-36.99,99.64,-17.18,-22.41,2.95,1.53,0.34,0.35,0.34,0.41,0.01,1.1,0.44
"1981-01-10",111.26,21.46,-6.27,98.83,-13.98,-16.64,-0.74,-1.37,0.34,0.35,0.34,0.41,109.1,0,-39.45,96.99,-20.05,-23.31,-1.59,-3.8,0.34,0.35,0.34,0.41,118.89,111.16,5.47,99.61,-9.06,-11.27,1.57,0.06,0.34,0.35,0.34,0.41,9.75,0.71,0.43
"1981-01-11",128.33,34.75,-33.86,96.76,-14.74,-18.73,3.54,0.07,0.34,0.34,0.34,0.41,120.78,0,-76.46,96.04,-22.19,-26.54,1.9,-4.07,0.34,0.34,0.34,0.41,129.86,157.4,-3.17,98.07,-9.24,-11.42,4.77,2.57,0.34,0.35,0.34,0.41,11.36,3.69,0.41
