"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",64.88,50.5,-63.16,100.06,-16.76,-20.32,1.08,-0.47,0.39,0.38,0.37,0.41,64.84,0,-84.42,99.83,-20.23,-22.79,0.04,-1.19,0.39,0.38,0.37,0.41,64.91,230.17,-26.46,100.29,-11.59,-17.99,2.14,0.27,0.4,0.38,0.37,0.41,0,1.2,0.73
"1981-01-02",65.8,38.41,-21.1,99.15,-13.32,-16.28,-1.13,-0.56,0.39,0.38,0.37,0.41,64.84,0,-46.76,98.15,-18.5,-21.04,-2.37,-1.95,0.38,0.38,0.37,0.41,71.13,196.61,-1.04,99.89,-7.99,-11.93,2.1,0.42,0.39,0.38,0.37,0.41,6.34,1.6,0.7
"1981-01-03",71.48,57.08,-78.9,98.93,-20.25,-25.9,4.22,0.32,0.38,0.38,0.37,0.41,71.35,0,-99.2,98.11,-26.16,-31.1,2.65,-1.59,0.38,0.37,0.37,0.41,71.64,258.83,-8.79,99.65,-9.92,-12.15,5.26,1.24,0.38,0.38,0.37,0.41,0.57,3.73,0.66
"1981-01-04",71.31,57.8,-83.44,99.42,-28.89,-33.61,2.13,-0.05,0.38,0.37,0.37,0.41,71.28,0,-93.48,99.23,-31.29,-35.64,1.58,-0.77,0.38,0.37,0.36,0.41,71.35,259.97,-72.43,99.61,-25.64,-31.13,2.48,0.79,0.38,0.37,0.37,0.41,0,0.7,0.62
"1981-01-05",71.34,54.81,-58.59,99.4,-21.89,-26.22,2.48,-0.01,0.37,0.37,0.36,0.41,71.27,0,-80.34,99.04,-31.77,-35.23,1.91,-1.04,0.37,0.37,0.36,0.41,71.36,248.19,-14.92,99.92,-13.51,-18.85,3.01,0.79,0.38,0.37,0.36,0.41,0.09,1.4,0.58
"1981-01-06",71.3,52.46,-63.62,100.17,-15.68,-19.21,1.17,0.52,0.37,0.37,0.36,0.41,71.24,0,-78.16,99.96,-19.4,-21.92,-1.39,-0.62,0.37,0.37,0.36,0.41,71.33,229.34,-21.47,100.37,-11.67,-14.91,2.38,1.92,0.37,0.37,0.36,0.41,0.02,1.55,0.55
"1981-01-07",75.68,6.84,-2.47,98.73,-0.97,-2.27,-0.79,3.06,0.39,0.38,0.36,0.41,71.28,0,-11.06,97.57,-11.25,-13.2,-2.65,0.74,0.37,0.37,0.36,0.4,82.36,34.41,10.89,99.95,4.53,3.16,1.7,5.06,0.44,0.41,0.36,0.41,27.18,2.15,0.64
"1981-01-08",83.86,52.1,-63.62,98.33,-10.35,-14.48,3.51,0.76,0.41,0.4,0.36,0.4,83.18,0,-94.26,97.38,-17.69,-21.83,2.13,-0.69,0.41,0.4,0.36,0.4,84.07,238.12,-14.32,99.71,-0.49,-1.17,3.99,1.84,0.42,0.41,0.36,0.4,2.23,5.64,1.01
"1981-01-09",83.75,55.09,-64.41,100.67,-18.34,-22.22,1.08,0.73,0.4,0.4,0.36,0.4,83.69,0,-88.12,99.81,-22.15,-24.96,-1.17,-0.44,0.4,0.39,0.36,0.4,83.97,254.97,-0.92,101.06,-15.24,-19.06,3.13,1.43,0.4,0.4,0.36,0.4,0.29,1.44,0.95
"1981-01-10",88.25,21.15,-0.54,100.02,-9.97,-12.11,-0.58,-2.1,0.39,0.39,0.36,0.4,84.19,0,-17.13,97.87,-15.72,-18.53,-2.03,-4.09,0.39,0.39,0.36,0.4,99.98,119.87,10.62,101.02,-6.11,-7.73,2.01,-0.71,0.4,0.39,0.36,0.4,15.99,1.13,0.89
"1981-01-11",109.63,38.66,-43.27,98.24,-13.03,-17.16,3.74,0.61,0.39,0.39,0.36,0.4,102.9,0,-90.78,97.15,-20.25,-24.28,2.38,-3.85,0.39,0.38,0.36,0.4,110.64,180.19,-4.32,99.71,-6.15,-7.67,4.81,2.76,0.39,0.39,0.36,0.4,11.02,5.07,0.86
"1981-01-12",110.44,60.81,-72.58,100.57,-21.61,-26.13,1.04,0.2,0.38,0.38,0.36,0.4,110.4,0,-89.99,99.82,-25.13,-28.27,-1.09,-1.78,0.38,0.38,0.36,0.4,110.5,268.03,-10.21,100.9,-16.63,-24.03,2.64,1.69,0.39,0.38,0.36,0.4,0.01,1.14,0.82
"1981-01-13",118.68,8.12,1.25,99.49,-16.42,-20.37,0.56,-2.9,0.38,0.38,0.36,0.4,110.41,0,-15.15,98.62,-19.62,-23.99,-1.36,-3.89,0.38,0.38,0.36,0.4,129.28,33.16,14.67,100.79,-13.55,-16.54,3.2,-1.25,0.38,0.38,0.36,0.4,18.95,2.01,0.78
