"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",72.42,50.66,-66.41,100.59,-16.37,-20.01,0.87,0.34,0.4,0.4,0.39,0.41,72.39,0,-84.22,100.22,-20.66,-23.17,-0.65,-0.14,0.39,0.39,0.39,0.41,72.45,233.2,-28.25,100.81,-10.58,-16.88,2.14,0.84,0.4,0.4,0.39,0.41,0,1.38,0.88
"1981-01-02",72.88,47.39,-30.47,99.84,-14.84,-17.79,-0.9,-0.62,0.39,0.39,0.39,0.41,72.38,0,-73.3,98.43,-22.65,-25.05,-1.87,-2.14,0.39,0.39,0.39,0.41,77.68,231.86,0.27,100.54,-8.47,-9.71,1.21,0.83,0.39,0.39,0.39,0.41,5.31,1.41,0.84
"1981-01-03",82.76,54.96,-67.72,99.05,-18.23,-23.62,4.33,1.33,0.39,0.39,0.39,0.41,79.62,0,-100.48,98.17,-25.85,-31.69,2.1,-1.57,0.39,0.39,0.39,0.41,83.2,252.39,-0.96,100.01,-8.17,-9.59,5.19,2.35,0.39,0.39,0.39,0.41,5.59,4.33,0.81
"1981-01-04",82.82,55.86,-82.81,99.89,-28.1,-33.12,2.19,1.05,0.39,0.39,0.39,0.41,82.78,0,-89.98,99.72,-31.04,-35.04,1.73,0.54,0.38,0.39,0.39,0.41,82.87,254.08,-73.83,100.02,-24.91,-31.47,3.18,1.71,0.39,0.39,0.39,0.41,0,0.95,0.78
"1981-01-05",82.84,52.39,-60.76,99.78,-22.75,-26.6,2.02,1.01,0.38,0.39,0.39,0.41,82.78,0,-81.64,99.47,-32.45,-35.87,1.65,0.71,0.38,0.38,0.39,0.41,82.89,240.36,-19.67,100.27,-13.59,-17.9,2.35,1.29,0.38,0.39,0.39,0.41,0.08,0.67,0.75
"1981-01-06",82.87,53.18,-68.89,100.68,-15.65,-18.86,1.35,1.15,0.38,0.38,0.39,0.41,82.83,0,-86.89,100.33,-19.36,-21.79,0.41,0.67,0.38,0.38,0.39,0.41,82.9,241.15,-58.62,100.84,-11.07,-16.13,2.07,1.67,0.38,0.38,0.39,0.41,0,1.49,0.73
"1981-01-07",84.43,11.99,-9.07,99.57,-2.54,-4.74,-1.48,3.37,0.4,0.39,0.39,0.41,82.43,0,-35.6,98.08,-15.18,-17.66,-2.38,1.42,0.38,0.38,0.39,0.41,87.63,60.25,1.6,100.75,6.19,3.32,0.86,5.94,0.43,0.43,0.39,0.41,23.55,5.27,0.7
"1981-01-08",90.44,47.09,-60.12,98.59,-7.69,-11.13,3.08,1.87,0.42,0.42,0.39,0.41,84.9,0,-93.73,97.57,-16.16,-20.26,0.91,1.17,0.41,0.41,0.39,0.41,91.26,228.18,-4.08,100.02,0.92,0.82,4.06,3,0.43,0.43,0.39,0.41,9.82,5.89,0.78
"1981-01-09",90.53,55.68,-70.5,101.19,-17.58,-21.6,1.42,1.25,0.4,0.41,0.4,0.41,90.48,0,-89.03,100.14,-20.85,-23.54,-1.33,0.12,0.4,0.4,0.39,0.41,90.61,255.71,-26.46,101.8,-14.54,-19.52,2.89,1.58,0.41,0.41,0.4,0.41,0.03,1.72,1.04
"1981-01-10",94.99,17.9,-5.31,100.76,-9.93,-11.91,-2.01,-1.71,0.4,0.4,0.4,0.41,90.52,0,-18.26,98.19,-17.14,-19.63,-3.62,-5.08,0.4,0.4,0.4,0.41,110.94,94.75,5.62,101.76,-3.05,-4.27,-1.24,-0.24,0.4,0.4,0.4,0.41,20.35,0.82,0.95
"1981-01-11",125.24,43.5,-49.04,98.34,-10.22,-14.31,3.12,1.15,0.39,0.4,0.4,0.41,114.68,0,-90.53,97.03,-18.29,-22.66,-2.43,-5.72,0.39,0.4,0.4,0.41,126.93,192.23,-5.71,100.09,-3.43,-4.76,5.11,4.11,0.4,0.4,0.4,0.41,16.44,7.43,0.9
"1981-01-12",126.63,59.18,-75.18,101.15,-20.82,-25.28,1.4,1.05,0.39,0.39,0.4,0.41,126.56,0,-89.91,100.22,-23.59,-27.23,-0.76,-1.62,0.39,0.39,0.39,0.41,126.72,263.57,-9.59,101.64,-17.64,-23.28,2.78,2.62,0.39,0.4,0.4,0.41,0,1.58,0.84
"1981-01-13",133.63,5.99,-3.8,99.97,-15.9,-19.38,0.07,-3.5,0.39,0.39,0.39,0.41,126.55,0,-53.8,98.75,-20.68,-24.44,-1.35,-5.74,0.39,0.39,0.39,0.41,144.43,24.51,12.11,101.48,-11.35,-14.42,3.23,-0.63,0.39,0.39,0.39,0.41,17.89,1.93,0.8
"1981-01-14",145.31,50.61,-55.32,100.03,-12.91,-16.81,2.53,1.27,0.39,0.39,0.39,0.41,144.68,0,-85.7,98.99,-15.17,-18.02,1.85,-0.34,0.38,0.39,0.39,0.41,145.43,233.11,-7.05,100.78,-10.04,-15.28,3.43,1.97,0.39,0.39,0.39,0.41,1.09,3.39,0.76
"1981-01-15",145.25,59.88,-75.3,101.17,-15.65,-19.57,1.46,0.76,0.38,0.39,0.39,0.41,145.18,0,-90.12,100.79,-19.03,-21.67,0.73,-0.84,0.38,0.39,0.39,0.41,145.32,264.4,-54.67,101.34,-11.08,-17.32,1.78,1.37,0.38,0.39,0.39,0.41,0,1.99,0.73
"1981-01-16",145.14,60.7,-64.36,100.96,-16.43,-20.48,0.5,-0.5,0.38,0.39,0.39,0.41,145.11,0,-87.47,100.8,-20.9,-23.56,-0.08,-1.55,0.38,0.38,0.39,0.41,145.18,267.82,-38.23,101.26,-11.51,-17.79,0.93,1.02,0.38,0.39,0.39,0.41,0,1.89,0.7
"1981-01-17",145.22,46.65,-33.84,100.29,-15.53,-18.4,-0.86,-1.68,0.38,0.38,0.39,0.41,145.11,0,-58.99,99.61,-21.55,-23.75,-1.51,-3.72,0.38,0.38,0.39,0.41,145.68,210.91,-12.41,100.77,-11.29,-14.06,-0.14,0.57,0.38,0.38,0.39,0.41,0.52,1.52,0.66
"1981-01-18",145.93,56.2,-58.29,98.72,-12.77,-17.23,1.47,-2.66,0.38,0.38,0.39,0.41,145.73,0,-101.21,98.28,-14.87,-18.59,-0.58,-4.18,0.38,0.38,0.39,0.4,146.05,259.13,-11.92,99.46,-10.11,-13.99,2.41,-0.8,0.38,0.38,0.39,0.41,0.45,4.47,0.63
