"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",71.52,51,-65.47,100.4,-16.74,-20.29,0.79,0.43,0.4,0.4,0.4,0.41,71.49,0,-84.46,100.04,-20.9,-23.39,-1.03,-0.37,0.4,0.4,0.39,0.41,71.55,236.39,-27.18,100.62,-10.7,-16.7,2.2,0.74,0.4,0.4,0.4,0.41,0,1.18,0.78
"1981-01-02",72.2,47.39,-29.76,99.61,-14.73,-17.69,-0.96,-0.33,0.39,0.4,0.4,0.41,71.48,0,-72.97,98.13,-22.5,-24.87,-2.01,-2.07,0.39,0.4,0.4,0.41,78.89,236.26,-0.2,100.34,-8.14,-9.29,1.33,1.06,0.4,0.4,0.4,0.41,7.42,1.41,0.73
"1981-01-03",84.15,55.29,-66.94,98.89,-17.94,-23.16,4.31,1.36,0.39,0.39,0.39,0.41,81.02,0,-100.56,97.94,-25.26,-31.01,2.14,-1.57,0.39,0.39,0.39,0.41,84.56,254.15,-1.32,99.86,-7.96,-9.16,5.19,2.37,0.39,0.4,0.4,0.41,5.75,4.3,0.68
"1981-01-04",84.19,56.53,-81.89,99.71,-27.62,-32.47,2.13,0.95,0.39,0.39,0.39,0.41,84.15,0,-88.92,99.52,-30.65,-34.43,1.77,0.49,0.39,0.39,0.39,0.41,84.24,258.28,-71.14,99.87,-24.29,-30.7,3.05,1.81,0.39,0.39,0.39,0.41,0,0.93,0.65
"1981-01-05",84.18,53.52,-61.62,99.62,-23.36,-27.22,2.11,1.05,0.39,0.39,0.39,0.41,84.14,0,-81.16,99.3,-32.3,-35.65,1.69,0.71,0.38,0.39,0.39,0.41,84.22,244.83,-17.53,100.11,-14.83,-18.59,2.46,1.28,0.39,0.39,0.39,0.41,0.05,0.65,0.61
"1981-01-06",84.21,54.5,-68.86,100.51,-15.67,-18.83,1.38,1.17,0.38,0.39,0.39,0.41,84.17,0,-86.68,100.17,-19.61,-21.96,0.3,0.79,0.38,0.39,0.39,0.4,84.23,247.27,-59.72,100.66,-11.1,-16.05,2.18,1.81,0.38,0.39,0.39,0.41,0,1.35,0.59
"1981-01-07",85.2,15.33,-11.88,99.43,-1.98,-4.33,-1.56,3.53,0.4,0.39,0.39,0.4,82.09,0,-37.6,97.91,-14.16,-16.33,-2.38,1.63,0.38,0.38,0.39,0.4,88.29,79.11,-1.65,100.58,6.38,3.38,0.74,6.21,0.43,0.43,0.4,0.4,22.96,6.48,0.7
"1981-01-08",89.82,50.1,-59.92,98.45,-7.48,-10.74,3.03,1.83,0.42,0.42,0.4,0.4,83.66,0,-97.07,97.42,-16.15,-20.03,1.26,0.94,0.41,0.41,0.4,0.4,90.67,240.39,-4.37,99.87,1.83,1.46,3.82,2.92,0.43,0.43,0.4,0.4,11.97,5.64,0.88
"1981-01-09",89.98,56.46,-69.74,101.02,-17.4,-21.33,1.37,1.25,0.41,0.41,0.4,0.4,89.93,0,-88.43,99.99,-21.02,-23.66,-1.49,0.4,0.4,0.41,0.4,0.4,90.05,259.18,-23.72,101.6,-14.2,-18.38,2.9,1.51,0.41,0.41,0.4,0.4,0.03,1.68,0.96
"1981-01-10",94.37,17.22,-8.07,100.48,-8.94,-10.8,-2.31,-1.25,0.4,0.4,0.4,0.4,89.96,0,-21.8,97.78,-15.54,-17.75,-3.77,-4.62,0.4,0.4,0.4,0.4,110.52,80.7,0.5,101.54,-2.85,-3.93,-1.47,0.31,0.4,0.41,0.4,0.4,20.47,0.83,0.9
"1981-01-11",123.32,45.4,-50.69,98.18,-9.92,-13.76,3.18,1.32,0.4,0.4,0.4,0.4,113.8,0,-91.97,96.64,-17.92,-22.07,-1.98,-4.95,0.39,0.4,0.4,0.4,124.86,198.62,-5,99.96,-2.96,-4.06,5.13,3.98,0.4,0.4,0.4,0.4,14.81,6.96,0.83
