"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",63.46,52.46,-63.11,99.98,-17.18,-20.6,0.9,-0.67,0.4,0.39,0.37,0.41,63.41,0,-85.52,99.78,-20.81,-23.34,-0.11,-1.52,0.39,0.38,0.37,0.41,63.48,239.19,-32.16,100.22,-11.44,-17.82,1.92,0.02,0.4,0.39,0.37,0.41,0,1.38,NA
"1981-01-02",64.46,37.79,-20.48,99.05,-12.91,-15.7,-1.13,-0.67,0.39,0.38,0.37,0.41,63.41,0,-44.68,98.06,-18.05,-20.72,-2.39,-1.94,0.39,0.38,0.37,0.41,70.07,192.26,-1.06,99.81,-7.34,-11.48,1.96,0.3,0.39,0.38,0.37,0.41,6.72,1.6,NA
"1981-01-03",70.28,59.27,-80.31,98.89,-20.31,-25.86,3.76,0.22,0.39,0.38,0.37,0.41,70.15,0,-99.65,98.05,-26.21,-31.04,2.22,-1.63,0.38,0.38,0.37,0.41,70.44,267.65,-9.59,99.6,-9.99,-12.11,4.64,1.05,0.39,0.38,0.37,0.41,0.42,3.37,NA
"1981-01-04",70.12,59.82,-82.93,99.36,-29.01,-33.72,1.88,-0.21,0.38,0.38,0.37,0.41,70.08,0,-93.84,99.16,-31.6,-35.58,1.38,-0.9,0.38,0.38,0.37,0.41,70.15,268.44,-69.76,99.55,-25.44,-31.02,2.19,1.08,0.38,0.38,0.37,0.41,0,0.68,NA
"1981-01-05",70.12,56.91,-58.7,99.35,-22.37,-26.54,2.19,-0.15,0.38,0.38,0.37,0.41,70.08,0,-80.67,99,-32.19,-35.67,1.71,-1.24,0.38,0.37,0.37,0.41,70.14,257.65,-17.2,99.86,-13.5,-18.82,2.68,0.69,0.38,0.38,0.37,0.41,0.07,1.26,NA
"1981-01-06",70.09,55.29,-63.25,100.11,-15.92,-19.38,0.95,0.39,0.38,0.37,0.37,0.41,70.04,0,-80.51,99.9,-20,-22.51,-1.55,-0.7,0.38,0.37,0.36,0.41,70.12,243.7,-16.01,100.31,-11.26,-13.49,2.05,1.77,0.38,0.37,0.37,0.41,0.03,1.68,NA
"1981-01-07",74.22,6.73,-2.16,98.67,-0.44,-1.79,-0.66,3.23,0.4,0.38,0.36,0.4,70.09,0,-10.86,97.51,-9.51,-11.62,-2.51,0.67,0.37,0.37,0.36,0.4,80.66,33.73,12.82,99.87,4.77,3.49,1.61,5.36,0.44,0.41,0.36,0.41,28,2.32,NA
"1981-01-08",82.05,56.22,-66.21,98.29,-10.57,-14.64,3.2,0.64,0.41,0.41,0.37,0.4,81.47,0,-94.66,97.33,-17.98,-21.94,1.97,-0.63,0.41,0.4,0.36,0.4,82.24,254.72,-16.85,99.68,-0.64,-1.16,3.78,1.61,0.42,0.41,0.37,0.4,2.05,5.18,NA
"1981-01-09",81.92,56.77,-62.12,100.6,-18.65,-22.45,0.93,0.52,0.4,0.4,0.37,0.4,81.86,0,-87.51,99.78,-22.65,-25.47,-0.97,-0.86,0.4,0.4,0.37,0.4,82.23,261.6,6.09,100.97,-15.31,-18.52,2.75,1.13,0.41,0.4,0.37,0.4,0.38,1.42,NA
"1981-01-10",86.5,21.94,-0.81,99.89,-9.22,-11.23,-0.39,-2.08,0.4,0.39,0.37,0.4,82.48,0,-22.87,97.74,-14.93,-17.74,-2.05,-4,0.39,0.39,0.37,0.4,98.39,131.64,12.81,100.91,-5.48,-7.62,2.13,-1.13,0.4,0.4,0.37,0.4,16.16,1.1,NA
