"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",109.46,47.04,-72.71,100.21,-13.94,-17.12,1.75,-0.77,0.36,0.37,0.38,0.41,109.43,0,-87.14,99.67,-15.67,-18.1,0.31,-1.31,0.36,0.37,0.38,0.41,109.51,220.79,-30.99,100.44,-10.85,-15.46,3.48,0.24,0.36,0.37,0.38,0.41,0,1.44,0.32
"1981-01-02",109.58,43.53,-29.5,99.65,-12.26,-14.69,-0.26,0.1,0.36,0.36,0.38,0.41,109.43,0,-73.27,98.26,-15.04,-16.89,-1.69,-2.02,0.36,0.36,0.38,0.41,111.07,213.24,-1.6,100.28,-7.71,-8.86,0.67,1.16,0.36,0.37,0.38,0.41,1.65,1.21,0.27
"1981-01-03",118.41,39.86,-48.05,98.29,-16.5,-21.31,4.35,0.49,0.36,0.36,0.38,0.41,112.53,0,-95.6,97.77,-26.43,-32.27,1.39,-1.93,0.36,0.36,0.38,0.41,119.46,200.17,5.29,99.21,-6.91,-7.96,5.43,1.93,0.36,0.36,0.38,0.41,8.62,4.62,0.25
"1981-01-04",119.17,51.13,-83.17,99.34,-28.36,-33.72,2.11,1.06,0.36,0.36,0.37,0.41,119.13,0,-91.25,99.23,-31.11,-35,1.19,0.2,0.36,0.36,0.37,0.41,119.23,236.82,-76.29,99.49,-25.52,-32.32,3.66,1.9,0.36,0.36,0.38,0.41,0,1.04,0.24
"1981-01-05",119.22,48,-58.76,99.24,-22.05,-25.96,2.3,-0.08,0.36,0.36,0.37,0.41,119.12,0,-78.19,98.94,-31.7,-35.28,0.98,-1.08,0.36,0.36,0.37,0.41,119.3,224.03,-9.49,99.7,-13.12,-17.18,3.56,1.43,0.36,0.36,0.37,0.41,0.1,1.03,0.22
"1981-01-06",119.27,44.6,-68.18,100.24,-14.45,-18.25,1.52,0.26,0.36,0.36,0.37,0.41,119.22,0,-82.46,99.78,-16.89,-19.34,-0.19,-0.8,0.36,0.36,0.37,0.41,119.31,215.13,-57.21,100.43,-11.24,-17.3,3.22,1.75,0.36,0.36,0.37,0.41,0,1.77,0.21
"1981-01-07",123.96,8.39,-4.87,99.32,-6.24,-8,-1.47,2.77,0.36,0.36,0.37,0.41,119.22,0,-55.28,97.75,-17.02,-19.34,-2.64,1.22,0.36,0.36,0.37,0.41,130.83,43.31,15.02,100.38,4.49,2.56,0.36,5.11,0.42,0.38,0.37,0.41,18.19,1.67,0.2
"1981-01-08",133.5,36.93,-52.44,97.95,-6.52,-10.44,3.21,1.27,0.4,0.39,0.37,0.41,129.39,0,-95.99,96.98,-14.51,-19.26,-0.16,-0.45,0.39,0.38,0.37,0.41,134.32,164.61,-4.79,99.37,2.25,1.79,4.18,2.71,0.43,0.39,0.37,0.41,8.87,7.75,0.2
"1981-01-09",133.58,51.73,-77.82,100.7,-16.82,-21.37,1.78,0.81,0.39,0.39,0.37,0.41,133.5,0,-92.42,99.51,-18.84,-22.75,0.05,0.25,0.38,0.39,0.37,0.41,133.73,238.86,-45,101.51,-14.37,-19.87,3.34,1.67,0.39,0.39,0.37,0.41,0.01,2.38,0.19
"1981-01-10",136.98,20.21,-14.32,100.82,-12.66,-14.83,-1.52,-1.24,0.38,0.39,0.37,0.4,133.49,0,-60.25,98.72,-19.36,-21.91,-4.78,-4.38,0.38,0.38,0.37,0.4,151.83,101.46,13.91,101.49,-4.29,-5.37,0.2,1.52,0.38,0.39,0.37,0.41,18.24,0.28,0.18
"1981-01-11",171.23,38.17,-45.24,97.71,-10.35,-14.8,2.82,0.59,0.38,0.38,0.37,0.4,155.15,0,-91.98,96.33,-18.3,-23.39,-4.81,-6.39,0.38,0.38,0.37,0.4,174.54,181.74,-7.01,99.37,-4.37,-5.67,6.06,4.16,0.38,0.38,0.37,0.4,22.98,8.5,0.18
"1981-01-12",174.07,54.11,-82.32,100.69,-20.85,-25.87,1.5,1.68,0.38,0.38,0.37,0.4,173.98,0,-90.58,99.51,-22.75,-27.57,0.22,-1.1,0.37,0.38,0.37,0.4,174.21,246.05,-43.08,101.4,-18,-24.09,2.54,3.28,0.38,0.38,0.37,0.4,0,2.08,0.17
"1981-01-13",179.62,11.77,-2.41,100.01,-17.19,-20.54,1.15,-2.78,0.37,0.38,0.37,0.4,173.98,0,-44.57,98.46,-21.8,-25.11,-0.03,-3.96,0.37,0.38,0.37,0.4,192.16,61.58,12.48,101.38,-12.06,-15.15,3.66,-1.25,0.37,0.38,0.37,0.4,18.16,1.37,0.17
"1981-01-14",193.66,35.3,-34.44,99.5,-12.92,-16.93,2.75,0.01,0.37,0.38,0.37,0.4,192.59,0,-74.16,98.51,-15,-18.04,1.56,-2.14,0.37,0.37,0.37,0.4,193.95,145.49,-0.91,100.3,-10.46,-15.64,4.38,1.07,0.37,0.38,0.37,0.4,1.95,3.49,0.17
"1981-01-15",193.86,55.6,-79.33,100.76,-16.03,-19.88,1.6,0.51,0.37,0.37,0.37,0.4,193.79,0,-91.64,100.3,-18.44,-21.2,0.87,-0.85,0.37,0.37,0.37,0.4,193.93,249.32,-72.47,101.03,-12.4,-18.04,1.85,1.24,0.37,0.37,0.37,0.4,0,1.71,0.16
"1981-01-16",193.76,55.52,-68.08,100.67,-17.11,-20.55,1.38,-0.65,0.37,0.37,0.37,0.4,193.74,0,-86.16,100.51,-19.52,-22.17,0.64,-1.22,0.37,0.37,0.37,0.4,193.79,250.07,-34.65,100.98,-13.43,-18.33,1.83,0.23,0.37,0.37,0.37,0.4,0.01,1.26,0.16
"1981-01-17",193.83,51.78,-49.87,100.14,-16.51,-19.13,0.71,-1.17,0.37,0.37,0.37,0.4,193.76,0,-73.81,99.66,-20.77,-22.78,-0.1,-2.7,0.37,0.37,0.37,0.4,193.93,240.71,-22.72,100.46,-13.16,-15.8,1.53,0.23,0.37,0.37,0.37,0.4,0.13,0.88,0.16
"1981-01-18",193.91,55.81,-71.62,98.55,-14.79,-18.95,2.44,-2.41,0.36,0.37,0.37,0.4,193.8,0,-99.96,97.89,-16.71,-20.09,0.56,-2.88,0.36,0.37,0.37,0.4,193.98,243.09,-33.13,99.53,-12.2,-16.14,3.37,-1.81,0.37,0.37,0.37,0.4,0.07,3.43,0.15
"1981-01-19",193.73,55.8,-77.11,97.92,-12.34,-16.72,3.19,-1.4,0.36,0.37,0.37,0.4,193.68,0,-90.93,97.76,-15.04,-18.48,2.3,-1.94,0.36,0.37,0.37,0.4,193.79,250.1,-67.79,98.15,-8.69,-14.74,4.09,-0.43,0.36,0.37,0.37,0.4,0.05,4.21,0.15
"1981-01-20",193.46,59.53,-83.76,99.12,-13.83,-19.52,3.94,-2.09,0.36,0.37,0.37,0.4,193.28,0,-95.38,98.2,-16.74,-21.96,2.78,-2.84,0.36,0.37,0.37,0.4,193.68,262.1,-74.68,99.84,-11.81,-16.72,4.81,-1.24,0.36,0.37,0.37,0.4,0.02,6.83,0.15
"1981-01-21",193.16,60.85,-84.15,100.07,-14.23,-18.36,2.69,-1.26,0.36,0.37,0.37,0.4,193.05,0,-100.19,99.86,-17.21,-20.1,1.64,-2.1,0.36,0.36,0.37,0.4,193.27,268.23,-54.4,100.18,-11.65,-17.42,3.5,0.15,0.36,0.37,0.37,0.4,0,3.25,0.15
"1981-01-22",194.49,26.93,-15.06,99.7,-14.49,-17.31,-0.5,1.18,0.36,0.36,0.37,0.4,193.01,0,-85.98,99.33,-19.25,-21.84,-1.45,0.48,0.36,0.36,0.37,0.4,197.66,128.22,3.07,100.12,-10,-11.49,1.68,1.7,0.36,0.36,0.37,0.4,4.64,0.87,0.14
"1981-01-23",200.61,25,-8.61,99.01,-6.56,-7.94,-1.7,-0.13,0.36,0.36,0.37,0.4,198.01,0,-38.71,98.85,-9.62,-11.02,-2.79,-1.38,0.36,0.36,0.37,0.4,201.77,132.56,3.88,99.29,-4.43,-6.83,-0.41,1,0.36,0.36,0.37,0.4,4.03,0.73,0.14
"1981-01-24",202.02,38.42,-28.32,99.18,-6.28,-8.86,0.41,-0.58,0.36,0.36,0.37,0.4,201.83,0,-49.17,99.01,-8.2,-10.37,-0.54,-1.21,0.36,0.36,0.37,0.4,202.09,176.33,-5.9,99.31,-4.34,-6.91,1.62,1.17,0.36,0.36,0.37,0.4,0.44,2.38,0.14
"1981-01-25",201.95,63.46,-73.26,99.63,-9.63,-13.23,2.34,-0.72,0.36,0.36,0.37,0.4,201.8,0,-96.57,99.32,-11.61,-14.67,1.21,-1.44,0.36,0.36,0.37,0.4,202.08,277.14,-10.47,99.93,-7.36,-9.93,3.07,0.6,0.36,0.36,0.37,0.4,0.07,3.69,0.14
"1981-01-26",202.56,22.59,-8.92,99.13,-5.66,-8.31,0,1.62,0.36,0.36,0.36,0.4,201.84,0,-24.32,98.17,-10.19,-13.2,-0.8,1.03,0.36,0.36,0.36,0.4,203.55,136.33,-0.78,99.86,-0.62,-2.2,0.87,2.43,0.36,0.36,0.37,0.4,1.75,1.13,0.14
"1981-01-27",203.63,58.75,-68.52,98.19,0.95,-2.07,2.01,1.68,0.36,0.36,0.36,0.4,203.53,0,-93.18,97.93,-2.15,-2.97,0.95,-0.45,0.36,0.36,0.36,0.4,203.88,258.56,-17.14,98.7,4.47,-1.46,3.72,2.95,0.36,0.36,0.36,0.4,0.41,6.63,0.14
"1981-01-28",204.34,44.35,-58.1,99.37,-7.18,-10.81,1.72,-0.95,0.35,0.36,0.36,0.4,203.99,0,-95.54,98.78,-13.37,-15.96,0.94,-1.57,0.35,0.36,0.36,0.4,204.56,196.46,-23.81,99.99,-2.31,-3.52,2.93,0.03,0.36,0.36,0.36,0.4,1.16,4.97,0.13
"1981-01-29",203.98,69.73,-82.99,99.96,-15.47,-19.53,2.09,-1.29,0.35,0.36,0.36,0.4,203.84,0,-91.86,99.78,-18.29,-21.37,1.65,-1.92,0.35,0.36,0.36,0.4,204.15,294.25,-76.05,100.12,-12.66,-16.41,2.67,-0.83,0.35,0.36,0.36,0.4,0,2.66,0.13
"1981-01-30",203.93,57,-63.57,99.83,-14.12,-18.61,2.85,-1.94,0.35,0.36,0.36,0.4,203.82,0,-87.86,99.66,-16.68,-19.63,2.4,-2.98,0.35,0.36,0.36,0.4,204.04,231.65,-38.96,100.07,-11.1,-17.95,3.33,-1.3,0.35,0.36,0.36,0.4,0.31,4.23,0.13
"1981-01-31",203.77,71.77,-82.55,100.34,-13.66,-18.63,2.87,-1.34,0.35,0.36,0.36,0.4,203.67,0,-95.99,99.98,-16.87,-20.5,2.31,-2.02,0.35,0.36,0.36,0.4,203.9,299.74,-69.06,100.78,-9.66,-16.31,3.35,-0.41,0.35,0.36,0.36,0.4,0,4.19,0.13
"1981-02-01",203.58,71.95,-76,100.91,-7.8,-13.5,1.1,1.42,0.35,0.36,0.36,0.4,203.47,0,-95.59,100.39,-11.99,-16.94,-0.55,-0.6,0.35,0.35,0.36,0.4,203.66,301.39,-34.77,101.16,-2.54,-7.4,2.58,4.98,0.35,0.36,0.36,0.4,0,5.85,0.13
"1981-02-02",203.74,13.97,-11.84,99.55,3.99,1.02,0.67,5.8,0.38,0.36,0.36,0.4,196.19,0,-31.77,98.46,-1.7,-6.64,-0.22,4.29,0.35,0.35,0.36,0.4,207.75,85.4,-5.82,100.26,7.86,4.93,1.39,7.63,0.43,0.41,0.36,0.4,12.51,14.59,0.13
"1981-02-03",187.97,62.1,-59.8,98.99,-0.8,-5.37,2.41,2.42,0.42,0.42,0.37,0.4,186.2,0,-107.95,98.14,-11.22,-16.03,0.28,0.06,0.41,0.41,0.36,0.4,194.73,237.83,-6.28,99.83,8.16,5.24,3.39,7.69,0.43,0.43,0.38,0.4,5.15,14.08,0.22
"1981-02-04",185.89,74.39,-83.02,100.39,-16.4,-21.14,2.12,0.08,0.4,0.41,0.38,0.4,185.72,0,-98.57,99.85,-19.2,-24.04,1.51,-0.5,0.4,0.4,0.38,0.4,186.15,303.95,-62.3,100.65,-12.23,-16.85,3.13,0.49,0.41,0.41,0.38,0.4,0.04,3.26,0.43
"1981-02-05",185.61,79.25,-82.32,100.79,-18.59,-23.5,1.71,-0.22,0.39,0.4,0.38,0.4,185.51,0,-99.92,100.59,-22.29,-25.65,1.33,-1,0.39,0.4,0.38,0.4,185.71,318.46,-56.15,101.02,-13.65,-20.97,2.72,0.78,0.4,0.4,0.38,0.4,0.01,2.37,0.64
"1981-02-06",185.46,74.63,-68.87,100.91,-15.06,-19.57,1.19,1.43,0.39,0.39,0.38,0.4,185.42,0,-92.99,100.64,-20.9,-24.1,0.03,0.7,0.39,0.39,0.38,0.4,185.53,303.44,-23.89,101.08,-8.61,-12.91,2.23,2.34,0.39,0.39,0.38,0.4,0.12,2.56,0.59
