"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",79.94,50.84,-69.85,100.72,-15.29,-19.14,0.8,0.34,0.38,0.39,0.39,0.41,79.9,0,-85.92,100.28,-19.23,-21.86,-0.71,-0.11,0.38,0.38,0.39,0.41,79.97,233.59,-34.72,100.94,-9.64,-16.29,2.13,1.04,0.39,0.39,0.39,0.41,0,1.53,0.58
"1981-01-02",80.18,48.29,-32.72,100.05,-14.13,-16.85,-0.48,-0.52,0.38,0.38,0.39,0.41,79.89,0,-75.99,98.65,-20.27,-22.59,-1.65,-2.07,0.38,0.38,0.39,0.41,83.36,231.3,-0.81,100.72,-8.18,-9.35,0.75,0.79,0.38,0.38,0.39,0.41,3.47,1.46,0.54
"1981-01-03",89.22,53.03,-64,99.05,-17.71,-23.06,3.96,1.4,0.38,0.38,0.38,0.41,85.25,0,-99.28,98.26,-26.46,-32.61,1.69,-1.72,0.38,0.38,0.38,0.41,89.77,245.75,0.42,100.03,-7.41,-8.96,4.97,2.49,0.38,0.38,0.39,0.41,6.51,4.39,0.52
"1981-01-04",89.41,55.55,-83.12,99.98,-28.13,-33.51,2.04,1.31,0.38,0.38,0.38,0.41,89.36,0,-91.23,99.83,-31.08,-35.16,1.34,0.72,0.38,0.38,0.38,0.41,89.46,253.57,-75.16,100.11,-24.77,-31.71,3.28,1.99,0.38,0.38,0.38,0.41,0,1.1,0.49
"1981-01-05",89.45,51.92,-59.35,99.86,-22.89,-26.69,1.63,1.13,0.37,0.38,0.38,0.41,89.36,0,-79.54,99.56,-32.32,-35.75,1.16,0.77,0.37,0.38,0.38,0.41,89.51,239.25,-20.72,100.33,-13.62,-17.62,2.16,1.44,0.38,0.38,0.38,0.41,0.11,0.58,0.46
"1981-01-06",89.49,51.17,-65.28,100.79,-15.57,-18.85,1.16,1.25,0.37,0.38,0.38,0.41,89.46,0,-81.08,100.41,-20.01,-22.45,0.68,0.68,0.37,0.38,0.38,0.41,89.51,235.75,-54.52,100.96,-10.85,-15.82,1.8,1.84,0.37,0.38,0.38,0.41,0,1.51,0.44
"1981-01-07",92.06,9.8,-7.66,99.73,-3.76,-5.86,-1.4,3.02,0.39,0.38,0.38,0.41,89.46,0,-44.8,98.22,-15.51,-17.85,-2.44,1.14,0.37,0.37,0.38,0.41,95.47,46.87,10.63,100.91,5.91,3.14,0.54,5.44,0.43,0.42,0.38,0.41,21.32,4.19,0.42
"1981-01-08",98.19,44,-59.61,98.61,-7.14,-10.76,2.9,1.92,0.41,0.41,0.39,0.4,92.83,0,-95.43,97.6,-15.48,-19.79,0.58,0.84,0.41,0.41,0.38,0.4,99.01,212.63,-4.71,100.05,1.48,1.23,3.86,3.04,0.43,0.42,0.39,0.41,9.75,6.5,0.46
"1981-01-09",98.37,55.42,-73.22,101.29,-17.23,-21.38,1.39,1.39,0.4,0.4,0.39,0.4,98.3,0,-89.14,100.18,-20.23,-23.13,-0.69,0.78,0.4,0.4,0.39,0.4,98.46,254.77,-39.09,101.99,-14.15,-19.46,2.59,1.65,0.41,0.41,0.39,0.4,0.02,1.92,0.5
"1981-01-10",102.75,18.74,-6.59,101.07,-10.99,-12.97,-1.91,-1.67,0.4,0.4,0.39,0.4,98.31,0,-32.32,98.65,-18.34,-20.96,-4.23,-5.1,0.39,0.4,0.39,0.4,118.81,104.86,10.19,101.97,-3.29,-4.47,-0.98,0.45,0.4,0.4,0.39,0.4,20.39,0.66,0.47
