"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",124.73,48.86,-66.91,97.12,-16.73,-20.07,0.72,-0.9,0.35,0.35,0.37,0.41,124.72,0,-84.47,96.73,-19.36,-21.71,-1.16,-1.59,0.34,0.35,0.37,0.41,124.74,225.3,-27.63,97.32,-10.89,-17.4,2.74,0.11,0.35,0.35,0.37,0.41,0,0.93,0.77
"1981-01-02",125.02,44.7,-31.92,96.47,-14.96,-17.67,-1.1,-0.47,0.34,0.35,0.37,0.4,124.72,0,-69.94,95.34,-18.25,-20.25,-2.15,-1.48,0.34,0.35,0.36,0.4,127.67,211.22,0.53,97.1,-11.1,-12.68,0.97,0.32,0.34,0.35,0.37,0.41,2.94,1.14,0.76
"1981-01-03",132.01,49.95,-56.97,95.49,-21.51,-25.84,4.53,0.41,0.34,0.35,0.36,0.4,129.01,0,-91.9,95.03,-30.13,-34.92,1.74,-0.95,0.34,0.35,0.36,0.4,132.44,234.63,0.42,96.22,-10.97,-12.61,5.34,1.19,0.34,0.35,0.36,0.4,4.9,2.27,0.73
"1981-01-04",132.24,53.43,-76.11,96.16,-31.32,-36.06,2.85,0.43,0.34,0.35,0.36,0.4,132.22,0,-85.61,95.98,-33.08,-37.15,2.16,0.03,0.34,0.35,0.36,0.4,132.28,245.4,-57.56,96.27,-28.68,-35.01,4.12,0.93,0.34,0.35,0.36,0.4,0.02,0.66,0.72
"1981-01-05",132.49,46.16,-47.14,96.19,-22.11,-25.7,2.79,-0.72,0.34,0.35,0.36,0.4,132.24,0,-77.17,95.78,-32.76,-36.22,2.04,-1.39,0.34,0.35,0.36,0.4,132.62,218.35,-4.52,96.78,-14.01,-18.46,3.51,0.34,0.34,0.35,0.36,0.4,0.3,0.85,0.72
"1981-01-06",132.61,45.7,-62.82,97.16,-16.21,-19.55,1.63,0.05,0.34,0.35,0.36,0.4,132.58,0,-72.51,96.83,-18.74,-21.31,0.57,-1.16,0.34,0.35,0.36,0.4,132.63,211.91,-47.5,97.31,-12.38,-17.7,2.99,1.45,0.34,0.35,0.36,0.4,0.01,1.36,0.71
"1981-01-07",141.17,8.73,0.43,96.11,-6.1,-7.26,-1.3,2.21,0.34,0.35,0.36,0.4,132.58,0,-35.16,94.81,-16.27,-19.17,-2.71,0.99,0.34,0.35,0.36,0.4,158.92,43.27,13.92,97.19,1.08,0.76,0.96,3.23,0.36,0.35,0.36,0.4,28.12,0.07,0.71
"1981-01-08",162.98,36.62,-51.52,95.13,-10.56,-13.86,3.63,0.63,0.35,0.35,0.36,0.4,160.28,0,-88.41,94.31,-17.95,-21.61,1.42,-0.86,0.35,0.35,0.35,0.4,163.34,165.75,-3.96,96.4,-1.26,-1.84,4.57,1.79,0.36,0.35,0.36,0.4,5.03,4.39,0.77
"1981-01-09",163.15,52.49,-69.27,97.57,-19.41,-23.21,2.05,0.43,0.35,0.35,0.35,0.4,163.1,0,-86.32,96.51,-21.6,-24.57,0.3,-0.1,0.35,0.35,0.35,0.4,163.22,244.87,-39.19,98.23,-16.72,-21.85,3.79,1.13,0.35,0.35,0.35,0.4,0.04,1.42,0.88
"1981-01-10",166.52,17.8,-3.99,97.52,-14.42,-16.78,-1.59,-1.44,0.35,0.35,0.35,0.4,163.11,0,-37.3,95.53,-20.52,-23.82,-2.71,-4.21,0.34,0.35,0.35,0.4,177.95,92.4,11.85,98.2,-6.82,-8.28,0.07,0.3,0.35,0.35,0.35,0.4,14.74,0.36,0.85
"1981-01-11",191.59,35.95,-38.2,94.94,-13.84,-17.55,3.42,0.27,0.34,0.35,0.35,0.4,180.65,0,-80.58,94.03,-22.28,-26.33,-2.28,-5.32,0.34,0.35,0.35,0.4,193.69,161.66,-2.02,96.31,-6.57,-8.1,5.26,3.11,0.34,0.35,0.35,0.4,16.05,4.57,0.84
"1981-01-12",193.56,56.38,-74.69,97.46,-23.51,-27.81,2.07,0.99,0.34,0.35,0.35,0.4,193.52,0,-85.99,96.43,-25.59,-29.08,-0.1,-1.51,0.34,0.35,0.35,0.4,193.63,253.37,-41.54,98.09,-19.91,-25.91,3.34,2.54,0.34,0.35,0.35,0.4,0.02,1.26,0.82
"1981-01-13",198.12,12.19,3.24,96.81,-18.74,-22.85,0.31,-2.81,0.34,0.35,0.35,0.4,193.51,0,-34.78,95.65,-24.73,-27.85,-0.99,-4.11,0.34,0.35,0.35,0.4,207.22,60.42,14.95,98.05,-15.01,-18.12,2.93,-1.38,0.34,0.35,0.35,0.4,13.72,1.51,0.78
"1981-01-14",208.95,38.04,-32.74,96.53,-15.7,-19.26,2.79,-0.05,0.34,0.35,0.35,0.4,207.58,0,-79.46,95.74,-17.91,-20.63,2.3,-1.84,0.34,0.35,0.35,0.4,209.26,176.43,0.88,97.22,-12.64,-17.81,3.24,0.87,0.34,0.35,0.35,0.4,2.12,2.25,0.76
"1981-01-15",209.17,57.97,-76.25,97.63,-18.19,-22.01,1.73,-0.05,0.34,0.34,0.35,0.4,209.12,0,-89.06,97.22,-21.04,-23.82,0.75,-1.38,0.34,0.34,0.35,0.4,209.22,257.88,-67.82,97.86,-13.75,-19.94,2.27,0.53,0.34,0.35,0.35,0.4,0,1.51,0.73
"1981-01-16",209.11,57.86,-64.3,97.51,-18.37,-21.82,0.99,-0.94,0.34,0.34,0.35,0.4,209.1,0,-84.26,97.35,-22.13,-24.72,0.49,-1.29,0.34,0.34,0.35,0.4,209.14,257.81,-36.22,97.8,-13.96,-18.99,1.26,-0.5,0.34,0.34,0.35,0.4,0.03,1.22,0.71
"1981-01-17",209.17,57.24,-60.5,96.94,-16.9,-19.68,-0.1,-1.47,0.34,0.34,0.34,0.4,209.15,0,-85.11,96.48,-21.23,-23.43,-0.97,-2.57,0.34,0.34,0.34,0.4,209.2,255.98,-27.02,97.31,-12.89,-17.12,0.72,-0.71,0.34,0.34,0.35,0.4,0.04,0.94,0.7
"1981-01-18",209.16,59.9,-68.89,95.54,-16.27,-20.18,1.9,-2.5,0.34,0.34,0.34,0.4,209.09,0,-98.19,94.97,-18.61,-21.53,-0.14,-2.93,0.34,0.34,0.34,0.4,209.21,268.77,-37.94,96.36,-13.53,-17.9,3.07,-1.89,0.34,0.34,0.34,0.4,0.14,2.64,0.67
"1981-01-19",209.23,55.34,-67.79,94.99,-13,-16.75,3.48,-1.63,0.34,0.34,0.34,0.4,209.21,0,-84.15,94.87,-16.37,-19.24,3.08,-2.25,0.34,0.34,0.34,0.4,209.29,247.31,-43.99,95.17,-8.87,-13.54,4.17,-0.49,0.34,0.34,0.34,0.4,0.19,3.66,0.65
