"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",123.64,48.19,-71.13,98.21,-15.36,-18.7,1.03,-1.02,0.35,0.35,0.37,0.4,123.62,0,-87,97.74,-17.62,-20,-0.88,-1.62,0.35,0.35,0.37,0.4,123.66,224.23,-31.22,98.42,-9.78,-16.21,2.9,-0.27,0.35,0.35,0.37,0.4,0,1.03,0.56
"1981-01-02",123.82,45.32,-33.04,97.62,-13.83,-16.27,-0.6,-0.34,0.35,0.35,0.37,0.4,123.62,0,-74.65,96.35,-16.78,-18.73,-1.58,-1.82,0.35,0.35,0.37,0.4,125.85,212.04,-0.1,98.25,-9.73,-10.99,0.59,0.6,0.35,0.35,0.37,0.4,2.23,1.03,0.54
"1981-01-03",131.49,46.95,-55.24,96.41,-19.13,-23.84,4.34,0.42,0.35,0.35,0.37,0.4,127.32,0,-97.33,95.95,-28.71,-34.27,1.51,-1.4,0.35,0.35,0.37,0.4,132.14,224.51,2.49,97.21,-9.25,-10.75,5.26,1.5,0.35,0.35,0.37,0.4,6.43,3.21,0.53
"1981-01-04",131.86,52.7,-80.55,97.24,-30.01,-35.22,2.61,0.69,0.35,0.35,0.37,0.4,131.83,0,-89.48,97.1,-32.35,-36.38,1.81,0.12,0.35,0.35,0.37,0.4,131.91,242.58,-71.83,97.37,-27.02,-33.86,4.1,1.36,0.35,0.35,0.37,0.4,0.01,0.85,0.51
"1981-01-05",131.98,47.41,-54.02,97.23,-21.98,-25.68,2.49,-0.49,0.35,0.35,0.37,0.4,131.83,0,-80.36,96.86,-32.52,-36,1.57,-1.27,0.35,0.35,0.37,0.4,132.08,222.96,-6.17,97.77,-13.13,-17.72,3.5,0.69,0.35,0.35,0.37,0.4,0.16,0.84,0.5
"1981-01-06",132.07,44.87,-66.63,98.23,-15.22,-18.69,1.62,0.22,0.35,0.35,0.37,0.4,132.03,0,-81.77,97.84,-17.65,-20.39,0.82,-0.92,0.34,0.35,0.37,0.4,132.09,214.13,-49.74,98.39,-11.42,-16.54,3.02,1.45,0.35,0.35,0.37,0.4,0.01,1.53,0.49
"1981-01-07",139.15,8.59,-3.64,97.28,-6.43,-7.76,-1.23,2.38,0.35,0.35,0.37,0.4,132.02,0,-48.57,95.85,-16.4,-18.94,-2.43,1.26,0.34,0.35,0.36,0.4,153.27,44.12,12.86,98.33,2.77,2.1,0.69,4.03,0.38,0.35,0.37,0.4,24.61,0.23,0.49
"1981-01-08",158.54,38.79,-56.34,96.09,-8.66,-12.32,3.39,0.9,0.37,0.36,0.36,0.4,154.69,0,-97.54,95.2,-16.33,-20.5,0.4,-0.77,0.36,0.35,0.36,0.4,159.15,170.01,-3.58,97.4,0.31,0.17,4.6,2.14,0.38,0.36,0.36,0.4,6.78,5.67,0.5
"1981-01-09",158.54,52.35,-74.86,98.66,-18.21,-22.35,2.01,0.56,0.36,0.36,0.36,0.4,158.48,0,-90.03,97.53,-20.34,-23.63,0.75,0.05,0.36,0.36,0.36,0.4,158.65,242.79,-44.07,99.4,-15.34,-20.62,3.5,1.36,0.36,0.36,0.36,0.4,0.02,1.75,0.55
"1981-01-10",162.36,18.16,-8,98.72,-13.99,-16.16,-1.22,-1.5,0.36,0.36,0.36,0.4,158.48,0,-46.43,96.68,-20.3,-23.08,-3.26,-4.35,0.35,0.36,0.36,0.4,176.31,90.85,11.61,99.38,-5.76,-6.79,0.59,0.74,0.36,0.36,0.36,0.4,17.77,0.06,0.6
