"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",75.23,50.64,-66.97,100.68,-16.3,-19.86,0.86,0.41,0.4,0.4,0.39,0.41,75.2,0,-85.66,100.29,-20.17,-22.69,-1.1,-0.18,0.39,0.4,0.39,0.41,75.27,234.33,-31.77,100.91,-10.49,-16.56,2.43,0.72,0.4,0.4,0.39,0.41,0,1.18,0.7
"1981-01-02",75.76,47.42,-30.65,99.94,-14.43,-17.2,-0.8,-0.34,0.39,0.4,0.39,0.41,75.19,0,-73.96,98.42,-22.32,-24.72,-2,-2.2,0.39,0.39,0.39,0.41,81.52,233.13,-0.82,100.65,-7.43,-8.44,1.23,1.2,0.39,0.4,0.39,0.41,6.32,1.19,0.65
"1981-01-03",87.52,54.87,-66.51,99.08,-17.48,-22.79,4.54,1.46,0.39,0.39,0.39,0.41,83.79,0,-101.21,98.14,-25.25,-31.34,2.04,-1.86,0.39,0.39,0.39,0.41,88.01,253.13,-1.07,100.09,-7.21,-8.31,5.46,2.6,0.39,0.39,0.39,0.41,6.56,4.81,0.62
"1981-01-04",87.6,55.7,-82.12,99.99,-27.49,-32.6,2.34,1.07,0.39,0.39,0.39,0.41,87.55,0,-89.05,99.81,-30.4,-34.53,1.88,0.59,0.39,0.39,0.39,0.41,87.65,255.15,-71.87,100.11,-24.28,-30.93,3.5,1.88,0.39,0.39,0.39,0.41,0,1.12,0.58
"1981-01-05",87.58,52.8,-62.54,99.87,-23.07,-27.01,2.19,1.07,0.38,0.39,0.39,0.41,87.54,0,-80.16,99.57,-32,-35.44,1.82,0.7,0.38,0.39,0.39,0.41,87.62,242.1,-23.57,100.35,-14.42,-18.09,2.47,1.28,0.39,0.39,0.39,0.41,0.04,0.7,0.55
"1981-01-06",87.6,53.49,-69.9,100.78,-15.36,-18.57,1.48,1.14,0.38,0.39,0.39,0.4,87.55,0,-88.42,100.42,-19.04,-21.46,0.65,0.68,0.38,0.38,0.39,0.4,87.62,243.58,-61.7,100.95,-10.85,-15.85,2.32,1.72,0.38,0.39,0.39,0.41,0,1.42,0.48
"1981-01-07",88.75,14.06,-12.16,99.75,-2.52,-4.93,-1.61,3.72,0.4,0.39,0.39,0.4,85.78,0,-41.63,98.17,-14.99,-17.35,-2.51,1.63,0.38,0.38,0.39,0.4,91.43,70.56,-0.79,100.9,6.35,3.36,0.13,6.3,0.43,0.43,0.39,0.4,20.37,7.04,0.67
"1981-01-08",91.97,48.68,-60.46,98.66,-6.99,-10.36,3.15,2.11,0.42,0.42,0.4,0.4,86.19,0,-95.97,97.63,-15.69,-19.78,0.91,1.41,0.41,0.41,0.39,0.4,92.91,235.51,-3.14,100.11,2.91,2.16,4.07,3.26,0.43,0.43,0.4,0.4,12.86,6.38,0.77
"1981-01-09",92.12,56.16,-71.9,101.3,-17.22,-21.29,1.58,1.32,0.41,0.41,0.4,0.4,92.06,0,-89.97,100.23,-20.49,-23.3,-1.37,0.58,0.4,0.41,0.4,0.4,92.21,257.02,-30.48,101.94,-14.12,-19.2,3.07,1.57,0.41,0.41,0.4,0.4,0.02,1.91,0.96
"1981-01-10",96.65,17.54,-9.19,100.86,-9.31,-11.19,-2.48,-1.29,0.4,0.4,0.4,0.4,92.08,0,-26.15,98.21,-16.39,-18.9,-4.45,-4.95,0.4,0.4,0.4,0.4,113.63,88.88,-1.37,101.88,-2.85,-3.86,-1.47,0.32,0.4,0.41,0.4,0.4,21.45,0.77,0.84
"1981-01-11",127.71,46.34,-51.63,98.38,-9.59,-13.6,3.17,1.4,0.4,0.4,0.4,0.4,116.95,0,-92.16,96.89,-17.57,-21.94,-3.01,-5.46,0.39,0.4,0.4,0.4,129.47,205.62,-4.83,100.2,-3.05,-4.14,5.38,4.36,0.4,0.4,0.4,0.4,16.32,8.01,0.8
"1981-01-12",129.12,59.44,-76.74,101.27,-20.2,-24.78,1.47,0.96,0.39,0.4,0.4,0.4,129.06,0,-91.13,100.32,-23.02,-26.9,-0.49,-2,0.39,0.39,0.4,0.4,129.23,264.73,-11.07,101.77,-16.9,-22.54,2.86,2.67,0.39,0.4,0.4,0.4,0,1.73,0.75
"1981-01-13",136.97,6.51,-6.27,100,-14.89,-17.92,0.04,-3.97,0.39,0.39,0.4,0.4,129.05,0,-63.06,98.71,-20.28,-23.68,-1.34,-5.91,0.39,0.39,0.4,0.4,148.32,27.62,10.1,101.55,-10.81,-13.7,3.56,-0.79,0.39,0.39,0.4,0.4,19.25,1.89,0.72
"1981-01-14",149.06,52.83,-59.6,100.11,-12.4,-16.33,2.77,1.4,0.39,0.39,0.4,0.4,148.6,0,-85.98,99,-14.9,-17.94,2.02,-0.18,0.39,0.39,0.4,0.4,149.14,239.02,-8.35,100.88,-9.56,-14.28,3.8,2,0.39,0.39,0.4,0.4,0.92,3.9,0.69
"1981-01-15",148.93,60,-76.17,101.28,-14.92,-18.98,1.6,0.82,0.38,0.39,0.4,0.4,148.85,0,-91.4,100.89,-18.27,-21.04,0.72,-0.5,0.38,0.39,0.4,0.4,149.01,264.49,-53.53,101.45,-10.38,-16.8,1.91,1.34,0.39,0.39,0.4,0.4,0,2.22,0.66
"1981-01-16",148.83,59.61,-59.2,101.05,-15.81,-19.57,0.38,-0.62,0.38,0.39,0.4,0.4,148.8,0,-85.04,100.91,-19.37,-21.88,-0.9,-1.55,0.38,0.39,0.4,0.4,148.85,263.38,-26.37,101.34,-11.62,-17.37,1.01,0.99,0.38,0.39,0.4,0.4,0,1.7,0.63
"1981-01-17",148.97,42.93,-28.8,100.39,-14.7,-17.36,-1.08,-1.47,0.38,0.39,0.4,0.4,148.8,0,-50.71,99.65,-19.81,-21.8,-1.53,-4.02,0.38,0.38,0.4,0.4,149.69,201.52,-10.77,100.89,-10.1,-12.89,-0.37,1.35,0.38,0.39,0.4,0.4,0.84,1.55,0.59
