"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",78.3,51.95,-60.03,98.45,-16.84,-20.21,0.8,-0.4,0.39,0.4,0.37,0.41,78.28,0,-72.53,98.14,-20.73,-23.07,-1.02,-1.09,0.39,0.39,0.37,0.41,78.34,240.62,-31.47,98.68,-11.83,-17.08,2.8,0.65,0.4,0.4,0.37,0.41,0,1.17,1.02
"1981-01-02",79.56,45.23,-24.37,97.63,-13.45,-16.05,-1.39,-1,0.39,0.39,0.37,0.41,78.27,0,-64.64,96.18,-18.75,-20.66,-2.7,-3.72,0.38,0.39,0.37,0.41,89.74,238.01,2.33,98.37,-8.42,-9.85,1.89,0.47,0.39,0.39,0.37,0.41,11.48,1.7,0.95
"1981-01-03",93.52,53.61,-59.41,97.09,-18.15,-22.87,5.45,0.76,0.38,0.39,0.37,0.41,91.82,0,-86.53,96.11,-24.42,-29.63,2.94,-2.46,0.38,0.38,0.37,0.41,93.76,246.37,-1.1,97.99,-8.44,-9.89,6.6,2,0.38,0.39,0.37,0.41,4.12,4.3,0.87
"1981-01-04",93.43,56.95,-69.67,97.72,-26.85,-31.42,2.22,-0.5,0.38,0.38,0.37,0.41,93.38,0,-82.36,97.54,-29.69,-33.07,1.43,-1.4,0.38,0.38,0.37,0.41,93.48,263.63,-54.33,97.99,-23.79,-29.68,3.66,0.96,0.38,0.38,0.37,0.41,0.01,0.98,0.81
"1981-01-05",93.41,53.6,-54.97,97.7,-23.82,-27.4,2.79,-0.14,0.37,0.38,0.37,0.41,93.38,0,-75.32,97.33,-31.41,-34.64,2.21,-0.48,0.37,0.38,0.37,0.41,93.45,239.47,-8.47,98.22,-16.71,-19.72,3.3,0.33,0.38,0.38,0.37,0.41,0.05,0.67,0.76
"1981-01-06",93.45,51.45,-53.1,98.6,-15.37,-18.18,1.71,0.57,0.37,0.38,0.37,0.41,93.44,0,-68.73,98.27,-20.01,-22.25,-0.27,-0.63,0.37,0.38,0.37,0.41,93.47,235.95,-36.62,98.75,-10.95,-12.6,2.72,2.16,0.37,0.38,0.37,0.41,0.02,1.15,0.73
"1981-01-07",95.08,16.3,-10.63,97.65,-1.85,-3.64,-2.06,4.85,0.39,0.38,0.37,0.41,93.48,0,-34.75,96.15,-10.38,-11.82,-3.14,1.88,0.37,0.37,0.37,0.41,98.19,82.92,-0.51,98.69,5.16,3.05,1.19,8.06,0.44,0.43,0.37,0.41,24.17,6.89,0.71
"1981-01-08",102.99,51.68,-52.91,96.7,-8.27,-11.25,4.09,1.78,0.41,0.42,0.38,0.41,96.7,0,-91.89,95.76,-16.44,-20.16,2.57,0.5,0.4,0.41,0.37,0.41,103.73,253.13,-1.84,98.04,0.95,0.6,5.14,3.63,0.43,0.44,0.38,0.41,12.83,5.53,1.91
"1981-01-09",103.27,54.32,-57.1,99.1,-16.88,-20.63,1.61,0.66,0.4,0.4,0.38,0.41,103.23,0,-80.34,98.14,-20.74,-23.64,-2.25,0.04,0.39,0.4,0.38,0.41,103.35,257.56,-15.98,99.63,-13.46,-15.58,4.01,1.41,0.4,0.41,0.38,0.41,0.06,1.71,3.94
"1981-01-10",107.81,18.66,-9.21,98.42,-8.02,-9.67,-2.91,-1.87,0.39,0.4,0.38,0.41,103.31,0,-31.67,95.64,-13.08,-15.42,-4.28,-5.36,0.39,0.39,0.38,0.41,123.26,81.64,4.18,99.56,-2.72,-3.7,-1.98,0.9,0.39,0.4,0.38,0.41,19.86,1.23,2.73
