"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",26.07,50.62,-61.75,100.47,-12.63,-16.94,0.89,-0.57,0.4,0.4,0.39,0.41,25.91,0,-90.33,100.17,-16.21,-19.09,-0.38,-1.91,0.39,0.4,0.39,0.41,26.19,219.49,-40.18,100.73,-8.09,-14.81,2.15,0.43,0.4,0.41,0.39,0.41,0,2.36,4.78
"1981-01-02",28.55,43.36,-36.03,99.45,-8.94,-11.59,-0.66,-1,0.39,0.4,0.39,0.41,25.76,0,-78.54,97.36,-16.3,-18.24,-3.13,-3.99,0.39,0.4,0.39,0.41,44.08,233.86,-4.33,100.32,-2.31,-4.11,4.21,1.53,0.39,0.4,0.39,0.41,18.39,2.46,4.35
"1981-01-03",46.14,48.37,-54.33,99.12,-11.74,-16.11,4.51,0.79,0.39,0.39,0.39,0.41,45.24,0,-77.89,97.5,-16.76,-21.28,2.62,-2.03,0.38,0.39,0.39,0.41,46.26,228.51,-7,100.18,-4.61,-6.26,5.41,2.08,0.39,0.4,0.39,0.41,2.43,6.05,4.22
"1981-01-04",47.52,28.06,-36.67,99.74,-18.55,-22.39,1.32,-1.26,0.38,0.39,0.39,0.41,46.09,0,-81.79,99.57,-21.36,-24.56,0.54,-2.45,0.38,0.39,0.39,0.41,48.38,148.25,4.69,100.16,-16.57,-19.95,2.3,0.5,0.38,0.39,0.39,0.41,2.43,1.43,4.22
"1981-01-05",48.37,51.35,-63.13,99.78,-20.49,-23.91,2.1,-0.4,0.38,0.39,0.39,0.41,48.35,0,-79.12,99.44,-26.26,-29.22,1.42,-1.45,0.38,0.38,0.39,0.41,48.39,229.39,-43.33,100.29,-15.32,-18.29,3.2,0.53,0.38,0.39,0.39,0.41,0.04,0.95,4.2
"1981-01-06",48.34,41.72,-39.09,100.68,-12.17,-14.91,1.5,0.48,0.38,0.38,0.38,0.41,48.3,0,-65.74,100.33,-16.92,-18.88,0.25,-0.31,0.38,0.38,0.38,0.41,48.36,193.95,-11.85,100.92,-7.69,-10.54,2.29,1.4,0.38,0.38,0.39,0.41,0.02,1.51,4.04
"1981-01-07",47.77,15.48,-12.02,100.01,0.45,-2.54,-1.89,4.46,0.39,0.38,0.38,0.41,43.24,0,-23.07,98.43,-8.19,-10.26,-3.45,1.43,0.37,0.38,0.38,0.41,49.24,74.69,-5.61,100.9,6.44,3.86,-0.25,7.59,0.44,0.41,0.38,0.41,8.69,9.29,4
"1981-01-08",39.77,45.96,-59.23,98.83,-3.89,-7.89,2.66,3.32,0.42,0.42,0.39,0.41,39.42,0,-95.73,97.75,-11.31,-14.54,-3.35,0.5,0.41,0.41,0.38,0.41,42.23,195.75,-4.29,100.1,6.83,4.71,4.65,8.5,0.44,0.44,0.4,0.41,14.32,10.45,6.51
"1981-01-09",39.32,57.76,-71.32,101.21,-12.77,-16.84,1.23,0.28,0.4,0.41,0.4,0.41,39.24,0,-90.96,100.2,-16.31,-19.44,-1.55,-0.34,0.4,0.4,0.4,0.41,39.41,256.52,-18.54,101.78,-9.61,-14.87,2.8,0.9,0.4,0.41,0.4,0.41,0.01,2.06,6.69
"1981-01-10",44.93,10.56,-0.09,100.21,-2.73,-4.14,-3.16,-0.33,0.4,0.4,0.4,0.41,39.25,0,-19.85,97.09,-11.69,-14.66,-5.28,-2.02,0.39,0.4,0.4,0.41,54.49,52.77,12.84,101.71,6.06,5.91,-1.73,3.47,0.44,0.44,0.4,0.41,29.58,1.13,5.6
"1981-01-11",51.25,51.98,-55.58,98.66,-5.13,-9.2,3.22,3.64,0.42,0.42,0.41,0.41,51.04,0,-94.64,96.61,-9.36,-14.01,-3.54,2.66,0.41,0.41,0.4,0.41,51.89,242.99,8.53,100.36,6.2,6.15,5.53,4.71,0.43,0.43,0.41,0.41,1.85,9.73,6.2
"1981-01-12",51.04,56.48,-66.4,101,-9.97,-13.49,0.8,-0.33,0.4,0.41,0.41,0.41,50.96,0,-89.79,100.43,-12.6,-14.81,-1.09,-3.14,0.4,0.41,0.41,0.41,51.14,251.56,-2.15,101.3,-7.25,-12.01,2.57,2.55,0.41,0.41,0.41,0.41,0.33,3.22,6.8
"1981-01-13",59.8,13.22,-0.55,98.9,-6.77,-8.9,0.24,-2.95,0.39,0.4,0.41,0.41,51.28,0,-11.68,97.63,-10.12,-12.88,-2.28,-5.38,0.39,0.4,0.41,0.41,65.52,60.64,6.58,100.74,-1.9,-3.09,4.17,1.19,0.4,0.41,0.41,0.41,14.57,3.04,7
"1981-01-14",65.56,43.95,-44.19,100.14,-7.34,-10.75,2.62,1.63,0.39,0.4,0.41,0.41,65.5,0,-74.07,99.08,-9.99,-12.81,1.56,1.27,0.39,0.39,0.41,0.41,65.6,224.88,-13.97,100.8,-4.27,-8.42,3.6,1.96,0.39,0.4,0.41,0.41,0.24,4.5,6.73
"1981-01-15",65.48,44.25,-39.99,101.04,-4.88,-7.12,0.65,0.03,0.38,0.39,0.41,0.41,65.38,0,-74.33,100.82,-6.83,-8.66,-1.12,-1.72,0.38,0.39,0.4,0.41,65.77,216.51,-13.2,101.23,-0.99,-5.03,1.57,1.59,0.39,0.39,0.41,0.41,0.44,2.63,6.11
"1981-01-16",70.39,60,-50.91,100.62,-7.88,-10.55,0.32,-1.87,0.38,0.39,0.4,0.41,66.31,0,-93.86,100.45,-13.29,-15.27,-0.68,-2.3,0.38,0.38,0.4,0.41,71.06,269.88,-2.09,100.83,-5.37,-7.04,1.09,-1.15,0.38,0.39,0.4,0.41,5.34,3.11,5.66
"1981-01-17",74.63,19.48,-5.95,99.72,-10.04,-12.39,-1.12,-2.38,0.38,0.38,0.4,0.41,70.83,0,-36.85,98.45,-14.41,-16.27,-1.58,-4.99,0.37,0.38,0.4,0.41,83.3,106.5,6.63,100.62,-6.82,-9.13,-0.65,-0.71,0.38,0.38,0.4,0.41,12.54,1.74,5.11
"1981-01-18",90.42,28.67,-30.87,97.92,-9.28,-12.52,2.21,-4.06,0.37,0.38,0.4,0.41,84.35,0,-90.88,97.8,-13.61,-17.53,-0.92,-5.72,0.37,0.38,0.4,0.41,92.12,133.88,-3.38,98.26,-6.35,-8.56,3.66,-1.64,0.37,0.38,0.4,0.41,9.09,5.33,4.66
