"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",58.83,54.81,-70.54,99.64,-15.36,-18.65,0.72,0.3,0.4,0.4,0.39,0.41,58.76,0,-89.64,99.26,-18.42,-20.98,-1.53,-0.94,0.39,0.4,0.39,0.41,58.89,256.04,-43.47,99.88,-10.01,-15.66,2.49,1.35,0.4,0.41,0.39,0.41,0,1.55,5.62
"1981-01-02",60.56,44.02,-31.04,98.77,-11.27,-13.91,-0.85,-0.78,0.39,0.4,0.39,0.41,58.72,0,-54.43,96.68,-19.97,-22.18,-2.29,-4.77,0.39,0.4,0.39,0.41,75.06,211.27,-1.13,99.56,-4.45,-5.28,1.27,0.98,0.39,0.4,0.39,0.41,16.34,1.87,4.49
"1981-01-03",80.55,50,-59.31,98.07,-14.26,-18.24,4.94,1.83,0.39,0.39,0.39,0.41,77.53,0,-87.47,96.57,-20.52,-25.36,3.3,-3.91,0.38,0.39,0.39,0.41,80.84,240.73,-2.41,99.2,-4.27,-5.09,5.75,3.33,0.39,0.4,0.39,0.41,6.01,4.93,3.86
"1981-01-04",81.04,35.98,-53.42,98.92,-22.25,-26.69,1.82,0.26,0.38,0.39,0.39,0.41,80.62,0,-85.89,98.75,-26,-29.22,1.07,-1.09,0.38,0.39,0.39,0.41,81.36,171.76,-3.69,99.21,-19.88,-24.3,3.23,1.99,0.38,0.39,0.39,0.41,0.82,1.26,3.28
"1981-01-05",81.31,51.96,-64.7,98.86,-23.14,-26.69,2.4,0.86,0.38,0.39,0.39,0.41,81.3,0,-76.44,98.53,-29.05,-32.14,1.86,-0.35,0.38,0.38,0.39,0.41,81.32,237.25,-46.12,99.35,-17.1,-19.46,3.36,1.47,0.38,0.39,0.39,0.41,0.03,0.68,2.9
"1981-01-06",81.33,51.27,-59.81,99.81,-14.49,-17.07,1.39,1.41,0.38,0.38,0.39,0.41,81.32,0,-87.43,99.41,-18.64,-20.71,0.13,0.88,0.38,0.38,0.39,0.41,81.34,246.05,-32.96,100.06,-10.31,-12.91,2.29,2,0.38,0.38,0.39,0.41,0.01,0.99,2.58
"1981-01-07",81.35,20.95,-23.1,99.15,-1.54,-4.43,-1.86,4.6,0.39,0.38,0.39,0.41,78.08,0,-45.86,97.59,-11.01,-13.05,-3.43,1.87,0.38,0.38,0.39,0.41,82.91,96.7,-10.44,100.05,6.4,3.35,-0.04,7.71,0.43,0.4,0.39,0.41,6.56,10.88,2.29
"1981-01-08",75.11,48.62,-56.35,97.85,-4.68,-8.13,2.69,3.9,0.42,0.42,0.4,0.41,73.96,0,-93.36,96.72,-13.42,-17.31,-3.52,1.28,0.41,0.41,0.39,0.41,77.05,224.11,-4.6,99.17,7.05,4.34,5.24,7.92,0.44,0.44,0.4,0.41,16.73,10.74,6.96
"1981-01-09",75.07,59.03,-73.95,100.34,-15.31,-19.55,1.62,1.11,0.4,0.41,0.4,0.41,74.99,0,-91.89,99.28,-18.55,-21.62,-1.32,0.85,0.4,0.4,0.4,0.41,75.18,264.71,-26.59,100.98,-12.03,-17.36,3.28,1.53,0.41,0.41,0.4,0.41,0.01,2.39,5.65
"1981-01-10",80.26,13.16,-5.44,99.66,-6.36,-8.24,-2.9,-0.63,0.4,0.4,0.4,0.41,74.99,0,-32.71,96.64,-14.39,-17.81,-5.04,-2.85,0.39,0.4,0.4,0.41,94.16,67.14,19.63,100.93,2,1.74,-1.49,0.99,0.44,0.4,0.4,0.41,23.82,1.14,4.64
