"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",45.66,54.53,-73.09,100.16,-14.27,-18.22,1,0.23,0.4,0.41,0.4,0.41,45.55,0,-95.43,99.76,-17.14,-20.37,-1.16,-1.5,0.4,0.4,0.4,0.41,45.76,252.81,-30.33,100.4,-9.3,-15.75,2.87,1.63,0.4,0.41,0.4,0.41,0,1.67,5.2
"1981-01-02",47.19,44.59,-31.84,99.28,-9.02,-11.85,-0.9,-0.69,0.39,0.4,0.4,0.41,45.45,0,-64.92,96.87,-15.31,-17.42,-2.82,-4.65,0.39,0.4,0.4,0.41,60.2,210.12,-2.46,100.08,-2.86,-3.46,0.92,0.65,0.4,0.4,0.4,0.41,14.78,2.27,4.34
"1981-01-03",65.54,51.08,-61.9,98.48,-12.85,-16.86,5.25,2.12,0.39,0.4,0.4,0.41,62.32,0,-96.23,96.66,-19.54,-23.91,2.03,-4.11,0.39,0.39,0.4,0.41,65.88,245.1,-0.58,99.74,-2.68,-3.23,6.47,3.69,0.39,0.4,0.4,0.41,5.85,4.74,3.71
"1981-01-04",66.54,24.13,-44.42,99.45,-20.66,-24.93,2.04,0.37,0.38,0.39,0.4,0.41,65.58,0,-89.25,99.28,-24.08,-27.4,1.19,-1.37,0.38,0.39,0.4,0.41,67.29,114.05,4.41,99.75,-18.61,-23.03,3.64,2.43,0.39,0.39,0.4,0.41,1.8,1.05,3.12
"1981-01-05",67.24,51.85,-65.19,99.38,-22.8,-26.49,2.68,1.02,0.38,0.39,0.4,0.41,67.23,0,-79.39,99.07,-28.46,-31.56,2.07,-0.16,0.38,0.39,0.4,0.41,67.25,234.95,-47.4,99.86,-17.52,-19.96,4.12,1.86,0.38,0.39,0.4,0.41,0.03,0.73,2.71
"1981-01-06",67.22,51.94,-61.53,100.34,-14.44,-17.35,1.5,1.41,0.38,0.38,0.4,0.41,67.18,0,-93.94,99.92,-18.48,-20.63,0.39,1,0.38,0.38,0.4,0.41,67.24,241.73,-35.8,100.62,-9.45,-14.06,2.46,2.07,0.38,0.39,0.4,0.41,0.01,1.06,2.36
"1981-01-07",66.98,20.85,-27.12,99.8,-1.47,-4.57,-1.84,4.77,0.39,0.38,0.39,0.41,63.56,0,-46.38,98.3,-11.84,-13.81,-3.72,2.11,0.38,0.38,0.39,0.41,68.12,95.31,-12.99,100.62,6.54,3.41,0.44,8.22,0.43,0.4,0.4,0.41,4.69,9.43,2.08
"1981-01-08",58.41,45.9,-59.82,98.37,-3.23,-7.39,2.41,4.52,0.41,0.42,0.4,0.41,57.73,0,-95.15,97.2,-11.73,-16.22,-4.17,1.6,0.4,0.41,0.39,0.41,62.54,198.94,-2.73,99.67,7.29,5.48,5.15,8.32,0.44,0.43,0.41,0.41,14.9,11.03,6.94
"1981-01-09",57.54,57.58,-76.14,100.87,-13.8,-19.78,2.22,0.98,0.4,0.41,0.41,0.41,57.42,0,-99.93,99.78,-16.81,-21.64,-0.64,0.59,0.4,0.4,0.41,0.41,57.71,262.28,-27.3,101.55,-10.56,-17.08,4,1.36,0.4,0.41,0.41,0.41,0,3.18,5.55
"1981-01-10",62.67,12.31,-3.26,100.23,-5.58,-7.73,-3.25,-0.07,0.4,0.4,0.41,0.41,57.42,0,-25.35,97.19,-14.41,-19.08,-5.82,-2.08,0.39,0.4,0.41,0.41,75.98,60.32,19.32,101.52,3.89,3.58,-0.99,1.68,0.44,0.4,0.41,0.41,25.22,1.21,4.68
