"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",15.87,58.39,-62.42,100.18,-11.81,-17.22,0.73,-0.32,0.4,0.4,0.39,0.42,15.74,0,-87.35,99.81,-15.02,-19.23,-1.41,-1.6,0.4,0.4,0.39,0.42,16.01,263.94,-15.32,100.43,-7.35,-14.27,2.7,0.32,0.41,0.41,0.39,0.42,0,3.59,5.38
"1981-01-02",17.4,49.57,-36.29,99.22,-6.59,-9.62,-2,-0.42,0.4,0.4,0.39,0.41,15.32,0,-81.4,96.42,-13.32,-15.66,-6.96,-1.79,0.4,0.39,0.39,0.41,27.42,239.19,-2.2,100.03,1.09,0.78,0.71,1.57,0.4,0.4,0.39,0.42,12.27,3.76,4.55
"1981-01-03",28.26,54.9,-68.04,98.58,-10.35,-14.87,5.06,1.93,0.4,0.39,0.39,0.41,27.69,0,-98.24,96.23,-16.28,-21.06,1.98,0.71,0.4,0.39,0.38,0.41,28.43,260,-10.77,99.87,0.67,0.58,6.45,2.97,0.4,0.39,0.39,0.41,1.32,7.93,3.91
"1981-01-04",30.31,15.47,-29.78,99.44,-17.54,-21.81,1.46,-1.46,0.39,0.39,0.38,0.41,28.09,0,-85.46,99.24,-21.07,-26.15,0.46,-3.11,0.39,0.39,0.38,0.41,31.87,86.46,4.27,99.87,-15.85,-19.93,3.39,0.95,0.4,0.39,0.38,0.41,3.97,1.95,3.53
"1981-01-05",31.92,55.86,-56.3,99.43,-21.08,-25.22,2.41,-0.42,0.39,0.38,0.38,0.41,31.86,0,-76.57,99.07,-25.98,-29.36,1.13,-1.83,0.39,0.38,0.38,0.41,31.98,248.19,-9.92,99.96,-17.28,-20.87,3.82,0.34,0.39,0.39,0.38,0.41,0.19,1.49,3.11
"1981-01-06",31.81,53.77,-58.31,100.41,-13.65,-16.9,1.72,0.32,0.39,0.38,0.38,0.41,31.73,0,-79.99,100,-18.76,-21.21,1.23,-0.34,0.39,0.38,0.38,0.41,31.86,244.12,-28.57,100.72,-7.69,-11.89,2.37,1.44,0.39,0.38,0.38,0.41,0.02,1.79,2.8
"1981-01-07",31.19,24.26,-12.83,100.1,-0.94,-4.17,-1.52,3.77,0.4,0.38,0.38,0.41,27.67,0,-20.95,98.79,-10.27,-12.77,-3.79,0.31,0.38,0.38,0.38,0.41,32.03,111.29,1.55,100.72,5.8,3.21,1.29,7.44,0.44,0.39,0.38,0.41,4.01,9.46,2.53
"1981-01-08",23.56,40.62,-56.12,98.63,-2.52,-6.71,2.37,4.43,0.43,0.42,0.38,0.41,22.98,0,-101.98,97.56,-10.06,-14.83,-4.22,1.2,0.42,0.4,0.38,0.41,26.88,181.83,-2.24,99.76,6.95,5.39,5.2,9.49,0.44,0.43,0.38,0.41,15.14,13.3,2.47
"1981-01-09",22.79,59.49,-76.79,100.92,-12.22,-17.85,1.68,0.63,0.41,0.41,0.38,0.41,22.64,0,-93.81,99.84,-15.42,-20.43,-0.86,0.03,0.41,0.4,0.38,0.41,22.97,262.92,-29.72,101.6,-9.12,-14.53,3.41,1.49,0.42,0.41,0.38,0.41,0,3.76,3.26
"1981-01-10",27.25,9.39,-3.41,100.22,-2.8,-4.28,-4.16,0.18,0.41,0.4,0.38,0.41,22.64,0,-33.05,97.27,-12.86,-15.27,-6.85,-1.11,0.4,0.4,0.38,0.41,35.66,44.56,13.76,101.57,7.12,6.61,-1.22,4.02,0.44,0.42,0.38,0.41,26.36,2.11,4.44
"1981-01-11",31.6,52.39,-53.41,98.46,-3.38,-7.89,3.21,4.99,0.43,0.42,0.39,0.41,31.31,0,-102.8,96.63,-7.21,-13.88,-4.75,3.05,0.42,0.41,0.38,0.41,33,255.78,5.68,100.13,7.21,7.07,5.11,7.62,0.44,0.43,0.39,0.41,2.49,13.77,6.22
"1981-01-12",31.26,47.38,-52.6,100.78,-6.77,-12.2,0.92,0.02,0.41,0.41,0.39,0.41,31.12,0,-85.98,100.21,-9.55,-13.7,-1.56,-3.11,0.41,0.4,0.39,0.41,31.36,208.21,-5.47,101.08,-4.27,-10.75,3.47,2.85,0.42,0.41,0.39,0.41,0.41,6.67,8.44
"1981-01-13",42.31,12.11,-7.06,98.61,-2.14,-3.59,-1.32,-0.43,0.41,0.4,0.39,0.41,31.28,0,-26.17,97.55,-7.03,-10.19,-3.57,-5.24,0.4,0.4,0.39,0.41,48.22,74.15,1.08,100.55,3.33,3.08,4.1,6.64,0.42,0.4,0.39,0.41,18.05,3.64,8.26
"1981-01-14",47.73,49.67,-57.57,99.83,-6.99,-10.52,3.34,2.1,0.41,0.4,0.39,0.41,47.6,0,-87.63,98.6,-9.29,-12.44,2.07,1.28,0.4,0.39,0.39,0.41,47.88,235.79,-18.25,100.54,-3.78,-8.47,4.28,3.15,0.41,0.4,0.39,0.41,0.18,6.5,6.89
"1981-01-15",47.54,37.68,-47.83,100.83,-4.5,-7.2,1.05,0.4,0.4,0.39,0.39,0.41,47.44,0,-70.01,100.56,-6.85,-9.52,-1.7,-1.67,0.39,0.39,0.38,0.41,47.64,173.22,-15.81,100.97,-0.4,-4.28,2.83,1.51,0.4,0.39,0.39,0.41,0.27,3.37,5.77
"1981-01-16",54.01,56.83,-46.5,100.31,-7.52,-10.05,0.16,-2.3,0.39,0.39,0.38,0.41,48.03,0,-90.7,100.09,-15.43,-17.27,-1.58,-3.22,0.39,0.39,0.38,0.41,55.15,272.24,-4.43,100.62,-4.24,-5.15,1.11,-1.37,0.39,0.39,0.38,0.41,7.58,3.58,4.44
"1981-01-17",57.95,20.63,-9.08,99.55,-9.67,-11.92,-1.56,-2.37,0.39,0.39,0.38,0.41,54.93,0,-40.97,98.08,-15.64,-17.48,-3.07,-5.22,0.39,0.39,0.38,0.41,67.88,100.94,5.15,100.38,-4.45,-6.15,0.2,-1.09,0.39,0.39,0.38,0.41,13,1.81,3.46
"1981-01-18",80.65,22.18,-19.09,97.23,-7.82,-10.45,2.4,-4.7,0.38,0.38,0.38,0.41,69.84,0,-63.73,96.95,-12.5,-16.67,-1.89,-6.42,0.38,0.38,0.38,0.41,84.74,112.99,-6.82,97.84,-4.34,-6.09,5.2,-2.65,0.38,0.38,0.38,0.41,17.24,5.6,3
"1981-01-19",84.63,63.16,-76.88,97.93,-12.69,-16.54,3.02,-0.46,0.38,0.38,0.38,0.41,84.56,0,-88.44,97.49,-16.6,-18.97,2.3,-2.34,0.38,0.38,0.38,0.41,84.74,272.36,-66.45,98.24,-9.05,-12.32,3.92,1.03,0.38,0.38,0.38,0.41,0.03,3.56,2.67
"1981-01-20",84.68,66.16,-76.6,98.96,-11.95,-16.17,2.85,-1.24,0.38,0.38,0.38,0.41,84.56,0,-96.56,98.12,-14.49,-20.14,1.95,-2.99,0.38,0.38,0.38,0.41,84.79,287.69,-41.97,99.77,-9.96,-11.78,4.02,0.8,0.38,0.38,0.38,0.41,0.26,4.69,2.44
"1981-01-21",84.5,67.16,-79.14,99.98,-13.65,-17.18,1.92,-0.96,0.37,0.38,0.38,0.41,84.41,0,-95.31,99.81,-16.44,-18.83,1.09,-1.55,0.37,0.38,0.37,0.41,84.55,288.58,-67.62,100.14,-8.89,-14.22,2.49,-0.46,0.38,0.38,0.38,0.41,0,2.34,2.18
"1981-01-22",84.43,49.42,-40.29,99.83,-11.55,-14.65,-1.26,0.58,0.37,0.37,0.37,0.41,84.4,0,-77.96,99.42,-20.39,-22.36,-2.09,-0.73,0.37,0.37,0.37,0.41,84.54,223.99,-15.35,100.14,-4.39,-7.19,0.95,2.18,0.37,0.38,0.37,0.41,0.12,2.32,1.93
