"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",105.66,40.1,-35.17,97.35,-10.61,-13.18,2.08,0.53,0.39,0.4,0.36,0.41,105.41,0,-67.17,96.76,-12.05,-14.18,-3.09,-0.73,0.39,0.4,0.36,0.41,105.74,187.84,-8.5,97.62,-8.54,-10.59,5.67,1.72,0.4,0.4,0.36,0.41,0.5,1.55,5.19
"1981-01-02",106.48,38.23,-28.12,96.77,-5.44,-7.35,-3.1,0.48,0.38,0.39,0.36,0.41,105.73,0,-78.05,94.75,-8.47,-10.4,-10.71,-0.91,0.38,0.39,0.36,0.41,114.57,184.66,-2.04,97.36,-2.38,-3.18,0.93,1.9,0.39,0.4,0.36,0.41,8.88,1.7,3.78
"1981-01-03",119.61,33.71,-37.12,95.37,-10.84,-13.83,6.33,4.28,0.38,0.39,0.36,0.41,117.02,0,-78.33,93.58,-18.69,-22.48,-10.24,0.38,0.38,0.38,0.36,0.41,120.16,157.41,0.44,96.71,-0.58,-1.35,9.03,5.42,0.38,0.39,0.36,0.41,6.09,4.41,3.05
"1981-01-04",121.74,15.43,-29.8,96.59,-17.06,-20.13,3.22,0.98,0.37,0.38,0.36,0.41,120.13,0,-83.88,96.38,-18.76,-22.4,1.63,-1.34,0.37,0.38,0.36,0.41,123.44,65.92,0.56,96.83,-15.39,-18.59,6.89,4.25,0.38,0.38,0.36,0.41,3.43,0.95,2.67
"1981-01-05",123.77,46.51,-43.2,96.39,-20.23,-23.02,3.82,0.87,0.37,0.38,0.36,0.41,123.46,0,-70.77,96.08,-23.16,-26.84,1.97,-0.13,0.37,0.38,0.36,0.41,124.04,215.86,-13.33,96.91,-16.45,-18.33,5.65,1.89,0.37,0.38,0.36,0.41,0.7,0.46,2.41
"1981-01-06",124.13,42.18,-45.45,97.53,-13.65,-15.98,1.93,1.33,0.37,0.37,0.36,0.41,124.05,0,-72.94,96.98,-16.29,-18.13,1.01,0.64,0.37,0.37,0.36,0.41,124.16,214.49,-11.16,97.92,-10.68,-14.17,3.54,2.29,0.37,0.38,0.36,0.41,0.1,0.5,2.27
"1981-01-07",124.53,26.43,-34.04,97.61,-5.02,-7.15,-1.87,4.68,0.37,0.37,0.35,0.41,124.15,0,-54.69,96.62,-12.95,-15.24,-4.84,2.31,0.36,0.37,0.35,0.41,125.55,128.81,-14.15,98,3.32,1.62,1.34,8.54,0.37,0.37,0.36,0.41,1.32,3.48,2.2
"1981-01-08",121.5,40.97,-48.2,95.91,-2.29,-5.88,1.55,6.55,0.41,0.4,0.36,0.41,120.19,0,-101.85,95.11,-11.23,-14.5,-6.27,2.97,0.37,0.37,0.35,0.41,125.5,216.63,-2.3,96.82,5.31,3.7,5.82,11.18,0.43,0.42,0.36,0.41,12.89,10.86,10.86
"1981-01-09",120.29,46.54,-55.67,98.02,-14.22,-17.72,3.52,1.83,0.39,0.4,0.36,0.41,120.22,0,-80.54,96.91,-15.45,-19.09,-0.82,1.09,0.39,0.4,0.36,0.41,120.34,222.15,-37.82,98.89,-11.65,-14.79,5.86,2.9,0.4,0.41,0.36,0.41,0.36,2.16,7.15
"1981-01-10",123.32,16.61,-12.62,98,-6.56,-8.41,-5.57,1.17,0.39,0.39,0.36,0.41,120.28,0,-59.4,95.6,-14.47,-18.35,-10.68,0.16,0.38,0.39,0.36,0.41,135.25,110.81,10.33,98.9,2.46,1.75,-1.22,3.45,0.43,0.4,0.36,0.41,20.11,1.52,5.08
"1981-01-11",131.84,39.25,-49.59,95.72,-3.13,-7.01,0.89,7.35,0.41,0.42,0.37,0.41,130.94,0,-101.05,94.34,-8.97,-14.65,-8.57,2.19,0.4,0.41,0.36,0.41,135.11,201.48,6.54,97.29,6.86,6.42,3.94,9.89,0.44,0.43,0.37,0.41,9.07,9.77,9.73
"1981-01-12",130.78,49.84,-58.02,98.12,-9.21,-13.19,1.17,1.25,0.39,0.4,0.37,0.41,130.67,0,-92.73,97.39,-10.31,-14.59,-1.84,-3.09,0.39,0.4,0.37,0.41,130.9,213.31,6.67,98.48,-8.2,-10.89,3.27,5.34,0.4,0.41,0.37,0.41,0.27,3.4,6.47
"1981-01-13",139.88,11.44,-7.27,96.34,-3,-4.24,-5.08,-0.46,0.39,0.4,0.37,0.41,130.88,0,-27.55,95.15,-8.42,-10.62,-9.82,-4.81,0.38,0.39,0.37,0.41,146.14,60.33,1.88,98.18,1.97,1.67,-0.13,8.61,0.39,0.4,0.37,0.41,15.21,2.24,4.13
