"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",76.37,17.33,-9.73,96.34,-13.48,-16.86,-0.49,-0.22,0.22,0.22,0.22,0.27,74.93,0,-58.12,95.98,-16.28,-20.47,-1.84,-3.7,0.22,0.22,0.22,0.27,78.93,78.84,8.72,96.83,-10.41,-12.32,1.02,0.66,0.22,0.22,0.22,0.27,4.05,0.68,0.36
"1981-01-02",78.89,47.67,-81.89,96.73,-23.6,-28.45,1.3,-2.67,0.21,0.22,0.22,0.27,78.82,0,-95.24,96.13,-30.27,-33.72,0.67,-4.05,0.21,0.22,0.22,0.27,78.97,222.76,-34.8,97.03,-12.45,-16.28,1.99,-0.89,0.22,0.22,0.22,0.27,0.13,1.71,0.36
"1981-01-03",78.81,40.39,-69.93,96.95,-32.31,-36.76,0.73,-2,0.21,0.22,0.22,0.27,78.81,0,-86.1,96.73,-34.21,-38.61,0.33,-2.24,0.21,0.22,0.22,0.27,78.82,189.43,-37.4,97.32,-30.24,-34.36,1.21,-1.61,0.21,0.22,0.22,0.27,0.02,0.3,0.36
"1981-01-04",78.84,43.17,-40.25,97.59,-28.34,-32.73,1.53,-2.04,0.21,0.22,0.22,0.27,78.81,0,-79.53,97.2,-34.8,-38.44,1.2,-3.12,0.21,0.22,0.21,0.27,78.86,205.93,-13.58,97.97,-22.69,-26.3,1.94,-1.58,0.21,0.22,0.22,0.27,0.06,0.51,0.36
"1981-01-05",79.15,35.14,-25.6,97.43,-20.28,-23.18,0.77,0.5,0.21,0.22,0.21,0.27,78.86,0,-54.95,96.42,-24.17,-27,-0.23,-1.79,0.21,0.22,0.21,0.27,80.56,178.92,2.29,97.98,-13.2,-14.96,1.44,3.08,0.21,0.22,0.21,0.27,1.69,0.44,0.36
"1981-01-06",82.13,14.37,-13.07,95.68,-10.9,-12.81,1.43,0.44,0.21,0.22,0.21,0.27,80.82,0,-53,95.22,-12.76,-14.29,0.85,-3.53,0.21,0.22,0.21,0.27,83.71,80.93,-0.07,96.34,-8.74,-10.39,2.22,2.6,0.21,0.22,0.21,0.27,3.16,0.46,0.35
"1981-01-07",83.61,48.2,-77.98,96.04,-20.65,-25.24,1.51,-3.38,0.21,0.22,0.21,0.27,83.53,0,-88.42,95.29,-23.3,-28.54,0.56,-4.34,0.21,0.22,0.21,0.27,83.72,219.11,-53.5,96.74,-12.94,-16.7,2.14,-2.14,0.21,0.22,0.21,0.27,0.07,2.18,0.35
"1981-01-08",83.52,47.85,-66.11,96.97,-22.45,-25.74,1.28,-0.74,0.21,0.22,0.21,0.27,83.52,0,-78.89,96.74,-25.7,-28.69,0.61,-2.46,0.21,0.22,0.21,0.27,83.53,224.91,-43.02,97.13,-19.08,-22.48,1.75,0.77,0.21,0.22,0.21,0.27,0.01,0.47,0.35
"1981-01-09",83.81,42.98,-51.94,96.81,-18.52,-21.88,1.33,-0.71,0.21,0.22,0.21,0.26,83.53,0,-92.44,96.55,-21.1,-23.56,0.9,-2.19,0.21,0.21,0.21,0.26,83.94,203.64,-9.55,97.35,-14.97,-20.64,2.27,0.94,0.21,0.22,0.21,0.27,0.44,1.14,0.35
"1981-01-10",83.88,49.94,-74.03,97.81,-24.59,-28.66,0.88,-1.79,0.21,0.21,0.21,0.26,83.86,0,-85.7,97.37,-27.2,-32.15,0.15,-2.36,0.21,0.21,0.21,0.26,83.91,230.13,-58.19,98.1,-21.47,-24.15,1.48,-0.78,0.21,0.21,0.21,0.26,0.04,0.64,0.35
"1981-01-11",83.86,49.7,-74.29,97.62,-27.17,-31.06,0.81,-1.98,0.21,0.21,0.21,0.26,83.84,0,-84.23,97.39,-29.83,-33.18,-0.36,-2.5,0.21,0.21,0.21,0.26,83.87,230.88,-43.99,97.96,-24.16,-28.93,1.46,-1.27,0.21,0.21,0.21,0.26,0.01,0.4,0.35
"1981-01-12",83.86,50.91,-52.77,96.98,-24.9,-27.96,0,0.35,0.21,0.21,0.21,0.26,83.84,0,-71.86,96.73,-28.14,-31.35,-1.65,-1.2,0.21,0.21,0.21,0.26,83.93,229.79,-6.86,97.41,-21.46,-23.68,1.44,1.68,0.21,0.21,0.21,0.26,0.05,0.27,0.35
"1981-01-13",84.98,32.26,-9.91,96.52,-16.68,-18.8,-1.43,0.73,0.21,0.21,0.21,0.26,83.95,0,-35.22,96.43,-21.22,-23.4,-2.08,0.03,0.21,0.21,0.21,0.26,85.71,169.38,11.26,96.71,-14.1,-16.17,-0.6,1.32,0.21,0.21,0.21,0.26,1.77,0.5,0.34
"1981-01-14",85.89,30.07,-21.07,96.56,-13.1,-15.12,-0.68,0.17,0.21,0.21,0.21,0.26,85.74,0,-38.5,96.37,-15.12,-16.84,-1.37,-0.76,0.21,0.21,0.21,0.26,86.1,149.24,-1.66,96.84,-10.89,-13.05,-0.28,1.33,0.21,0.21,0.21,0.26,0.39,0.66,0.34
"1981-01-15",86.64,31.38,-21.83,97.07,-10.68,-13.34,-1.84,-0.11,0.21,0.21,0.21,0.26,86.13,0,-33.81,96.79,-12.14,-14.96,-2.3,-1.45,0.21,0.21,0.21,0.26,87.59,144.56,-10.55,97.34,-8.78,-12.25,-1.43,0.66,0.21,0.21,0.21,0.26,1.61,1.54,0.34
"1981-01-16",88.21,44.76,-51.65,97.5,-12.81,-16.21,-0.8,-2.29,0.21,0.21,0.21,0.26,87.74,0,-89.54,97.29,-17.77,-20.18,-2.17,-2.82,0.21,0.21,0.21,0.26,88.34,213.25,-14.99,97.72,-10.63,-13.09,0.56,-1.49,0.21,0.21,0.21,0.26,0.87,2.4,0.34
"1981-01-17",88.22,50.38,-50.87,97.18,-16.87,-19.44,1.38,0.3,0.21,0.21,0.21,0.26,88.2,0,-75.38,96.55,-19.19,-21.66,0.75,-1.71,0.21,0.21,0.21,0.26,88.26,228.28,-23.58,97.72,-14.38,-16.97,1.82,1.91,0.21,0.21,0.21,0.26,0.05,0.6,0.33
"1981-01-18",88.39,40.05,-38.22,96.47,-9.17,-11.06,1.59,-1.19,0.21,0.21,0.21,0.26,88.26,0,-76.57,96.26,-14.96,-16.87,1.02,-1.78,0.21,0.21,0.21,0.26,88.5,211.29,-0.14,96.63,-3.83,-5.83,2.33,0.13,0.21,0.21,0.21,0.26,0.16,0.96,0.32
"1981-01-19",88.47,50.9,-69.53,96.27,-6.67,-8.77,0.6,-1.48,0.21,0.21,0.21,0.26,88.41,0,-92.38,96.08,-9.61,-10.95,-1.6,-2.51,0.21,0.21,0.21,0.26,88.5,236.3,-49.6,96.54,-3.65,-6.63,1.49,-0.74,0.21,0.21,0.21,0.26,0,2.15,0.32
"1981-01-20",88.27,56.42,-67.69,97.24,-9.04,-12.71,-1.41,-1.03,0.21,0.21,0.21,0.26,88.15,0,-97.05,96.64,-11.69,-15.2,-1.99,-2.45,0.21,0.21,0.21,0.26,88.41,250.05,-30.38,97.53,-6.53,-8.41,-0.45,0.95,0.21,0.21,0.21,0.26,0.02,2.92,0.32
"1981-01-21",88.16,39.3,-35.56,96.8,-10.92,-13.34,1.42,0.85,0.21,0.21,0.2,0.26,88.15,0,-66.59,95.98,-13.79,-15.95,-0.88,-0.53,0.21,0.21,0.2,0.26,88.19,191.63,-8.65,97.44,-8.21,-9.62,2.59,1.68,0.21,0.21,0.2,0.26,0.01,1.13,0.32
"1981-01-22",88.35,33.93,-33.2,95.86,-5.24,-7.36,1.98,-1.28,0.21,0.21,0.2,0.26,88.2,0,-71.67,95.72,-8.78,-10.09,1.44,-1.75,0.21,0.21,0.2,0.26,88.56,153.48,-6,96.02,-2.04,-5.1,3.04,-0.73,0.21,0.21,0.2,0.26,0.45,2.22,0.32
"1981-01-23",88.56,36.66,-36.14,96.06,-5.11,-7.49,1.06,-1.54,0.21,0.21,0.2,0.26,88.51,0,-69.26,95.96,-6.49,-9.63,0.43,-2.35,0.21,0.21,0.2,0.26,88.61,161.9,-21.31,96.13,-3.46,-5.85,1.72,-0.88,0.21,0.21,0.2,0.26,0.15,2.49,0.31
"1981-01-24",88.48,39.43,-44.45,96.33,-6.63,-8.81,0.32,-0.56,0.21,0.21,0.2,0.26,88.41,0,-79.58,96.09,-7.77,-10.48,-0.33,-1.94,0.21,0.21,0.2,0.26,88.53,172.45,-28.54,96.48,-4.85,-7.64,1.54,1.7,0.21,0.21,0.2,0.26,0.01,1.69,0.31
"1981-01-25",88.47,31.12,-34.91,95.81,-5.8,-6.96,-0.79,2.25,0.21,0.21,0.2,0.26,88.42,0,-74.03,94.99,-9.46,-10.68,-1.16,1.84,0.21,0.21,0.2,0.26,88.53,175.61,0.28,96.43,-1.47,-1.98,-0.21,3.17,0.21,0.21,0.2,0.26,0.05,0.53,0.31
"1981-01-26",89.13,16,-21.91,94.49,-1.71,-2.98,1.3,0.67,0.21,0.21,0.2,0.26,88.54,0,-50.07,94.13,-9.91,-13.37,-1.04,-3.09,0.21,0.21,0.2,0.26,89.96,65.54,-0.5,95.3,0.11,-0.39,3.4,2.55,0.21,0.21,0.2,0.26,1.56,2.26,0.31
"1981-01-27",89.66,60.53,-71.15,95.78,-15.16,-18.79,1.11,-1.32,0.21,0.21,0.2,0.26,89.56,0,-83.43,95.38,-18.03,-21.26,0.23,-2.82,0.21,0.21,0.2,0.26,89.82,252.36,-45.66,96.2,-11.22,-14.85,2.04,0,0.21,0.21,0.2,0.26,0.01,2.08,0.32
"1981-01-28",89.56,57.15,-55.31,96.43,-16.88,-20.75,0.3,-0.75,0.21,0.21,0.2,0.26,89.53,0,-81.2,96.13,-20.34,-22.94,-0.61,-1.73,0.21,0.21,0.2,0.26,89.71,238.79,-28.01,96.84,-11.9,-18.07,1.18,0.93,0.21,0.21,0.2,0.26,0.22,1.57,0.31
"1981-01-29",89.7,64.93,-76.58,97.62,-15.8,-19.05,-0.12,-2.11,0.21,0.21,0.2,0.26,89.64,0,-89.41,96.88,-18.59,-21.16,-0.85,-2.44,0.2,0.21,0.2,0.26,89.73,269.19,-47.44,98.21,-12.37,-16.74,0.79,-1.47,0.21,0.21,0.2,0.26,0.03,1.39,0.31
"1981-01-30",89.58,67.92,-79.2,98.26,-16.57,-20.3,1.23,-1.35,0.2,0.21,0.2,0.26,89.53,0,-88.69,98.13,-21.21,-23.96,0.1,-2.17,0.2,0.21,0.2,0.26,89.63,282.7,-65.73,98.42,-11.92,-16.06,2.15,-0.43,0.2,0.21,0.2,0.26,0,1.78,0.31
"1981-01-31",89.47,66.53,-63.14,97.75,-14.16,-17.48,0.8,0.73,0.2,0.21,0.2,0.26,89.41,0,-85.28,97.1,-16.56,-19.51,-1.31,-1.42,0.2,0.21,0.2,0.26,89.52,281.51,-33.45,98.13,-11.51,-14.94,2.07,2.11,0.2,0.21,0.2,0.26,0,1.88,0.34
"1981-02-01",94.93,12.17,-15.96,95.43,-7.91,-9.81,-0.26,2.11,0.2,0.21,0.2,0.26,89.4,0,-49.14,94.58,-12.63,-14.75,-2.37,-0.63,0.2,0.21,0.2,0.26,100.21,50.06,7.7,97.01,-3.87,-4.82,2.32,3.59,0.2,0.21,0.2,0.26,10.78,0.68,0.39
"1981-02-02",100.89,37.5,-26.08,95.29,-14.82,-18.65,0.48,-2.85,0.2,0.21,0.2,0.26,100.21,0,-43.79,94.83,-21.83,-26.59,-0.59,-3.77,0.2,0.21,0.2,0.26,101.44,184.42,-14.23,96.02,-6.56,-7.66,1.39,-0.54,0.2,0.21,0.2,0.26,1.63,2.86,0.47
"1981-02-03",101.47,65.89,-59.33,96.44,-23.83,-28.26,1.8,-0.51,0.2,0.2,0.2,0.26,101.44,0,-80.47,96.03,-26.7,-30.83,0.93,-2.16,0.2,0.2,0.2,0.26,101.58,270.58,-27.72,96.82,-21.72,-26.56,2.78,0.85,0.2,0.21,0.2,0.26,0.26,1.12,0.59
"1981-02-04",101.66,71.21,-64.46,96.93,-24.22,-28.76,1.12,-1.48,0.2,0.2,0.2,0.26,101.59,0,-89.17,96.47,-26.09,-31.93,0.17,-2.8,0.2,0.2,0.2,0.26,101.7,291.22,-29.58,97.36,-22.28,-26.26,2.03,-0.21,0.2,0.2,0.2,0.26,0.13,1.11,0.61
"1981-02-05",101.91,56.5,-31,96.91,-20.24,-23.57,1.32,1.71,0.2,0.2,0.2,0.26,101.63,0,-79.12,96.55,-26.52,-29.49,0.19,-0.04,0.2,0.2,0.2,0.26,102.29,260.08,1.57,97.31,-15.41,-17.91,3.46,2.9,0.2,0.2,0.2,0.26,0.65,0.98,0.61
"1981-02-06",103.53,47.76,-32.4,96.34,-12.32,-15.05,1.76,0.6,0.2,0.2,0.2,0.26,102.45,0,-91.37,96.12,-15.09,-17.29,0.3,-0.51,0.2,0.2,0.2,0.26,103.87,216.84,2.21,96.81,-8.83,-13.98,3.27,1.91,0.2,0.2,0.2,0.26,1.63,1.91,0.67
"1981-02-07",105.71,31.25,-19.75,96.14,-11.37,-13.34,-1.52,1,0.2,0.2,0.2,0.26,103.82,0,-53.84,95.08,-14.98,-17.15,-3.52,-0.41,0.2,0.2,0.2,0.26,110.8,131.17,-2.15,96.8,-7.53,-8.53,1.52,2.28,0.2,0.2,0.2,0.26,6.91,0.57,0.73
"1981-02-08",113.52,42.7,-31.29,95.25,-7.76,-10.37,0.82,-0.18,0.2,0.2,0.2,0.26,111.23,0,-64.97,94.88,-13.46,-16.39,0.3,-3.44,0.2,0.2,0.2,0.26,114.31,171.53,-4.91,95.97,-5.55,-7.52,1.45,2.83,0.2,0.2,0.2,0.26,3.64,2.95,0.8
"1981-02-09",114.16,63.67,-57.34,96.42,-15.04,-17.98,1.01,0.52,0.2,0.2,0.2,0.26,114.11,0,-78.63,96.03,-16.84,-19.45,0.16,-2.02,0.2,0.2,0.2,0.26,114.35,261.81,-31.61,96.9,-13.3,-16.04,2.06,2,0.2,0.2,0.2,0.26,0.28,1.42,0.84
"1981-02-10",117.82,24.49,-20.08,96.73,-12.42,-14.85,-1.54,-0.3,0.2,0.2,0.2,0.26,114.42,0,-67.19,95.24,-15.97,-18.55,-3.83,-1.16,0.2,0.2,0.2,0.26,129.03,117.81,5.29,97.5,-6.58,-7.39,2.17,0.97,0.2,0.2,0.2,0.26,14.64,0.65,0.85
"1981-02-11",137.27,52.04,-23.12,95.49,-13.36,-16.99,1.07,-2.76,0.2,0.2,0.2,0.26,130.77,0,-67.43,94.63,-21.11,-25.36,-2.01,-4.41,0.2,0.2,0.2,0.26,138.92,274.85,6.23,97.03,-5.67,-6.21,2.97,0.81,0.2,0.2,0.2,0.26,10.28,3.31,0.99
"1981-02-12",138.9,80.98,-71.69,98.48,-23.17,-27.34,1.85,0.82,0.2,0.2,0.19,0.26,138.86,0,-87.74,97.19,-26.19,-30.06,-0.46,-1.32,0.2,0.2,0.19,0.26,139,314.75,-18.09,99.07,-20.84,-24.17,3.06,2.42,0.2,0.2,0.2,0.26,0.2,1.23,1.08
"1981-02-13",139.2,72.81,-36.5,99.08,-18.08,-20.86,0.35,1.59,0.2,0.2,0.19,0.26,139.03,0,-85.29,98.77,-21.36,-23.82,-0.84,0.81,0.2,0.2,0.19,0.26,139.77,318.76,0.34,99.32,-14.41,-16.14,1.26,2.67,0.2,0.2,0.19,0.26,0.71,1.14,1.11
"1981-02-14",139.98,80.87,-44.75,98.79,-11.22,-13.76,-0.35,0.42,0.2,0.2,0.19,0.26,139.85,0,-82.64,98.51,-14.44,-15.97,-1.32,-1.66,0.2,0.2,0.19,0.26,140.02,317.93,-8.6,99,-5.65,-10.71,1.65,2.01,0.2,0.2,0.19,0.26,0.21,2.1,1.06
"1981-02-15",140.07,71.12,-52.48,97.8,-4.45,-7.24,-0.14,2.8,0.2,0.2,0.19,0.26,140.03,0,-75.42,97.15,-9.04,-10.53,-1.2,2,0.2,0.2,0.19,0.26,140.11,277.2,-12.07,98.47,-0.98,-3.37,0.83,3.4,0.2,0.2,0.19,0.26,0.05,4.19,1.01
"1981-02-16",140.65,24.28,-20.48,96.78,0.48,-0.21,1.72,2.43,0.2,0.2,0.19,0.26,140.04,0,-73.35,96.48,-2.07,-3.19,0.78,1.34,0.2,0.2,0.19,0.26,141.71,108.27,-1.98,97.14,2.26,1.16,3.24,3.61,0.22,0.2,0.19,0.26,2.38,1.1,0.99
"1981-02-17",139.66,86.58,-57.96,96.73,1.41,0.03,1.66,1.77,0.23,0.2,0.19,0.26,137.32,0,-86.01,96.6,-0.27,-0.82,-0.22,1.05,0.21,0.2,0.19,0.26,141.39,346.91,-27.01,96.88,4.05,0.71,3,2.34,0.26,0.21,0.19,0.26,0,3.71,1.02
"1981-02-18",135.74,31.41,-6.37,96.66,1.6,1.37,0.03,2.41,0.26,0.21,0.19,0.26,132.02,0,-54.71,96.31,-0.06,-0.28,-0.92,1.45,0.24,0.21,0.19,0.26,137.36,119.67,5.55,96.91,3.14,3.07,2.28,3.59,0.31,0.23,0.19,0.26,2.72,0.31,1.04
"1981-02-19",128.12,43.63,-7.35,96.46,1.67,1.31,0.3,0.86,0.29,0.25,0.19,0.26,125.07,0,-23.9,96.33,0.6,0.52,-1.22,-1.36,0.29,0.23,0.19,0.26,131.56,181.78,5.85,96.58,3.95,2.42,2.17,2.1,0.3,0.26,0.19,0.26,0.04,0.9,1.05
"1981-02-20",122.54,90.23,-52.01,96.62,1.75,-0.46,-0.87,-2.51,0.29,0.27,0.2,0.26,120.17,0,-101.55,96.41,-0.39,-1.93,-1.53,-3.46,0.28,0.26,0.19,0.26,125.08,368.66,-4.13,96.83,4.39,1.07,-0.19,-1.14,0.3,0.27,0.2,0.26,0.02,6.36,1.04
"1981-02-21",119.77,81.17,-55.93,97.05,0.3,-1.52,-0.73,-1.13,0.27,0.27,0.2,0.25,119.08,0,-99.24,96.81,-1.23,-2.25,-1.8,-2.93,0.27,0.27,0.2,0.25,120.17,325.56,-12.28,97.17,3.08,-0.98,0.38,1.32,0.28,0.27,0.2,0.26,0,4.36,1.01
"1981-02-22",118.22,25.1,-13.31,96.65,1.23,0.6,-2.57,0.88,0.27,0.26,0.2,0.25,114.89,0,-54.25,95.96,-1.39,-2.25,-3.49,0.34,0.26,0.26,0.2,0.25,119.12,87.4,7.84,97.17,4.11,4.11,-1.68,2.38,0.31,0.27,0.2,0.25,0.81,0.61,0.97
"1981-02-23",108.75,17.31,0.83,95.42,2.41,2.31,-1.93,1.68,0.34,0.3,0.21,0.25,104.97,0,-12.87,95.18,-0.19,-0.28,-3.37,0.65,0.31,0.27,0.2,0.25,114.46,76.48,5.19,95.89,3.82,3.8,0.35,2.31,0.35,0.32,0.22,0.25,15.69,-0.21,1.22
"1981-02-24",109.03,36.49,-19.67,95.53,-0.39,-1.02,0.18,1.33,0.3,0.3,0.23,0.25,107.91,0,-60.74,95.13,-1.86,-3.19,-1.17,-1.48,0.28,0.29,0.22,0.25,110.9,207.14,-2.5,95.99,0.82,-0.37,2.23,4.07,0.32,0.32,0.23,0.25,3.51,1.57,2.4
"1981-02-25",110.6,64.56,-30.82,96.92,-2.4,-5.71,0.93,-2.32,0.28,0.28,0.23,0.25,110.25,0,-47.54,96.07,-6.11,-9.08,-0.03,-2.77,0.27,0.28,0.23,0.25,110.87,253.31,-12.43,97.67,-0.5,-3.33,2.01,-1.73,0.28,0.29,0.24,0.25,0.04,6.62,2.84
"1981-02-26",110.05,101.09,-72.67,98.11,-5.97,-9.61,-0.59,-2.34,0.26,0.27,0.24,0.25,109.86,0,-104.43,97.72,-8.64,-11.43,-1.48,-3.47,0.26,0.27,0.24,0.25,110.23,377.7,-34.03,98.28,-2.13,-6.97,0.12,-1.37,0.27,0.28,0.24,0.25,0.01,5.48,2.7
"1981-02-27",109.77,102.49,-72.52,97.71,-6.89,-9.82,-1.24,0.74,0.26,0.27,0.24,0.25,109.66,0,-96.89,96.72,-10.39,-12.4,-1.91,-1.26,0.26,0.26,0.24,0.25,110.06,380.91,-13.14,98.25,-3.44,-6.47,0.05,2.26,0.26,0.27,0.24,0.25,0.42,4.41,2.6
"1981-02-28",117.28,45.86,-12.77,95.64,-1.11,-3.63,-0.13,-0.63,0.25,0.26,0.24,0.25,111.41,0,-36.65,95.23,-4.55,-7.32,-2.71,-2.86,0.25,0.26,0.24,0.25,118.36,220.34,3.61,96.6,1.87,-2.78,2.17,2.28,0.26,0.26,0.24,0.25,8.33,5.17,3.05
"1981-03-01",118.16,55.91,-28.64,96.03,-2.89,-6.03,2.05,0.02,0.25,0.26,0.24,0.25,117.91,0,-49.98,95.71,-4.5,-9.06,0.93,-2,0.25,0.25,0.24,0.25,118.71,212.6,-19.26,96.25,-1.35,-3.43,3.51,1.98,0.25,0.26,0.24,0.25,1.05,5.35,3.26
"1981-03-02",118.62,92.34,-61.16,96.08,-8.68,-12.84,1.49,-2.49,0.25,0.25,0.24,0.25,118.37,0,-84.08,95.6,-12.98,-16.07,0.66,-4.06,0.24,0.25,0.24,0.25,118.82,344.18,-15.08,96.53,-4.24,-5.39,2.63,0.24,0.25,0.25,0.24,0.25,0.2,5.84,3.09
"1981-03-03",118.26,110.75,-84.39,96.59,-13.1,-17.17,1.43,-0.48,0.24,0.25,0.24,0.25,118.16,0,-100.58,96.49,-17.1,-19.72,-0.23,-2.11,0.24,0.25,0.24,0.25,118.36,395.52,-42.57,96.69,-8.99,-14.08,2.33,1.06,0.24,0.25,0.24,0.25,0.01,3.44,2.82
"1981-03-04",119.21,89.13,-38.34,96.18,-8.28,-11.3,-1.41,-0.37,0.24,0.25,0.24,0.25,118.21,0,-89.47,96.06,-12.53,-15.02,-2.13,-1.56,0.24,0.25,0.24,0.25,119.48,388.77,-0.72,96.47,-4.02,-7.94,-0.64,0.98,0.24,0.25,0.24,0.25,1.4,3.8,2.63
"1981-03-05",119.42,81.45,-62.82,96.17,-7.12,-11.03,-1.25,-1.95,0.24,0.25,0.24,0.25,119.38,0,-88.14,96.06,-10.92,-12.9,-2.51,-2.32,0.24,0.24,0.24,0.25,119.47,325.63,-31.08,96.32,-3.15,-9.12,-0.73,-1.37,0.24,0.25,0.24,0.25,0.28,5.26,2.51
"1981-03-06",119.24,101.57,-64.31,96.54,-8.89,-12.61,0.21,-2.75,0.24,0.24,0.24,0.25,119.12,0,-88.16,96.31,-12.66,-15.37,-0.52,-3.37,0.24,0.24,0.24,0.25,119.37,384.57,-27.71,96.92,-5.37,-9.53,0.66,-2.12,0.24,0.24,0.24,0.25,0.13,4.83,2.43
"1981-03-07",119.34,96.3,-41.59,97.32,-2.58,-5.91,-0.36,-2.94,0.24,0.24,0.24,0.25,119.19,0,-90.22,96.91,-7.14,-9.36,-0.73,-3.6,0.23,0.24,0.24,0.25,119.41,402.68,-17.07,97.71,2.19,-2.9,0.26,-1.76,0.24,0.24,0.24,0.25,0.23,7.15,2.29
"1981-03-08",119.15,55.61,-33.92,97.76,-1.82,-4.35,0.85,-1,0.23,0.24,0.24,0.25,119.07,0,-48.17,97.72,-3.4,-5.32,-0.19,-1.57,0.23,0.24,0.24,0.25,119.2,194.86,-19.82,97.81,0.26,-2.97,1.99,-0.33,0.23,0.24,0.24,0.25,0.24,4.32,2.16
"1981-03-09",119.17,72.2,-43.61,97.55,-2.68,-5.41,1.48,-0.66,0.23,0.24,0.24,0.25,119.12,0,-71.5,97.34,-4.97,-7.09,0.87,-1.54,0.23,0.24,0.24,0.25,119.23,297.33,-23.92,97.77,0.44,-3.96,2.53,0.21,0.23,0.24,0.24,0.25,0.38,5.06,2.04
