"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",20.85,30.93,-25.86,97.95,-7.48,-9.65,-1.13,-0.59,0.34,0.33,0.36,0.37,20.36,0,-44.69,97.56,-10.08,-11.85,-3.28,-1.7,0.34,0.33,0.36,0.37,23.13,147.98,-5.17,98.24,-4.77,-6.9,2.43,1.31,0.34,0.33,0.37,0.37,2.96,0.61,0.13
"1981-01-02",23.61,50.15,-59.01,98.19,-11.74,-15.9,4,-1.22,0.34,0.33,0.36,0.37,23.36,0,-85.7,97.45,-20.26,-22.83,1.32,-2.83,0.34,0.33,0.36,0.37,23.73,213.51,-9.8,98.79,-4.7,-6.6,5.31,0.25,0.34,0.33,0.36,0.37,0.95,1.82,0.13
"1981-01-03",24.1,54.79,-52.78,98.44,-19.24,-22.85,1.15,-0.97,0.34,0.33,0.36,0.37,23.78,0,-88.25,98.19,-23.51,-27.05,0.17,-1.82,0.34,0.33,0.36,0.37,24.21,248.29,-10.88,98.78,-14.53,-20.36,2.39,0.46,0.34,0.33,0.36,0.37,0.65,0.52,0.12
"1981-01-04",24.24,49.96,-56.61,99.23,-23.29,-27.53,2.23,-1.67,0.34,0.33,0.36,0.37,24.21,0,-74.38,98.7,-30.99,-34.63,0.91,-2.81,0.34,0.33,0.36,0.37,24.28,222.31,-32.8,99.68,-16.29,-22.13,4.36,-0.75,0.34,0.33,0.36,0.37,0.23,0.53,0.12
"1981-01-05",24.35,36.58,-26.51,99.5,-14.32,-17.36,2.46,0.89,0.34,0.33,0.36,0.37,24.28,0,-53.3,99,-20.81,-23.94,1.69,-0.71,0.34,0.33,0.36,0.37,24.41,181.46,-4.92,99.75,-10.22,-14.69,3.56,2.59,0.34,0.33,0.36,0.37,0.26,0.72,0.12
"1981-01-06",25.51,21.98,-12.18,97.9,-7.7,-10.59,2.37,2.99,0.34,0.33,0.36,0.37,24.34,0,-30.88,96.84,-12.12,-14.73,1.76,2.08,0.34,0.33,0.36,0.37,29.75,103.22,-5.72,98.95,-4.42,-5.71,2.89,3.75,0.34,0.33,0.36,0.37,5.7,1.38,0.12
"1981-01-07",30.84,53.16,-59.63,97.51,-12.36,-16.7,4.14,-1.49,0.34,0.33,0.36,0.37,30.12,0,-86.23,96.65,-18.71,-22.12,2.62,-3.13,0.33,0.33,0.36,0.37,30.93,245.08,-8.58,98.43,-4.39,-5.64,5.68,1.95,0.34,0.33,0.36,0.37,1.54,1.8,0.12
"1981-01-08",30.89,60.4,-72.1,98.83,-17.56,-21.27,2.21,-0.38,0.33,0.33,0.36,0.37,30.82,0,-91.05,98.38,-23.08,-25.92,1.76,-1.27,0.33,0.33,0.36,0.37,30.94,270.48,-60.59,99.14,-11.57,-16.61,2.74,0.72,0.33,0.33,0.36,0.37,0.03,0.61,0.11
"1981-01-09",30.96,44.46,-42.42,98.84,-15.65,-18.49,2.07,1.31,0.33,0.33,0.36,0.37,30.82,0,-78.84,98.63,-22.22,-24.43,1.39,-2.23,0.33,0.33,0.36,0.37,31.24,197.25,-0.17,99.1,-9.67,-13.33,2.89,2.67,0.33,0.33,0.36,0.37,0.56,0.61,0.11
"1981-01-10",31.19,60.87,-81.22,99.44,-18.37,-22.68,2.9,-1.34,0.33,0.33,0.36,0.37,31.11,0,-92.99,98.97,-22.4,-25.62,1.87,-2.13,0.33,0.33,0.35,0.37,31.25,260.99,-65.17,99.69,-15.28,-18.73,4.01,-0.61,0.33,0.33,0.36,0.37,0.04,0.79,0.11
