"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",21.9,26.51,-17.44,97.98,-6.51,-9.99,-0.52,-0.7,0.38,0.38,0.4,0.42,21.4,0,-46.26,97.76,-9.14,-13.23,-3.88,-1.91,0.38,0.38,0.4,0.42,24.12,137.75,-6.39,98.17,-3.6,-5.54,4.23,0.8,0.38,0.38,0.4,0.42,2.99,0.94,0.09
"1981-01-02",24.43,51.17,-65.57,98.49,-12.97,-17.06,4.32,-2.33,0.38,0.38,0.4,0.42,24.34,0,-87.12,97.79,-18.82,-21.82,1.03,-3.59,0.38,0.38,0.4,0.42,24.67,216.64,-8.95,98.94,-4.47,-6.51,6.08,0.18,0.38,0.38,0.4,0.42,0.92,1.13,0.08
"1981-01-03",25.74,50.37,-50.54,98.58,-17.36,-20.97,2.92,-1.52,0.38,0.38,0.4,0.42,24.88,0,-91.56,98.37,-21.53,-25.12,0.29,-3.21,0.38,0.38,0.4,0.42,26.06,229.44,-2.42,98.95,-14.07,-18.63,4.46,0.14,0.38,0.38,0.4,0.42,1.59,0.54,0.08
"1981-01-04",26.29,45.9,-52.1,99.42,-20.89,-24.39,3.65,-1.81,0.38,0.38,0.4,0.42,26.09,0,-69.98,98.83,-25.62,-28.41,2.33,-2.56,0.38,0.38,0.4,0.42,26.49,212.01,-29.89,99.84,-16.45,-19.19,5.55,-0.9,0.38,0.38,0.4,0.42,0.58,0.33,0.08
"1981-01-05",26.61,39.94,-30.51,99.69,-14.54,-17.27,3.04,1.02,0.38,0.38,0.4,0.42,26.51,0,-47.81,99.08,-17.48,-20.04,2.18,-0.85,0.37,0.37,0.4,0.42,26.67,192.61,-19.49,99.99,-11.56,-14.17,3.92,3.35,0.38,0.38,0.4,0.42,0.29,0.41,0.08
"1981-01-06",28.83,21.27,-10.09,97.99,-7.16,-9.73,2.47,3.47,0.37,0.37,0.4,0.42,26.58,0,-44.18,96.97,-12.19,-14.7,1.62,2.09,0.37,0.37,0.4,0.42,34.88,101.52,4.09,99.02,-4.29,-5.27,3.53,4.59,0.37,0.37,0.4,0.42,8.56,0.87,0.08
"1981-01-07",36.53,49.07,-60.52,97.81,-13.21,-17.03,4.73,-2.37,0.37,0.37,0.4,0.42,35.41,0,-79.87,96.88,-18.35,-21.69,3.52,-4.41,0.37,0.37,0.4,0.42,36.71,225.1,-5.55,98.64,-4.23,-5.19,5.73,1.42,0.37,0.37,0.4,0.42,2.16,0.95,0.07
"1981-01-08",36.72,52.25,-70.3,98.99,-17.34,-20.61,2.47,-0.31,0.37,0.37,0.39,0.42,36.68,0,-79.45,98.56,-20.62,-23.01,1.74,-1.59,0.37,0.37,0.39,0.42,36.76,222.06,-57.54,99.27,-12.51,-17.09,3.38,0.99,0.37,0.37,0.4,0.42,0.04,0.26,0.07
"1981-01-09",36.98,40.49,-33.79,98.95,-16.02,-18.49,2.02,1.33,0.37,0.37,0.39,0.42,36.68,0,-66.9,98.76,-22.62,-24.26,1.17,-3.58,0.37,0.37,0.39,0.42,37.59,199.19,7.56,99.2,-10.43,-13.52,2.96,2.86,0.37,0.37,0.39,0.42,0.98,0.33,0.07
"1981-01-10",37.61,56.22,-78.33,99.65,-18.35,-22.41,2.91,-2.3,0.37,0.37,0.39,0.42,37.57,0,-91.68,99.15,-22.84,-26.04,1.27,-3.53,0.37,0.37,0.39,0.42,37.65,246.35,-65.9,99.96,-14.31,-17.29,4,-1.46,0.37,0.37,0.39,0.42,0.15,0.46,0.07
