"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",28.24,29.57,-23.9,96.93,-7.66,-9.82,-0.87,-0.13,0.38,0.38,0.4,0.42,27.75,0,-46.62,96.59,-10.21,-11.84,-3.73,-1.03,0.38,0.38,0.4,0.42,30.63,153.6,-6.72,97.16,-4.52,-6.27,3.73,1.07,0.38,0.38,0.4,0.42,3.04,0.41,0.14
"1981-01-02",31.54,45.76,-56.37,97.24,-12.81,-16.59,4.65,-2.1,0.38,0.38,0.4,0.42,30.9,0,-72.19,96.58,-19.06,-22.13,1.74,-4,0.37,0.38,0.4,0.42,31.93,194.58,-9.5,97.73,-5.04,-6.63,5.98,0.32,0.38,0.38,0.4,0.42,1.63,1.03,0.13
"1981-01-03",32.77,47.64,-47.33,97.4,-18.71,-22.1,1.94,-1.21,0.37,0.38,0.4,0.42,32.04,0,-76.27,97.18,-23.04,-25.99,0.3,-2.55,0.37,0.38,0.39,0.42,33.32,215.93,-10.29,97.73,-15.4,-19.66,3.29,0.83,0.37,0.38,0.4,0.42,1.53,0.35,0.13
"1981-01-04",33.51,44.08,-48.76,98.19,-22.29,-25.87,2.39,-2.3,0.37,0.37,0.39,0.42,33.33,0,-72.51,97.65,-29.54,-33.08,0.85,-3.78,0.37,0.37,0.39,0.42,33.77,195.4,-27.79,98.63,-16.83,-20.78,5.34,-0.92,0.37,0.38,0.39,0.42,0.57,0.31,0.12
"1981-01-05",33.94,33.31,-22.85,98.46,-13.95,-16.65,2.86,0.38,0.37,0.37,0.39,0.42,33.78,0,-49.46,97.93,-18.24,-20.8,1.99,-2.13,0.37,0.37,0.39,0.42,34.01,169.37,-12.98,98.73,-11.6,-14.84,3.81,3.07,0.37,0.37,0.39,0.42,0.37,0.42,0.12
"1981-01-06",35.69,23.84,-9.03,96.85,-8.24,-10.84,2.25,3.11,0.37,0.37,0.39,0.42,33.99,0,-20.87,95.84,-13.32,-15.65,1.72,1.68,0.37,0.37,0.39,0.42,40.58,108.99,-2.63,97.88,-5.12,-6.1,2.84,3.9,0.37,0.37,0.39,0.42,6.83,0.77,0.12
"1981-01-07",42.29,46.59,-52.63,96.57,-13.26,-17.18,4.6,-2.58,0.37,0.37,0.39,0.42,41.07,0,-68.58,95.75,-18.11,-21.63,3.06,-4.12,0.37,0.37,0.39,0.42,42.73,216.03,-5.39,97.41,-5.02,-5.97,6.03,1.09,0.37,0.37,0.39,0.42,2.49,1.01,0.11
"1981-01-08",42.79,52.32,-64.83,97.8,-17.08,-20.24,2.3,-0.84,0.37,0.37,0.39,0.42,42.74,0,-75.23,97.36,-20.57,-23.01,1.84,-2.13,0.37,0.37,0.39,0.42,42.82,231.62,-45.96,98.1,-12.53,-16.82,3.07,0.82,0.37,0.37,0.39,0.42,0.11,0.3,0.1
"1981-01-09",43.11,40.21,-36.3,97.79,-15.91,-18.57,2,1.14,0.37,0.37,0.39,0.42,42.78,0,-65.42,97.58,-22.44,-24.4,1.16,-3.08,0.37,0.37,0.39,0.42,43.83,191,11.95,98.04,-10.12,-13.15,3.14,2.52,0.37,0.37,0.39,0.42,1.12,0.32,0.1
"1981-01-10",43.89,55.29,-75.41,98.44,-19.14,-23.06,3.12,-2.05,0.37,0.37,0.39,0.42,43.83,0,-88.15,97.98,-22.86,-25.87,1.56,-2.94,0.37,0.37,0.39,0.42,43.92,241.43,-66.84,98.7,-16.26,-19.13,4.37,-1.08,0.37,0.37,0.39,0.42,0.2,0.41,0.09
"1981-01-11",44.03,58.22,-63.24,98.21,-23.28,-26.93,2.01,-1.98,0.37,0.37,0.38,0.42,43.9,0,-92.47,98.01,-26.54,-28.92,0.53,-3.08,0.37,0.37,0.38,0.42,44.06,258.28,-23.16,98.5,-19.13,-25.38,3.4,-1.09,0.37,0.37,0.38,0.42,0.23,0.28,0.09
"1981-01-12",44.06,60.44,-60.58,97.96,-22.25,-25.34,1.22,1.26,0.37,0.37,0.38,0.42,44.04,0,-93.06,97.62,-30.76,-33.22,-0.17,-0.96,0.37,0.37,0.38,0.42,44.07,258.69,-35.03,98.29,-14.11,-18.11,2.05,2.57,0.37,0.37,0.38,0.42,0.02,0.2,0.09
"1981-01-13",44.23,39.43,-26.21,97.25,-13.1,-15.48,-1.47,1.53,0.37,0.37,0.38,0.42,44.06,0,-63.15,97.1,-18.59,-20.6,-1.99,0.52,0.37,0.37,0.38,0.42,44.5,184.23,3.91,97.59,-8.71,-12.19,-0.01,2.22,0.37,0.37,0.38,0.42,0.54,0.37,0.08
"1981-01-14",45.08,37.85,-19.05,97.2,-9.5,-11.61,-1.7,0.14,0.37,0.37,0.38,0.42,44.59,0,-58.47,97.02,-11.49,-12.96,-2.38,-0.6,0.37,0.37,0.38,0.42,45.29,206.49,-4.11,97.41,-6.34,-9.51,-1.09,0.93,0.37,0.37,0.38,0.42,0.93,0.46,0.08
"1981-01-15",45.68,31.17,-10.66,97.57,-8.87,-11,-2.14,-0.25,0.37,0.37,0.38,0.42,45.33,0,-32.08,97.34,-10.67,-12.51,-3.13,-0.88,0.37,0.37,0.38,0.42,46.34,144.58,0.25,97.83,-5.96,-9.21,-1.37,0.38,0.37,0.37,0.38,0.42,1.24,0.54,0.08
"1981-01-16",48.16,32.74,-26.18,97.76,-8.13,-10.27,-0.21,-1.16,0.37,0.37,0.38,0.42,46.48,0,-63.03,97.59,-12.67,-15.02,-1.94,-3.54,0.37,0.37,0.38,0.42,48.86,137.98,-3.96,98.14,-4.64,-8.14,1.84,0.44,0.37,0.37,0.38,0.42,2.7,0.52,0.08
"1981-01-17",48.88,46.96,-58.2,98.04,-14.12,-17.05,2.21,-0.9,0.37,0.37,0.38,0.42,48.86,0,-80.26,97.61,-16.78,-18.98,1.69,-3.07,0.37,0.37,0.38,0.42,48.93,187.99,-33.98,98.28,-11.11,-15.43,3.6,1.72,0.37,0.37,0.38,0.42,0.11,0.36,0.07
