"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",23.71,27.93,-18.51,97.91,-6.66,-10.03,-0.5,-0.51,0.37,0.37,0.39,0.41,23.2,0,-47.35,97.67,-9.37,-13.2,-3.57,-1.52,0.37,0.37,0.39,0.41,25.98,145.82,-6.41,98.09,-3.64,-5.59,4.02,0.74,0.37,0.37,0.39,0.41,3.01,0.87,0.1
"1981-01-02",26.44,53.33,-64.09,98.4,-13.12,-17.12,4.11,-2.2,0.37,0.37,0.39,0.41,26.22,0,-85.33,97.71,-19.02,-21.92,1.13,-3.53,0.37,0.37,0.39,0.41,26.75,226.07,-9.88,98.85,-4.68,-6.77,5.72,0.34,0.37,0.37,0.39,0.41,1.09,1.11,0.1
"1981-01-03",27.81,52.57,-48.5,98.49,-17.74,-21.26,2.7,-1.33,0.36,0.37,0.39,0.41,26.95,0,-88.64,98.28,-21.71,-25.16,0.47,-3.02,0.36,0.36,0.39,0.41,28.25,239.67,-2.68,98.86,-14.37,-18.98,4.25,0.31,0.37,0.37,0.39,0.41,1.68,0.53,0.1
"1981-01-04",28.59,47.84,-49.34,99.33,-20.86,-24.26,3.21,-1.77,0.36,0.36,0.39,0.41,28.3,0,-66.74,98.74,-25.86,-28.64,1.81,-2.64,0.36,0.36,0.39,0.41,28.89,221.5,-28.52,99.74,-16.33,-19.02,5.23,-0.65,0.36,0.36,0.39,0.41,0.76,0.33,0.1
"1981-01-05",29.04,41.57,-29.71,99.59,-14.5,-17.2,2.68,0.87,0.36,0.36,0.39,0.41,28.91,0,-47.72,98.99,-17.3,-19.78,1.77,-1.1,0.36,0.36,0.39,0.41,29.1,203.49,-19.82,99.89,-11.46,-14.32,3.53,3.12,0.36,0.36,0.39,0.41,0.33,0.41,0.09
"1981-01-06",31.32,22.5,-9.8,97.89,-7.35,-9.96,2.16,3.16,0.36,0.36,0.38,0.41,29.05,0,-39.84,96.88,-12.54,-15.02,1.47,1.75,0.36,0.36,0.38,0.41,37.37,105.52,3.93,98.92,-4.39,-5.37,3.08,4.28,0.36,0.36,0.39,0.41,8.56,0.85,0.09
"1981-01-07",39.17,51.21,-58.41,97.72,-13.3,-17.1,4.43,-2.33,0.36,0.36,0.38,0.41,37.93,0,-78.38,96.8,-18.32,-21.58,3.28,-4.13,0.36,0.36,0.38,0.41,39.46,236.1,-5.4,98.55,-4.31,-5.27,5.41,1.02,0.36,0.36,0.38,0.41,2.39,0.97,0.09
"1981-01-08",39.49,55.42,-69.06,98.9,-17.32,-20.51,2.27,-0.35,0.36,0.36,0.38,0.41,39.45,0,-78.5,98.47,-20.96,-23.35,1.55,-1.55,0.36,0.36,0.38,0.41,39.53,235.28,-54.86,99.18,-12.39,-16.99,3.13,0.82,0.36,0.36,0.38,0.41,0.07,0.29,0.09
"1981-01-09",39.78,43.07,-33.79,98.85,-16.09,-18.63,1.78,1.24,0.36,0.36,0.38,0.41,39.45,0,-67.87,98.66,-22.91,-24.64,1,-3.43,0.36,0.36,0.38,0.41,40.44,212.99,8.91,99.11,-10.19,-13.42,2.69,2.61,0.36,0.36,0.38,0.41,1.06,0.36,0.09
"1981-01-10",40.5,59.48,-77.35,99.56,-18.57,-22.59,2.72,-2.17,0.36,0.36,0.38,0.41,40.46,0,-90.46,99.07,-23.04,-26.23,1.26,-3.18,0.36,0.36,0.38,0.41,40.53,260.94,-65.93,99.87,-14.65,-17.59,3.76,-1.27,0.36,0.36,0.38,0.41,0.2,0.47,0.09
"1981-01-11",40.6,58.76,-60.17,99.32,-22.21,-26.03,2.03,-2.08,0.36,0.36,0.38,0.41,40.49,0,-94.01,99.11,-24.9,-28.07,0.89,-3.45,0.36,0.36,0.38,0.41,40.65,272.39,-26.1,99.6,-17.75,-23.91,3.11,-0.85,0.36,0.36,0.38,0.41,0.26,0.37,0.09
"1981-01-12",40.65,63.18,-60.97,99.03,-21.5,-24.45,1.18,1.26,0.36,0.36,0.38,0.41,40.62,0,-88.28,98.63,-30.79,-33.28,0.15,-0.59,0.36,0.36,0.38,0.41,40.66,276.48,-41.42,99.42,-13.86,-16.95,2.16,2.96,0.36,0.36,0.38,0.41,0.03,0.2,0.08
"1981-01-13",40.9,38.53,-24.45,98.23,-11.54,-13.83,-1.43,1.52,0.36,0.36,0.38,0.41,40.66,0,-55.98,98.08,-16.47,-18.55,-1.97,0.25,0.36,0.36,0.37,0.41,41.15,189.61,-3.6,98.6,-8.23,-11.44,0.12,2.26,0.36,0.36,0.38,0.41,0.61,0.4,0.08
