"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",25.65,25.52,-15.45,98.34,-6.03,-9.42,0,-0.46,0.41,0.41,0.44,0.45,25.14,0,-43.76,98.15,-8.44,-12.19,-3.39,-3.35,0.41,0.41,0.44,0.45,27.92,121.91,-0.68,98.53,-3.65,-5.12,4.84,0.68,0.41,0.41,0.44,0.45,3.04,0.79,NA
"1981-01-02",28.06,49.91,-63.05,98.94,-13.21,-17.64,3.47,-2.5,0.41,0.41,0.44,0.45,27.93,0,-90.74,98.27,-17.29,-22.21,0.08,-3.84,0.41,0.41,0.44,0.45,28.39,221.75,-7.3,99.3,-5.36,-8.38,5.33,0.64,0.41,0.41,0.44,0.45,0.85,1.07,NA
"1981-01-03",29.44,49.35,-51.99,99.01,-17.83,-21.42,2.69,-1.69,0.41,0.41,0.44,0.45,28.61,0,-90.38,98.78,-22.65,-26.59,0.08,-3.58,0.41,0.41,0.43,0.45,29.72,220.41,-4.75,99.43,-15.23,-18.14,4.17,0.28,0.41,0.41,0.44,0.45,1.5,0.45,NA
"1981-01-04",30.13,45.9,-47.77,99.9,-21.69,-25.49,3.81,-2.25,0.41,0.41,0.43,0.45,29.76,0,-62.11,99.3,-26.02,-29.13,3.32,-2.8,0.41,0.41,0.43,0.45,30.37,212.16,-25.01,100.29,-16.92,-20.17,5.02,-1.39,0.41,0.41,0.43,0.45,0.8,0.35,NA
"1981-01-05",30.43,43.71,-39.15,100.08,-15.17,-17.89,2.48,1.03,0.41,0.41,0.43,0.45,30.38,0,-70.32,99.38,-18.47,-20.91,1.4,-1.51,0.41,0.41,0.43,0.45,30.48,200.5,-23.47,100.39,-11.37,-14.23,3.63,3.62,0.41,0.41,0.43,0.45,0.17,0.32,NA
"1981-01-06",33.03,17.76,-8.89,98.29,-7.09,-9.69,2.07,3.22,0.41,0.41,0.43,0.45,30.38,0,-36.71,97.32,-12.32,-15.1,1.38,1.42,0.41,0.41,0.43,0.45,39.35,87.48,2.59,99.31,-4.04,-5.15,3.4,4.37,0.41,0.41,0.43,0.45,9.21,0.73,NA
"1981-01-07",40.93,46.87,-61.44,98.27,-13.98,-18,4.3,-2.88,0.41,0.41,0.43,0.45,39.98,0,-82.79,97.32,-18.85,-22.31,3.18,-4.58,0.41,0.41,0.43,0.45,41.06,211.07,-5.02,99.09,-3.93,-5.04,5.34,-0.67,0.41,0.41,0.43,0.45,2.02,0.85,NA
"1981-01-08",41.09,49.92,-67.93,99.39,-18.6,-21.94,2.09,-0.16,0.41,0.41,0.43,0.45,41.06,0,-85.91,98.99,-21.49,-24.01,1.18,-1.79,0.41,0.41,0.43,0.45,41.13,212.08,-49.05,99.63,-13.7,-18.77,3.08,1.64,0.41,0.41,0.43,0.45,0.05,0.21,NA
"1981-01-09",41.4,39.77,-33.59,99.3,-15.72,-18.31,1.71,1.27,0.41,0.41,0.43,0.45,41.07,0,-56.03,99.09,-21.86,-24.11,1.1,-3.87,0.41,0.41,0.43,0.45,42.12,178.92,2.68,99.54,-10.34,-13.36,2.6,2.73,0.41,0.41,0.43,0.45,1.12,0.31,NA
"1981-01-10",42.21,52.94,-75.96,100.09,-18.89,-22.9,2.52,-2.35,0.41,0.41,0.43,0.45,42.14,0,-91.35,99.6,-22.93,-25.89,0.7,-3.53,0.41,0.41,0.43,0.45,42.25,227.85,-59.93,100.43,-14.83,-18.07,3.49,-1.4,0.41,0.41,0.43,0.45,0.22,0.38,NA
