"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",17.84,33.42,-27.73,98.67,-7.18,-10.4,-1.1,-0.81,0.4,0.4,0.43,0.43,17.4,0,-48.37,98.3,-10.04,-13.57,-3.37,-1.91,0.4,0.4,0.43,0.43,19.81,171.15,-3.74,98.98,-4.01,-6.63,2.41,1.12,0.4,0.4,0.43,0.43,2.53,0.78,NA
"1981-01-02",20.34,48.13,-56.56,98.91,-10.51,-14.79,4.33,-0.61,0.4,0.4,0.43,0.43,20.1,0,-86.86,98.14,-18.3,-21.24,1.58,-1.99,0.4,0.4,0.43,0.43,20.39,203.85,-10.41,99.56,-4.45,-6.35,5.87,1.05,0.4,0.4,0.43,0.43,0.96,1.38,NA
"1981-01-03",20.71,50.98,-52.37,99.19,-17.41,-21.02,1.36,-0.97,0.4,0.4,0.42,0.43,20.36,0,-86.5,98.94,-22,-25.85,0.34,-2.52,0.4,0.4,0.42,0.43,20.8,231.26,-9.48,99.53,-13.66,-18.91,2.21,0.81,0.4,0.4,0.42,0.43,0.65,0.4,NA
"1981-01-04",20.89,44.27,-52.98,100.01,-22.24,-26.59,2.56,-1.46,0.4,0.4,0.42,0.43,20.8,0,-80.5,99.45,-28.64,-32.44,1.3,-2.43,0.4,0.4,0.42,0.43,21.01,199.87,-22.04,100.48,-15.71,-21.45,4.49,-0.17,0.4,0.4,0.42,0.43,0.42,0.41,NA
"1981-01-05",21.09,37.02,-30.98,100.29,-14.02,-17.07,2.83,1.56,0.4,0.4,0.42,0.43,21.02,0,-45.84,99.79,-20.44,-23.66,1.94,0.22,0.4,0.4,0.42,0.43,21.16,177.17,-10.38,100.54,-10.18,-13.94,3.82,2.89,0.4,0.4,0.42,0.43,0.27,0.56,NA
"1981-01-06",21.98,20.24,-13.79,98.69,-6.83,-9.94,2.86,3.67,0.4,0.4,0.42,0.43,20.99,0,-31.95,97.6,-10.76,-13.72,2.03,2.85,0.4,0.4,0.42,0.43,25.94,83.34,-3.53,99.73,-3.6,-5.09,3.24,4.35,0.4,0.4,0.42,0.43,5.3,1.27,NA
"1981-01-07",27.07,48.8,-56,98.23,-11.19,-15.68,4.65,-0.83,0.4,0.4,0.42,0.43,26.36,0,-86.79,97.35,-17.96,-21.56,2.89,-2.5,0.4,0.4,0.42,0.43,27.2,222.21,-9.88,99.2,-3.62,-5.13,6.18,2.85,0.4,0.4,0.42,0.43,1.59,1.42,NA
"1981-01-08",27.05,55.17,-66.79,99.6,-17.16,-20.86,2.34,0.41,0.4,0.4,0.42,0.43,26.98,0,-90.82,99.15,-22.3,-25.18,1.7,-0.46,0.4,0.4,0.42,0.43,27.1,248.48,-52.73,99.91,-11.73,-16.36,2.83,1.72,0.4,0.4,0.42,0.43,0.04,0.38,NA
"1981-01-09",27.07,42.8,-43.92,99.61,-14.32,-17.33,2.39,1.89,0.4,0.4,0.42,0.43,26.99,0,-68.91,99.42,-19.33,-21.62,1.66,-1.23,0.4,0.4,0.42,0.43,27.29,181.71,-20.92,99.88,-9.62,-13.33,3.35,3.54,0.4,0.4,0.42,0.43,0.47,0.53,NA
"1981-01-10",27.23,54.25,-74.14,100.2,-17.07,-21.51,3.3,-1.06,0.4,0.4,0.42,0.43,27.15,0,-87.2,99.7,-20.87,-24.25,2.43,-2.29,0.4,0.4,0.42,0.43,27.29,231.77,-61.22,100.45,-13.62,-16.41,4.14,-0.36,0.4,0.4,0.42,0.43,0.08,0.59,NA
"1981-01-11",27.29,54.3,-59.74,100.02,-21.05,-25.29,2.28,-1.22,0.4,0.4,0.42,0.43,27.16,0,-86.49,99.76,-24.15,-27.77,1.47,-2.11,0.4,0.4,0.42,0.43,27.37,243.74,-16.94,100.34,-16.85,-23.45,3.07,-0.4,0.4,0.4,0.42,0.43,0.31,0.4,NA
"1981-01-12",27.28,60.02,-62.37,99.86,-21.37,-24.7,1.48,1.46,0.4,0.4,0.42,0.43,27.22,0,-93.72,99.54,-27.78,-30.45,0.13,0.31,0.4,0.4,0.42,0.43,27.32,258.69,-27.14,100.18,-14.22,-18.41,2.2,2.87,0.4,0.4,0.42,0.43,0.03,0.27,NA
"1981-01-13",27.29,46.99,-37.28,99.12,-14.43,-17.2,-1.03,1.28,0.4,0.4,0.42,0.43,27.24,0,-79.6,98.93,-20,-21.45,-1.5,0.19,0.4,0.4,0.42,0.43,27.42,219.6,-8.44,99.5,-8.94,-13.11,-0.34,2.26,0.4,0.4,0.42,0.43,0.32,0.38,NA
"1981-01-14",27.9,38.45,-18.01,99,-9.65,-11.9,-1.58,-1,0.4,0.4,0.42,0.43,27.45,0,-48,98.81,-12.63,-14.59,-2.16,-1.89,0.4,0.4,0.42,0.43,28.17,184.63,3.41,99.22,-6.96,-9.93,-1.06,0.21,0.4,0.4,0.42,0.43,0.93,0.48,NA
"1981-01-15",28.49,34.14,-16.07,99.35,-8.27,-10.15,-1.96,-1.95,0.4,0.4,0.41,0.43,28.22,0,-26.91,99.12,-9.31,-11.08,-2.79,-2.51,0.4,0.4,0.41,0.43,28.82,162.12,-6.63,99.61,-7,-9.27,-0.5,-0.78,0.4,0.4,0.42,0.43,0.84,0.54,NA
"1981-01-16",30.08,35.28,-23.67,99.51,-7.23,-9.36,-0.36,-1.57,0.4,0.4,0.41,0.43,28.91,0,-50.39,99.34,-10.12,-12.87,-1.68,-3.3,0.4,0.4,0.41,0.43,30.62,150.17,-2.2,99.8,-4.94,-8.1,1.75,-0.12,0.4,0.4,0.41,0.43,2.01,0.57,NA
"1981-01-17",30.7,53.54,-60.73,99.79,-12.63,-16.12,2.31,-0.57,0.4,0.4,0.41,0.43,30.62,0,-75.95,99.42,-16.16,-19.02,1.76,-2.88,0.4,0.4,0.41,0.43,30.78,225.17,-46.98,100.05,-9.29,-13.76,3.16,2,0.4,0.4,0.41,0.43,0.2,0.58,NA
"1981-01-18",30.57,58.29,-57.69,99.01,-7.99,-10.89,3.06,0.84,0.4,0.4,0.41,0.43,30.44,0,-85.25,98.85,-13.34,-15.25,2.23,-0.95,0.4,0.4,0.41,0.43,30.67,247.62,-15.94,99.37,-2.45,-6.96,3.91,2.1,0.4,0.4,0.41,0.43,0.02,0.84,NA
"1981-01-19",30.37,61.01,-72.8,98.83,-4.84,-7.16,2.91,1.94,0.4,0.4,0.41,0.43,30.24,0,-90.01,98.62,-8.15,-9.76,2.48,0.84,0.4,0.4,0.41,0.43,30.47,267.81,-58.28,99.07,-0.92,-4.49,3.48,2.99,0.4,0.4,0.41,0.43,0,0.81,NA
"1981-01-20",30.2,59.65,-68.53,99.42,-7.03,-9.24,-1.1,-1.45,0.4,0.4,0.41,0.43,30.09,0,-97.02,98.85,-10.35,-12.42,-3.08,-2.33,0.4,0.4,0.41,0.43,30.29,257.51,-33.31,99.84,-3.13,-7.32,2.36,0.17,0.4,0.4,0.41,0.43,0,0.56,NA
"1981-01-21",30.05,66.64,-71.49,99.46,-10.08,-13.14,-0.4,-0.29,0.4,0.4,0.41,0.43,29.94,0,-101.95,98.96,-14.86,-16.64,-2.48,-1.81,0.4,0.39,0.41,0.43,30.13,281.95,-40.43,99.85,-4.86,-9.17,3.06,2.4,0.4,0.4,0.41,0.43,0,0.57,NA
"1981-01-22",29.9,27.4,-22.08,98.39,-3.59,-6.17,3.83,0.97,0.4,0.39,0.41,0.43,29.81,0,-47.06,98.19,-7.96,-10.97,2.64,-0.86,0.4,0.39,0.41,0.43,29.94,107.28,-2.83,98.84,-0.84,-4.63,4.83,3.04,0.4,0.39,0.41,0.43,0.34,1.26,NA
"1981-01-23",29.98,40.23,-49.53,98.38,-3.12,-5.65,2.53,-0.89,0.4,0.39,0.41,0.43,29.92,0,-87.69,98.26,-5.11,-6.75,1.63,-1.37,0.4,0.39,0.41,0.43,30.04,215.02,-20.74,98.58,-0.54,-4.55,3.22,0.02,0.4,0.39,0.41,0.43,0.4,0.79,NA
"1981-01-24",30.07,60.87,-52.69,98.7,-3.25,-5.79,1.72,-0.14,0.4,0.39,0.41,0.43,29.89,0,-97.49,98.45,-6.11,-7.39,0.92,-1.53,0.4,0.39,0.41,0.43,30.25,271.14,-9.91,99.01,0.68,-3.64,2.14,1.13,0.4,0.39,0.41,0.43,0.21,0.89,NA
