"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",28.93,30.08,-18.22,96.89,-10.28,-12.84,-0.86,-0.18,0.37,0.37,0.4,0.41,28.41,0,-34.71,96.39,-14.49,-17.66,-2.52,-1.34,0.37,0.37,0.4,0.41,31.36,144.71,-5.29,97.25,-6.8,-8.04,1.81,1.29,0.37,0.37,0.4,0.41,3.14,1.02,NA
"1981-01-02",32.19,47.34,-56.33,96.97,-13.41,-17.39,3.03,-1.92,0.37,0.37,0.4,0.41,31.59,0,-88.16,96.24,-23.19,-25.91,1.12,-3.47,0.37,0.37,0.4,0.41,32.47,219.85,-10.87,97.6,-5.6,-7.73,4.52,0.46,0.37,0.37,0.4,0.41,1.43,3.14,NA
"1981-01-03",32.71,51.76,-49.76,97.29,-22.3,-26.19,0.96,-1.5,0.37,0.37,0.4,0.41,32.5,0,-76.57,97.06,-25.5,-28.79,0.05,-2.13,0.37,0.37,0.4,0.41,32.76,226.69,-13.95,97.56,-17.18,-23.66,1.96,-0.59,0.37,0.37,0.4,0.41,0.45,0.9,NA
"1981-01-04",32.79,47.65,-54.05,97.99,-24.93,-29.06,2.26,-2.13,0.37,0.37,0.4,0.41,32.77,0,-75.86,97.52,-29.64,-33.22,1.11,-3.13,0.37,0.37,0.4,0.41,32.81,212.12,-20.78,98.42,-19.91,-25.42,3.45,-1.47,0.37,0.37,0.4,0.41,0.16,0.86,NA
"1981-01-05",32.77,38.85,-34.05,98.26,-15.21,-18.49,2.4,0.17,0.37,0.37,0.4,0.41,32.73,0,-58.92,97.76,-22.13,-25.25,1.69,-1.74,0.37,0.37,0.39,0.41,32.81,186.46,-4.58,98.52,-9.41,-13.91,3.18,2.36,0.37,0.37,0.4,0.41,0.15,1.42,NA
"1981-01-06",33.81,18.48,-10.78,96.72,-8.65,-11.65,1.99,2.52,0.37,0.37,0.39,0.41,32.75,0,-32.47,95.7,-12.65,-15.78,0.93,1.52,0.37,0.37,0.39,0.41,37.57,89.85,-4.24,97.71,-5.67,-7.02,2.81,3.39,0.37,0.37,0.39,0.41,5.07,2.45,NA
"1981-01-07",38.48,52.13,-60.6,96.29,-14.01,-18.23,3.94,-1.82,0.37,0.37,0.39,0.41,37.85,0,-85.16,95.49,-20.64,-24.25,2.13,-3.06,0.37,0.37,0.39,0.41,38.58,238.44,-9.04,97.19,-5.51,-6.96,5.08,1.4,0.37,0.37,0.39,0.41,1.3,3.34,NA
"1981-01-08",38.47,61.39,-75.68,97.61,-18.1,-22.25,2.37,-0.88,0.37,0.37,0.39,0.41,38.38,0,-93.15,97.16,-22.56,-25.66,1.82,-2.07,0.37,0.37,0.39,0.41,38.53,271.1,-58.17,97.93,-12.81,-18.32,3.01,0.47,0.37,0.37,0.39,0.41,0.01,1.42,NA
"1981-01-09",38.58,40.47,-46.65,97.62,-14.97,-18.14,2.25,0.89,0.37,0.37,0.39,0.41,38.38,0,-88.16,97.41,-19.55,-22.23,1.6,-2.01,0.37,0.37,0.39,0.41,38.94,179.11,-18.71,97.88,-9.69,-13.73,3.18,2.31,0.37,0.37,0.39,0.41,0.7,1.39,NA
"1981-01-10",38.91,56.34,-76.36,98.2,-19.1,-23.3,2.68,-1.69,0.37,0.37,0.39,0.41,38.86,0,-90.15,97.73,-22.88,-26,1.84,-2.6,0.37,0.37,0.39,0.41,38.95,257.95,-61.51,98.46,-16.26,-20.23,3.45,-1.17,0.37,0.37,0.39,0.41,0.11,1.59,NA
"1981-01-11",38.88,60,-65.37,98.03,-23.65,-27.61,1.84,-1.74,0.37,0.37,0.39,0.41,38.84,0,-87.55,97.81,-26.25,-29.5,0.87,-2.65,0.37,0.37,0.39,0.41,38.93,256.51,-26.3,98.34,-20.22,-26.24,2.81,-1.08,0.37,0.37,0.39,0.41,0.1,0.87,NA
"1981-01-12",38.81,63.24,-66.31,97.84,-22.16,-25.8,1.42,0.85,0.37,0.37,0.39,0.41,38.75,0,-91.94,97.6,-28.49,-31.23,0.13,-0.75,0.37,0.37,0.39,0.41,38.85,262.51,-41.76,98.11,-14.45,-19.68,2.05,2.11,0.37,0.37,0.39,0.41,0.02,0.83,NA
"1981-01-13",38.94,35.78,-24.39,97.24,-14.33,-16.75,-0.93,1.26,0.37,0.37,0.39,0.41,38.76,0,-51.64,97.08,-19.88,-21.88,-2,0.1,0.37,0.37,0.39,0.41,39.37,163.96,7.26,97.57,-9.13,-12.55,0.86,2.22,0.37,0.37,0.39,0.41,0.73,1.02,NA
"1981-01-14",39.92,44.87,-32.62,97.18,-12.26,-14.53,-1.17,-0.01,0.37,0.37,0.39,0.41,39.46,0,-53.53,96.99,-15.08,-16.82,-1.56,-0.72,0.37,0.37,0.39,0.41,40.03,199.9,-10.99,97.42,-8.87,-12.2,-0.64,0.59,0.37,0.37,0.39,0.41,0.77,0.9,NA
"1981-01-15",40.46,32.74,-13.16,97.56,-10.8,-13.39,-1.58,-0.31,0.37,0.37,0.39,0.41,40.04,0,-26.25,97.35,-13.66,-16.05,-2.31,-0.96,0.37,0.37,0.38,0.41,41.18,158.7,1.19,97.78,-7.68,-10.54,-1.05,0.26,0.37,0.37,0.39,0.41,1.33,1.19,NA
"1981-01-16",43.17,42.09,-29.43,97.69,-9.3,-11.67,-0.2,-1.42,0.36,0.37,0.38,0.41,41.35,0,-54.03,97.52,-12.72,-15.13,-1.28,-3.01,0.36,0.37,0.38,0.41,43.72,210.89,-6.99,97.94,-6.45,-10.5,1.48,-0.05,0.37,0.37,0.38,0.41,2.72,1.62,NA
"1981-01-17",43.71,59.63,-67.26,97.84,-13.87,-17.52,2.07,-1.12,0.36,0.37,0.38,0.41,43.61,0,-89.19,97.44,-17.68,-20.23,1.48,-2.79,0.36,0.37,0.38,0.41,43.77,251.47,-46.01,98.08,-9.76,-15.26,2.61,1.05,0.36,0.37,0.38,0.41,0.09,1.87,NA
"1981-01-18",43.56,60.33,-53.02,97.07,-8.31,-11.35,2.8,-0.78,0.36,0.37,0.38,0.41,43.44,0,-73.46,96.89,-14.75,-17.23,2.24,-3.03,0.36,0.37,0.38,0.41,43.63,256.84,-7.94,97.39,-2.19,-6.95,3.77,0.91,0.36,0.37,0.38,0.41,0.03,3.04,NA
"1981-01-19",43.33,63.92,-79.14,96.9,-4.04,-7.06,2.84,-0.27,0.36,0.37,0.38,0.41,43.13,0,-97.34,96.71,-7.68,-9.45,2.2,-1.26,0.36,0.37,0.38,0.41,43.43,282.42,-62.85,97.12,1.79,-4.2,3.37,0.61,0.36,0.37,0.38,0.41,0,4.04,NA
"1981-01-20",43.04,65.17,-76.45,97.62,-7.76,-10.83,-1.01,-1.25,0.36,0.37,0.38,0.41,42.89,0,-102.38,97.01,-12.61,-14.31,-2.1,-2.13,0.36,0.37,0.38,0.41,43.13,287.17,-41.46,98,-3.44,-9.37,1.93,0.42,0.36,0.37,0.38,0.41,0.01,2.6,NA
"1981-01-21",42.83,67.32,-58.66,97.59,-10.08,-13.4,0.62,0.46,0.36,0.37,0.38,0.41,42.68,0,-97.42,96.95,-16.68,-18.46,-1.61,-1.01,0.36,0.37,0.38,0.41,42.91,294.69,-14.52,98.01,-3.1,-8.87,3.61,1.9,0.37,0.37,0.38,0.41,0.01,3.36,NA
"1981-01-22",42.73,29.19,-19.89,96.45,-3.97,-6.7,3.39,-0.61,0.36,0.37,0.38,0.41,42.65,0,-32.73,96.32,-5.56,-9.31,2.3,-1.87,0.36,0.36,0.38,0.41,42.8,125.1,-5.7,96.81,-2.46,-5.95,4.23,1.45,0.36,0.37,0.38,0.41,0.44,4.1,NA
"1981-01-23",42.79,40.03,-40.01,96.54,-4.61,-7.32,2.11,-1.51,0.36,0.36,0.38,0.41,42.75,0,-66.06,96.45,-6.48,-9.06,1.4,-2.52,0.36,0.36,0.38,0.41,42.82,186.88,-19.73,96.7,-2.29,-5.63,2.73,-0.99,0.36,0.36,0.38,0.41,0.27,3.21,NA
"1981-01-24",42.86,58.97,-51.39,96.86,-4.65,-7.44,1.37,-1.04,0.36,0.36,0.38,0.41,42.73,0,-91.23,96.63,-8.17,-9.38,0.35,-1.78,0.36,0.36,0.38,0.41,42.99,283.67,-11.2,97.19,-0.46,-5.84,1.96,-0.12,0.36,0.36,0.38,0.41,0.22,3.02,NA
"1981-01-25",42.73,48.62,-26.89,96.86,-3.7,-6.06,0.39,1.9,0.36,0.36,0.38,0.41,42.46,0,-53.52,96.18,-11.14,-12.29,-0.26,-1.02,0.36,0.36,0.38,0.41,42.81,233.58,4.03,97.19,3.72,-0.79,2,3.81,0.37,0.36,0.38,0.41,0.29,3.7,NA
"1981-01-26",37.39,55.55,-39.58,95.64,3.69,-0.03,3.94,3.1,0.41,0.37,0.38,0.41,33.58,0,-97.93,95.36,0.4,-2.03,1.92,1.44,0.37,0.36,0.38,0.41,42.15,297.59,-13.26,96.08,6.28,2.26,5.45,4.18,0.44,0.39,0.38,0.41,0.43,12.32,NA
"1981-01-27",33.64,57.17,-47.02,96.32,-4.34,-8.2,3.02,-0.47,0.41,0.39,0.38,0.41,33.41,0,-83.01,95.97,-11.32,-14.68,1.71,-1.53,0.4,0.39,0.38,0.41,33.84,262.18,-13.23,96.82,0.19,-2.08,4.05,1.13,0.42,0.39,0.38,0.41,0.42,5.96,NA
"1981-01-28",33.4,54.59,-45.92,96.98,-9.65,-13.79,0.14,-0.63,0.4,0.39,0.38,0.41,33.3,0,-80.42,96.75,-12.94,-16.7,-1.2,-1.41,0.4,0.39,0.38,0.41,33.56,259.28,1.71,97.2,-4.92,-10.93,1.74,0.09,0.4,0.39,0.38,0.41,0.43,2.49,NA
"1981-01-29",33.67,73.51,-63.67,97.88,-11.08,-15.09,0.51,-2.32,0.39,0.39,0.38,0.41,33.5,0,-95.28,97.2,-15.04,-17.96,-1.14,-3.02,0.39,0.39,0.38,0.41,33.81,318.95,-18.63,98.6,-7.72,-12.67,1.69,-1.45,0.4,0.39,0.38,0.41,0.31,3,NA
"1981-01-30",33.36,82.55,-82.65,98.76,-13.88,-18.68,1.91,-1.94,0.39,0.39,0.37,0.41,33.14,0,-102.6,98.57,-17.48,-20.16,1.35,-2.92,0.39,0.39,0.37,0.41,33.5,339.04,-58.89,98.91,-8.69,-16.95,2.72,-1.2,0.39,0.39,0.38,0.41,0,3.18,NA
"1981-01-31",32.94,83.7,-81.2,98.61,-9.94,-15.68,1.19,0.54,0.39,0.39,0.37,0.41,32.67,0,-109.14,98.12,-15.31,-19.5,-0.53,-1.44,0.39,0.39,0.37,0.41,33.13,338.81,-61.73,98.79,-2.63,-11.12,2.34,2.34,0.39,0.39,0.37,0.41,0,4.4,NA
"1981-02-01",36.06,17.07,-20.6,96.65,-3.61,-7.05,0.15,3.55,0.39,0.39,0.37,0.41,32.58,0,-76.89,95.79,-10.21,-14.61,-1.98,1.81,0.39,0.39,0.37,0.41,42.32,83.11,8.73,98.03,1.2,0.23,2.32,5.6,0.4,0.39,0.37,0.41,11.47,3.73,NA
