"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",46.33,37.76,-26.32,97.91,-15.13,-19.69,-1.25,0.11,0.42,0.42,0.43,0.47,45.96,0,-54.33,97.32,-19.55,-23.77,-2.39,-0.49,0.42,0.42,0.43,0.47,48.17,182.9,0.57,98.35,-10.84,-12.65,0.07,1.04,0.42,0.42,0.43,0.47,2.28,0.92,NA
"1981-01-02",49.32,52.59,-56.37,97.83,-15.51,-19.02,2.71,-1.72,0.42,0.42,0.43,0.47,48.45,0,-93.86,97.05,-25.81,-28.99,0.27,-2.97,0.42,0.42,0.43,0.47,49.51,229.28,-0.24,98.56,-8.02,-9.2,5.31,1.43,0.42,0.42,0.43,0.47,1.51,1.37,NA
"1981-01-03",49.45,50.17,-57.88,98.32,-26.68,-30.85,0.06,-1.18,0.42,0.42,0.43,0.47,49.43,0,-80.8,98.11,-30,-33.11,-1.43,-2.44,0.42,0.42,0.43,0.47,49.46,214.83,-38.28,98.54,-22.44,-28.21,1.26,0.02,0.42,0.42,0.43,0.47,0.04,0.32,NA
"1981-01-04",49.47,40.43,-51.95,98.92,-28.16,-32.36,2.43,-2.25,0.42,0.42,0.43,0.47,49.42,0,-78.61,98.51,-33.59,-37.34,1.15,-2.95,0.42,0.42,0.43,0.47,49.53,199.55,-12.34,99.29,-23.22,-26.62,3.67,-1.69,0.42,0.42,0.43,0.47,0.15,0.36,NA
"1981-01-05",49.53,51.71,-43.13,99.17,-17.44,-20.76,2.03,-0.65,0.42,0.42,0.43,0.47,49.5,0,-66.5,98.69,-23,-26.31,0.6,-2.88,0.42,0.42,0.43,0.47,49.66,241.95,-10.66,99.43,-11.53,-14.11,2.91,2.33,0.42,0.42,0.43,0.47,0.2,0.58,NA
"1981-01-06",51.87,20.26,-10.22,97.67,-8.43,-11.24,1.29,2.78,0.42,0.42,0.42,0.47,49.72,0,-19.71,96.62,-11.95,-14.8,0.39,2.21,0.42,0.42,0.42,0.47,57.42,123.86,-3.66,98.63,-5.35,-6.69,1.95,3.62,0.42,0.42,0.43,0.47,7.92,1.36,NA
"1981-01-07",59.41,54.37,-56.1,97.03,-13.14,-16.68,4.19,-1.32,0.42,0.42,0.42,0.47,57.88,0,-84.92,96.27,-20.36,-23.93,1.49,-2.78,0.42,0.42,0.42,0.47,59.65,248.14,-8.25,97.98,-5.32,-6.65,5.75,1.98,0.42,0.42,0.42,0.47,2.55,1.92,NA
"1981-01-08",59.63,61.23,-69.85,98.5,-19.98,-23.72,2.55,-1.34,0.42,0.42,0.42,0.47,59.6,0,-91.48,97.99,-23.45,-26.52,1.73,-2.46,0.42,0.42,0.42,0.47,59.65,269.15,-42.62,98.88,-16.25,-20.65,3.39,0.67,0.42,0.42,0.42,0.47,0.02,0.67,NA
"1981-01-09",59.87,38.93,-34.81,98.54,-15.13,-18.21,1.63,1.43,0.42,0.42,0.42,0.47,59.6,0,-67.93,98.33,-20.24,-22.98,0.74,-1.53,0.42,0.42,0.42,0.47,60.48,185.77,-21.33,98.81,-9.72,-13.28,2.86,2.84,0.42,0.42,0.42,0.47,0.94,0.77,NA
"1981-01-10",60.46,56.96,-77.89,99.08,-19.41,-23.09,2.76,-1.88,0.42,0.42,0.42,0.47,60.42,0,-93.04,98.55,-24.65,-27.91,1.61,-2.8,0.42,0.42,0.42,0.47,60.5,252.48,-64.35,99.39,-15.24,-17.93,3.9,-0.56,0.42,0.42,0.42,0.47,0.09,0.81,NA
