"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",38.1,38.96,-27.61,98.22,-15.26,-19.98,-1.24,-0.34,0.23,0.23,0.26,0.28,37.76,0,-56.13,97.63,-19.95,-24.03,-2.26,-1,0.23,0.23,0.25,0.28,39.73,168.17,-0.41,98.68,-10.38,-13.37,0.11,0.25,0.23,0.23,0.26,0.28,2.05,0.55,NA
"1981-01-02",41.02,54.3,-56.81,98.08,-15.56,-19.35,2.72,-1.49,0.23,0.23,0.25,0.28,40,0,-97.9,97.32,-26.23,-29.75,0.19,-2.69,0.23,0.23,0.25,0.28,41.25,249.77,3.96,98.86,-9.13,-10.34,5.16,0.61,0.23,0.23,0.25,0.28,1.63,0.8,NA
"1981-01-03",41.14,48.17,-55.18,98.62,-27.24,-31.78,0.22,-1.44,0.22,0.23,0.25,0.28,41.12,0,-79.27,98.4,-31.55,-34.9,-1.06,-2.5,0.22,0.23,0.25,0.28,41.16,213.62,-29.29,98.82,-22.46,-28.28,1.45,-0.32,0.23,0.23,0.25,0.28,0.08,0.17,NA
"1981-01-04",41.17,40.45,-51.75,99.18,-28.53,-33.04,2.54,-2.02,0.22,0.23,0.25,0.28,41.14,0,-80.73,98.79,-34.22,-38.1,1.24,-2.6,0.22,0.23,0.25,0.28,41.22,185.3,-10.89,99.53,-24.01,-27.55,3.64,-1.42,0.22,0.23,0.25,0.28,0.15,0.21,NA
"1981-01-05",41.2,56.1,-47.14,99.45,-17.91,-21.46,2.24,-0.73,0.22,0.23,0.25,0.28,41.14,0,-71.93,99.01,-23.74,-27.21,0.83,-2.74,0.22,0.22,0.25,0.28,41.29,257.74,-5.69,99.7,-11.37,-13.82,3.14,1.91,0.22,0.23,0.25,0.28,0.16,0.39,NA
"1981-01-06",43.41,21.55,-11.73,98.01,-7.87,-10.54,1.58,2.67,0.22,0.22,0.25,0.28,41.35,0,-22.06,96.93,-11.46,-14.16,0.75,1.9,0.22,0.22,0.25,0.28,48.92,131.26,-4.96,98.95,-4.64,-5.9,2.19,3.66,0.22,0.22,0.25,0.28,7.79,0.73,NA
"1981-01-07",51.15,55.51,-55.91,97.25,-12.39,-16.09,4.08,-0.95,0.22,0.22,0.24,0.28,49.5,0,-92.71,96.51,-20.61,-24.36,1.68,-2.24,0.22,0.22,0.24,0.28,51.4,255.25,-7.37,98.21,-4.57,-5.83,5.7,2.02,0.22,0.22,0.25,0.28,2.73,1.1,NA
"1981-01-08",51.3,62.58,-71.01,98.77,-20.34,-24.27,2.68,-1.33,0.22,0.22,0.24,0.28,51.25,0,-93.72,98.23,-23.98,-27.21,1.79,-2.25,0.22,0.22,0.24,0.28,51.33,274.41,-41.15,99.19,-16.44,-21.06,3.51,0.06,0.22,0.22,0.24,0.28,0,0.38,NA
"1981-01-09",51.49,38.23,-28.84,98.85,-14.89,-17.9,1.79,1.26,0.22,0.22,0.24,0.28,51.25,0,-47.9,98.65,-20.89,-23.45,0.82,-1.66,0.22,0.22,0.24,0.28,52,180.47,-10.7,99.12,-9.16,-12.78,2.86,2.95,0.22,0.22,0.24,0.28,0.82,0.44,NA
"1981-01-10",51.95,56.72,-78.8,99.33,-19.02,-22.89,2.78,-1.8,0.22,0.22,0.24,0.28,51.88,0,-95.88,98.81,-24.83,-28.25,1.74,-2.57,0.22,0.22,0.24,0.28,52,242.19,-64.33,99.65,-14.1,-17.08,3.73,-0.75,0.22,0.22,0.24,0.28,0.04,0.44,NA
"1981-01-11",51.88,64.32,-73.4,99.21,-26.36,-30.66,2.39,-1.88,0.22,0.22,0.24,0.28,51.84,0,-92.77,98.96,-28.43,-32.5,1.54,-2.42,0.22,0.22,0.24,0.28,51.91,281.39,-43.46,99.53,-23.08,-28.78,3.38,-1.43,0.22,0.22,0.24,0.28,0.03,0.25,NA
"1981-01-12",51.83,58.8,-53.18,99.17,-23.4,-27.02,0.36,0.42,0.22,0.22,0.24,0.28,51.81,0,-85.96,99.02,-28.75,-31.66,-1.89,-1.18,0.22,0.22,0.24,0.28,51.84,256.08,-25.61,99.37,-16.69,-20.84,1.94,1.64,0.22,0.22,0.24,0.28,0.02,0.21,NA
