"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",47.77,45.34,-37.37,97.76,-16.28,-20.85,-1.14,-0.61,0.23,0.23,0.26,0.27,47.55,0,-67.3,97.15,-21.63,-24.87,-1.47,-1.58,0.23,0.23,0.26,0.27,48.96,197.56,3.31,98.23,-10.73,-14.86,-0.14,0.1,0.23,0.23,0.26,0.27,1.47,2.08,0.46
"1981-01-02",50.61,51.38,-51.85,97.43,-16.13,-20.23,2.03,-1.15,0.23,0.23,0.26,0.27,49.31,0,-94.87,96.82,-26.89,-30.21,-0.3,-2.26,0.23,0.23,0.26,0.27,50.92,248.39,-0.17,98.25,-11.84,-13.84,4,-0.11,0.23,0.23,0.26,0.27,2.08,3.15,0.46
"1981-01-03",50.73,61.2,-75.34,98.08,-29.44,-34.09,0.17,-1.46,0.23,0.23,0.26,0.27,50.69,0,-90.11,97.88,-33.25,-36.89,-0.33,-2.09,0.23,0.23,0.26,0.27,50.77,270.2,-36.92,98.22,-25.14,-31.31,1.45,-0.57,0.23,0.23,0.26,0.27,0.04,0.76,0.46
"1981-01-04",50.73,42.12,-50.18,98.48,-29.78,-34.54,1.98,-1.39,0.23,0.23,0.26,0.27,50.7,0,-80.16,98.18,-36.1,-39.87,0.57,-1.88,0.22,0.23,0.26,0.27,50.77,180.28,-10.45,98.73,-24.23,-27.69,2.73,-0.75,0.23,0.23,0.26,0.27,0.12,0.71,0.45
"1981-01-05",50.74,59.21,-58.14,98.81,-18.92,-22.75,1.78,-0.5,0.22,0.23,0.26,0.27,50.67,0,-84.21,98.48,-23.97,-27.33,0.96,-1.96,0.22,0.23,0.26,0.27,50.84,263.03,-9.62,99.02,-13.29,-16.28,2.65,1.22,0.22,0.23,0.26,0.27,0.18,1.3,0.44
"1981-01-06",52.79,24.16,-12.47,97.53,-8.75,-11.09,1.04,2.36,0.22,0.23,0.26,0.27,50.94,0,-25.27,96.49,-13.68,-15.63,0,1.49,0.22,0.23,0.26,0.27,57.26,129.9,-4.45,98.42,-5.79,-6.67,1.84,3.45,0.22,0.23,0.26,0.27,6.52,2,0.42
"1981-01-07",60.54,50.98,-47.69,96.54,-11.04,-14.42,2.73,0.03,0.22,0.23,0.26,0.27,57.96,0,-94.85,95.92,-20.67,-24.51,0.21,-1.76,0.22,0.23,0.25,0.27,60.98,223.34,-4.62,97.43,-5.25,-6.05,4.23,2.14,0.22,0.23,0.26,0.27,3.92,3.8,0.4
"1981-01-08",60.77,61.56,-79.9,98.08,-20.98,-25.08,2.47,-0.91,0.22,0.23,0.25,0.27,60.71,0,-90.97,97.47,-24.38,-27.54,1.88,-1.86,0.22,0.23,0.25,0.27,60.82,271.44,-62.13,98.61,-16.62,-22.37,3.1,-0.04,0.22,0.23,0.25,0.27,0,1.47,0.38
"1981-01-09",60.97,41.91,-35.94,98.33,-15.37,-18.29,1.12,1.21,0.22,0.23,0.25,0.27,60.71,0,-64.05,98.14,-21.33,-23.73,-0.22,-0.25,0.22,0.23,0.25,0.27,61.47,208.08,-21.83,98.57,-9.53,-12.63,2.05,2.92,0.22,0.23,0.25,0.27,0.8,1.55,0.37
"1981-01-10",61.42,59.6,-78.42,98.67,-18.66,-22.56,1.85,-1.42,0.22,0.22,0.25,0.27,61.32,0,-92.54,98.2,-25.44,-28.95,1.23,-2.31,0.22,0.22,0.25,0.27,61.48,263.05,-58.33,99.01,-13.23,-15.15,2.42,-0.54,0.22,0.23,0.25,0.27,0.05,1.79,0.37
"1981-01-11",61.28,63.96,-75.9,98.52,-27.1,-31.6,1.93,-1.55,0.22,0.22,0.25,0.27,61.23,0,-88.18,98.27,-30.35,-33.97,1.39,-2.3,0.22,0.22,0.25,0.27,61.32,279.12,-61.95,98.84,-22.85,-29.43,2.59,-1.01,0.22,0.22,0.25,0.27,0,0.95,0.36
"1981-01-12",61.22,60.47,-56.35,98.64,-24.67,-28.66,0.48,0.48,0.22,0.22,0.25,0.27,61.18,0,-90.62,98.52,-28.39,-31.72,-1.77,-0.88,0.22,0.22,0.25,0.27,61.25,269.29,-21.53,98.83,-18.94,-24.59,1.7,1.98,0.22,0.22,0.25,0.27,0.02,0.9,0.35
"1981-01-13",61.17,60.02,-60.85,98.24,-20.44,-24.01,-1.53,0.09,0.22,0.22,0.25,0.27,61.12,0,-86.59,97.99,-24.83,-27.83,-2.23,-0.75,0.22,0.22,0.25,0.27,61.19,257.29,-33.11,98.58,-14.25,-19.73,-0.83,0.7,0.22,0.22,0.25,0.27,0.02,1.28,0.35
"1981-01-14",61.26,58.59,-52.18,98.05,-17.41,-21.46,-1.14,-0.32,0.22,0.22,0.25,0.27,61.12,0,-90.7,97.87,-21.27,-24.17,-1.9,-1.22,0.22,0.22,0.25,0.27,61.36,254.9,-14.9,98.32,-11.74,-17.38,-0.57,0.69,0.22,0.22,0.25,0.27,0.27,2.26,0.35
"1981-01-15",61.15,52.51,-53.6,98.49,-15.31,-19.62,-1.55,-1.28,0.22,0.22,0.25,0.27,61.06,0,-73.9,98.28,-19.8,-23.39,-1.78,-1.61,0.22,0.22,0.25,0.27,61.22,223.36,-30.81,98.66,-9.26,-15.15,-1.3,-0.76,0.22,0.22,0.25,0.27,0.02,2.3,0.34
"1981-01-16",62.56,31.4,-15.95,98.45,-12.14,-15.58,-0.76,-1.86,0.22,0.22,0.25,0.27,61.07,0,-54.53,98.24,-14.18,-17.1,-1.48,-2.51,0.22,0.22,0.24,0.27,63.8,145.92,0.5,98.65,-9.6,-13.87,0.28,-1.38,0.22,0.22,0.25,0.27,2.95,2.38,0.34
"1981-01-17",63.87,67.64,-71.36,98.4,-15.94,-19.56,1.22,-1.43,0.22,0.22,0.24,0.27,63.8,0,-97.94,98.13,-18.96,-21.8,0.43,-2.46,0.22,0.22,0.24,0.27,63.94,291.76,-31.47,98.58,-11.96,-17.08,2.05,0.16,0.22,0.22,0.24,0.27,0.18,1.97,0.33
