"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",32.18,40.67,-30.94,99.94,-15.73,-20.5,-1.3,-1.59,0.45,0.45,0.46,0.49,31.98,0,-58.64,99.25,-20.17,-23.81,-1.62,-2.14,0.45,0.45,0.46,0.49,32.98,167.52,7.29,100.44,-11.64,-14.16,-0.34,-1.28,0.45,0.45,0.46,0.49,1.06,1.97,0.57
"1981-01-02",35.47,47.97,-48.58,99.55,-13.58,-17.58,2.44,-1.05,0.45,0.45,0.46,0.49,33.4,0,-99.78,98.95,-23.13,-26.62,0.02,-1.75,0.45,0.45,0.46,0.49,35.99,234.97,7.59,100.48,-9.3,-12.8,4.98,-0.29,0.45,0.45,0.46,0.49,3.08,3.23,0.53
"1981-01-03",35.79,51.23,-68.48,100.39,-26.7,-31.21,-0.65,-1.47,0.45,0.45,0.46,0.49,35.77,0,-90.48,100.17,-29.13,-32.93,-1.5,-2.01,0.45,0.45,0.46,0.49,35.81,235.9,-41.66,100.5,-24.07,-27.55,1.9,-0.73,0.45,0.45,0.46,0.49,0.11,0.64,0.51
"1981-01-04",35.84,41.55,-51.33,100.79,-28.41,-33.23,1.83,-0.85,0.45,0.45,0.46,0.49,35.79,0,-80.95,100.48,-33.42,-37.75,-0.46,-2.17,0.45,0.45,0.46,0.49,35.91,174.93,-17.76,101,-23.86,-27.69,2.86,0.26,0.45,0.45,0.46,0.49,0.19,0.57,0.49
"1981-01-05",35.86,56.14,-52.89,101.08,-19.65,-23.35,1.75,0.48,0.45,0.45,0.46,0.49,35.8,0,-76.15,100.77,-24.14,-27.47,-0.34,-0.06,0.45,0.45,0.46,0.49,35.9,249.29,-2.54,101.33,-15.21,-17.42,2.76,1.48,0.45,0.45,0.46,0.49,0.11,0.9,0.47
"1981-01-06",37.64,25.09,-11.06,99.8,-7.58,-10.18,0.9,3.15,0.45,0.45,0.46,0.49,35.97,0,-18.91,98.74,-14.92,-16.96,-0.41,0.85,0.45,0.45,0.46,0.49,40.71,114.06,6.69,100.71,-4.29,-5.7,2.59,4.15,0.45,0.45,0.46,0.49,4.97,2.81,0.46
"1981-01-07",44.64,52,-51.5,98.68,-8.44,-11.77,3.24,1.47,0.45,0.45,0.46,0.49,41.42,0,-100.93,98.08,-18.23,-22.37,0.09,-0.79,0.45,0.45,0.46,0.49,45.35,236.94,-8.38,99.6,-3.35,-4.52,5.18,4.41,0.45,0.45,0.46,0.49,4.72,4.48,0.43
"1981-01-08",45.02,58.11,-78.01,100.32,-19.68,-23.77,2.6,0,0.45,0.45,0.45,0.49,44.96,0,-89.13,99.65,-22.87,-26.35,1.55,-0.57,0.45,0.45,0.45,0.49,45.08,251.38,-65.62,100.9,-16.38,-21.4,3.72,1.42,0.45,0.45,0.45,0.49,0,1.28,0.42
"1981-01-09",45.35,38.99,-30.55,100.61,-14.22,-17.03,0.21,1.53,0.45,0.45,0.45,0.49,44.96,0,-77.3,100.43,-20.51,-23.2,-1.19,-0.76,0.45,0.45,0.45,0.49,46.4,181.12,-5.22,100.86,-8.96,-11.54,1.6,3.48,0.45,0.45,0.45,0.49,1.5,1.23,0.42
"1981-01-10",46.72,54.77,-68.37,100.83,-15.01,-18.76,2.16,-1.23,0.45,0.45,0.45,0.49,46.5,0,-93.15,100.33,-22.09,-25.63,1.33,-2.41,0.45,0.45,0.45,0.49,46.8,242.54,-25.78,101.21,-9.77,-11.58,2.63,0.6,0.45,0.45,0.45,0.49,0.47,1.92,0.4
