"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",93.5,24.86,-8.51,97.35,-18.07,-22.7,-0.26,0.85,0.25,0.25,0.26,0.3,93.06,0,-25.63,96.91,-22.53,-26.78,-1.02,-3.02,0.25,0.25,0.26,0.3,95.44,113.81,-1.87,97.96,-13.87,-16.71,0.88,1.5,0.25,0.25,0.26,0.3,2.44,1.08,0.31
"1981-01-02",96.47,37.87,-48.39,97.55,-26.97,-31.47,1.65,-2.53,0.24,0.25,0.26,0.3,95.65,0,-83.24,96.96,-35.41,-39.01,0.84,-3.73,0.24,0.25,0.26,0.3,96.64,180.69,-9.46,97.98,-15.79,-18.77,2.43,-0.85,0.25,0.25,0.26,0.3,1.36,1.39,0.31
"1981-01-03",96.59,41.44,-55.85,97.85,-36.74,-40.98,1.54,-1.06,0.24,0.25,0.26,0.3,96.59,0,-73.07,97.71,-39.01,-42.59,1.12,-1.78,0.24,0.25,0.26,0.3,96.62,194.7,-34.67,98.05,-34.72,-39.48,1.98,-0.61,0.24,0.25,0.26,0.3,0.05,0.18,0.3
"1981-01-04",97.09,27.86,-13.17,98.14,-27.95,-31.79,2.47,-1.73,0.24,0.25,0.26,0.3,96.64,0,-42.5,97.76,-35.49,-38.98,2,-2.35,0.24,0.25,0.25,0.3,97.34,131.63,1.32,98.6,-23.15,-26.4,2.96,-1.1,0.24,0.25,0.26,0.3,0.71,0.49,0.29
"1981-01-05",97.5,41.07,-39.02,98.26,-21.54,-25.01,0.99,0.37,0.24,0.25,0.25,0.3,97.34,0,-59.7,97.39,-25.96,-28.76,-0.04,-1.72,0.24,0.25,0.25,0.3,98.48,199.82,-3.07,98.65,-15.87,-18.69,2.24,2.32,0.24,0.25,0.25,0.3,1.14,0.57,0.29
"1981-01-06",100.05,21.84,-13.19,96.56,-11.54,-14.3,0.79,0.71,0.24,0.25,0.25,0.3,98.76,0,-24.2,96.12,-15.56,-18.28,-0.32,-3.38,0.24,0.25,0.25,0.3,102.07,122.91,-5.34,97.28,-8.45,-11.46,1.58,2.41,0.24,0.25,0.25,0.3,3.64,1.18,0.28
"1981-01-07",103.01,31.61,-33.01,96.66,-20.28,-24.27,2.13,-2.96,0.24,0.25,0.25,0.3,102.25,0,-63.3,96.12,-23.14,-26.36,1.09,-3.61,0.24,0.25,0.25,0.3,103.23,156.86,-18.62,97.31,-13.87,-16.91,2.62,-2.05,0.24,0.25,0.25,0.3,1.42,2.05,0.28
"1981-01-08",103.25,47.02,-63.01,97.62,-23.18,-26.7,2.22,-0.78,0.24,0.25,0.25,0.3,103.23,0,-83.74,97.32,-25.24,-28.48,1.54,-1.92,0.24,0.25,0.25,0.3,103.27,215.34,-43.47,97.82,-20.48,-25.32,2.64,0.82,0.24,0.25,0.25,0.3,0.07,0.61,0.27
"1981-01-09",103.62,30.83,-36.46,97.72,-20.8,-24.02,1.08,-0.38,0.24,0.25,0.25,0.3,103.26,0,-62.26,97.49,-22.75,-26.03,0.58,-2.03,0.24,0.25,0.25,0.3,103.87,151.2,-13.69,98.21,-17.21,-22.5,1.49,1.09,0.24,0.25,0.25,0.3,0.64,0.62,0.27
"1981-01-10",103.88,47.04,-63.51,98.72,-27.76,-31.81,1.16,-1.61,0.24,0.25,0.25,0.3,103.85,0,-80.32,98.24,-31.31,-34.61,0.67,-1.95,0.24,0.25,0.25,0.3,103.9,219.02,-39.89,99,-23.2,-26.49,1.44,-0.96,0.24,0.25,0.25,0.3,0.08,0.55,0.27
