"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",103.37,47.54,-42.34,96.02,-17.03,-21.81,-1.1,0,0.22,0.23,0.25,0.27,103.17,0,-73.43,95.42,-21.57,-25.66,-1.74,-1.24,0.22,0.23,0.25,0.27,104.71,222.41,2.97,96.48,-12.58,-15.44,0.13,0.98,0.22,0.23,0.25,0.27,1.56,1.91,0.87
"1981-01-02",106.15,49,-52.31,95.74,-18.31,-22.03,2.04,-1.32,0.22,0.23,0.25,0.27,105.04,0,-91.18,95.14,-28.29,-31.51,0.19,-2.49,0.22,0.23,0.25,0.27,106.37,224.11,-0.05,96.45,-13.19,-14.81,3.51,0.74,0.22,0.23,0.25,0.27,1.81,2.07,0.79
"1981-01-03",106.25,58.51,-75.29,96.26,-30.26,-34.76,0.63,-1.09,0.22,0.23,0.25,0.27,106.23,0,-89.82,96.08,-32.58,-36.03,0.06,-1.93,0.22,0.23,0.25,0.27,106.27,262.35,-41.96,96.42,-27.32,-32.42,1.29,-0.25,0.22,0.23,0.25,0.27,0.03,0.61,0.73
"1981-01-04",106.3,39.62,-44.4,96.67,-30.55,-34.87,2.2,-1.51,0.22,0.23,0.25,0.27,106.24,0,-78.08,96.34,-36.03,-39.59,1,-1.98,0.22,0.23,0.25,0.27,106.38,190.09,-7.62,97.01,-24.69,-27.82,2.83,-0.94,0.22,0.23,0.25,0.27,0.15,0.47,0.42
"1981-01-05",106.42,55.69,-51.64,97.03,-20.18,-23.72,1.87,-0.44,0.22,0.23,0.25,0.27,106.38,0,-78.04,96.63,-24.67,-27.68,1.18,-1.94,0.22,0.22,0.25,0.27,106.77,248.17,-4.12,97.24,-14.89,-16.74,2.67,1.8,0.22,0.23,0.25,0.27,0.39,0.87,0.61
"1981-01-06",108.61,27.3,-12.98,95.71,-10.57,-12.87,0.97,2.36,0.22,0.22,0.25,0.27,106.92,0,-31.4,94.75,-14.34,-16.15,0.3,1.66,0.22,0.22,0.24,0.27,112.63,138.14,-3.46,96.59,-7.74,-8.74,1.46,2.89,0.22,0.22,0.25,0.27,5.83,1.31,0.6
"1981-01-07",115.02,44.14,-38.47,94.87,-13.47,-16.61,2.59,-0.61,0.22,0.22,0.24,0.27,113.09,0,-78.18,94.22,-21.83,-24.99,0.22,-2.01,0.22,0.22,0.24,0.27,115.36,206.23,-5.99,95.74,-7.63,-8.55,3.92,1.49,0.22,0.22,0.24,0.27,3.05,2.69,0.59
"1981-01-08",115.31,58.31,-74.01,96.33,-22.14,-25.77,2.53,-0.75,0.22,0.22,0.24,0.27,115.28,0,-88.45,95.77,-25.26,-28.17,2.01,-1.66,0.22,0.22,0.24,0.27,115.34,258.5,-50.77,96.79,-18.57,-23.68,3.06,0.32,0.22,0.22,0.24,0.27,0.02,0.94,0.57
"1981-01-09",115.64,37.77,-30.91,96.51,-16.04,-18.77,1.27,1.46,0.22,0.22,0.24,0.27,115.29,0,-54.64,96.31,-21.13,-23.56,0.43,0,0.22,0.22,0.24,0.27,116.22,190.14,-13.26,96.74,-11.89,-14.48,2.06,2.76,0.22,0.22,0.24,0.27,0.9,0.82,0.58
"1981-01-10",116.21,56.88,-74.6,96.95,-20.76,-24.39,1.69,-1.45,0.22,0.22,0.24,0.27,116.13,0,-90.19,96.46,-27.06,-30.31,1.07,-2.4,0.22,0.22,0.24,0.27,116.26,254.56,-46.49,97.26,-15.68,-17.69,2.34,0.01,0.22,0.22,0.24,0.27,0.1,1.25,0.55
"1981-01-11",116.1,59.7,-72.3,96.75,-28.72,-32.78,1.89,-1.61,0.22,0.22,0.24,0.27,116.07,0,-82.41,96.53,-31.33,-34.7,1.17,-2.28,0.22,0.22,0.24,0.27,116.13,264.2,-47.37,97.09,-25.55,-30.97,2.48,-0.91,0.22,0.22,0.24,0.27,0.01,0.58,0.57
"1981-01-12",116.09,57.31,-56.16,96.78,-25.67,-29.53,0.82,0.78,0.22,0.22,0.24,0.27,116.07,0,-87.23,96.65,-29.12,-32.31,-0.93,-0.8,0.22,0.22,0.24,0.27,116.09,254.57,-21.62,96.94,-20.77,-26.06,1.88,1.89,0.22,0.22,0.24,0.27,0.02,0.62,0.57
"1981-01-13",116.14,54.86,-51.36,96.44,-20.3,-23.38,-0.84,1.21,0.22,0.22,0.24,0.27,116.08,0,-83.41,96.21,-24.46,-27.13,-1.56,0.76,0.22,0.22,0.24,0.27,116.19,246.38,-17.63,96.74,-15.47,-19.91,0.54,1.65,0.22,0.22,0.24,0.27,0.1,0.92,0.56
"1981-01-14",116.34,55.25,-48.37,96.29,-16.43,-20.15,-0.33,0.53,0.22,0.22,0.24,0.27,116.2,0,-80.29,96.12,-20.15,-22.65,-1.19,-0.64,0.22,0.22,0.24,0.27,116.38,243.93,-21.28,96.57,-11.18,-16.87,0.3,1.28,0.22,0.22,0.24,0.27,0.2,1.76,0.55
"1981-01-15",116.38,50.02,-47.35,96.76,-16.03,-19.47,-1.56,-0.59,0.22,0.22,0.24,0.27,116.37,0,-62,96.55,-20.04,-22.99,-1.98,-0.96,0.22,0.22,0.23,0.27,116.38,216.57,-27.11,96.94,-10.99,-15.81,-1.24,0.48,0.22,0.22,0.24,0.27,0.02,1.52,0.54
"1981-01-16",118.03,32.55,-18.24,96.79,-13.36,-16.46,-0.79,-1.7,0.21,0.22,0.23,0.27,116.39,0,-63.26,96.6,-15.54,-17.63,-1.53,-2.5,0.21,0.22,0.23,0.27,119.09,157.28,1.76,96.95,-11.13,-15.36,0.24,-0.98,0.22,0.22,0.23,0.27,2.85,1.7,0.54
"1981-01-17",119.05,64.17,-69.23,96.7,-17.18,-20.37,1.19,-1.05,0.21,0.22,0.23,0.27,119,0,-93.09,96.33,-20.48,-22.93,0.37,-2.39,0.21,0.22,0.23,0.27,119.09,280.64,-36.71,96.87,-13.72,-18.27,2.02,0.67,0.21,0.22,0.23,0.27,0.04,1.25,0.54
"1981-01-18",119.13,38.31,-17.9,95.86,-10.93,-13.51,2.18,-0.56,0.21,0.22,0.23,0.27,119.01,0,-37.01,95.7,-17.07,-19.13,1.6,-2.19,0.21,0.22,0.23,0.27,119.42,164.23,1.76,96.24,-5.75,-7.24,2.98,0.97,0.21,0.22,0.23,0.27,0.37,1.72,0.53
"1981-01-19",119.58,43.42,-36.81,95.72,-4.34,-5.99,2.17,-0.63,0.21,0.22,0.23,0.27,119.46,0,-83.48,95.5,-5.69,-7.1,0.78,-2.32,0.21,0.22,0.23,0.27,119.63,231.02,-12.05,95.9,-0.97,-4.77,3.24,0.08,0.21,0.22,0.23,0.27,0.22,2.21,0.52
"1981-01-20",119.37,60.73,-65.7,96.71,-10.29,-13.86,-0.6,-1.84,0.21,0.22,0.23,0.27,119.18,0,-96.34,95.94,-14.94,-17.75,-1.26,-2.76,0.21,0.22,0.23,0.27,119.58,273.51,-27.32,97.12,-5.04,-6.6,0.38,-0.77,0.21,0.22,0.23,0.27,0.02,3.41,0.51
"1981-01-21",119.16,62.06,-50.93,96.54,-13.08,-16.75,1.1,0.84,0.21,0.22,0.23,0.27,119.13,0,-81.14,95.72,-19.86,-22.01,-0.29,-0.85,0.21,0.22,0.23,0.27,119.18,252.44,4.86,97.05,-7.68,-11.32,2.6,1.93,0.21,0.22,0.23,0.27,0,3.12,0.51
"1981-01-22",119.75,38.06,-21.98,95.25,-5.58,-7.77,2.27,-0.32,0.21,0.22,0.23,0.27,119.15,0,-49.2,95.08,-8.03,-10.71,1.66,-1.06,0.21,0.22,0.23,0.27,120.31,213.21,-3.51,95.64,-3.2,-5.89,2.83,1.35,0.21,0.22,0.23,0.27,1.24,2.68,0.51
"1981-01-23",120.48,30.8,-31.67,95.41,-5.76,-8.45,1.42,-1.18,0.21,0.22,0.23,0.27,120.31,0,-80.6,95.33,-9.43,-11.02,0.83,-1.57,0.21,0.22,0.23,0.27,120.65,141.34,-10.45,95.58,-4.24,-6.15,1.91,-0.7,0.21,0.22,0.23,0.27,0.59,3.12,0.5
"1981-01-24",120.67,44.9,-37.02,95.83,-9.02,-11.53,1.02,-1.14,0.21,0.22,0.23,0.27,120.6,0,-68.02,95.55,-11.75,-13.13,0.09,-2.18,0.21,0.22,0.23,0.27,120.71,214.48,-16.94,96.2,-6.66,-10.02,1.46,-0.5,0.21,0.22,0.23,0.27,0.16,2.01,0.5
"1981-01-25",120.68,55.66,-42.41,95.93,-7.05,-9.21,0.25,1.97,0.21,0.22,0.23,0.27,120.63,0,-66.7,95.31,-13.12,-14.25,-0.51,-0.54,0.21,0.21,0.22,0.27,121.03,257.09,-2.32,96.21,-0.84,-3.31,0.85,2.98,0.21,0.22,0.23,0.27,0.36,2.45,0.5
"1981-01-26",120.46,39.88,-28.4,94.52,1.99,-0.89,2.7,2.92,0.22,0.21,0.22,0.27,119.48,0,-59.57,94.17,-0.35,-2.93,0.55,1.42,0.21,0.21,0.22,0.27,121.04,184.11,-5.85,95.24,4.54,1.31,4.77,4,0.24,0.22,0.22,0.27,0.81,9.48,0.5
"1981-01-27",119.71,35.31,-27.89,95.14,-6.15,-9.57,3.09,0.09,0.23,0.22,0.22,0.27,119.61,0,-52.05,94.61,-12.32,-15.68,2.09,-1.11,0.23,0.22,0.22,0.27,119.8,158.22,-13.92,95.7,-0.76,-2.69,4.64,1.18,0.23,0.22,0.22,0.27,0.72,6.5,0.49
"1981-01-28",119.51,69.86,-67.16,96.01,-13.71,-17.24,0.6,-0.44,0.22,0.22,0.22,0.27,119.44,0,-95.84,95.73,-16.2,-18.06,-1.32,-1.39,0.22,0.22,0.22,0.27,119.59,292.47,-33.7,96.3,-9.83,-16.12,1.85,0.3,0.23,0.22,0.22,0.27,0.06,2.27,0.48
"1981-01-29",119.42,70.26,-68.1,96.86,-14.71,-18.03,0.23,-1.78,0.22,0.22,0.22,0.27,119.37,0,-92.27,96.3,-18.32,-20.61,-1.23,-2.44,0.22,0.22,0.22,0.27,119.46,303.74,-35.17,97.44,-10.26,-15.13,1.48,-1.32,0.22,0.22,0.22,0.27,0.08,1.88,0.47
"1981-01-30",119.28,78.43,-80.53,97.55,-16.5,-20.49,1.57,-1.41,0.22,0.22,0.22,0.27,119.18,0,-91.95,97.41,-20.51,-23.13,0.81,-1.98,0.22,0.22,0.22,0.27,119.36,324.88,-68.67,97.7,-12.13,-18.37,2.53,-0.43,0.22,0.22,0.22,0.27,0.01,2.29,0.46
"1981-01-31",119.13,79.52,-76.53,97.51,-13.27,-17.29,1.61,0.38,0.22,0.22,0.22,0.27,119.04,0,-95.66,97.26,-17.97,-20.39,0.53,-1.22,0.22,0.22,0.22,0.27,119.18,325.28,-54.4,97.62,-7.04,-13.25,2.01,1.95,0.22,0.22,0.22,0.27,0,3.04,0.46
"1981-02-01",122.24,27.36,-24.79,95.83,-6.34,-9.75,-0.2,3.39,0.22,0.22,0.22,0.26,118.94,0,-70.94,94.86,-12.9,-16.07,-1.62,2.04,0.22,0.22,0.22,0.26,132.12,151.13,4.41,97.21,0.02,-0.64,1.05,4.93,0.22,0.22,0.22,0.27,13.08,4,0.46
"1981-02-02",137.91,56.05,-34.65,94.62,-3.25,-5.38,2.37,1.66,0.22,0.22,0.22,0.26,133.05,0,-79.19,94.21,-12.61,-16.48,0.59,0.27,0.21,0.22,0.22,0.26,139.8,281.89,-4.16,95.15,0.08,-0.45,4.67,3.24,0.22,0.22,0.22,0.26,8.17,5.03,0.45
"1981-02-03",140.04,66.55,-64.06,95.96,-18.35,-22.77,2.97,0.84,0.21,0.22,0.22,0.26,139.84,0,-77.21,95.2,-22.08,-25.26,1.65,0.25,0.21,0.22,0.22,0.26,140.13,279.21,-50.46,96.53,-13.67,-17.56,3.73,1.55,0.21,0.22,0.22,0.26,0.7,3.05,0.45
"1981-02-04",140.46,56.33,-35.74,96.29,-19.35,-23.4,1.84,0.33,0.21,0.22,0.22,0.26,140.07,0,-59.75,96.07,-22.64,-25.46,0.54,-2.33,0.21,0.22,0.22,0.26,140.97,240.57,-15.74,96.72,-15.28,-21.56,2.93,1.7,0.21,0.22,0.22,0.26,1.01,1.89,0.45
"1981-02-05",141.01,61.84,-55.58,96.92,-20.3,-24.19,1.58,1.49,0.21,0.22,0.22,0.26,140.92,0,-88.13,96.73,-26.13,-28.92,0.92,-1.8,0.21,0.22,0.22,0.26,141.15,264.47,-13.62,97.17,-15.01,-18.13,2.08,2.87,0.21,0.22,0.22,0.26,0.25,1.52,0.44
"1981-02-06",141.81,49.4,-32.94,96.24,-10.57,-13.53,1.45,1.88,0.21,0.22,0.22,0.26,141.15,0,-71.72,95.93,-14.87,-18.13,0.12,0.36,0.21,0.22,0.22,0.26,142.62,236.83,-12.36,96.67,-6.2,-9.41,3.34,2.65,0.21,0.22,0.22,0.26,1.44,2.48,0.44
"1981-02-07",143.1,54.36,-45.75,96.25,-9.03,-11.93,0.38,2,0.21,0.22,0.22,0.26,142.54,0,-86.87,95.38,-14.27,-16.09,-2.15,0.31,0.21,0.22,0.21,0.26,145.68,225.55,-10.27,96.65,-4.16,-6.25,3.21,3.73,0.21,0.22,0.22,0.26,3.19,3.13,0.44
