"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",63.15,43.76,-35.71,97.22,-17.26,-21.55,-1.07,-0.58,0.22,0.23,0.26,0.26,62.98,0,-61.61,96.6,-21.93,-25.16,-1.42,-1.62,0.22,0.23,0.26,0.26,64.23,192.07,6.21,97.67,-12.85,-16.27,-0.28,0.11,0.22,0.23,0.26,0.26,1.28,1.69,NA
"1981-01-02",65.96,48.4,-49.99,96.84,-16.87,-20.81,1.86,-1.24,0.22,0.23,0.26,0.26,64.61,0,-91.87,96.27,-27.06,-30.31,-0.47,-2.41,0.22,0.23,0.26,0.26,66.25,232.23,2.03,97.63,-12.93,-14.88,3.55,-0.04,0.22,0.23,0.26,0.26,2.14,2.57,NA
"1981-01-03",66.1,58.61,-76.87,97.49,-30.21,-34.71,0.44,-1.42,0.22,0.23,0.26,0.26,66.07,0,-88.93,97.3,-33.18,-36.75,-0.37,-1.99,0.22,0.23,0.26,0.26,66.13,258.46,-40.01,97.61,-26.95,-31.37,1.37,-0.8,0.22,0.23,0.26,0.26,0.02,0.59,NA
"1981-01-04",66.13,39.47,-47.96,97.83,-30.19,-34.77,2.01,-1.44,0.22,0.23,0.26,0.26,66.08,0,-79.37,97.55,-36.31,-40.02,0.75,-2.02,0.22,0.23,0.26,0.26,66.2,161.66,-9.79,98.07,-23.94,-27.41,2.63,-0.72,0.22,0.23,0.26,0.26,0.15,0.54,NA
"1981-01-05",66.2,56.15,-58.87,98.19,-19.27,-22.95,1.77,-0.61,0.22,0.23,0.26,0.26,66.16,0,-82.77,97.89,-23.66,-27.01,1.16,-2.15,0.22,0.22,0.25,0.26,66.34,249.91,-9.06,98.4,-14.43,-17.03,2.59,1.19,0.22,0.23,0.26,0.26,0.19,1.06,NA
"1981-01-06",68.28,23.78,-12.66,96.96,-9.48,-11.81,1,2.44,0.22,0.22,0.25,0.26,66.43,0,-21.75,95.95,-14.51,-16.45,-0.13,1.53,0.22,0.22,0.25,0.26,72.45,126.8,-5.94,97.83,-6.5,-7.45,1.78,3.37,0.22,0.22,0.25,0.26,6.15,1.69,NA
"1981-01-07",75.81,46.53,-44.43,95.94,-11.05,-14.24,2.46,0.02,0.22,0.22,0.25,0.26,73.11,0,-99.18,95.36,-20.61,-24.38,-0.06,-1.96,0.22,0.22,0.25,0.26,76.28,213.16,-4.59,96.78,-5.81,-6.62,3.95,2.15,0.22,0.22,0.25,0.26,4.09,3.25,NA
"1981-01-08",76.14,58.33,-79.58,97.45,-21.14,-25.19,2.52,-0.9,0.22,0.22,0.25,0.26,76.1,0,-89.94,96.83,-24.43,-27.63,1.94,-1.96,0.22,0.22,0.25,0.26,76.19,258.01,-62.43,97.99,-17.04,-22.53,3.05,0.11,0.22,0.22,0.25,0.26,0,1.31,NA
"1981-01-09",76.35,40.3,-36.04,97.75,-15.62,-18.51,1.17,1.44,0.22,0.22,0.25,0.26,76.1,0,-63.97,97.56,-21.26,-23.86,0.23,0.15,0.22,0.22,0.25,0.26,76.87,194.09,-23.9,97.96,-10.5,-13.13,1.88,2.94,0.22,0.22,0.25,0.26,0.77,1.23,NA
"1981-01-10",76.83,57.05,-76.33,98.07,-18.98,-22.73,1.74,-1.53,0.22,0.22,0.25,0.26,76.74,0,-91.77,97.6,-26.01,-29.45,1.33,-2.47,0.22,0.22,0.25,0.26,76.88,253.15,-46.04,98.41,-13.29,-15.12,2.22,-0.25,0.22,0.22,0.25,0.26,0.06,1.56,NA
"1981-01-11",76.7,60.47,-74.09,97.88,-27.71,-32.05,1.99,-1.62,0.22,0.22,0.25,0.26,76.67,0,-85.63,97.65,-30.84,-34.33,1.54,-2.28,0.22,0.22,0.25,0.26,76.73,264.8,-47.17,98.21,-23.88,-29.96,2.67,-0.96,0.22,0.22,0.25,0.26,0.01,0.76,NA
"1981-01-12",76.68,56.34,-53.73,98.03,-24.99,-28.94,0.67,0.62,0.22,0.22,0.25,0.26,76.66,0,-88.23,97.88,-28.21,-31.61,-1.08,-0.86,0.22,0.22,0.25,0.26,76.69,254.9,-20.49,98.22,-20.16,-25.22,1.77,1.99,0.22,0.22,0.25,0.26,0.03,0.75,NA
