"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",106.64,40.31,-39.2,98.16,-19.65,-23.67,-0.91,-0.28,0.35,0.36,0.37,0.39,106.61,0,-64.99,97.53,-23.96,-27.12,-1.67,-1.73,0.35,0.36,0.37,0.39,106.73,184.28,-3.57,98.59,-15.91,-19.57,-0.46,0.86,0.35,0.36,0.37,0.39,0.12,1.04,NA
"1981-01-02",109.16,34.67,-36.36,97.6,-19.08,-23.1,1.84,-1.26,0.35,0.35,0.37,0.39,106.95,0,-80.38,97.11,-28.6,-32.67,-0.71,-2.32,0.35,0.35,0.37,0.39,109.72,177.46,6.73,98.38,-14.83,-17.9,3.56,0.19,0.35,0.36,0.37,0.39,3.1,1.9,NA
"1981-01-03",109.58,52.84,-75.17,98.37,-32.92,-37.46,1.51,-0.95,0.35,0.35,0.37,0.39,109.55,0,-81.55,98.22,-35.85,-39.49,1.1,-1.5,0.35,0.35,0.37,0.39,109.62,237.56,-68.99,98.49,-29.47,-33.19,2.05,-0.59,0.35,0.35,0.37,0.39,0,0.38,NA
"1981-01-04",109.74,31.12,-33.78,98.51,-30.92,-35.37,2.34,-0.84,0.35,0.35,0.37,0.39,109.55,0,-74.67,98.37,-37.44,-41.11,1.45,-1.4,0.35,0.35,0.37,0.39,109.99,141.41,-1.92,98.64,-22.84,-26.61,2.93,-0.29,0.35,0.35,0.37,0.39,0.44,0.44,NA
"1981-01-05",110.03,51.86,-53.94,98.89,-20,-23.91,1.97,-0.49,0.35,0.35,0.37,0.39,110,0,-79.03,98.66,-22.95,-26,0.82,-1.67,0.35,0.35,0.37,0.39,110.16,235.4,-5.31,99.11,-16.6,-20.51,2.96,1.21,0.35,0.35,0.37,0.39,0.17,1,NA
"1981-01-06",111.45,32.03,-15.08,97.76,-11.49,-13.97,-0.05,2.25,0.35,0.35,0.37,0.39,110.2,0,-28.42,96.83,-17.39,-20.13,-0.89,1.35,0.35,0.35,0.37,0.39,115.05,157.59,-5.8,98.6,-7.14,-8.91,0.97,2.95,0.35,0.35,0.37,0.39,4.82,1.2,NA
"1981-01-07",119.89,30.37,-22.93,96.57,-10.5,-13.24,1.74,0.24,0.35,0.35,0.37,0.39,115.63,0,-64.65,96.15,-18.62,-22.73,-1.26,-1.93,0.35,0.35,0.37,0.39,121.4,153.57,-4.47,97.29,-5.39,-7.5,4.15,2.16,0.35,0.35,0.37,0.39,6.65,2.5,NA
"1981-01-08",121.39,51.8,-69.92,98.07,-20.97,-25.07,2.79,-0.88,0.35,0.35,0.37,0.39,121.35,0,-86.56,97.33,-23.06,-26.84,1.7,-1.86,0.35,0.35,0.37,0.39,121.43,232.23,-36.67,98.72,-18.27,-23.22,3.39,0.16,0.35,0.35,0.37,0.39,0.11,1.6,NA
"1981-01-09",121.62,37.75,-32.39,98.55,-17.88,-20.86,0.02,1.7,0.35,0.35,0.37,0.39,121.34,0,-54.83,98.37,-23.07,-25.81,-0.61,0.49,0.35,0.35,0.37,0.39,122.32,174.4,-17.54,98.71,-12.78,-14.4,1.56,2.43,0.35,0.35,0.37,0.39,0.93,0.59,NA
"1981-01-10",122.71,48.42,-56,98.82,-18.54,-22.14,1.77,-1.33,0.35,0.35,0.37,0.39,122.37,0,-86.95,98.35,-26.16,-29.46,0.71,-2.14,0.34,0.35,0.37,0.39,122.84,218.18,-19.73,99.18,-12.93,-14.5,2.35,1.23,0.35,0.35,0.37,0.39,0.58,1.6,NA
"1981-01-11",122.68,51.79,-56.46,98.57,-27.95,-32.42,2.43,-1.34,0.34,0.35,0.37,0.39,122.65,0,-74.68,98.32,-31.02,-34.67,1.72,-2.17,0.34,0.35,0.37,0.39,122.82,232.15,-12.94,98.94,-25.11,-30.07,3.23,-0.54,0.34,0.35,0.37,0.39,0.22,0.83,NA
"1981-01-12",122.93,48.9,-47.12,98.87,-25.41,-29.53,0.56,0.71,0.34,0.35,0.36,0.39,122.86,0,-81.12,98.58,-28.06,-31.13,-1.5,-0.44,0.34,0.35,0.36,0.39,122.95,228.5,-13.47,99.07,-21.83,-27.31,2.41,1.74,0.34,0.35,0.37,0.39,0.15,0.63,NA
"1981-01-13",122.92,56.6,-63.84,98.63,-23.59,-28.28,-0.78,-0.07,0.34,0.35,0.36,0.39,122.91,0,-78.98,98.32,-28.31,-31.36,-1.55,-1.14,0.34,0.35,0.36,0.39,122.93,251.1,-48.72,98.98,-17.66,-24.49,0.92,1.31,0.34,0.35,0.36,0.39,0,1.06,NA
"1981-01-14",122.96,52.24,-47.19,98.39,-20.43,-25.09,-0.15,-0.18,0.34,0.35,0.36,0.39,122.92,0,-78.29,98.21,-25.95,-29.02,-0.75,-1.05,0.34,0.35,0.36,0.39,122.99,227.95,-20.89,98.67,-13.56,-20.29,0.34,0.59,0.34,0.35,0.36,0.39,0.07,1.5,NA
"1981-01-15",123.01,54.13,-53.67,98.9,-19.39,-23.14,-0.62,-1.03,0.34,0.35,0.36,0.39,122.99,0,-82.93,98.66,-25.07,-27.6,-1.16,-1.65,0.34,0.35,0.36,0.39,123.02,235.92,-33.85,99.06,-10.97,-17.62,0,-0.06,0.34,0.35,0.36,0.39,0,0.74,NA
"1981-01-16",123.23,34.11,-25.52,98.85,-17.06,-20.65,-0.22,-1.79,0.34,0.35,0.36,0.39,123.02,0,-48.5,98.64,-20.58,-23.23,-0.63,-2.22,0.34,0.35,0.36,0.39,123.62,156.79,-4.2,99.06,-12.87,-17.24,0.35,-1.16,0.34,0.35,0.36,0.39,0.6,1.12,NA
"1981-01-17",123.59,59.39,-69.77,98.63,-17.88,-21.27,1.05,-1.1,0.34,0.35,0.36,0.39,123.54,0,-94.84,98.22,-20.61,-23.14,0.41,-2.19,0.34,0.35,0.36,0.39,123.62,263.31,-35.69,98.8,-14.78,-19.16,1.85,1.16,0.34,0.35,0.36,0.39,0.04,1.13,NA
"1981-01-18",123.96,28.8,-11.52,97.66,-12.16,-15.17,1.79,-0.39,0.34,0.35,0.36,0.39,123.53,0,-27.39,97.41,-18.68,-21.5,0.9,-1.95,0.34,0.35,0.36,0.39,124.29,150.61,7.26,98.15,-5.63,-8.41,2.69,1.06,0.34,0.35,0.36,0.39,0.7,1.49,NA
"1981-01-19",124.32,37.34,-27.82,97.45,-3.86,-6.94,2.4,-1.26,0.34,0.35,0.36,0.39,124.21,0,-41.43,97.17,-5.58,-8.87,1.72,-2.62,0.34,0.35,0.36,0.39,124.4,174,-10.01,97.69,-1.2,-5.1,3.36,-0.31,0.34,0.35,0.36,0.39,0.12,4.96,NA
"1981-01-20",123.9,61.68,-76.03,98.71,-12.91,-17.33,0.5,-2.15,0.34,0.34,0.36,0.39,123.71,0,-91.23,97.79,-17.6,-20.71,0,-3.08,0.34,0.34,0.36,0.39,124.17,271.39,-57.62,99.15,-6.38,-10.07,1.54,-1.43,0.34,0.34,0.36,0.39,0.02,3.86,NA
