"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",36.65,40.24,-25,100,-17.58,-21.49,-0.77,-1.22,0.3,0.3,0.32,0.34,36.54,0,-45.31,99.3,-23.05,-26.01,-1.06,-1.81,0.29,0.3,0.32,0.34,37.18,174.84,8.71,100.47,-12.48,-14.97,-0.47,-0.84,0.3,0.3,0.32,0.34,0.68,1.37,0.36
"1981-01-02",40.03,39.11,-38.73,99.48,-13.53,-17.52,1.97,-1,0.29,0.3,0.32,0.34,37.52,0,-87.81,98.92,-22.14,-26.58,-0.46,-1.49,0.29,0.3,0.32,0.34,40.61,197.08,8.22,100.42,-10.09,-13.34,3.52,-0.41,0.29,0.3,0.32,0.34,3.62,3.08,0.35
"1981-01-03",40.49,56.22,-80.19,100.42,-27.65,-32.54,0.25,-1.15,0.29,0.3,0.32,0.34,40.45,0,-91.55,100.23,-30.33,-34.68,-0.57,-1.88,0.29,0.29,0.31,0.34,40.53,245.07,-53.82,100.53,-23.41,-27.3,1.81,-0.51,0.29,0.3,0.32,0.34,0.02,0.72,0.34
"1981-01-04",40.5,43.75,-49.94,100.72,-29.19,-33.95,1.85,-0.3,0.29,0.29,0.31,0.34,40.45,0,-78.9,100.47,-34.38,-38.28,0.73,-1.83,0.29,0.29,0.31,0.34,40.6,195.73,-14.73,100.89,-23.92,-27.47,2.48,0.79,0.29,0.29,0.31,0.34,0.22,0.52,0.32
"1981-01-05",40.63,54.98,-54.61,101.03,-19.76,-23.49,1.55,1.01,0.29,0.29,0.31,0.34,40.59,0,-81.48,100.8,-23.91,-27.22,0.4,0.54,0.29,0.29,0.31,0.34,40.67,242.89,-5.28,101.26,-15.17,-18.95,2.33,1.89,0.29,0.29,0.31,0.34,0.15,1.04,0.32
"1981-01-06",42.03,22.71,-10.82,99.86,-8.7,-11.9,0.43,2.69,0.29,0.29,0.31,0.34,40.7,0,-17.92,98.83,-15.69,-18.42,0.07,1.4,0.29,0.29,0.31,0.34,44.49,101.35,4.96,100.73,-5.17,-7.49,0.89,3.51,0.29,0.29,0.31,0.34,4.01,3.02,0.31
"1981-01-07",47.69,46.55,-43.65,98.59,-7.42,-10.9,2.5,1.65,0.29,0.29,0.31,0.34,45.02,0,-95.96,98.11,-16.82,-21.36,0.13,-0.76,0.29,0.29,0.31,0.34,48.37,233.4,-9.59,99.42,-3.18,-4.83,4.33,3.22,0.29,0.29,0.31,0.34,4.25,5.33,0.3
"1981-01-08",48.37,55.72,-73.46,100.23,-19.26,-23.51,2.4,0.56,0.29,0.29,0.31,0.34,48.31,0,-89.42,99.48,-22.09,-25.88,1.38,-0.21,0.29,0.29,0.31,0.34,48.41,243,-47.84,100.88,-16.06,-21.47,3.46,1.73,0.29,0.29,0.31,0.34,0.1,1.72,0.29
"1981-01-09",48.46,39.72,-36.32,100.66,-15.3,-18.7,0.23,2.01,0.29,0.29,0.31,0.34,48.31,0,-74.69,100.47,-21.42,-23.97,-0.29,1.16,0.29,0.29,0.31,0.34,48.88,177.11,-17.2,100.87,-9.65,-13.85,1.43,3,0.29,0.29,0.31,0.34,0.65,1.74,0.28
"1981-01-10",49.64,50.7,-60.58,100.77,-14.72,-18.36,1.74,-0.58,0.29,0.29,0.31,0.34,49.03,0,-90.01,100.33,-22.62,-26.17,0.13,-1.86,0.29,0.29,0.31,0.34,49.79,216.77,-16.7,101.15,-10.57,-12.42,2.53,1.86,0.29,0.29,0.31,0.34,0.99,2.13,0.28
"1981-01-11",49.63,58.28,-76.66,100.71,-25.63,-29.91,2.12,-0.02,0.29,0.29,0.3,0.34,49.59,0,-85.46,100.46,-28.66,-32.49,1.72,-1.28,0.29,0.29,0.3,0.34,49.66,254.03,-66.79,100.94,-22.62,-26.87,2.72,0.97,0.29,0.29,0.31,0.34,0.02,0.78,0.27
"1981-01-12",49.6,54.95,-51.58,100.99,-23.77,-28.04,0.42,0.75,0.29,0.29,0.3,0.34,49.58,0,-77.5,100.85,-26.87,-30.05,-1.7,-0.37,0.29,0.29,0.3,0.34,49.63,240.54,-23.77,101.22,-19.44,-24.72,1.66,1.39,0.29,0.29,0.3,0.34,0.05,0.77,0.25
"1981-01-13",49.56,59.59,-61.66,100.56,-22.93,-26.8,-1.09,-0.78,0.29,0.29,0.3,0.34,49.52,0,-81.34,100.3,-28.11,-30.82,-1.76,-1.84,0.29,0.29,0.3,0.34,49.58,258.34,-42.41,100.95,-18.02,-23.2,0.04,0.27,0.29,0.29,0.3,0.34,0,1.3,0.24
