"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",42.68,43.26,-34.12,100.6,-19.53,-23.14,-1.54,-0.98,0.4,0.41,0.42,0.46,42.61,0,-62.57,99.97,-25.33,-27.84,-2.08,-1.19,0.4,0.41,0.42,0.46,42.73,195.76,-2.35,100.99,-14.11,-19.23,0.03,-0.5,0.4,0.41,0.42,0.46,0.14,1.25,NA
"1981-01-02",45.34,34.07,-36.78,99.87,-15.05,-19.23,2.02,-0.57,0.4,0.41,0.42,0.46,42.91,0,-95.75,99.36,-23.64,-28.66,-1.83,-1.33,0.4,0.41,0.42,0.46,46.06,159.96,11.69,100.76,-10.99,-14.55,4.69,0.42,0.4,0.41,0.42,0.46,3.48,3.17,NA
"1981-01-03",45.86,55.84,-80.5,100.89,-29.65,-34.51,2.12,-0.15,0.4,0.41,0.42,0.46,45.81,0,-87.2,100.75,-32.67,-36.81,1.56,-0.84,0.4,0.4,0.42,0.46,45.91,247.58,-65.33,101.02,-24.65,-29.38,3.38,0.46,0.4,0.41,0.42,0.46,0,0.68,NA
"1981-01-04",45.92,39.69,-42.06,101.06,-30.74,-35.43,2.77,0.39,0.4,0.4,0.42,0.46,45.8,0,-73.83,100.89,-36.5,-40.17,1.81,-0.9,0.4,0.4,0.42,0.46,46.27,181.91,-10.44,101.25,-23.48,-27.79,3.52,1.03,0.4,0.4,0.42,0.46,0.54,0.66,NA
"1981-01-05",46.37,52.22,-53.2,101.34,-19.33,-23.4,2.79,1.05,0.4,0.4,0.41,0.46,46.31,0,-83.89,101.06,-23.21,-27.28,1.26,0.73,0.4,0.4,0.41,0.46,46.44,234.31,-11.79,101.51,-15.54,-20.7,3.7,1.51,0.4,0.4,0.42,0.46,0.21,1.8,NA
"1981-01-06",47.33,31.92,-14.82,100.39,-9.95,-13.18,0.38,1.83,0.4,0.4,0.41,0.46,46.34,0,-40.88,99.44,-17.56,-20.39,-0.98,1.08,0.4,0.4,0.41,0.46,50.13,166.54,3.34,101.22,-5.73,-8.25,1.64,3.08,0.4,0.4,0.41,0.46,3.98,2.5,NA
"1981-01-07",53.9,37.53,-41.71,98.95,-6.96,-10.35,2.21,1.3,0.4,0.4,0.41,0.46,50.7,0,-87.58,98.59,-16.13,-20.36,-0.94,-0.62,0.4,0.4,0.41,0.45,54.82,189.38,-7.91,99.52,-1.77,-5.15,4.85,2.67,0.4,0.4,0.41,0.46,5.05,4.88,NA
"1981-01-08",54.87,52.75,-67.21,100.46,-18.96,-23.43,3.7,0.8,0.4,0.4,0.41,0.45,54.81,0,-87.91,99.55,-20.85,-25.35,2.01,0.44,0.4,0.4,0.41,0.45,54.93,232.66,-27.41,101.27,-16.5,-20.75,4.8,1.16,0.4,0.4,0.41,0.45,0.25,2.76,NA
"1981-01-09",54.89,40.55,-42.81,101.2,-16.83,-20.26,0.09,1.1,0.4,0.4,0.41,0.45,54.8,0,-76.97,101.04,-22.71,-25.43,-1.47,0.44,0.4,0.4,0.41,0.45,55.13,187.95,-19.9,101.35,-10.73,-15.22,1.81,1.63,0.4,0.4,0.41,0.45,0.41,1.23,NA
"1981-01-10",55.82,45.48,-47.86,101.13,-14.2,-17.82,1.84,0.24,0.4,0.4,0.41,0.45,55.2,0,-91.53,100.86,-21.72,-25.27,-0.53,-0.72,0.4,0.4,0.41,0.45,56.05,206.26,-6.92,101.4,-10.72,-13.9,3.67,1.56,0.4,0.4,0.41,0.45,1,2.21,NA
