"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",44.96,47.21,-39.39,99.75,-18.91,-23.16,-0.92,0.32,0.35,0.34,0.35,0.39,44.89,0,-71.99,99.19,-27.71,-30.47,-1.47,-1.31,0.34,0.34,0.35,0.39,44.99,223.24,-16.4,100.1,-11.86,-15.36,-0.31,1.35,0.35,0.34,0.35,0.39,0.02,1.77,0.4
"1981-01-02",46.96,22.44,-30.67,98.87,-10.83,-14.24,1.68,0.82,0.34,0.34,0.35,0.39,44.94,0,-81.68,98.48,-22,-26.42,-1.17,-0.77,0.34,0.34,0.35,0.39,48.16,100.74,3.45,99.6,-5.06,-7.74,4.31,2.36,0.34,0.34,0.35,0.39,3.47,2.5,0.38
"1981-01-03",48.09,56.46,-79.47,99.84,-28.9,-33.28,2.05,-0.14,0.34,0.33,0.35,0.39,48.05,0,-87.89,99.65,-33.48,-37.13,0.87,-1.21,0.34,0.33,0.35,0.39,48.12,251.42,-73.96,99.97,-23.16,-27.33,3.73,0.74,0.34,0.34,0.35,0.39,0.05,0.66,0.37
"1981-01-04",48.17,49.08,-43.74,99.95,-32.06,-36.2,2.53,0.21,0.34,0.33,0.34,0.38,48.05,0,-73.8,99.82,-37.2,-40.57,1.65,-0.36,0.34,0.33,0.34,0.38,48.74,245.06,-5.94,100.15,-25.18,-28.91,3.24,0.51,0.34,0.33,0.34,0.39,0.73,0.4,0.36
"1981-01-05",49.32,47.92,-47.59,100.26,-20.29,-23.98,2.59,0.12,0.34,0.33,0.34,0.38,48.85,0,-75.96,99.88,-24.48,-28.08,0.13,-0.34,0.34,0.33,0.34,0.38,49.45,220.57,-14.75,100.49,-16.72,-21.1,3.71,1.65,0.34,0.33,0.34,0.38,0.77,1.22,0.34
"1981-01-06",49.66,40.5,-22.57,99.68,-12.03,-16.21,-0.48,2.37,0.33,0.33,0.34,0.38,49.39,0,-50.54,98.83,-21.64,-24.71,-0.87,1.74,0.33,0.33,0.34,0.38,50.67,189.15,-0.47,100.39,-5.95,-9.8,0.16,2.96,0.34,0.33,0.34,0.38,1.45,3,0.33
"1981-01-07",54.85,33.89,-40.62,98.13,-6.06,-9.46,1.29,2.01,0.33,0.33,0.34,0.38,51.11,0,-90.16,97.77,-15.32,-19,-1.17,-0.21,0.33,0.33,0.34,0.38,56.32,184.84,-11.53,98.71,-1.19,-5.8,4.24,3.22,0.33,0.33,0.34,0.38,6.04,5.56,0.32
"1981-01-08",56.94,49.39,-57.75,99.35,-19.04,-23.14,3.65,0.6,0.33,0.33,0.34,0.38,56.34,0,-81.66,98.4,-20.87,-24.67,1.7,0.25,0.33,0.33,0.34,0.38,57.11,233.09,-31.11,100.32,-15.99,-19.69,4.49,1.37,0.33,0.33,0.34,0.38,0.96,2.38,0.31
"1981-01-09",57.04,50.64,-58,100.39,-17.19,-21.39,-0.28,1.85,0.33,0.33,0.34,0.38,57.01,0,-83.99,100.3,-22.28,-25.41,-1.23,1.5,0.33,0.33,0.33,0.38,57.06,249.22,-33.24,100.54,-11.65,-16.87,1.53,2.18,0.33,0.33,0.34,0.38,0.07,1.73,0.3
"1981-01-10",57.21,44.95,-53.8,100.14,-14.33,-17.71,1.09,0.51,0.33,0.33,0.33,0.38,57.01,0,-77.27,99.89,-19.74,-22.59,-1.2,-1.41,0.33,0.33,0.33,0.38,57.59,204.33,-39.23,100.29,-9.13,-14.04,4.07,1.98,0.33,0.33,0.33,0.38,0.77,1.86,0.29
