"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",115.99,42.87,-48.95,99.48,-19.87,-23.67,-0.88,-0.48,0.22,0.23,0.24,0.28,115.98,0,-68.8,99.06,-23.57,-26.09,-2.08,-0.95,0.22,0.23,0.24,0.28,115.99,201.06,-29.97,99.75,-16.88,-20.64,0.96,0.14,0.22,0.23,0.24,0.28,0,1.01,NA
"1981-01-02",117.86,17.41,-15.53,98.4,-14.1,-17.58,-0.31,-0.14,0.22,0.23,0.24,0.28,115.97,0,-48.53,97.96,-19.95,-24.67,-2.61,-0.73,0.22,0.23,0.24,0.28,119.91,86.27,5.89,98.97,-9.79,-12.52,3.79,1.79,0.22,0.23,0.24,0.28,4.03,1.47,NA
"1981-01-03",119.82,49.02,-73.36,99.03,-30.03,-35.24,3.04,-0.37,0.22,0.23,0.23,0.28,119.76,0,-83.41,98.6,-34.76,-38.41,1.89,-0.94,0.22,0.23,0.23,0.28,119.91,224.91,-62.04,99.29,-21.64,-26.48,3.79,0.35,0.22,0.23,0.24,0.28,0.07,1.07,NA
"1981-01-04",119.98,31.82,-29.82,99.13,-33.13,-37.43,2.14,0.34,0.22,0.22,0.23,0.28,119.76,0,-73.63,98.9,-36.83,-40.31,1.79,-0.57,0.22,0.22,0.23,0.28,120.53,143.24,-0.99,99.3,-28.6,-32.23,2.9,0.86,0.22,0.23,0.23,0.28,0.78,0.27,NA
"1981-01-05",120.69,46.14,-48.48,99.35,-20.47,-24.14,2.28,-0.2,0.22,0.22,0.23,0.28,120.58,0,-73.54,98.87,-28.06,-31.58,1.75,-0.98,0.22,0.22,0.23,0.28,120.72,214.18,-6.73,99.78,-14.68,-20.62,3.08,0.39,0.22,0.22,0.23,0.28,0.17,0.86,NA
"1981-01-06",121.2,30.31,-22.2,99.37,-17.62,-20.45,-0.6,-0.11,0.22,0.22,0.23,0.28,120.72,0,-69.24,98.7,-22.03,-24.58,-2.01,-0.75,0.22,0.22,0.23,0.28,122.26,141.11,3.19,99.8,-12.83,-15.39,1.6,0.35,0.22,0.22,0.23,0.28,1.52,0.49,NA
"1981-01-07",127.59,20.69,-11.22,97.73,-8.7,-10.75,-1.04,0.2,0.22,0.22,0.23,0.28,122.78,0,-36.8,97.34,-12.44,-14.9,-2.24,-0.58,0.22,0.22,0.23,0.28,130.43,110.31,3.26,98.59,-5.65,-8.19,2.35,2.61,0.22,0.22,0.23,0.28,8.12,0.75,NA
"1981-01-08",131.11,42.8,-51.56,98.25,-15.76,-20.07,3.18,0.29,0.22,0.22,0.23,0.28,130.5,0,-81.76,97.32,-20.04,-23.28,1.63,-1.17,0.22,0.22,0.23,0.28,131.27,202.22,-15.68,99.5,-11.28,-13.48,4.39,2.77,0.22,0.22,0.23,0.28,1.14,3.19,NA
"1981-01-09",131.16,42.45,-51.68,100.01,-21.1,-24.43,0.08,0.25,0.22,0.22,0.23,0.28,131.14,0,-72.36,99.58,-24.53,-27.12,-1.58,-0.88,0.22,0.22,0.23,0.27,131.25,203.89,-30.36,100.19,-18.63,-22.55,2.15,1.2,0.22,0.22,0.23,0.28,0.16,0.57,NA
"1981-01-10",131.45,48.34,-45.77,99.8,-17.16,-20.96,-0.9,-0.95,0.22,0.22,0.23,0.27,131.29,0,-82.81,98.99,-19.52,-22.53,-2.06,-2.02,0.22,0.22,0.23,0.27,131.75,221.79,-17.25,100.1,-13.44,-18.95,1.7,-0.22,0.22,0.22,0.23,0.27,0.54,1.17,NA
