"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",183.17,45.98,-51.64,93.43,-19.63,-23.27,-0.48,-0.47,0.21,0.21,0.21,0.27,183.16,0,-78.78,93.15,-24,-26.73,-1.34,-1.62,0.21,0.21,0.21,0.27,183.19,221.35,-23.08,93.62,-15.46,-20.84,0.23,0.58,0.21,0.21,0.21,0.27,0.01,1,0.42
"1981-01-02",184.63,20.37,-12.12,92.47,-15.91,-18.38,-0.23,0.07,0.21,0.21,0.2,0.27,183.19,0,-32.24,92.12,-19.82,-23.49,-1.74,-0.61,0.21,0.21,0.2,0.27,186.47,94.24,10.84,93.06,-12.67,-15.34,3.35,1.52,0.21,0.21,0.21,0.27,3.26,0.46,0.41
"1981-01-03",186.43,50.35,-71.66,92.37,-32.17,-36.77,3.52,-0.62,0.21,0.21,0.2,0.27,186.37,0,-79.04,92.15,-37.31,-41.33,2.28,-1.08,0.21,0.21,0.2,0.27,186.49,231.21,-49.92,92.61,-21.72,-25.48,4.34,0.05,0.21,0.21,0.2,0.27,0.13,0.82,0.4
"1981-01-04",186.63,32.26,-23.74,92.48,-34.97,-39.42,2.47,-0.47,0.21,0.21,0.2,0.27,186.37,0,-67.8,92.39,-38.71,-42.7,2.03,-1.16,0.21,0.21,0.2,0.27,187.29,137.84,5.16,92.59,-28.34,-32.23,3.3,-0.03,0.21,0.21,0.2,0.27,0.94,0.3,0.39
"1981-01-05",187.61,46.7,-51.78,93.04,-21.18,-24.73,2.17,-1.63,0.21,0.21,0.2,0.27,187.38,0,-72.64,92.41,-27.04,-30.78,1.64,-2.47,0.21,0.21,0.2,0.27,187.69,218.06,-6.32,93.5,-16.58,-22.03,2.57,-0.68,0.21,0.21,0.2,0.27,0.33,0.71,0.38
"1981-01-06",188.07,31.83,-22.81,93.31,-19.04,-21.96,0.72,0.35,0.21,0.21,0.2,0.27,187.69,0,-67.76,92.88,-23.59,-26.46,-0.7,-0.63,0.21,0.21,0.2,0.27,188.84,152.79,10.22,93.56,-15.52,-17.58,1.56,1.25,0.21,0.21,0.2,0.27,1.12,0.41,0.38
"1981-01-07",193.69,23.02,-6.42,91.98,-12.13,-13.96,-0.52,0.25,0.21,0.21,0.2,0.27,189.3,0,-42.59,91.47,-15.25,-17.23,-1.42,-0.48,0.21,0.21,0.2,0.27,196.17,115.38,7.94,92.8,-9.16,-11.8,1.99,1.44,0.21,0.21,0.2,0.27,7.26,0.28,0.38
"1981-01-08",196.85,45.62,-52.53,92.03,-17.96,-21.62,3.44,-0.4,0.21,0.21,0.2,0.27,196.27,0,-87.12,91.3,-22.73,-26.08,2.18,-1.69,0.21,0.21,0.2,0.27,196.97,212.62,-16.4,93.15,-12.06,-13.8,4.56,1.58,0.21,0.21,0.2,0.27,1.12,2.3,0.37
"1981-01-09",196.98,41.91,-50.01,93.78,-23.11,-26.4,1.12,0.27,0.21,0.21,0.2,0.27,196.96,0,-70.68,93.23,-26.7,-29.5,-0.05,-0.46,0.21,0.21,0.2,0.27,197.07,195.25,-29.38,94.07,-19.93,-24.59,2.94,1.13,0.21,0.21,0.2,0.27,0.15,0.52,0.36
"1981-01-10",197.37,47.13,-36.95,93.76,-19.58,-22.81,-0.47,-0.93,0.21,0.21,0.2,0.27,197.1,0,-78.07,92.89,-22.64,-25.3,-1.62,-2.56,0.21,0.21,0.2,0.27,198.27,220.41,-6.97,94.04,-16.43,-20.54,0.91,-0.01,0.21,0.21,0.2,0.27,1.18,0.77,0.35
"1981-01-11",200.44,25.46,-13.75,92.06,-22.12,-26.17,3.54,-1.04,0.21,0.21,0.2,0.27,198.65,0,-25.62,91.61,-26.51,-30.29,1.24,-3.11,0.21,0.21,0.2,0.27,201.43,121.66,-6.09,92.7,-17.22,-20.64,4.73,0.69,0.21,0.21,0.2,0.27,3.37,1.86,0.35
"1981-01-12",201.82,45.85,-41.84,93.55,-26.25,-30.09,2.26,0.42,0.2,0.21,0.2,0.27,201.52,0,-67.83,92.69,-28.23,-31.25,-0.29,-0.98,0.2,0.21,0.2,0.27,201.91,212.59,-9.66,94.15,-22.91,-27.85,3.89,1.02,0.21,0.21,0.2,0.27,0.55,0.78,0.34
"1981-01-13",201.98,38.93,-29.52,93.52,-23.88,-28.02,-0.05,-1.25,0.2,0.21,0.2,0.27,201.91,0,-53.93,92.89,-29.16,-31.98,-0.81,-1.89,0.2,0.21,0.2,0.27,202.15,189.32,-2.79,94.13,-18.78,-24.7,1.07,-0.71,0.2,0.21,0.2,0.27,0.23,0.8,0.33
"1981-01-14",202.22,54.76,-57.38,93.17,-20.05,-24.16,1.58,-0.55,0.2,0.21,0.2,0.27,202.17,0,-88.3,92.8,-23.15,-26.03,0.94,-1.42,0.2,0.21,0.2,0.27,202.24,245.6,-4.46,93.62,-15.6,-22.44,2.27,0.34,0.2,0.21,0.2,0.27,0.09,1.31,0.32
"1981-01-15",202.18,57.53,-70.37,93.91,-21.37,-25,1.17,-0.54,0.2,0.21,0.2,0.27,202.18,0,-90.76,93.59,-25.14,-27.85,0.27,-1.44,0.2,0.21,0.2,0.27,202.19,252.53,-56.14,94.1,-15.95,-21.86,1.55,0.43,0.2,0.21,0.2,0.27,0,1.2,0.31
"1981-01-16",202.26,51.19,-45.68,93.83,-18.56,-22.1,0.13,-0.74,0.2,0.21,0.2,0.27,202.18,0,-68.7,93.61,-24,-26.7,-0.2,-1.41,0.2,0.2,0.19,0.27,202.56,235.59,-21.53,94.01,-12.36,-18.51,0.38,0.41,0.2,0.21,0.2,0.27,0.35,1.22,0.3
"1981-01-17",202.61,57.57,-66.54,93.38,-18.37,-21.66,-0.01,-1.12,0.2,0.2,0.19,0.27,202.57,0,-93.86,93.06,-21.96,-24.5,-0.44,-1.55,0.2,0.2,0.19,0.27,202.63,254.54,-26.67,93.59,-13.67,-19.76,0.24,-0.33,0.2,0.2,0.19,0.27,0.08,1.31,0.3
"1981-01-18",202.64,53.91,-52.75,92.35,-18.39,-21.88,1.62,-1.13,0.2,0.2,0.19,0.27,202.58,0,-79.2,91.95,-23.49,-26.13,0.28,-2.39,0.2,0.2,0.19,0.27,202.81,251.91,-17.9,93.02,-14.18,-18.08,2.72,-0.15,0.2,0.2,0.19,0.27,0.22,1.18,0.29
"1981-01-19",203.06,40.73,-45.74,91.94,-12.09,-15.57,3.18,-1.65,0.2,0.2,0.19,0.27,202.83,0,-82.86,91.76,-15.18,-19.08,2.29,-3.01,0.2,0.2,0.19,0.27,203.29,193.03,-18.22,92.16,-9.34,-13.88,4.15,-0.64,0.2,0.2,0.19,0.27,0.54,3.2,0.28
"1981-01-20",203.22,61.98,-78.3,93.27,-18.15,-22.7,1.87,-2.5,0.2,0.2,0.19,0.27,203.14,0,-90.68,92.27,-21.04,-25.03,1.14,-3.4,0.2,0.2,0.19,0.27,203.31,268.63,-45.84,93.79,-14.59,-20.77,2.73,-1.63,0.2,0.2,0.19,0.27,0.16,2.75,0.28
"1981-01-21",203.14,62.83,-60.01,93.49,-17.85,-21.82,1,-0.39,0.2,0.2,0.19,0.27,203.07,0,-95.24,92.99,-21.03,-23.93,0.47,-1.63,0.2,0.2,0.19,0.27,203.65,271.89,14.3,93.75,-13.73,-19.75,1.45,0.95,0.2,0.2,0.19,0.27,0.59,1.75,0.27
