"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",149.95,43.14,-51.03,97.32,-17.22,-20.56,-0.34,0.51,0.39,0.4,0.42,0.43,149.91,0,-76.07,97.08,-18.96,-21.78,-1.49,-0.74,0.39,0.4,0.42,0.43,149.98,202.21,-29.82,97.5,-14.12,-19.42,1.17,1.04,0.39,0.4,0.42,0.43,0.07,0.99,0.16
"1981-01-02",151.37,16.45,-10.72,96.32,-14.3,-17.22,-0.83,1.38,0.39,0.4,0.42,0.43,149.94,0,-36.86,95.7,-17.65,-20.55,-1.79,1.02,0.39,0.4,0.42,0.43,154.66,93.21,5.46,97,-11.53,-13.7,3.47,1.93,0.39,0.4,0.42,0.43,4.73,0.92,0.16
"1981-01-03",156.35,39.71,-42.03,96.11,-24.89,-28.56,4.11,1.04,0.39,0.4,0.42,0.43,155.13,0,-58.61,95.69,-30.18,-33.63,2.67,-0.03,0.39,0.4,0.42,0.43,156.77,190.87,-12.38,96.49,-13.26,-16.07,4.72,1.94,0.39,0.4,0.42,0.43,2.38,1.19,0.15
"1981-01-04",157.19,37.98,-27.56,96.32,-30.4,-33.95,2.2,2.17,0.39,0.4,0.42,0.43,156.79,0,-50.37,96.07,-32.29,-35.53,1.63,1.72,0.39,0.4,0.42,0.43,157.95,176.03,5.23,96.49,-27.62,-31.02,2.65,2.58,0.39,0.4,0.42,0.43,1.22,0.27,0.14
"1981-01-05",158.84,40.06,-35.04,96.69,-19.76,-23.13,1.65,1.43,0.39,0.4,0.42,0.43,158.04,0,-70.21,96.06,-27.04,-30.43,1.31,0.82,0.39,0.4,0.42,0.43,159.09,193.82,2.77,97.21,-15.03,-19.54,1.99,2.25,0.39,0.4,0.42,0.43,1.07,0.56,0.14
"1981-01-06",159.32,35.63,-41.9,97.18,-16.31,-19.63,0.28,2.19,0.39,0.4,0.42,0.43,159.09,0,-59.72,96.82,-19.89,-22.62,-1.42,1.7,0.39,0.4,0.42,0.43,159.64,161.84,-18.4,97.37,-12.77,-17.11,1.38,2.68,0.39,0.4,0.42,0.43,0.56,1.15,0.13
"1981-01-07",164.48,16.6,-11.26,95.78,-9.21,-11.24,-0.87,0.71,0.39,0.4,0.42,0.43,159.86,0,-47.51,95.07,-13.76,-16.87,-2.04,-1.31,0.39,0.39,0.42,0.43,167.14,86.65,2.2,96.76,-6.1,-8.35,0.74,2.46,0.39,0.4,0.42,0.43,7.39,0.7,0.13
"1981-01-08",168.39,33.34,-45.13,95.62,-13.81,-17.94,3.6,1.02,0.39,0.39,0.42,0.43,167.38,0,-80.14,94.82,-18.16,-22.59,1.85,0.11,0.39,0.39,0.42,0.43,168.62,144.99,-14.05,96.9,-8.75,-10.04,4.61,2.36,0.39,0.39,0.42,0.43,1.81,4.02,0.12
"1981-01-09",168.5,39.98,-56.21,97.69,-19.11,-22.84,1.15,1.9,0.39,0.39,0.42,0.43,168.48,0,-77.33,97.01,-21.12,-23.84,-0.8,0.62,0.39,0.39,0.42,0.43,168.55,168.09,-32.09,98.07,-17.06,-22.19,3.2,2.49,0.39,0.39,0.42,0.43,0.18,1.3,0.12
"1981-01-10",169.4,32.39,-23.1,97.67,-17.27,-20.38,-0.68,-0.81,0.39,0.39,0.41,0.43,168.56,0,-52.59,96.46,-20.09,-23.21,-1.44,-4.17,0.39,0.39,0.41,0.43,173.19,159.49,-0.93,98.03,-14.08,-16.22,0.97,1.96,0.39,0.39,0.42,0.43,4.68,0.83,0.12
