"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",72.77,44.51,-52.2,99.04,-20.11,-23.96,-0.57,0.78,0.35,0.35,0.37,0.41,72.73,0,-65.53,98.63,-25.19,-27.94,-1.79,-0.5,0.34,0.35,0.37,0.41,72.8,207.57,-28.83,99.31,-16.28,-20.58,1.32,1.64,0.35,0.35,0.37,0.41,0,0.89,0.38
"1981-01-02",74.64,16.4,-16.35,97.98,-13.09,-16.18,0.37,0.7,0.34,0.35,0.37,0.41,72.73,0,-55.02,97.53,-18.86,-23.4,-1.94,0.22,0.34,0.35,0.37,0.41,76.7,72.82,11.54,98.54,-7.08,-10.02,4.54,1.62,0.34,0.35,0.37,0.41,4.11,1.48,0.36
"1981-01-03",76.71,48.71,-70.38,98.58,-29.08,-33.75,3.6,0.78,0.34,0.35,0.37,0.41,76.68,0,-80.79,98.15,-33.44,-36.91,2.25,0.4,0.34,0.35,0.36,0.41,76.74,220.66,-59.66,98.85,-20.61,-25.09,4.64,1.21,0.34,0.35,0.37,0.41,0.16,1.01,0.35
"1981-01-04",76.85,38.68,-36.57,98.7,-33.02,-37.28,2.69,1.15,0.34,0.35,0.36,0.41,76.68,0,-72.75,98.47,-36.21,-39.83,2.17,0.54,0.34,0.35,0.36,0.41,77.52,179.33,3.72,98.87,-28.19,-32.03,3.29,1.59,0.34,0.35,0.36,0.41,0.87,0.35,0.34
"1981-01-05",77.92,46.15,-47.36,98.94,-20.27,-24.05,3.12,1.25,0.34,0.35,0.36,0.41,77.63,0,-74.23,98.45,-27.46,-31.1,2.29,0.43,0.34,0.35,0.36,0.41,77.98,213.16,-1.25,99.36,-15.25,-20.56,4.09,1.47,0.34,0.35,0.36,0.41,0.47,1.43,0.32
"1981-01-06",78.19,33.23,-34,98.96,-15.76,-18.82,-0.17,1.13,0.34,0.35,0.36,0.41,77.94,0,-72.78,98.29,-20.95,-23.48,-1.61,0.31,0.34,0.35,0.36,0.41,78.76,147.85,-2.08,99.39,-10.71,-13.82,2.03,1.48,0.34,0.35,0.36,0.41,0.85,0.9,0.31
"1981-01-07",83.28,23.8,-18.76,97.33,-7.02,-9.6,-0.1,1.13,0.34,0.35,0.36,0.41,79.18,0,-49.71,96.96,-10.7,-14.04,-1.89,-0.5,0.34,0.35,0.36,0.41,85.84,126.08,-1.98,98.19,-3.29,-6.59,3.64,2.39,0.34,0.35,0.36,0.41,7.22,1.98,0.3
"1981-01-08",86.41,42.04,-50.82,97.87,-16.57,-20.77,3.84,1.52,0.34,0.35,0.36,0.41,85.86,0,-80.55,97,-20,-23.16,2.48,0.93,0.34,0.35,0.36,0.41,86.64,199.82,-15.72,99.11,-12.39,-15.51,5.18,2.64,0.34,0.35,0.36,0.41,1.09,3.36,0.29
"1981-01-09",86.57,44.62,-55.63,99.59,-20.05,-23.75,0.44,1.14,0.34,0.35,0.36,0.41,86.55,0,-74.95,99.19,-23.46,-26.14,-1.5,0.23,0.34,0.34,0.35,0.41,86.58,215.42,-31.54,99.77,-16.2,-22.22,2.69,1.55,0.34,0.35,0.36,0.41,0.08,0.84,0.28
"1981-01-10",86.77,44.49,-38.78,99.35,-17.32,-20.8,-0.62,0.01,0.34,0.34,0.35,0.41,86.6,0,-69.34,98.5,-20.47,-23.15,-1.47,-1.65,0.34,0.34,0.35,0.4,87.33,209.37,-16.43,99.67,-13.54,-18.5,2.33,1.14,0.34,0.34,0.35,0.41,0.82,1.13,0.27
