"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",64.22,44.45,-48.5,100.49,-20.28,-24.05,-0.45,0.1,0.34,0.35,0.37,0.4,64.18,0,-69.44,100,-25.2,-27.85,-1.88,-1.26,0.34,0.35,0.37,0.4,64.24,206.59,-29.24,100.77,-16.66,-20.58,1.6,1.16,0.34,0.35,0.37,0.4,0,1.07,NA
"1981-01-02",66.08,17.8,-19.26,99.4,-13.06,-16.51,0.38,0.33,0.34,0.35,0.37,0.4,64.17,0,-62.88,98.97,-19.66,-24.78,-2.07,-0.33,0.34,0.35,0.37,0.4,67.69,88.58,9.73,99.9,-6.87,-10.06,4.16,2.09,0.34,0.35,0.37,0.4,3.7,1.58,NA
"1981-01-03",67.67,51.86,-75.71,100.24,-28.82,-33.93,2.82,0.59,0.34,0.35,0.37,0.4,67.63,0,-85.72,99.83,-33.68,-37.27,1.79,-0.02,0.34,0.35,0.37,0.4,67.7,235.92,-64.04,100.47,-21.2,-26.38,3.82,1.31,0.34,0.35,0.37,0.4,0.09,0.92,NA
"1981-01-04",67.82,37.46,-34.37,100.33,-32.55,-37.01,2.07,1.34,0.34,0.35,0.37,0.4,67.63,0,-72.72,100.07,-37.11,-40.53,1.56,0.21,0.34,0.35,0.36,0.4,68.46,174.6,-1.68,100.53,-26.68,-30.72,2.73,1.97,0.34,0.35,0.37,0.4,0.86,0.35,NA
"1981-01-05",68.68,48.15,-51.71,100.52,-19.57,-23.6,2.24,1.52,0.34,0.35,0.36,0.4,68.53,0,-76.55,100.05,-26.01,-29.93,1.56,0.64,0.34,0.35,0.36,0.4,68.72,219.54,-8.26,100.89,-14,-19.77,3.24,1.91,0.34,0.35,0.36,0.4,0.28,1.27,NA
"1981-01-06",69.01,32.5,-27.53,100.36,-15.34,-18.37,-0.45,0.87,0.34,0.35,0.36,0.4,68.66,0,-71.24,99.6,-21.05,-23.6,-1.63,-0.01,0.34,0.35,0.36,0.4,69.83,148.57,-1.11,100.88,-10.05,-12.68,1.32,1.61,0.34,0.35,0.36,0.4,1.21,0.78,NA
"1981-01-07",74.35,23.31,-21.3,98.67,-6.5,-9.07,-0.01,1.25,0.34,0.34,0.36,0.4,70.27,0,-60.63,98.33,-11.21,-14.22,-1.81,0.39,0.34,0.34,0.36,0.4,76.41,122.45,-2.91,99.48,-2.6,-5.79,3.07,3.17,0.34,0.35,0.36,0.4,6.74,1.85,NA
"1981-01-08",77.09,45.39,-55.45,99.43,-15.83,-20.49,3.25,1.44,0.34,0.34,0.36,0.4,76.41,0,-88.03,98.43,-19.85,-22.92,1.89,0.44,0.34,0.34,0.36,0.4,77.34,207.18,-13.64,100.66,-12.65,-15.51,4.44,3.2,0.34,0.34,0.36,0.4,1.18,3.15,NA
"1981-01-09",77.25,46.83,-55.56,101.06,-19.8,-23.3,0.03,1,0.34,0.34,0.36,0.4,77.23,0,-77.6,100.74,-23.74,-26.4,-1.66,-0.33,0.34,0.34,0.36,0.4,77.28,228.08,-27.68,101.24,-16.09,-21.13,1.89,1.58,0.34,0.34,0.36,0.4,0.11,0.73,NA
"1981-01-10",77.44,51.61,-46.8,100.79,-16.45,-19.96,-0.65,-0.42,0.34,0.34,0.36,0.4,77.31,0,-88.3,100.07,-19.37,-21.97,-1.71,-1.66,0.34,0.34,0.36,0.4,77.66,239.76,-10.97,101.06,-12.17,-17.73,2.25,0.5,0.34,0.34,0.36,0.4,0.47,1.12,NA
