"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",83.48,47.57,-49.95,97.13,-20.54,-24.66,-0.53,0.76,0.35,0.35,0.37,0.41,83.45,0,-71.25,96.74,-26.86,-29.63,-1.91,-0.42,0.35,0.35,0.37,0.41,83.49,221.12,-27.67,97.37,-14.89,-20.16,1.35,1.5,0.35,0.35,0.37,0.41,0,0.85,0.74
"1981-01-02",85.54,17.16,-16.85,96.14,-13.15,-16.14,0.73,1,0.35,0.35,0.37,0.41,83.45,0,-67.94,95.73,-20.8,-24.76,-1.77,0.39,0.34,0.35,0.37,0.41,87.56,80.46,16.92,96.65,-6.69,-9.44,4.4,1.25,0.35,0.35,0.37,0.41,4.24,0.87,0.71
"1981-01-03",87.63,51.98,-71.42,96.66,-30.26,-34.42,3.41,0.71,0.34,0.35,0.37,0.4,87.58,0,-83.65,96.33,-34.38,-37.72,1.9,0.26,0.34,0.35,0.37,0.4,87.65,235.42,-62.17,96.89,-22.45,-26.52,4.56,1.18,0.34,0.35,0.37,0.41,0.19,0.42,0.68
"1981-01-04",87.74,46.31,-40.05,96.75,-34.15,-38.18,2.67,0.85,0.34,0.35,0.37,0.4,87.62,0,-69.84,96.59,-37.43,-40.92,1.83,0.44,0.34,0.35,0.37,0.4,88.28,222.79,4.86,96.9,-29.12,-32.49,3.28,1.13,0.34,0.35,0.37,0.4,0.69,0.17,0.64
"1981-01-05",88.76,48.07,-47.15,97.11,-21.71,-25.04,3.16,0.69,0.34,0.35,0.37,0.4,88.39,0,-70.84,96.59,-28.33,-31.52,2.26,0.09,0.34,0.35,0.37,0.4,88.82,220.67,-5.5,97.51,-16.85,-21.47,3.84,1.16,0.34,0.35,0.37,0.4,0.54,0.52,0.61
"1981-01-06",89.07,36.9,-33.32,97.08,-15.69,-18.98,0.21,1.57,0.34,0.35,0.36,0.4,88.82,0,-69.5,96.44,-22.07,-24.62,-1.32,1.24,0.34,0.35,0.36,0.4,89.63,171.98,1.36,97.51,-9.58,-13.73,1.99,1.91,0.34,0.35,0.36,0.4,0.82,0.64,0.58
"1981-01-07",93.93,30.82,-24.88,95.54,-7.25,-10.13,0.66,1.77,0.34,0.35,0.36,0.4,90.03,0,-71.02,95.21,-12.94,-16.23,-1.52,1.01,0.34,0.35,0.36,0.4,95.75,167.88,0.15,96.35,-2.72,-7.21,3.81,2.45,0.34,0.35,0.36,0.4,6.27,1.74,0.56
"1981-01-08",96.42,45.28,-54.77,96.11,-18.87,-22.3,3.96,1.34,0.34,0.35,0.36,0.4,95.75,0,-78.89,95.26,-21.77,-24.4,2.94,0.59,0.34,0.35,0.36,0.4,96.69,209.69,-17.81,97.27,-14.73,-17.63,4.99,2.27,0.34,0.35,0.36,0.4,1.18,1.2,0.53
"1981-01-09",96.7,48.14,-56.73,97.68,-20.66,-24.37,0.6,1.35,0.34,0.35,0.36,0.4,96.68,0,-83.06,97.35,-24.63,-27.27,-1.04,1.03,0.34,0.35,0.36,0.4,96.72,229.47,-27.63,97.84,-16.52,-22.29,2.71,1.63,0.34,0.35,0.36,0.4,0.06,0.58,0.51
"1981-01-10",96.92,46.54,-38.39,97.42,-17.52,-21,-0.23,0.02,0.34,0.35,0.36,0.4,96.74,0,-71.98,96.63,-21.34,-24.08,-1.34,-1.54,0.34,0.35,0.36,0.4,97.46,223.14,-13.81,97.76,-11.85,-18.23,2.81,1.59,0.34,0.35,0.36,0.4,0.8,0.72,0.49
"1981-01-11",99.28,33.66,-20.49,96.31,-22.74,-25.97,4.16,1.05,0.34,0.34,0.36,0.4,97.69,0,-39.2,96.02,-25.62,-29.06,3.36,-1.11,0.34,0.34,0.36,0.4,100.07,164.69,-7.34,96.95,-16.73,-18.78,4.76,2.23,0.34,0.35,0.36,0.4,2.75,0.62,0.47
"1981-01-12",100.35,48.79,-47.74,97.63,-24.89,-28.77,1.81,1.05,0.34,0.34,0.35,0.4,100.12,0,-78.85,97.03,-26.6,-30.32,-0.63,-0.82,0.34,0.34,0.35,0.4,100.41,220.15,-19.03,97.98,-21.38,-26.66,3.55,1.85,0.34,0.34,0.36,0.4,0.38,0.47,0.45
"1981-01-13",100.44,40.56,-30,97.3,-24.41,-28.16,0.41,-0.44,0.34,0.34,0.35,0.4,100.4,0,-55.46,96.86,-29.75,-32.52,-1.42,-1.44,0.34,0.34,0.35,0.4,100.52,184.28,-5.76,97.92,-19.49,-24.83,2.51,0.75,0.34,0.34,0.35,0.4,0.13,0.44,0.44
"1981-01-14",100.5,59.51,-67.13,97.13,-21.87,-26.17,1.82,0.96,0.34,0.34,0.35,0.4,100.46,0,-88.46,96.82,-25.37,-28.35,1.14,0.79,0.34,0.34,0.35,0.4,100.52,260.3,-38.3,97.51,-16.96,-23.8,2.54,1.11,0.34,0.34,0.35,0.4,0,0.78,0.42
"1981-01-15",100.46,59.12,-60.12,97.73,-19.34,-23.59,0.63,0.44,0.34,0.34,0.35,0.4,100.46,0,-89.88,97.49,-24.59,-27.83,0.1,-1.16,0.34,0.34,0.35,0.4,100.47,257.97,-42.5,97.86,-13.26,-19.23,1.06,1.45,0.34,0.34,0.35,0.4,0,0.92,0.4
"1981-01-16",100.5,54.09,-44.92,97.55,-17.08,-20.81,0.6,0.06,0.34,0.34,0.35,0.4,100.46,0,-77.61,97.27,-21.8,-23.81,-0.23,-0.78,0.34,0.34,0.35,0.4,100.58,244.77,-21.3,97.79,-12.2,-18.17,1.3,1.05,0.34,0.34,0.35,0.4,0.14,1.06,0.39
"1981-01-17",100.63,55.49,-58.15,97.05,-17.09,-20,0.48,-0.71,0.34,0.34,0.35,0.4,100.58,0,-83.13,96.82,-20.8,-23.06,-0.83,-1.4,0.34,0.34,0.35,0.4,100.65,250.73,-26.51,97.24,-12.54,-17.23,1.75,0.28,0.34,0.34,0.35,0.4,0.08,0.58,0.38
