"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",173.49,36.42,-51.17,98.2,-16.26,-19.13,0.64,0.15,0.41,0.41,0.41,0.45,173.46,0,-74.13,97.96,-19.06,-21.23,-1.29,-0.74,0.41,0.41,0.41,0.45,173.5,170.44,-34.4,98.36,-13.19,-17.75,2.2,1.22,0.41,0.41,0.41,0.45,0.06,0.54,0.65
"1981-01-02",174.41,28.13,-22.28,97.32,-13.75,-16.87,-1.26,1.38,0.41,0.41,0.41,0.45,173.49,0,-60.19,96.44,-18.47,-20.83,-1.85,0.53,0.41,0.41,0.41,0.45,178.65,145.16,0.38,97.99,-10.78,-13.7,0.55,2.04,0.41,0.41,0.41,0.45,5.14,0.79,0.63
"1981-01-03",181.94,31.82,-30.37,96.57,-23.94,-27.65,5.28,1.95,0.4,0.41,0.41,0.45,179.35,0,-57.2,96.25,-30.83,-34.61,0.85,0.78,0.4,0.41,0.41,0.45,182.47,150.73,-2.22,97.08,-11.9,-13.64,6.24,2.83,0.41,0.41,0.41,0.45,4.11,1.18,0.61
"1981-01-04",182.73,35.74,-32.16,96.99,-29.18,-32.93,3.61,2.17,0.4,0.41,0.41,0.45,182.47,0,-52.62,96.66,-31.72,-35.09,2.5,1.8,0.4,0.41,0.41,0.45,183.62,169.95,-0.87,97.13,-25,-27.94,5,2.56,0.4,0.41,0.41,0.45,1.19,0.39,0.6
"1981-01-05",184.54,34.14,-36.45,97.29,-16.9,-20.01,3.22,0.79,0.4,0.41,0.41,0.45,183.75,0,-68.51,96.63,-24.29,-27.14,2.47,0.35,0.4,0.41,0.41,0.45,184.82,171.01,-2.38,97.93,-13.44,-17.65,3.8,1.91,0.4,0.41,0.41,0.45,1.13,0.91,0.58
"1981-01-06",184.83,33.53,-54.75,98.05,-15.6,-19.02,0.74,1.61,0.4,0.41,0.41,0.45,184.82,0,-74.82,97.85,-18.26,-20.8,-1.41,0.8,0.4,0.41,0.41,0.45,184.85,148.25,-31,98.22,-12.38,-17.73,2.68,2.88,0.4,0.41,0.41,0.45,0.06,0.9,0.56
"1981-01-07",190.39,9.93,-4.98,96.76,-8.76,-10.75,-0.9,1.57,0.4,0.41,0.41,0.45,184.84,0,-40.9,95.82,-14.88,-18.18,-2.88,-0.23,0.4,0.41,0.41,0.45,197.23,47.12,2.67,97.83,-4.85,-6.49,2.19,3.02,0.4,0.41,0.41,0.45,12.3,0.85,0.54
"1981-01-08",199.06,34.24,-46.04,96.14,-12.97,-16.62,4.67,1.05,0.4,0.41,0.41,0.45,197.59,0,-84.31,95.29,-18.42,-22.58,2.35,-0.19,0.4,0.41,0.41,0.45,199.44,159.51,-8.71,97.47,-8.42,-9.61,5.97,2.12,0.4,0.41,0.41,0.45,2.52,3.62,0.53
"1981-01-09",199.27,43.48,-65.55,98.52,-19.05,-22.95,1.82,1.58,0.4,0.41,0.41,0.45,199.25,0,-82.87,97.59,-20.68,-23.66,-0.85,0.94,0.4,0.41,0.41,0.45,199.3,209.87,-30.96,99.07,-16.77,-21.97,4.54,2.29,0.4,0.41,0.41,0.45,0.15,1.22,0.52
"1981-01-10",200.56,26.37,-24.09,98.68,-16.57,-19.52,-1.37,-0.4,0.4,0.41,0.41,0.45,199.31,0,-62.13,97.28,-20.31,-23.43,-1.67,-5.15,0.4,0.4,0.41,0.45,206.61,133.46,2.14,99.1,-11.5,-12.98,-0.86,2.25,0.4,0.41,0.41,0.45,7.32,0.44,0.5
