"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",193.59,33.38,-50.6,96.09,-13.66,-16.43,0.22,-0.4,0.34,0.34,0.34,0.39,193.41,0,-72.4,95.66,-17.21,-19.42,-1.52,-1.8,0.34,0.34,0.34,0.39,193.64,166.97,-32.78,96.25,-10.19,-14.85,1.55,1.08,0.34,0.34,0.34,0.39,0.31,0.88,0.62
"1981-01-02",193.81,35.96,-28.18,95.4,-12.85,-15.76,-1.22,1.04,0.34,0.34,0.34,0.39,193.64,0,-72.11,94.38,-16.45,-18.71,-1.94,-0.45,0.34,0.34,0.34,0.39,194.89,183.96,-3.43,96.01,-9.87,-13.19,1.02,1.49,0.34,0.34,0.34,0.39,1.26,1.2,0.61
"1981-01-03",201.02,20.87,-12.67,94.03,-21.07,-24.05,4.52,1.76,0.34,0.34,0.33,0.39,195.7,0,-37.89,93.78,-30.32,-33.72,1.14,-0.22,0.34,0.34,0.33,0.39,202.51,104.45,2.89,94.48,-10.98,-12.52,5.69,2.67,0.34,0.34,0.34,0.39,7.9,1.07,0.6
"1981-01-04",202.68,40.53,-40.05,94.66,-30.35,-34.32,2.52,2.38,0.33,0.34,0.33,0.39,202.53,0,-59.41,94.52,-32.09,-35.52,-0.02,1.78,0.33,0.34,0.33,0.39,203.19,199.68,2.52,94.79,-28.9,-32.3,4.54,2.74,0.34,0.34,0.33,0.39,0.74,0.51,0.58
"1981-01-05",203.75,31.92,-32.58,95.01,-21.43,-24.24,1.81,0.95,0.33,0.34,0.33,0.39,203.27,0,-68.28,94.49,-28.94,-32.3,-0.42,0.52,0.33,0.34,0.33,0.39,204.12,168.12,0.73,95.66,-14.9,-17.97,3.5,1.63,0.33,0.34,0.33,0.39,0.81,0.25,0.57
"1981-01-06",204.18,34.34,-53.18,95.98,-17.57,-20.73,0.89,1.16,0.33,0.34,0.33,0.39,204.12,0,-64.08,95.68,-19.26,-21.7,-1.06,0.55,0.33,0.34,0.33,0.39,204.21,160.21,-36.91,96.1,-14.62,-19.66,2.76,1.7,0.33,0.34,0.33,0.39,0.11,0.87,0.55
"1981-01-07",209.13,9.83,-3.78,94.95,-10.22,-12.5,-1.73,1.86,0.33,0.34,0.33,0.39,204.2,0,-54.37,93.69,-19.49,-22.04,-3.2,-0.03,0.33,0.34,0.33,0.39,218.74,49.24,12.83,95.96,-4.32,-5.63,1.15,3.87,0.33,0.34,0.33,0.39,14.38,1.45,0.54
"1981-01-08",225.74,25.5,-27.63,93.8,-12.01,-15.1,4.41,1.22,0.33,0.34,0.33,0.39,219.93,0,-58.68,92.93,-18.38,-22.06,1.71,0.09,0.33,0.34,0.33,0.39,227.17,117.14,9.99,95.08,-5.76,-6.42,5.85,2.39,0.33,0.34,0.33,0.39,8.86,4.17,0.53
"1981-01-09",227.32,43.44,-65.2,96.33,-20.11,-23.84,2.11,1.15,0.33,0.34,0.33,0.39,227.2,0,-81.64,95.19,-21.65,-24.84,-0.9,0.52,0.33,0.33,0.33,0.39,227.37,205.54,-34.89,97.07,-18.1,-22.36,4.65,1.75,0.33,0.34,0.33,0.39,0.36,1.53,0.52
"1981-01-10",228.61,22.56,-16.75,96.69,-17.85,-20.94,-1.47,-0.22,0.33,0.33,0.33,0.39,227.34,0,-62.07,95.14,-23.45,-26.43,-2.54,-4.49,0.33,0.33,0.33,0.39,234.31,105.9,5.01,97.14,-11.12,-12.74,-0.98,1.4,0.33,0.33,0.33,0.39,6.95,0.51,0.51
