"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",237.65,29.93,-42.96,95.68,-12.06,-14.69,0.7,-0.77,0.34,0.34,0.34,0.4,237.39,0,-54.37,95.09,-13.58,-15.74,-0.92,-2.41,0.34,0.34,0.34,0.4,237.74,162.93,-27.94,95.95,-9.69,-13.39,2.67,0.96,0.34,0.34,0.34,0.4,0.48,1.39,0.69
"1981-01-02",237.87,32.25,-27.42,95.14,-11.29,-13.67,-1.35,1.48,0.34,0.34,0.34,0.4,237.75,0,-60.28,93.97,-13.53,-15.68,-2.4,-0.65,0.34,0.34,0.34,0.4,238.55,161.09,-7.65,95.73,-9.07,-10.29,-0.82,2.68,0.34,0.34,0.34,0.4,0.83,1.54,0.68
"1981-01-03",245.84,18.71,-13.27,93.29,-17.42,-20.37,3.43,0.89,0.34,0.34,0.34,0.4,239.18,0,-35.22,92.96,-28.87,-32.54,-2.14,-1.83,0.34,0.34,0.34,0.4,247.7,93.37,-0.72,93.84,-8.59,-9.68,5.7,2.83,0.34,0.34,0.34,0.4,9.51,1.86,0.67
"1981-01-04",247.82,39.84,-47.67,94.11,-29.89,-33.93,2.63,2.06,0.34,0.34,0.34,0.4,247.71,0,-62.21,93.71,-31.18,-34.75,0.74,1.18,0.34,0.34,0.34,0.4,247.99,193.16,-16.89,94.27,-27.55,-32.88,4.98,2.89,0.34,0.34,0.34,0.4,0.39,0.56,0.66
"1981-01-05",248.42,33.17,-35.15,94.46,-22.24,-25.23,2.78,0.29,0.34,0.34,0.34,0.4,248.03,0,-60.14,94.1,-30.22,-33.51,0.64,-0.08,0.34,0.34,0.34,0.4,248.67,159.11,-12.39,95.04,-15.64,-18.08,4.44,1.07,0.34,0.34,0.34,0.4,0.57,0.72,0.64
"1981-01-06",248.69,38.43,-51.08,95.55,-16.91,-20.58,1.34,0.58,0.34,0.34,0.34,0.4,248.67,0,-67.21,95.09,-19.79,-22.11,-0.21,-0.18,0.34,0.34,0.34,0.4,248.71,192.83,-36.39,95.72,-13.15,-19.08,3.63,1.73,0.34,0.34,0.34,0.4,0.05,1.26,0.63
"1981-01-07",254.55,8.92,-7.64,94.79,-9.14,-11.12,-1.56,3.67,0.34,0.34,0.34,0.39,248.71,0,-46.05,93.35,-19.28,-21.63,-2.87,1.99,0.34,0.34,0.34,0.39,267.67,45.7,12.63,95.67,0.5,-0.19,0.18,4.69,0.34,0.34,0.34,0.4,18.75,1.45,0.63
"1981-01-08",278.12,32.08,-39.04,93.21,-9.55,-12.66,3.82,1.62,0.34,0.34,0.34,0.39,269.21,0,-73.6,92.3,-18.07,-21.85,-1,-0.51,0.34,0.34,0.34,0.39,279.76,160.35,-1.43,94.48,0.37,-0.2,5.92,3.56,0.34,0.34,0.34,0.39,12.56,5.53,0.61
"1981-01-09",279.57,43.7,-65.58,95.87,-19.62,-23.5,2.68,0.85,0.34,0.34,0.34,0.39,279.53,0,-81.7,94.59,-20.81,-24.22,-0.09,0.27,0.34,0.34,0.34,0.39,279.61,207.73,-35.14,96.77,-17.29,-22.09,5.1,1.47,0.34,0.34,0.34,0.39,0.14,2.09,0.6
"1981-01-10",281.23,21.33,-18.87,96.42,-16.84,-19.41,-1.36,0.21,0.34,0.34,0.34,0.39,279.53,0,-63.75,94.84,-22.36,-25.08,-3.72,-4.41,0.34,0.34,0.34,0.39,289.89,98.18,2.52,96.87,-10.03,-11.28,-0.01,2.05,0.34,0.34,0.34,0.39,10.31,0.27,0.59
