"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",126.08,38.85,-53.87,98.19,-22.59,-26.32,-0.58,-0.68,0.21,0.21,0.21,0.27,126.07,0,-69.8,97.81,-25.97,-28.66,-1.44,-1.6,0.21,0.21,0.2,0.27,126.09,186.09,-22.36,98.39,-17.69,-24.18,0.52,0.35,0.21,0.21,0.21,0.27,0,0.5,0.49
"1981-01-02",127.12,17.59,-10.38,97.08,-18.02,-21.09,-0.02,-0.31,0.21,0.21,0.2,0.27,126.07,0,-23.68,96.65,-22.47,-26.36,-1.92,-0.94,0.21,0.21,0.2,0.27,129.41,84.4,1.12,97.7,-13.45,-16.7,3.93,0.41,0.21,0.21,0.2,0.27,3.35,0.38,0.48
"1981-01-03",130.24,27.12,-23.19,97.3,-31.94,-36.68,3.44,-0.13,0.21,0.21,0.2,0.27,129.59,0,-41.42,97.05,-34.83,-39.23,2.78,-1.01,0.21,0.21,0.2,0.27,130.62,134.29,-3.03,97.5,-23.96,-27.91,3.97,0.74,0.21,0.21,0.2,0.27,1.38,0.69,0.47
"1981-01-04",131.88,18.73,-0.06,97.18,-30.08,-33.72,1.76,0.86,0.21,0.21,0.2,0.27,130.67,0,-6.51,97.02,-34.88,-39.13,0.66,-1.66,0.21,0.21,0.2,0.27,133.15,88.4,12.06,97.45,-21.46,-23.7,2.69,1.45,0.21,0.21,0.2,0.27,2.54,0.14,0.47
"1981-01-05",133.37,33.19,-39.9,97.79,-17.22,-20.96,2.34,-1.26,0.21,0.21,0.2,0.27,133.21,0,-72.18,97.08,-21.12,-23.71,1.59,-2.34,0.21,0.21,0.2,0.27,133.42,161.01,15.5,98.2,-14.71,-20.1,2.81,0.5,0.21,0.21,0.2,0.27,0.26,0.92,0.46
"1981-01-06",134.02,22.46,-22.3,97.79,-17.64,-20.54,-0.69,1.59,0.21,0.21,0.2,0.27,133.41,0,-68.1,97.34,-21.96,-24.49,-1.57,0.64,0.21,0.21,0.2,0.27,134.82,110.52,0.94,98.16,-14.1,-16.49,1.31,2.3,0.21,0.21,0.2,0.27,1.4,0.45,0.45
"1981-01-07",137.71,19.94,-17.25,96.51,-11.15,-13.69,-1.42,-0.12,0.2,0.21,0.2,0.27,135.02,0,-45.97,96.04,-13.69,-16.16,-2.28,-2.07,0.2,0.21,0.2,0.27,139.3,97.04,-3.16,97.28,-8.53,-11.88,0.63,1.16,0.21,0.21,0.2,0.27,4.47,0.8,0.44
"1981-01-08",139.79,28.66,-35.43,96.62,-16.86,-21.1,3.34,-1.38,0.2,0.21,0.2,0.27,139.34,0,-58.83,95.96,-21.74,-25.48,0.95,-2.38,0.2,0.21,0.2,0.27,140.03,135.07,-15.43,97.75,-11.92,-13.94,4.47,-0.32,0.2,0.21,0.2,0.27,1.09,2.73,0.44
"1981-01-09",140.07,37.7,-51.66,98.38,-22.22,-25.69,0.12,1.26,0.2,0.21,0.2,0.27,140.02,0,-72.18,97.83,-25.16,-28.04,-1.28,-0.17,0.2,0.21,0.2,0.27,140.34,190.68,-19.21,98.67,-19.81,-22.58,2.63,1.84,0.2,0.21,0.2,0.27,0.36,0.44,0.43
"1981-01-10",141.01,33.98,-33.85,98.62,-17.99,-21.12,-1.12,-0.42,0.2,0.21,0.2,0.27,140.47,0,-64.97,98.12,-20.06,-22.5,-1.62,-2.68,0.2,0.21,0.2,0.27,141.48,175.84,-11.29,98.78,-14.91,-19.75,0.19,1.29,0.2,0.21,0.2,0.27,1.14,0.69,0.42
"1981-01-11",143.97,16.38,-11.76,96.68,-19.62,-23.55,3.25,-1.77,0.2,0.21,0.2,0.27,141.68,0,-16.39,95.98,-23.44,-27.42,0.65,-3.13,0.2,0.21,0.2,0.27,145.96,72.22,-7.59,97.97,-17.2,-20.15,4.58,0.06,0.2,0.21,0.2,0.27,4.7,1.82,0.41
"1981-01-12",146.81,31.57,-34.58,98.2,-24.69,-29.07,1.62,0.99,0.2,0.2,0.2,0.27,146.07,0,-59.06,97.02,-27.09,-30.3,-0.97,0.27,0.2,0.2,0.2,0.27,147,148.51,-11.23,98.97,-22.19,-27.32,3.42,1.46,0.2,0.2,0.2,0.27,1.14,0.85,0.41
"1981-01-13",147,44.44,-51.06,98.55,-26.44,-30.18,-0.39,-1.09,0.2,0.2,0.2,0.27,147,0,-73.61,97.86,-30.32,-33.33,-1.67,-1.96,0.2,0.2,0.2,0.27,147,205.75,-14.76,99.02,-22.57,-28,0.95,1.01,0.2,0.2,0.2,0.27,0,0.49,0.4
"1981-01-14",147.06,36.09,-23,97.92,-22.47,-26.18,0.96,0.17,0.2,0.2,0.2,0.27,147,0,-49.06,97.7,-24.85,-27.92,0.19,-0.86,0.2,0.2,0.2,0.26,147.3,174.66,-1.63,98.27,-19.05,-24.26,1.29,0.91,0.2,0.2,0.2,0.27,0.31,0.53,0.4
