"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",173.63,43.85,-53.53,95.75,-19.97,-23.54,0.26,-0.06,0.21,0.21,0.21,0.27,173.62,0,-76.55,95.51,-23.43,-26.53,-1.43,-0.62,0.21,0.21,0.21,0.27,173.68,208.56,-8.16,95.91,-15.36,-20.81,2.09,0.7,0.21,0.21,0.21,0.27,0.06,0.87,0.47
"1981-01-02",174.74,17.64,-5.98,94.78,-16.35,-18.59,-0.79,-0.02,0.21,0.21,0.21,0.27,173.69,0,-16.12,94.23,-18.68,-21,-1.68,-2.06,0.21,0.21,0.21,0.27,177.26,87.85,1.65,95.42,-14.31,-16.55,3.76,0.63,0.21,0.21,0.21,0.27,3.55,0.2,0.46
"1981-01-03",177.95,43.47,-51.6,94.39,-29.87,-35.03,4.74,-1.28,0.21,0.21,0.21,0.27,177.5,0,-74.07,94.19,-34.77,-39.67,4.03,-2.06,0.21,0.21,0.21,0.27,178.04,196.99,-12.65,94.69,-18.88,-22.82,5.38,-0.29,0.21,0.21,0.21,0.27,0.95,1.62,0.45
"1981-01-04",178.47,27.6,-13.9,94.57,-30.99,-35.93,3.22,-0.18,0.21,0.21,0.21,0.27,177.94,0,-58.67,94.39,-35.13,-39.97,2.89,-0.68,0.21,0.21,0.21,0.27,179.96,126.59,6.7,94.72,-23,-26.77,3.92,0.12,0.21,0.21,0.21,0.27,2.05,0.68,0.44
"1981-01-05",180.92,37.78,-36.28,95.11,-17.4,-21.19,3.72,-1.33,0.21,0.21,0.2,0.27,180.16,0,-70.48,94.41,-21.75,-25.41,2.67,-1.91,0.21,0.21,0.2,0.27,181.09,174.72,8.75,95.59,-15.09,-20.13,4.38,-0.47,0.21,0.21,0.21,0.27,1.07,2.21,0.43
"1981-01-06",181.41,31.93,-41.63,95.52,-17.09,-20.1,0.41,0.88,0.21,0.21,0.2,0.27,181.07,0,-73.77,95.19,-21.15,-23.9,-0.96,-0.35,0.21,0.21,0.2,0.27,181.96,141.24,-13.41,95.72,-12.88,-17.11,2.51,1.75,0.21,0.21,0.2,0.27,0.89,0.69,0.42
"1981-01-07",186.24,16.28,-10.88,94.27,-12.29,-14.01,-0.67,0.06,0.21,0.21,0.2,0.27,182.22,0,-61.73,93.55,-14.7,-16.43,-1.58,-0.48,0.21,0.21,0.2,0.27,188.38,85.79,3.49,95.14,-9.69,-12.02,1.15,1.02,0.21,0.21,0.2,0.27,6.36,0.11,0.42
"1981-01-08",188.99,42.07,-54.83,93.99,-16.16,-20.21,3.95,-0.98,0.21,0.21,0.2,0.27,188.48,0,-84.29,93.28,-20.64,-24.79,1.31,-1.84,0.21,0.21,0.2,0.27,189.13,192.8,-8.37,95.18,-11.95,-13.73,5.08,0.09,0.21,0.21,0.2,0.27,0.98,3.47,0.41
"1981-01-09",189.01,39.51,-57.31,95.99,-20.73,-24.39,1.17,0.59,0.2,0.21,0.2,0.27,188.98,0,-77.42,95.29,-23.85,-26.94,-0.56,-0.72,0.2,0.21,0.2,0.27,189.12,183.67,-28.45,96.38,-17.57,-22.43,3.81,1.48,0.21,0.21,0.2,0.27,0.18,0.9,0.4
"1981-01-10",189.82,35.71,-23.01,96.16,-18.63,-21.4,-0.45,-0.48,0.2,0.21,0.2,0.27,189.15,0,-46.3,95.2,-21.21,-23.48,-1.4,-2.26,0.2,0.21,0.2,0.27,192.19,181.16,-0.22,96.47,-16.15,-18.96,1.81,1.32,0.2,0.21,0.2,0.27,3.06,0.63,0.39
"1981-01-11",196.67,20.27,-10.48,93.95,-19.63,-23.73,4.27,-0.63,0.2,0.21,0.2,0.27,192.87,0,-20.64,93.32,-23.73,-28.72,2.17,-2.48,0.2,0.21,0.2,0.26,198.51,90.58,-0.68,94.99,-16.11,-19.01,5.07,0.97,0.2,0.21,0.2,0.27,6.55,2.71,0.38
"1981-01-12",198.75,45.41,-48.41,95.77,-23.8,-28.98,2.06,0.21,0.2,0.21,0.2,0.26,198.59,0,-69.1,94.62,-25.37,-30.66,-0.11,-0.73,0.2,0.21,0.2,0.26,198.78,209.15,-13.67,96.57,-20.4,-26.59,3.86,0.85,0.2,0.21,0.2,0.26,0.39,1.59,0.38
"1981-01-13",199.01,30.33,-18.47,95.9,-23.51,-27.88,1.05,-0.74,0.2,0.21,0.2,0.26,198.76,0,-54.31,95.09,-28.16,-31.14,0.11,-1.31,0.2,0.21,0.2,0.26,200.13,140.79,13.5,96.52,-20.33,-25.52,2.73,0.27,0.2,0.21,0.2,0.26,1.38,0.94,0.37
"1981-01-14",200.72,38.9,-28.37,95.33,-18.67,-23.28,2.31,-0.46,0.2,0.21,0.2,0.26,200.31,0,-57.38,94.97,-20.84,-25.38,1.53,-0.88,0.2,0.21,0.2,0.26,200.84,194.87,10.63,95.78,-15.12,-20.97,2.98,-0.04,0.2,0.21,0.2,0.26,0.79,1.98,0.35
"1981-01-15",200.84,51.03,-60.55,96.16,-19.26,-23.24,1.46,-0.23,0.2,0.21,0.2,0.26,200.83,0,-75.85,95.79,-22.2,-25.36,0.79,-0.57,0.2,0.2,0.2,0.26,200.86,225.39,-32.31,96.39,-14.72,-20.58,1.73,-0.03,0.2,0.21,0.2,0.26,0.06,1.33,0.35
"1981-01-16",200.9,49.9,-46.63,96.14,-18.53,-22.04,1.45,-0.52,0.2,0.2,0.2,0.26,200.83,0,-74.17,95.95,-22.31,-25.27,1.01,-0.79,0.2,0.2,0.2,0.26,201.21,230.25,-17.83,96.31,-14.5,-19.47,1.73,-0.22,0.2,0.2,0.2,0.26,0.41,1.17,0.33
"1981-01-17",201.23,53.19,-66.02,95.72,-19.02,-22.34,1.58,-0.85,0.2,0.2,0.2,0.26,201.17,0,-84.49,95.36,-22.55,-25.32,1.4,-1.57,0.2,0.2,0.2,0.26,201.26,239.98,-19.3,95.92,-15.6,-20.12,1.83,-0.38,0.2,0.2,0.2,0.26,0.07,1.03,0.33
"1981-01-18",201.25,49.62,-45.29,94.53,-18.35,-22.16,2.15,-0.81,0.2,0.2,0.2,0.26,201.15,0,-73.67,94.06,-23.54,-26.39,1.26,-1.8,0.2,0.2,0.2,0.26,201.59,232.61,-10.74,95.31,-13.85,-17.21,3.16,-0.02,0.2,0.2,0.2,0.26,0.44,1.49,0.32
"1981-01-19",201.91,48.71,-61.15,93.98,-11.94,-15.68,3.64,-1.86,0.2,0.2,0.2,0.26,201.62,0,-86.29,93.73,-15.34,-19.84,3.32,-3.09,0.2,0.2,0.2,0.26,202.1,231.55,-32.06,94.31,-8.96,-14.41,4.08,-1.16,0.2,0.2,0.2,0.26,0.62,4.2,0.3
"1981-01-20",201.98,56.53,-77.11,95.43,-18.21,-22.65,3.75,-1.85,0.2,0.2,0.2,0.26,201.89,0,-87.4,94.45,-20.2,-24.1,2.93,-3.18,0.2,0.2,0.2,0.26,202.1,250.91,-66.72,95.99,-16,-21,4.43,-0.93,0.2,0.2,0.2,0.26,0.1,3.4,0.28
"1981-01-21",201.86,57.92,-56.94,95.72,-18.16,-22.12,1.57,-0.15,0.2,0.2,0.2,0.26,201.8,0,-90.29,95.16,-21.14,-24.18,-0.18,-0.97,0.2,0.2,0.2,0.26,202.24,253.4,17.47,95.97,-14.5,-18.51,3.06,1.29,0.2,0.2,0.2,0.26,0.44,1.44,0.27
"1981-01-22",205.14,38.89,-15.12,94.62,-12.94,-15.09,-0.58,0.31,0.2,0.2,0.2,0.26,202.67,0,-42.43,94.4,-15.72,-18.09,-1.23,-0.77,0.2,0.2,0.2,0.26,205.92,189.53,9.7,95.06,-9.8,-13.43,-0.24,1.37,0.2,0.2,0.2,0.26,3.63,0.77,0.25
"1981-01-23",206.09,54.43,-52.62,94.59,-12.84,-15.51,0.41,-0.59,0.2,0.2,0.19,0.26,205.96,0,-84.18,94.49,-15.25,-17.3,-0.26,-1.3,0.2,0.2,0.19,0.26,206.16,235.67,-22.85,94.68,-9.06,-13.66,1.29,-0.03,0.2,0.2,0.2,0.26,0.26,1.44,0.23
"1981-01-24",206.24,50.84,-53.81,94.86,-13.5,-16.36,1.53,-0.61,0.2,0.2,0.19,0.26,206.16,0,-79.86,94.64,-17.32,-19.33,1.02,-1.11,0.2,0.2,0.19,0.26,206.34,233.38,-37.69,95.12,-8.97,-14.13,2,-0.16,0.2,0.2,0.19,0.26,0.19,1.58,0.23
"1981-01-25",206.41,45,-37.96,95.29,-12.41,-15.81,1.5,-0.23,0.2,0.2,0.19,0.26,206.33,0,-71.57,95.05,-15.06,-17.89,-0.01,-1.01,0.2,0.2,0.19,0.26,206.69,203.66,2.21,95.47,-9.5,-13.33,2.53,0.74,0.2,0.2,0.19,0.26,0.48,2.01,0.22
"1981-01-26",208.74,18.16,1.89,94.14,-6.22,-7.96,-0.16,0.87,0.2,0.2,0.19,0.26,206.84,0,-24.6,93.32,-10.85,-13.05,-0.91,0.57,0.2,0.2,0.19,0.26,210.27,78.89,18.53,94.99,-2.67,-4.13,0.85,1.54,0.2,0.2,0.19,0.26,3.47,0.25,0.22
"1981-01-27",210.63,33.52,-40.32,93.85,-5.16,-8.54,2.4,-0.18,0.2,0.2,0.19,0.26,210.28,0,-71.26,93.28,-12.4,-15.3,1.26,-1.46,0.2,0.2,0.19,0.26,210.87,146.86,-7.76,94.54,-0.99,-3.6,3.23,1.97,0.2,0.2,0.19,0.26,0.78,4.33,0.22
"1981-01-28",210.45,63.01,-75.7,95.07,-16.3,-20.35,2.29,-0.87,0.2,0.2,0.19,0.26,210.3,0,-86.47,94.57,-18.93,-21.8,1.76,-1.37,0.2,0.2,0.19,0.26,210.62,271.51,-57.01,95.58,-13.23,-16.28,2.83,-0.48,0.2,0.2,0.19,0.26,0.07,2.68,0.22
"1981-01-29",210.3,60.43,-54.98,95.7,-18.3,-22.07,2.47,-1.2,0.2,0.2,0.19,0.26,210.23,0,-76.55,95.59,-21.49,-24.17,1.76,-1.97,0.2,0.2,0.19,0.26,210.58,268.06,-17.24,95.83,-15.21,-20.54,3.34,-0.4,0.2,0.2,0.19,0.26,0.41,1.94,0.22
"1981-01-30",210.7,66.2,-59.23,95.92,-18.54,-23.17,3.36,-1.54,0.2,0.2,0.19,0.26,210.61,0,-91.66,95.79,-20.61,-24.51,3.09,-1.86,0.2,0.2,0.19,0.26,210.76,284.43,-17.18,96.06,-16.25,-21.4,3.56,-1.09,0.2,0.2,0.19,0.26,0.25,3.15,0.21
"1981-01-31",210.57,69.4,-73.73,96.19,-15.22,-20.22,2.55,-0.42,0.2,0.2,0.19,0.26,210.53,0,-91.92,95.94,-19.75,-22.89,1.91,-1.31,0.2,0.2,0.19,0.26,210.61,289.12,-43.06,96.4,-9.05,-17.04,3.07,0.42,0.2,0.2,0.19,0.26,0.04,3.27,0.21
"1981-02-01",210.57,61.22,-49.87,95.89,-9.64,-15.17,0.41,1.55,0.2,0.2,0.19,0.26,210.48,0,-84.63,94.87,-17.22,-20.29,-1.28,0.17,0.2,0.2,0.19,0.26,211.22,247.69,-7.94,96.42,-2.81,-6.86,1.97,3.74,0.2,0.2,0.19,0.26,0.77,5.36,0.21
"1981-02-02",217.84,14.09,-4.71,94.11,0.59,-0.56,0,2.39,0.22,0.2,0.19,0.26,211.43,0,-28.48,93.21,-2.72,-5.8,-1.41,1.39,0.2,0.2,0.19,0.26,222.94,79.46,4.1,94.87,4.55,3.52,2.17,3.43,0.28,0.21,0.19,0.26,17.14,1.66,0.22
