"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",205.61,30.25,-41.38,97.76,-12.88,-16.95,-0.62,-2.19,0.21,0.21,0.2,0.27,205.52,0,-76.11,97.08,-14.01,-18.23,-2.02,-5.14,0.21,0.21,0.2,0.27,205.71,157.03,-14.34,98.05,-11.6,-15.44,0.45,-0.8,0.21,0.21,0.2,0.27,0.4,3.27,NA
"1981-01-02",207.01,13.59,-9.72,97.31,-9.83,-12.18,-3.32,-0.38,0.21,0.21,0.2,0.27,205.75,0,-21.5,96.27,-12.67,-15.39,-4.05,-1.39,0.21,0.21,0.2,0.27,208.85,61.78,-2.85,97.85,-7.63,-9.66,-2.09,0.68,0.21,0.21,0.2,0.27,3.14,2.17,NA
"1981-01-03",213.99,12.48,-16.47,95.06,-10.82,-13.95,1.14,-0.37,0.21,0.21,0.2,0.27,208.98,0,-31.84,94.48,-19.94,-23.38,-3.72,-3.05,0.21,0.21,0.2,0.27,216.66,60.87,-7.52,96.07,-7.52,-9.96,4.77,2.37,0.21,0.21,0.2,0.27,8.17,3.5,NA
"1981-01-04",217.14,23.45,-18.08,95.92,-24.38,-27.8,2.24,1.39,0.21,0.21,0.2,0.27,216.68,0,-36.92,95.23,-25.56,-29.13,-0.01,-0.63,0.21,0.21,0.2,0.27,217.99,115.63,0.79,96.18,-20.91,-24.42,4.64,2.35,0.21,0.21,0.2,0.27,1.55,0.86,NA
"1981-01-05",218.18,32.94,-49.7,96.39,-19.64,-23.73,1.41,-1.87,0.21,0.21,0.2,0.27,218.04,0,-83.87,96.17,-25.67,-28.63,-0.32,-2.91,0.21,0.21,0.2,0.27,218.24,158.29,-10.93,96.94,-12.8,-17.96,2.98,-0.79,0.21,0.21,0.2,0.27,0.22,1.6,NA
"1981-01-06",218.21,33.13,-58.91,97.51,-17.3,-21.18,0.75,-0.36,0.21,0.21,0.2,0.27,218.19,0,-84.39,96.99,-20.62,-23.38,-1.41,-2.13,0.21,0.21,0.2,0.27,218.23,160.21,-25.58,97.73,-15.15,-19.33,2.43,1.12,0.21,0.21,0.2,0.27,0.04,1.26,NA
"1981-01-07",225.65,9.02,-1.87,96.94,-10.72,-12.27,-3.87,0.58,0.21,0.21,0.2,0.27,218.22,0,-26.08,95.41,-18.43,-20.71,-5.22,-0.51,0.21,0.21,0.2,0.27,243.8,44.11,4.35,97.73,-2.22,-2.56,-1.51,2.37,0.21,0.21,0.2,0.27,25.51,0.02,NA
"1981-01-08",257.39,14.41,-15.46,94.83,-7.73,-10.65,2,1.02,0.21,0.21,0.19,0.27,245.57,0,-39.98,93.76,-15.75,-21.35,-3.48,-0.45,0.21,0.21,0.19,0.27,261.45,75.21,2.04,96.17,-0.61,-0.9,4.96,3.99,0.21,0.21,0.19,0.27,18.11,4.55,NA
"1981-01-09",261.32,38.47,-66.56,97.77,-19.18,-23.92,2.2,0.11,0.21,0.21,0.19,0.27,261.23,0,-81.89,96.3,-21.03,-24.89,-0.64,-0.82,0.21,0.21,0.19,0.27,261.46,188.63,-34.55,98.84,-16.19,-21.87,3.86,1.04,0.21,0.21,0.19,0.27,0.1,2.45,NA
"1981-01-10",261.77,21.87,-17.69,98.75,-17.87,-21,-1.83,-1.75,0.21,0.21,0.19,0.27,261.25,0,-40.01,97.53,-22.43,-25.24,-2.65,-4.29,0.21,0.21,0.19,0.27,264.14,110.81,-1.73,99.08,-12.84,-16.04,-0.86,-0.16,0.21,0.21,0.19,0.27,2.86,1.04,NA
"1981-01-11",276.89,8.45,-8.44,94.93,-11.27,-14.55,-1.68,0.27,0.21,0.21,0.19,0.27,264.94,0,-24.38,93.34,-16.95,-20.6,-8.53,-7.06,0.21,0.21,0.19,0.27,284.29,46.02,5.14,97.2,-4.02,-6.34,2,7.39,0.21,0.21,0.19,0.27,20.28,5.81,NA
"1981-01-12",285.24,32,-45.11,97.64,-20.07,-24.16,1.79,3.47,0.21,0.21,0.19,0.27,284.48,0,-61.81,96.08,-22.25,-25.42,0.39,0.22,0.21,0.21,0.19,0.27,285.52,157.14,-22.23,98.75,-17.44,-21.28,2.37,6.17,0.21,0.21,0.19,0.27,1.53,2.75,NA
"1981-01-13",286.47,26.71,-21.15,97.94,-20.12,-24.76,-0.34,-2.7,0.21,0.21,0.19,0.27,285.52,0,-62.45,96.48,-25.05,-28.09,-0.96,-4.46,0.21,0.21,0.19,0.27,291.83,150.25,16.23,98.82,-14.01,-18.08,0.32,-0.54,0.21,0.21,0.19,0.27,6.35,2.01,0.65
"1981-01-14",295.47,22.8,-16.29,96.86,-13.3,-17.53,0.08,-2.52,0.21,0.21,0.19,0.27,292.59,0,-39.87,96.36,-14.04,-18.44,-0.7,-4.36,0.21,0.21,0.19,0.27,296.39,111.74,5.5,97.45,-11.67,-16.29,0.78,-1.33,0.21,0.21,0.19,0.27,4.66,2.98,0.65
"1981-01-15",296.65,35.87,-47.37,98.01,-14.2,-17.23,0.36,-0.96,0.21,0.21,0.19,0.27,296.41,0,-82.1,97.48,-16.47,-18.47,-0.35,-1.63,0.21,0.21,0.19,0.27,296.72,172.1,-17.62,98.42,-11.27,-16.53,1.41,0.13,0.21,0.21,0.19,0.27,0.39,1.07,0.62
