"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",192.94,25.65,-41.33,98.25,-12.04,-16.22,-0.38,-2.32,0.21,0.22,0.21,0.28,192.62,0,-80.97,97.39,-13.67,-16.88,-1.22,-4.58,0.21,0.22,0.21,0.28,193.07,119.86,-22.82,98.65,-10.4,-15.07,0.56,-1.37,0.21,0.22,0.21,0.28,0.7,3.68,0.35
"1981-01-02",193.68,15.93,-10.15,97.97,-10.6,-13.06,-2.22,-1.23,0.21,0.22,0.21,0.27,193.02,0,-33.87,96.89,-13.98,-16.71,-3.33,-2.05,0.21,0.21,0.21,0.27,195.08,88.78,3.98,98.47,-7.56,-9.56,-1.16,-0.55,0.21,0.22,0.21,0.28,2.07,1.49,0.34
"1981-01-03",200.68,12.83,-16.81,95.47,-10.11,-13.16,1.45,-0.35,0.21,0.21,0.2,0.27,195.17,0,-27.29,94.9,-17.66,-20.87,-3.22,-3.51,0.21,0.21,0.2,0.27,203.82,65.08,-10.13,96.65,-7.52,-10.14,4.81,2.82,0.21,0.21,0.21,0.27,9.06,3.54,0.33
"1981-01-04",204.48,22.64,-23.66,96.48,-22.29,-25.56,2.44,1.84,0.21,0.21,0.2,0.27,203.86,0,-36.66,95.64,-23.4,-26.79,-0.2,-0.51,0.21,0.21,0.2,0.27,205.31,110.32,-7.48,96.8,-18.53,-21.84,4.57,2.82,0.21,0.21,0.2,0.27,1.73,1.12,0.32
"1981-01-05",205.72,27.55,-43.34,96.84,-20.61,-24.33,1.28,-1.17,0.21,0.21,0.2,0.27,205.42,0,-77.81,96.58,-25.93,-28.92,-0.22,-1.77,0.21,0.21,0.2,0.27,205.86,132.64,-0.77,97.32,-15.9,-19.7,2.65,-0.37,0.21,0.21,0.2,0.27,0.54,0.68,0.32
"1981-01-06",205.86,36.03,-55.83,98.03,-17.32,-21.1,1.11,-0.22,0.21,0.21,0.2,0.27,205.84,0,-81.7,97.38,-21.46,-24.26,-0.96,-1.51,0.21,0.21,0.2,0.27,205.9,178.51,-15.21,98.34,-15.37,-18.5,2.45,1.08,0.21,0.21,0.2,0.27,0.06,1.03,0.32
"1981-01-07",212.92,10.25,-3.9,97.71,-11.01,-12.52,-2.91,0.71,0.21,0.21,0.2,0.27,205.9,0,-27.69,96.2,-17.87,-20.02,-4.49,-0.79,0.21,0.21,0.2,0.27,233.51,54.06,7.42,98.35,-0.37,-0.64,-1.36,4.09,0.21,0.21,0.2,0.27,27.55,-0.21,0.32
"1981-01-08",254.71,11.81,-17.65,95.4,-6.01,-8.43,0.95,3.24,0.22,0.21,0.2,0.27,235.68,0,-42.55,94.35,-13.94,-19.36,-3.8,0.96,0.21,0.21,0.2,0.27,260.28,60.7,1.01,96.58,1.06,0.94,4.55,5.28,0.22,0.21,0.2,0.27,27.57,4.15,0.33
"1981-01-09",260.13,36.48,-59.16,98.27,-17.7,-22.15,2.27,0.59,0.22,0.21,0.2,0.27,260.05,0,-82.96,96.7,-20.15,-23.78,0.08,-0.02,0.21,0.21,0.2,0.27,260.26,184.13,-37.54,99.47,-14.41,-19.94,3.6,1.33,0.22,0.21,0.2,0.27,0.17,2.82,0.36
"1981-01-10",260.64,22.47,-17.24,99.38,-16.82,-19.72,-1.49,-1.7,0.21,0.21,0.2,0.27,260.07,0,-30.2,98.08,-20.46,-22.98,-2.95,-4.15,0.21,0.21,0.2,0.27,263.81,118.48,-3.9,99.76,-11.86,-14.93,-0.25,0.32,0.21,0.21,0.2,0.27,3.71,0.9,0.41
"1981-01-11",278.88,10.55,-17.84,95.67,-9.42,-12.98,-2.51,0.52,0.21,0.21,0.2,0.27,265.42,0,-53.32,94.33,-15.31,-19.52,-8.23,-6.26,0.21,0.21,0.2,0.27,284.07,63.45,3.89,97.7,-1.8,-3.16,1.64,5.56,0.21,0.21,0.2,0.27,20.45,7.14,0.47
"1981-01-12",284.74,31.81,-51.43,98.31,-19.09,-23.44,1.86,2.72,0.21,0.21,0.2,0.27,284.17,0,-59.48,96.8,-21.62,-24.91,0.96,-0.19,0.21,0.21,0.2,0.27,285.01,158.8,-42.43,99.37,-15.82,-20.09,2.4,4.15,0.21,0.21,0.2,0.27,1.3,2.88,0.51
"1981-01-13",286.4,21.2,-17.33,98.46,-19.44,-23.98,-0.61,-2.78,0.21,0.21,0.2,0.27,285.01,0,-60.14,96.92,-24.38,-27.2,-1.2,-4.56,0.21,0.21,0.2,0.27,292.95,102.42,16.27,99.43,-13.52,-17.56,0.23,-0.76,0.21,0.21,0.2,0.27,8,2.32,0.52
"1981-01-14",297.06,21.15,-13.71,97.32,-12.77,-16.84,0.06,-2.39,0.21,0.21,0.2,0.27,293.91,0,-30.88,96.76,-13.5,-18.06,-1.13,-4.57,0.21,0.21,0.2,0.27,298.26,105.87,1.04,97.96,-11.24,-15.32,0.83,-1.07,0.21,0.21,0.2,0.27,5.4,3.07,0.53
"1981-01-15",298.66,31.94,-40.33,98.54,-13.77,-16.53,0.59,-0.72,0.21,0.21,0.2,0.27,298.3,0,-69.58,97.99,-16.66,-18.6,0.11,-1.38,0.21,0.21,0.2,0.27,298.77,158.61,-14.65,98.98,-11.22,-15.56,1.46,0.34,0.21,0.21,0.2,0.27,0.53,1.03,0.51
"1981-01-16",298.76,33.47,-46.35,98.64,-15.88,-18.91,0.19,-1.21,0.21,0.21,0.2,0.27,298.73,0,-74.68,98.46,-17.61,-19.9,-0.3,-1.54,0.21,0.21,0.2,0.27,298.78,153.08,-29.06,98.91,-12.8,-17.54,1.09,-0.56,0.21,0.21,0.2,0.27,0.09,1.02,0.48
"1981-01-17",298.78,36.05,-51.41,98.26,-17.78,-21.24,-0.31,-1.37,0.21,0.21,0.19,0.27,298.73,0,-82.8,97.93,-21.64,-23.98,-0.52,-1.88,0.21,0.21,0.19,0.27,298.82,176.12,-8.67,98.43,-13.37,-19.59,-0.03,-0.44,0.21,0.21,0.2,0.27,0.15,1,0.39
"1981-01-18",298.75,47,-81.08,96.72,-19.94,-24.42,0.23,-2.74,0.21,0.21,0.19,0.27,298.68,0,-98.49,95.79,-22.87,-25.79,-0.23,-3.65,0.21,0.21,0.19,0.27,298.79,221.7,-70.67,97.85,-15.4,-23,0.74,-2.02,0.21,0.21,0.19,0.27,0,1.68,0.41
"1981-01-19",298.62,46.51,-82.41,95.59,-18.02,-23.34,1.95,-2.35,0.21,0.21,0.19,0.27,298.53,0,-100.79,95.38,-20.22,-25.04,0.76,-3.51,0.21,0.21,0.19,0.27,298.67,217.76,-59.01,95.86,-14.86,-22.31,2.61,-1.55,0.21,0.21,0.19,0.27,0.03,3,0.52
"1981-01-20",298.62,38.29,-53.05,96.58,-14.45,-19.95,2.31,-2.32,0.21,0.21,0.19,0.27,298.51,0,-89.09,95.88,-20.62,-25.13,1.51,-4.25,0.21,0.21,0.19,0.27,298.7,196.87,-12.66,97.53,-10.08,-16.9,2.84,-0.79,0.21,0.21,0.19,0.27,0.32,4.67,0.57
