"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",146.07,32.78,-44.73,99.58,-7.27,-11.25,-0.49,-2.46,0.34,0.35,0.37,0.4,145.96,0,-76.3,98.61,-8.1,-11.96,-3.15,-4.95,0.34,0.35,0.37,0.4,146.14,171.08,-24.17,100.02,-6.62,-10.22,3.45,0,0.34,0.35,0.37,0.4,0.49,6.59,0.44
"1981-01-02",146.63,24.43,-36.02,99.28,-5.32,-7.99,-4.74,0.32,0.34,0.35,0.37,0.4,146.04,0,-55.9,98.01,-7.11,-10.34,-7.76,-2.74,0.34,0.35,0.37,0.4,147.32,116.56,-19.64,99.83,-3.71,-6.43,-3.42,1.93,0.34,0.35,0.37,0.4,1.47,5.91,0.43
"1981-01-03",155.57,12.54,-14.76,96.87,-8.99,-11.58,3.65,-1.18,0.34,0.35,0.37,0.4,147.56,0,-25.62,96.37,-16.6,-20.02,-8.2,-6.88,0.34,0.35,0.37,0.4,159.62,56.21,-10.74,97.74,-3.77,-5.95,10.74,4.52,0.34,0.35,0.37,0.4,12.83,7.28,0.42
"1981-01-04",160.63,27.22,-35.13,98.19,-19.07,-23.12,4.6,3.07,0.34,0.35,0.37,0.4,159.77,0,-54.5,97.56,-20.7,-25.03,-0.43,1.09,0.34,0.35,0.36,0.4,161.01,132.66,-17.65,98.4,-17.08,-20.64,9.33,4.96,0.34,0.35,0.37,0.4,1.69,3.37,0.41
"1981-01-05",161.36,29.98,-45.04,98.28,-15.13,-19.83,3.51,-0.79,0.34,0.35,0.36,0.4,161.03,0,-81.25,98.04,-20.81,-25.51,-0.67,-2.71,0.34,0.35,0.36,0.4,161.68,154.24,-10.12,98.73,-8.9,-13.13,7.08,1.88,0.34,0.35,0.36,0.4,0.64,4.66,0.39
"1981-01-06",161.6,35.34,-55.4,99.54,-11.51,-15.01,3.48,-0.02,0.34,0.35,0.36,0.4,161.54,0,-86.34,98.78,-12.38,-15.74,-0.88,-2.66,0.34,0.35,0.36,0.4,161.67,168.28,-21.02,99.86,-10.1,-14.32,6.45,1.15,0.34,0.35,0.36,0.4,0.07,4.38,0.43
"1981-01-07",165.62,12.75,-16.96,99.2,-5.6,-7.77,-3.17,5.14,0.34,0.35,0.36,0.4,161.56,0,-56.61,97.72,-11.59,-14.6,-5.81,1.3,0.34,0.35,0.36,0.4,177.11,60.7,-2.16,99.83,3.08,0.61,-0.6,10.55,0.35,0.35,0.36,0.4,16.22,5.5,0.84
"1981-01-08",175.63,22.3,-27.87,97.06,-3.48,-6.48,2.24,6.2,0.41,0.39,0.36,0.4,174.04,0,-55.26,96.01,-12.48,-17.16,-6.98,2.56,0.37,0.35,0.36,0.4,177.43,117.6,-6.35,98.28,4.56,2.12,9.29,10.61,0.43,0.4,0.36,0.4,18,15.84,1.45
"1981-01-09",176.11,34.13,-43.85,99.89,-14.63,-19.23,5.51,1.41,0.39,0.4,0.36,0.4,175.93,0,-54.35,98.4,-15.39,-20.31,-0.21,0.63,0.39,0.39,0.36,0.4,176.16,173.51,-30.28,101.02,-12.91,-17.55,8.04,2.46,0.4,0.4,0.36,0.4,0.74,7.22,2.41
"1981-01-10",177.35,27.31,-24.89,100.71,-10.23,-13.54,-3.28,-0.35,0.38,0.39,0.36,0.4,176.14,0,-39.18,99.04,-14.52,-18.52,-9.03,-6.35,0.38,0.39,0.36,0.4,186.96,143.8,-7.69,101.21,-5.75,-7.38,-0.51,2.87,0.39,0.39,0.36,0.4,10.81,3.22,3.38
