"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",115.56,30.11,-55.76,99.36,-5.26,-8.26,2.6,0.29,0.31,0.31,0.3,0.38,115.16,0,-84.01,98,-10.22,-12.57,-1.29,-1.79,0.31,0.31,0.3,0.38,115.73,154.14,-26.53,100.48,-3.32,-5.04,5.76,5.24,0.32,0.32,0.3,0.38,0.92,4.84,1.76
"1981-01-02",116.01,15.54,-31.88,100.18,-7.33,-9.08,-2.24,-1.25,0.31,0.31,0.3,0.38,115.64,0,-57.47,99.64,-10.46,-12.78,-3.87,-2.32,0.31,0.31,0.3,0.38,116.33,75.42,-8.99,100.49,-5.51,-7.61,-1.02,-0.43,0.31,0.31,0.3,0.38,0.68,0.68,1.71
"1981-01-03",121.91,16.63,-27.99,97.56,-3.81,-7.03,-1.57,3.46,0.31,0.31,0.3,0.38,116.33,0,-65.55,96.79,-9.35,-14.02,-7.67,-1.21,0.31,0.31,0.3,0.38,124.02,96.36,-6.45,99.47,0.8,-1.83,5.47,7.56,0.31,0.31,0.3,0.38,8.2,9.49,1.67
"1981-01-04",124.59,18.95,-41.26,98.46,-9.8,-14.68,4.65,5.27,0.31,0.31,0.3,0.38,124.05,0,-63.15,97.61,-11.56,-16.67,1.54,2.09,0.31,0.31,0.3,0.37,125.12,94.88,-17.01,98.83,-8.69,-12.41,6.77,7.39,0.31,0.31,0.3,0.38,1.7,10.93,1.61
"1981-01-05",127.2,17.85,-40.05,98.29,-10.47,-13.86,2.25,2.23,0.31,0.31,0.3,0.37,125.16,0,-83.25,97.92,-12.99,-16.76,-0.16,1.03,0.31,0.31,0.3,0.37,129,86.13,-11.51,98.8,-8.69,-12.37,6.53,3.59,0.31,0.31,0.3,0.37,4.14,2.95,1.57
"1981-01-06",129.35,27.02,-54.65,99.44,-8.8,-11.88,5.09,1.75,0.31,0.31,0.3,0.37,129.12,0,-63.48,98.14,-9.85,-12.96,3.94,1.26,0.31,0.31,0.3,0.37,129.41,137.64,-44.02,100.26,-7.88,-10.74,6.52,2.28,0.31,0.31,0.3,0.37,0.53,4.64,1.51
"1981-01-07",129.77,27.59,-37.32,100.58,-5.89,-8.72,-0.01,2.25,0.31,0.31,0.3,0.37,129.37,0,-68.35,100.29,-8.02,-10.9,-3.47,0.59,0.31,0.31,0.3,0.37,129.97,146.08,-12.97,100.84,-2.36,-4.73,3.81,4.09,0.31,0.31,0.3,0.37,0.72,3.05,1.48
"1981-01-08",131.14,12.68,-26.32,98.81,0.53,-2.55,-2.26,6.23,0.31,0.31,0.29,0.37,129.98,0,-69.79,98.01,-4.09,-9.33,-6.38,4.16,0.31,0.31,0.29,0.37,132.43,89.2,-9.7,100.24,3.77,1.26,4.88,8.28,0.32,0.31,0.3,0.37,4.3,14.33,1.45
"1981-01-09",132.45,26.78,-58.2,99.91,-7.2,-12.28,4.47,4.22,0.32,0.31,0.29,0.37,132.16,0,-81.01,98.55,-8.39,-14.11,3.55,1.75,0.32,0.31,0.29,0.37,132.77,132.76,-30.43,101.42,-4.61,-9.69,5.65,6.03,0.32,0.31,0.29,0.37,1.38,12.16,1.4
"1981-01-10",132.82,29.75,-40.18,101.8,-8.09,-11.41,-1.49,1.06,0.31,0.31,0.29,0.37,132.76,0,-80.3,101.2,-10.64,-12.89,-5.98,-0.31,0.31,0.31,0.29,0.37,133.01,169.89,-6.26,102.11,-4.21,-6.84,3.2,2.38,0.32,0.31,0.29,0.37,0.43,3.09,1.36
