"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",160.55,25.27,-50.74,97.51,-6.45,-8.91,2.17,0.42,0.34,0.35,0.34,0.41,159.84,0,-81.37,96.25,-12.39,-13.89,-1.38,-2.24,0.34,0.35,0.34,0.41,160.85,127.78,-13.51,98.54,-4.46,-5.65,4.85,4.33,0.34,0.35,0.34,0.41,1.23,2.75,1
"1981-01-02",161.29,15.5,-24.32,98.17,-7.42,-9.17,-2.35,-0.52,0.34,0.35,0.34,0.41,160.76,0,-48.1,97.54,-12.71,-14.41,-4.25,-1.41,0.34,0.35,0.34,0.41,161.77,74.06,-1.76,98.51,-5.38,-7.77,-1.47,0.34,0.34,0.35,0.34,0.41,0.99,0.75,0.97
"1981-01-03",168.13,18.85,-31.13,95.63,-5.12,-8.21,-1.53,3.75,0.34,0.35,0.34,0.41,161.79,0,-69.1,94.98,-11.8,-16.08,-7.82,0.04,0.34,0.34,0.34,0.41,170.39,116.6,-4.89,97.39,-0.66,-3.04,4.76,6.32,0.34,0.35,0.34,0.41,9.06,6.63,0.95
"1981-01-04",171.1,22.45,-43.18,96.67,-11.73,-15.99,3.47,4.08,0.34,0.34,0.33,0.41,170.45,0,-63.32,95.91,-13.53,-18.08,0.55,1.31,0.34,0.34,0.33,0.41,171.83,114.9,-10.12,96.98,-10.55,-13.53,5.54,5.97,0.34,0.34,0.34,0.41,1.87,5.42,0.94
"1981-01-05",173.85,20.29,-36.69,96.44,-12.08,-15.35,1.86,1.84,0.34,0.34,0.33,0.41,171.91,0,-76.12,96.1,-14.33,-18.1,-0.51,0.93,0.34,0.34,0.33,0.41,175.43,101.38,-11.3,96.9,-9.57,-13.11,5.47,3.41,0.34,0.34,0.33,0.41,3.79,1.99,0.92
"1981-01-06",176.06,19.99,-28.56,97.62,-8.92,-11.67,4.35,1.29,0.34,0.34,0.33,0.41,175.56,0,-42.71,96.41,-9.8,-12.43,2.92,0.88,0.34,0.34,0.33,0.4,176.24,102.43,-15.73,98.39,-8.16,-10.74,5.67,1.86,0.34,0.34,0.33,0.41,0.88,2.76,0.89
"1981-01-07",176.64,29.64,-36.89,98.66,-6.35,-9.12,-0.1,2.38,0.34,0.34,0.33,0.4,176.26,0,-70.68,98.39,-8.09,-10.41,-3.39,1.14,0.34,0.34,0.33,0.4,176.85,156.47,-13.32,98.93,-2.74,-4.81,2.67,4.09,0.34,0.34,0.33,0.4,0.69,2.27,0.86
"1981-01-08",178.97,14.54,-28.48,96.93,-0.21,-3.06,-2.27,5.55,0.34,0.34,0.33,0.4,176.88,0,-71.89,96.2,-5.82,-10.47,-6.23,3.87,0.34,0.34,0.33,0.4,181.47,95.42,-8.99,98.3,3.34,0.99,3.61,6.95,0.34,0.34,0.33,0.4,5.27,9.8,0.84
"1981-01-09",181.69,25.39,-51.81,98.09,-8.88,-13.3,3.53,3.35,0.34,0.34,0.33,0.4,181.27,0,-71.48,96.75,-9.72,-15.34,2.42,1.66,0.34,0.34,0.33,0.4,182.15,130.77,-34.33,99.52,-6.52,-10.81,4.82,4.57,0.34,0.34,0.33,0.4,1.55,6.47,0.84
"1981-01-10",182.2,31.54,-39.72,99.78,-9.36,-12.51,-1.71,1.36,0.34,0.34,0.33,0.4,182.13,0,-85.85,98.95,-11.64,-14.02,-7.03,0.55,0.34,0.34,0.33,0.4,182.62,179.95,-3.94,100.12,-4.82,-7.1,2.09,2.29,0.34,0.34,0.33,0.4,0.63,2.05,0.82
