"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",193.31,20.41,-42.26,95.77,-7.08,-9.17,2.58,0.96,0.34,0.35,0.34,0.41,192.29,0,-73.87,94.64,-11.61,-12.78,-0.57,-1.11,0.34,0.35,0.34,0.41,193.84,103.09,-9.74,96.65,-5.17,-7.16,5.09,4.5,0.34,0.35,0.34,0.41,1.8,1.43,NA
"1981-01-02",194.68,18.05,-23.69,96.23,-7.15,-8.78,-2.73,0.01,0.34,0.34,0.34,0.41,193.82,0,-45.47,95.53,-11.97,-13.2,-5.38,-0.59,0.34,0.34,0.33,0.41,195.43,86.21,-3.94,96.58,-5.1,-7.25,-0.98,0.91,0.34,0.35,0.34,0.41,1.59,0.29,NA
"1981-01-03",202.56,17.99,-25.85,93.83,-6.78,-9.45,-1.33,4,0.34,0.34,0.33,0.41,195.51,0,-60.46,93.19,-14.24,-18.08,-8.53,-0.42,0.34,0.34,0.33,0.41,205.2,100.86,-1.37,95.37,-2.27,-4.48,4.47,6.87,0.34,0.34,0.33,0.41,10.15,2.86,NA
"1981-01-04",206.21,29.1,-39.02,94.99,-13.71,-17.33,2.9,3.8,0.34,0.34,0.33,0.4,205.3,0,-64.28,94.35,-15.34,-19.27,0.59,0.75,0.34,0.34,0.33,0.4,206.97,138.95,-4.52,95.33,-12.38,-15.15,5.14,5.92,0.34,0.34,0.33,0.41,2.07,1.93,NA
"1981-01-05",208.66,27.39,-37.02,94.7,-13.68,-16.92,2.07,1.92,0.34,0.34,0.33,0.4,207.03,0,-86.32,94.4,-15.88,-19.19,0.03,0.84,0.34,0.34,0.33,0.4,209.86,139.82,-7.54,95.09,-11.26,-15.26,4.65,3.46,0.34,0.34,0.33,0.4,3.04,0.93,NA
"1981-01-06",211.2,22.11,-27.03,95.9,-8.8,-11.65,4.28,1.1,0.34,0.34,0.33,0.4,210.03,0,-39.55,94.84,-10.44,-13.95,2.2,0.72,0.34,0.34,0.33,0.4,211.58,105.83,-16.08,96.62,-7.82,-10.57,5.49,2.42,0.34,0.34,0.33,0.4,1.74,1.67,NA
"1981-01-07",211.87,29.44,-30.87,96.84,-6.95,-9.37,-0.27,2.71,0.34,0.34,0.33,0.4,211.62,0,-61.5,96.53,-9.55,-11.29,-2.73,1.42,0.34,0.34,0.33,0.4,212.18,150.3,-5.46,97.09,-1.97,-4,1.86,5.13,0.34,0.34,0.33,0.4,0.59,0.98,NA
"1981-01-08",216.78,10.39,-25.52,95.15,-1.12,-3.56,-1.81,6.14,0.34,0.34,0.33,0.4,212.26,0,-79,94.51,-7.98,-11.93,-5.86,4.65,0.34,0.34,0.33,0.4,220.77,63.64,-2.34,96.44,2.51,0.82,4.02,8.02,0.34,0.34,0.33,0.4,8.91,4.11,NA
"1981-01-09",221.37,27.95,-54.58,96.37,-10.65,-14.27,3.41,3.27,0.34,0.34,0.33,0.4,220.62,0,-78.52,95.1,-11.86,-16.38,1.76,1.53,0.33,0.34,0.33,0.4,222.03,133.96,-37.9,97.7,-8.62,-12.28,4.71,4.85,0.34,0.34,0.33,0.4,2.02,2.52,NA
"1981-01-10",222.14,33.99,-35.83,97.82,-11.21,-13.96,-2.05,0.9,0.33,0.34,0.33,0.4,222.04,0,-71.64,96.73,-13.75,-16.11,-8.16,-0.25,0.33,0.34,0.33,0.4,222.93,180,1.17,98.19,-6.32,-8.15,1.4,1.97,0.33,0.34,0.33,0.4,0.97,0.62,NA
"1981-01-11",230.97,20.19,-31.07,95.22,-0.83,-3.9,-2.7,5.32,0.37,0.34,0.33,0.4,223.35,0,-98.69,94.55,-7,-12.15,-8.64,0.35,0.33,0.34,0.33,0.4,234.54,107.15,11.17,96.43,6.12,5.23,2.19,7.35,0.4,0.35,0.33,0.4,16.39,4.76,NA
