"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",131.26,30.59,-44.47,97.8,-5.99,-8.56,1.85,1.57,0.39,0.39,0.35,0.41,130.21,0,-89.03,96.88,-9.77,-10.81,-1.1,0.06,0.38,0.39,0.35,0.41,131.77,158.36,-17.98,98.48,-3.71,-6.61,3.33,3.52,0.39,0.39,0.35,0.41,1.87,4.17,3.51
"1981-01-02",132.12,32.54,-27.19,97.91,-6.65,-8.66,-1.86,-0.09,0.38,0.38,0.35,0.41,131.78,0,-84.8,96.91,-9.81,-11.08,-4.82,-0.9,0.37,0.38,0.35,0.41,132.36,191.28,-8.51,98.32,-4.63,-6.84,-0.98,0.92,0.38,0.38,0.35,0.41,0.61,1.73,3.16
"1981-01-03",139.62,16.72,-22.28,95.69,-6.72,-9.94,0.26,3.99,0.37,0.38,0.35,0.41,132.72,0,-43.11,94.75,-14.62,-18.66,-6.51,-1.13,0.37,0.38,0.35,0.41,142.13,80.87,-7.65,96.64,-0.83,-2.92,3.86,6.55,0.37,0.38,0.35,0.41,10.34,8.28,2.81
"1981-01-04",143.5,23.81,-28.46,97.12,-13,-16.34,1.69,2.71,0.37,0.37,0.35,0.41,142.27,0,-47.64,96.75,-15.02,-18.86,0.23,0.58,0.37,0.37,0.35,0.41,144.77,108.51,-8.25,97.48,-11.11,-13.67,3.43,4.81,0.37,0.38,0.35,0.41,2.83,2.95,2.57
"1981-01-05",146.05,34.75,-36.54,96.77,-13.31,-16.51,1.62,1.7,0.37,0.37,0.35,0.41,144.8,0,-70.44,96.48,-15.16,-20.12,0.14,0.73,0.36,0.37,0.35,0.41,147.24,170.68,-11.62,97.06,-10.74,-13.77,3.3,2.59,0.37,0.37,0.35,0.41,2.63,2.04,2.45
"1981-01-06",148.37,25.56,-25.27,98,-7.24,-10.18,2.43,1.25,0.36,0.37,0.35,0.41,147.42,0,-50.36,97.13,-9.93,-12.96,0.24,0.61,0.36,0.37,0.35,0.41,148.66,145.46,-11.21,98.61,-5.82,-8.84,3.97,2.65,0.36,0.37,0.35,0.41,1.48,3.46,2.13
"1981-01-07",148.88,28.58,-27.48,98.68,-4.83,-7.36,-0.59,3.11,0.36,0.37,0.35,0.41,148.67,0,-53.27,98.19,-8.78,-10.34,-2.59,1.75,0.36,0.36,0.35,0.41,149.53,141.41,-11.85,98.96,0.62,-1.64,0.59,5.41,0.36,0.37,0.35,0.41,0.92,4.27,2.02
"1981-01-08",154.42,11.19,-31.82,96.87,-0.43,-3.15,-1.12,5.46,0.39,0.38,0.35,0.41,149.95,0,-77.06,96.39,-8.34,-11.31,-4.7,3.72,0.36,0.36,0.35,0.41,156.13,71.26,-4.51,98.07,3.25,1.74,3.16,7.52,0.42,0.4,0.35,0.41,18.37,11.8,2.31
"1981-01-09",156.45,24.85,-48.55,98.49,-10.4,-13.81,2.19,2.57,0.39,0.39,0.35,0.41,155.65,0,-75.05,97.26,-12.29,-15.89,-0.02,1.6,0.38,0.39,0.35,0.41,156.98,126.33,-25.87,99.71,-8.74,-11.66,3.63,3.57,0.4,0.39,0.35,0.41,1.84,4.2,2.74
"1981-01-10",157.35,28.73,-25.1,99.49,-9.97,-12.82,-2.29,0.2,0.38,0.39,0.35,0.41,156.98,0,-56.53,97.8,-13.28,-15.36,-6.57,-1.58,0.38,0.38,0.35,0.41,159.27,138.1,4.99,99.98,-5.01,-8.8,-0.2,1.55,0.38,0.39,0.35,0.41,2.37,2.55,3.09
