"date","snow_depth_water_equivalent_mean","surface_net_solar_radiation_mean","surface_net_thermal_radiation_mean","surface_pressure_mean","temperature_2m_mean","dewpoint_temperature_2m_mean","u_component_of_wind_10m_mean","v_component_of_wind_10m_mean","volumetric_soil_water_layer_1_mean","volumetric_soil_water_layer_2_mean","volumetric_soil_water_layer_3_mean","volumetric_soil_water_layer_4_mean","snow_depth_water_equivalent_min","surface_net_solar_radiation_min","surface_net_thermal_radiation_min","surface_pressure_min","temperature_2m_min","dewpoint_temperature_2m_min","u_component_of_wind_10m_min","v_component_of_wind_10m_min","volumetric_soil_water_layer_1_min","volumetric_soil_water_layer_2_min","volumetric_soil_water_layer_3_min","volumetric_soil_water_layer_4_min","snow_depth_water_equivalent_max","surface_net_solar_radiation_max","surface_net_thermal_radiation_max","surface_pressure_max","temperature_2m_max","dewpoint_temperature_2m_max","u_component_of_wind_10m_max","v_component_of_wind_10m_max","volumetric_soil_water_layer_1_max","volumetric_soil_water_layer_2_max","volumetric_soil_water_layer_3_max","volumetric_soil_water_layer_4_max","total_precipitation_sum","potential_evaporation_sum","streamflow"
"1981-01-01",133.91,32.17,-47.89,96.49,-7.27,-9.83,1.8,1.68,0.38,0.38,0.34,0.4,133.36,0,-85.83,95.61,-9.91,-11.29,-1.16,-0.12,0.37,0.37,0.34,0.4,134.18,166.94,-17.47,97.14,-4.52,-7.77,3.12,3.15,0.38,0.38,0.34,0.4,1.07,2.95,3.73
"1981-01-02",135.1,28.41,-21.63,96.58,-6.7,-8.53,-1.97,-0.22,0.37,0.37,0.34,0.4,134.19,0,-79.05,95.69,-10.32,-11.42,-4.8,-1.2,0.37,0.37,0.34,0.4,135.76,176.95,-3.13,96.97,-4.87,-6.89,-1.03,0.83,0.37,0.37,0.34,0.4,1.58,1.37,3.36
"1981-01-03",144.19,17.52,-26.27,94.5,-7.15,-10.31,0.38,3.86,0.36,0.37,0.34,0.4,136.35,0,-51.56,93.7,-15.82,-20.08,-6.25,-0.85,0.36,0.37,0.34,0.4,145.81,75.54,-4.17,95.38,-1.07,-3.01,3.8,6.63,0.37,0.37,0.34,0.4,10.58,6.65,3
"1981-01-04",146.8,20.39,-31.89,95.79,-13.51,-16.95,1.48,1.93,0.36,0.36,0.34,0.4,145.85,0,-68.85,95.48,-16.39,-20.44,-0.2,-0.63,0.36,0.36,0.34,0.4,148.2,89.47,0.45,96.19,-10.97,-14.12,3.66,4.4,0.36,0.37,0.34,0.4,2.57,2.04,2.69
"1981-01-05",150.19,31.73,-41.39,95.42,-14.08,-17.1,1.6,1.09,0.36,0.36,0.34,0.4,148.24,0,-81.76,95.11,-17.27,-20.58,0.39,-0.36,0.36,0.36,0.34,0.4,151.12,155.16,-7.21,95.78,-12.43,-14.24,3.11,2.44,0.36,0.36,0.34,0.4,3.06,1.34,2.45
"1981-01-06",151.8,31.21,-40.17,96.66,-9.14,-11.54,2.21,1.18,0.35,0.36,0.34,0.4,151.2,0,-69.18,95.85,-13.82,-16.06,0.47,0.52,0.35,0.36,0.34,0.4,152.04,172.17,-23.88,97.28,-6.52,-9.88,3.75,2.62,0.36,0.36,0.34,0.4,0.87,1.52,2.18
"1981-01-07",152.3,28.14,-25.08,97.41,-5.31,-7.62,-0.22,3.19,0.35,0.36,0.34,0.4,152.04,0,-49.79,97.07,-9.96,-11.5,-2.28,1.66,0.35,0.36,0.34,0.4,153.28,150.58,-6.98,97.67,-0.53,-2.24,0.78,5.35,0.35,0.36,0.34,0.4,1.22,3.29,2
"1981-01-08",164.44,7.11,-27.37,95.74,-1.16,-3.41,-1.21,5.44,0.38,0.36,0.34,0.4,153.91,0,-85.31,95.23,-8.51,-11.92,-4.68,3.04,0.35,0.35,0.34,0.4,169.1,44.9,-1.28,96.97,2.38,1.81,2.9,7.55,0.41,0.37,0.34,0.4,22.47,7.82,2.38
"1981-01-09",168.97,30.92,-61.56,97.15,-11.45,-14.86,2.07,2.13,0.38,0.37,0.34,0.4,168.71,0,-89.85,95.96,-14.56,-16.91,0.2,1.3,0.37,0.37,0.34,0.4,169.16,154.6,-35.74,98.33,-9.32,-12.31,3.29,2.88,0.38,0.37,0.34,0.4,0.88,3.29,2.91
"1981-01-10",169.36,24.6,-22.63,98.17,-11.03,-13.75,-2.41,0.27,0.37,0.37,0.34,0.4,169.16,0,-70.1,96.68,-15.13,-17.48,-6.25,-1.09,0.36,0.37,0.34,0.4,170.34,115.64,8.6,98.63,-5.16,-8.31,0.01,1.36,0.37,0.37,0.34,0.4,1.18,1.7,3.82
